rank,cp,ivs,maxlevel,stat-product,stats
1,1566,15 15 15,51,1708937,142.86 98.05 122
2,1556,14 15 15,51,1698825,142.01 98.05 122
3,1560,15 15 14,51,1694930,142.86 98.05 121
4,1559,15 14 15,51,1694205,142.86 97.21 122
5,1547,13 15 15,51,1688713,141.17 98.05 122
6,1551,14 15 14,51,1684900,142.01 98.05 121
7,1550,14 14 15,51,1684180,142.01 97.21 122
8,1555,15 15 13,51,1680922,142.86 98.05 120
9,1549,15 15 12,51,1680922,142.86 98.05 120
10,1553,15 14 14,51,1680318,142.86 97.21 121
11,1552,15 13 15,51,1679473,142.86 96.36 122
12,1538,12 15 15,51,1678601,140.32 98.05 122
13,1542,13 15 14,51,1674871,141.17 98.05 121
14,1540,13 14 15,51,1674155,141.17 97.21 122
15,1546,14 15 13,51,1670976,142.01 98.05 120
16,1540,14 15 12,51,1670976,142.01 98.05 120
17,1544,14 14 14,51,1670375,142.01 97.21 121
18,1543,14 13 15,51,1669535,142.01 96.36 122
19,1529,11 15 15,51,1668489,139.47 98.05 122
20,1544,15 15 11,51,1666914,142.86 98.05 119
21,1548,15 14 13,51,1666431,142.86 97.21 120
22,1543,15 14 12,51,1666431,142.86 97.21 120
23,1547,15 13 14,51,1665707,142.86 96.36 121
24,1532,12 15 14,51,1664842,140.32 98.05 121
25,1545,15 12 15,51,1664741,142.86 95.52 122
26,1531,12 14 15,51,1664130,140.32 97.21 122
27,1536,13 15 13,51,1661029,141.17 98.05 120
28,1531,13 15 12,51,1661029,141.17 98.05 120
29,1535,13 14 14,51,1660433,141.17 97.21 121
30,1534,13 13 15,51,1659597,141.17 96.36 122
31,1519,10 15 15,51,1658377,138.63 98.05 122
32,1535,14 15 11,51,1657051,142.01 98.05 119
33,1539,14 14 13,51,1656571,142.01 97.21 120
34,1533,14 14 12,51,1656571,142.01 97.21 120
35,1538,14 13 14,51,1655850,142.01 96.36 121
36,1536,14 12 15,51,1654890,142.01 95.52 122
37,1523,11 15 14,51,1654813,139.47 98.05 121
38,1522,11 14 15,51,1654106,139.47 97.21 122
39,1538,15 15 10,51,1652907,142.86 98.05 118
40,1537,15 14 11,51,1652544,142.86 97.21 119
41,1541,15 13 13,51,1651941,142.86 96.36 120
42,1536,15 13 12,51,1651941,142.86 96.36 120
43,1540,15 12 14,51,1651095,142.86 95.52 121
44,1527,12 15 13,51,1651083,140.32 98.05 120
45,1522,12 15 12,51,1651083,140.32 98.05 120
46,1526,12 14 14,51,1650490,140.32 97.21 121
47,1538,15 11 15,51,1650008,142.86 94.67 122
48,1524,12 13 15,51,1649660,140.32 96.36 122
49,1510,9 15 15,51,1648265,137.78 98.05 122
50,1526,13 15 11,51,1647187,141.17 98.05 119
51,1530,13 14 13,51,1646710,141.17 97.21 120
52,1524,13 14 12,51,1646710,141.17 97.21 120
53,1528,13 13 14,51,1645994,141.17 96.36 121
54,1527,13 12 15,51,1645040,141.17 95.52 122
55,1514,10 15 14,51,1644784,138.63 98.05 121
56,1513,10 14 15,51,1644081,138.63 97.21 122
57,1529,14 15 10,51,1643126,142.01 98.05 118
58,1528,14 14 11,51,1642766,142.01 97.21 119
59,1532,14 13 13,51,1642166,142.01 96.36 120
60,1527,14 13 12,51,1642166,142.01 96.36 120
61,1531,14 12 14,51,1641325,142.01 95.52 121
62,1518,11 15 13,51,1641137,139.47 98.05 120
63,1513,11 15 12,51,1641137,139.47 98.05 120
64,1517,11 14 14,51,1640547,139.47 97.21 121
65,1529,14 11 15,51,1640245,142.01 94.67 122
66,1515,11 13 15,51,1639722,139.47 96.36 122
67,1533,15 15 9,51,1638899,142.86 98.05 117
68,1532,15 14 10,51,1638657,142.86 97.21 118
69,1530,15 13 11,51,1638174,142.86 96.36 119
70,1501,8 15 15,51,1638153,136.94 98.05 122
71,1535,15 12 13,51,1637450,142.86 95.52 120
72,1529,15 12 12,51,1637450,142.86 95.52 120
73,1516,12 15 11,51,1637324,140.32 98.05 119
74,1521,12 14 13,51,1636850,140.32 97.21 120
75,1515,12 14 12,51,1636850,140.32 97.21 120
76,1533,15 11 14,51,1636484,142.86 94.67 121
77,1519,12 13 14,51,1636138,140.32 96.36 121
78,1531,15 10 15,51,1635276,142.86 93.83 122
79,1518,12 12 15,51,1635189,140.32 95.52 122
80,1505,9 15 14,51,1634755,137.78 98.05 121
81,1503,9 14 15,51,1634056,137.78 97.21 122
82,1520,13 15 10,51,1633346,141.17 98.05 118
83,1519,13 14 11,51,1632988,141.17 97.21 119
84,1523,13 13 13,51,1632391,141.17 96.36 120
85,1518,13 13 12,51,1632391,141.17 96.36 120
86,1522,13 12 14,51,1631556,141.17 95.52 121
87,1509,10 15 13,51,1631191,138.63 98.05 120
88,1503,10 15 12,51,1631191,138.63 98.05 120
89,1507,10 14 14,51,1630605,138.63 97.21 121
90,1520,13 11 15,51,1630482,141.17 94.67 122
91,1506,10 13 15,51,1629784,138.63 96.36 122
92,1524,14 15 9,51,1629201,142.01 98.05 117
93,1523,14 14 10,51,1628961,142.01 97.21 118
94,1521,14 13 11,51,1628481,142.01 96.36 119
95,1491,7 15 15,51,1628041,136.09 98.05 122
96,1525,14 12 13,51,1627761,142.01 95.52 120
97,1520,14 12 12,51,1627761,142.01 95.52 120
98,1507,11 15 11,51,1627461,139.47 98.05 119
99,1511,11 14 13,51,1626989,139.47 97.21 120
100,1506,11 14 12,51,1626989,139.47 97.21 120
101,1524,14 11 14,51,1626800,142.01 94.67 121
102,1510,11 13 14,51,1626282,139.47 96.36 121
103,1522,14 10 15,51,1625600,142.01 93.83 122
104,1509,11 12 15,51,1625338,139.47 95.52 122
105,1527,15 15 8,51,1624891,142.86 98.05 116
106,1526,15 14 9,51,1624770,142.86 97.21 117
107,1496,8 15 14,51,1624725,136.94 98.05 121
108,1525,15 13 10,51,1624408,142.86 96.36 118
109,1494,8 14 15,51,1624031,136.94 97.21 122
110,1524,15 12 11,51,1623804,142.86 95.52 119
111,1511,12 15 10,51,1623565,140.32 98.05 118
112,1510,12 14 11,51,1623209,140.32 97.21 119
113,1528,15 11 13,51,1622959,142.86 94.67 120
114,1522,15 11 12,51,1622959,142.86 94.67 120
115,1514,12 13 13,51,1622616,140.32 96.36 120
116,1509,12 13 12,51,1622616,140.32 96.36 120
117,1526,15 10 14,51,1621872,142.86 93.83 121
118,1513,12 12 14,51,1621786,140.32 95.52 121
119,1500,9 15 13,51,1621244,137.78 98.05 120
120,1494,9 15 12,51,1621244,137.78 98.05 120
121,1511,12 11 15,51,1620718,140.32 94.67 122
122,1498,9 14 14,51,1620662,137.78 97.21 121
123,1525,15 9 15,51,1620544,142.86 92.98 122
124,1497,9 13 15,51,1619847,137.78 96.36 122
125,1515,13 15 9,51,1619504,141.17 98.05 117
126,1514,13 14 10,51,1619265,141.17 97.21 118
127,1512,13 13 11,51,1618788,141.17 96.36 119
128,1516,13 12 13,51,1618072,141.17 95.52 120
129,1511,13 12 12,51,1618072,141.17 95.52 120
130,1482,6 15 15,51,1617929,135.25 98.05 122
131,1498,10 15 11,51,1617597,138.63 98.05 119
132,1502,10 14 13,51,1617129,138.63 97.21 120
133,1497,10 14 12,51,1617129,138.63 97.21 120
134,1515,13 11 14,51,1617117,141.17 94.67 121
135,1501,10 13 14,51,1616425,138.63 96.36 121
136,1513,13 10 15,51,1615924,141.17 93.83 122
137,1499,10 12 15,51,1615488,138.63 95.52 122
138,1518,14 15 8,51,1615276,142.01 98.05 116
139,1517,14 14 9,51,1615156,142.01 97.21 117
140,1516,14 13 10,51,1614796,142.01 96.36 118
141,1486,7 15 14,51,1614696,136.09 98.05 121
142,1515,14 12 11,51,1614196,142.01 95.52 119
143,1485,7 14 15,51,1614006,136.09 97.21 122
144,1502,11 15 10,51,1613785,139.47 98.05 118
145,1501,11 14 11,51,1613431,139.47 97.21 119
146,1519,14 11 13,51,1613356,142.01 94.67 120
147,1513,14 11 12,51,1613356,142.01 94.67 120
148,1505,11 13 13,51,1612841,139.47 96.36 120
149,1500,11 13 12,51,1612841,139.47 96.36 120
150,1517,14 10 14,51,1612275,142.01 93.83 121
151,1503,11 12 14,51,1612016,139.47 95.52 121
