rank,cp,ivs,maxlevel,stat-product,stats
1,2499,1 15 15,35,3401565,183.54 118.8 156
2,2500,0 14 12,36,3395588,184.18 118.95 155
3,2500,0 14 15,35.5,3391616,183.48 118.5 156
4,2496,0 15 13,35.5,3391616,183.48 119.26 155
5,2489,0 15 15,35,3387451,182.78 118.8 156
6,2498,1 14 13,35.5,3383916,184.24 118.5 155
7,2500,1 15 12,35.5,3383775,184.24 119.26 154
8,2500,3 15 15,34.5,3381606,184.35 118.35 155
9,2491,1 14 15,35,3379760,183.54 118.04 156
10,2493,1 15 14,35,3379760,183.54 118.8 155
11,2499,0 13 10,36.5,3377298,184.87 118.63 154
12,2500,2 13 13,35.5,3376034,185.01 117.73 155
13,2499,0 10 14,36.5,3376016,184.87 116.31 157
14,2498,0 13 13,36,3373681,184.18 118.18 155
15,2492,0 13 12,36,3373681,184.18 118.18 155
16,2494,0 14 11,36,3373681,184.18 118.95 154
17,2498,4 15 13,34.5,3373615,185.11 118.35 154
18,2496,0 12 14,36,3373398,184.18 117.41 156
19,2496,0 15 10,36,3373398,184.18 119.71 153
20,2494,0 11 15,36,3372833,184.18 116.64 157
21,2495,2 14 14,35,3372029,184.3 118.04 155
22,2493,2 13 15,35,3371889,184.3 117.28 156
23,2497,2 15 13,35,3371889,184.3 118.8 154
24,2494,0 14 14,35.5,3369874,183.48 118.5 155
25,2488,0 14 13,35.5,3369874,183.48 118.5 155
26,2492,0 13 15,35.5,3369734,183.48 117.73 156
27,2489,0 15 12,35.5,3369734,183.48 119.26 154
28,2490,2 15 15,34.5,3367690,183.59 118.35 155
29,2496,1 13 11,36,3365881,184.94 118.18 154
30,2495,1 12 12,36,3365739,184.94 117.41 155
31,2498,1 14 10,36,3365739,184.94 118.95 153
32,2483,0 15 14,35,3365736,182.78 118.8 155
33,2499,1 11 14,36,3365314,184.94 116.64 156
34,2500,1 15 9,36,3365314,184.94 119.71 152
35,2497,1 10 15,36,3364604,184.94 115.88 157
36,2498,3 13 14,35,3364118,185.06 117.28 155
37,2499,3 14 13,35,3364118,185.06 118.04 154
38,2495,3 12 15,35,3363836,185.06 116.52 156
39,2495,3 15 11,35,3363836,185.06 118.8 153
40,2496,1 13 14,35.5,3362084,184.24 117.73 155
41,2490,1 13 13,35.5,3362084,184.24 117.73 155
42,2492,1 14 12,35.5,3362084,184.24 118.5 154
43,2494,1 12 15,35.5,3361802,184.24 116.97 156
44,2494,1 15 11,35.5,3361802,184.24 119.26 153
45,2495,5 15 14,34,3361194,185.14 117.89 154
