rank,cp,ivs,maxlevel,stat-product,stats
1,1453,15 15 15,51,1681436,125.1 126.8 106
2,1448,15 14 15,51,1670227,125.1 125.95 106
3,1444,14 15 15,51,1670075,124.26 126.8 106
4,1448,15 15 14,51,1665574,125.1 126.8 105
5,1444,15 13 15,51,1659017,125.1 125.1 106
6,1439,14 14 15,51,1658942,124.26 125.95 106
7,1434,13 15 15,51,1658714,123.41 126.8 106
8,1443,15 14 14,51,1654470,125.1 125.95 105
9,1438,14 15 14,51,1654320,124.26 126.8 105
10,1442,15 15 13,51,1649711,125.1 126.8 104
11,1439,15 12 15,51,1647808,125.1 124.26 106
12,1434,14 13 15,51,1647808,124.26 125.1 106
13,1429,13 14 15,51,1647656,123.41 125.95 106
14,1424,12 15 15,51,1647353,122.57 126.8 106
15,1438,15 13 14,51,1643366,125.1 125.1 105
16,1433,14 14 14,51,1643291,124.26 125.95 105
17,1428,13 15 14,51,1643066,123.41 126.8 105
18,1437,15 14 13,51,1638713,125.1 125.95 104
19,1432,14 15 13,51,1638564,124.26 126.8 104
20,1429,14 12 15,51,1636674,124.26 124.26 106
21,1434,15 11 15,51,1636598,125.1 123.41 106
22,1424,13 13 15,51,1636598,123.41 125.1 106
23,1419,12 14 15,51,1636371,122.57 125.95 106
24,1414,11 15 15,51,1635992,121.72 126.8 106
25,1436,15 15 12,51,1633849,125.1 126.8 103
26,1430,15 15 11,51,1633849,125.1 126.8 103
27,1433,15 12 14,51,1632262,125.1 124.26 105
28,1428,14 13 14,51,1632262,124.26 125.1 105
29,1423,13 14 14,51,1632112,123.41 125.95 105
30,1418,12 15 14,51,1631812,122.57 126.8 105
31,1432,15 13 13,51,1627715,125.1 125.1 104
32,1427,14 14 13,51,1627641,124.26 125.95 104
33,1422,13 15 13,51,1627418,123.41 126.8 104
34,1424,14 11 15,51,1625540,124.26 123.41 106
35,1419,13 12 15,51,1625540,123.41 124.26 106
36,1429,15 10 15,51,1625389,125.1 122.57 106
37,1414,12 13 15,51,1625389,122.57 125.1 106
38,1409,11 14 15,51,1625086,121.72 125.95 106
39,1404,10 15 15,51,1624631,120.88 126.8 106
40,1431,15 14 12,51,1622956,125.1 125.95 103
41,1425,15 14 11,51,1622956,125.1 125.95 103
42,1426,14 15 12,51,1622809,124.26 126.8 103
43,1420,14 15 11,51,1622809,124.26 126.8 103
44,1423,14 12 14,51,1621234,124.26 124.26 105
45,1428,15 11 14,51,1621158,125.1 123.41 105
46,1418,13 13 14,51,1621158,123.41 125.1 105
47,1413,12 14 14,51,1620933,122.57 125.95 105
48,1408,11 15 14,51,1620558,121.72 126.8 105
49,1424,15 15 10,51,1617986,125.1 126.8 102
50,1427,15 12 13,51,1616717,125.1 124.26 104
51,1422,14 13 13,51,1616717,124.26 125.1 104
52,1418,13 14 13,51,1616568,123.41 125.95 104
53,1413,12 15 13,51,1616271,122.57 126.8 104
54,1414,13 11 15,51,1614482,123.41 123.41 106
55,1419,14 10 15,51,1614406,124.26 122.57 106
56,1410,12 12 15,51,1614406,122.57 124.26 106
57,1424,15 9 15,51,1614179,125.1 121.72 106
58,1405,11 13 15,51,1614179,121.72 125.1 106
59,1400,10 14 15,51,1613800,120.88 125.95 106
60,1394,9 15 15,51,1613270,120.03 126.8 106
61,1426,15 13 12,51,1612064,125.1 125.1 103
62,1421,15 13 11,51,1612064,125.1 125.1 103
63,1421,14 14 12,51,1611990,124.26 125.95 103
64,1416,14 14 11,51,1611990,124.26 125.95 103
65,1417,13 15 12,51,1611770,123.41 126.8 103
66,1411,13 15 11,51,1611770,123.41 126.8 103
67,1418,14 11 14,51,1610205,124.26 123.41 105
68,1414,13 12 14,51,1610205,123.41 124.26 105
69,1423,15 10 14,51,1610055,125.1 122.57 105
70,1409,12 13 14,51,1610055,122.57 125.1 105
71,1404,11 14 14,51,1609755,121.72 125.95 105
72,1399,10 15 14,51,1609304,120.88 126.8 105
73,1419,15 14 10,51,1607199,125.1 125.95 102
74,1415,14 15 10,51,1607054,124.26 126.8 102
75,1418,14 12 13,51,1605793,124.26 124.26 104
76,1422,15 11 13,51,1605719,125.1 123.41 104
77,1413,13 13 13,51,1605719,123.41 125.1 104
78,1408,12 14 13,51,1605496,122.57 125.95 104
79,1403,11 15 13,51,1605124,121.72 126.8 104
80,1410,13 10 15,51,1603424,123.41 122.57 106
81,1405,12 11 15,51,1603424,122.57 123.41 106
82,1414,14 9 15,51,1603272,124.26 121.72 106
83,1400,11 12 15,51,1603272,121.72 124.26 106
84,1419,15 8 15,51,1602969,125.1 120.88 106
85,1395,10 13 15,51,1602969,120.88 125.1 106
86,1390,9 14 15,51,1602515,120.03 125.95 106
87,1418,15 15 9,51,1602123,125.1 126.8 101
88,1385,8 15 15,51,1601909,119.19 126.8 106
89,1421,15 12 12,51,1601172,125.1 124.26 103
90,1416,15 12 11,51,1601172,125.1 124.26 103
91,1417,14 13 12,51,1601172,124.26 125.1 103
92,1411,14 13 11,51,1601172,124.26 125.1 103
93,1412,13 14 12,51,1601024,123.41 125.95 103
94,1406,13 14 11,51,1601024,123.41 125.95 103
95,1407,12 15 12,51,1600730,122.57 126.8 103
96,1401,12 15 11,51,1600730,122.57 126.8 103
97,1409,13 11 14,51,1599251,123.41 123.41 105
98,1414,14 10 14,51,1599176,124.26 122.57 105
99,1404,12 12 14,51,1599176,122.57 124.26 105
100,1418,15 9 14,51,1598951,125.1 121.72 105
101,1399,11 13 14,51,1598951,121.72 125.1 105
102,1394,10 14 14,51,1598576,120.88 125.95 105
103,1389,9 15 14,51,1598051,120.03 126.8 105
104,1415,15 13 10,51,1596413,125.1 125.1 102
105,1410,14 14 10,51,1596340,124.26 125.95 102
106,1405,13 15 10,51,1596121,123.41 126.8 102
107,1413,14 11 13,51,1594869,124.26 123.41 104
108,1408,13 12 13,51,1594869,123.41 124.26 104
109,1418,15 10 13,51,1594721,125.1 122.57 104
110,1403,12 13 13,51,1594721,122.57 125.1 104
111,1398,11 14 13,51,1594424,121.72 125.95 104
112,1393,10 15 13,51,1593978,120.88 126.8 104
113,1400,12 10 15,51,1592441,122.57 122.57 106
114,1405,13 9 15,51,1592366,123.41 121.72 106
115,1395,11 11 15,51,1592366,121.72 123.41 106
116,1409,14 8 15,51,1592138,124.26 120.88 106
117,1390,10 12 15,51,1592138,120.88 124.26 106
118,1414,15 7 15,51,1591760,125.1 120.03 106
119,1385,9 13 15,51,1591760,120.03 125.1 106
120,1414,15 14 9,51,1591443,125.1 125.95 101
121,1409,14 15 9,51,1591298,124.26 126.8 101
122,1380,8 14 15,51,1591230,119.19 125.95 106
123,1375,7 15 15,51,1590548,118.34 126.8 106
124,1412,14 12 12,51,1590353,124.26 124.26 103
125,1406,14 12 11,51,1590353,124.26 124.26 103
126,1417,15 11 12,51,1590279,125.1 123.41 103
127,1411,15 11 11,51,1590279,125.1 123.41 103
128,1407,13 13 12,51,1590279,123.41 125.1 103
129,1401,13 13 11,51,1590279,123.41 125.1 103
130,1402,12 14 12,51,1590058,122.57 125.95 103
131,1396,12 14 11,51,1590058,122.57 125.95 103
132,1397,11 15 12,51,1589690,121.72 126.8 103
133,1391,11 15 11,51,1589690,121.72 126.8 103
134,1404,13 10 14,51,1588297,123.41 122.57 105
135,1399,12 11 14,51,1588297,122.57 123.41 105
136,1409,14 9 14,51,1588147,124.26 121.72 105
137,1394,11 12 14,51,1588147,121.72 124.26 105
138,1413,15 8 14,51,1587847,125.1 120.88 105
139,1389,10 13 14,51,1587847,120.88 125.1 105
140,1384,9 14 14,51,1587397,120.03 125.95 105
141,1379,8 15 14,51,1586797,119.19 126.8 105
142,1412,15 15 8,51,1586261,125.1 126.8 100
143,1410,15 12 10,51,1585626,125.1 124.26 102
144,1405,14 13 10,51,1585626,124.26 125.1 102
145,1400,13 14 10,51,1585480,123.41 125.95 102
146,1395,12 15 10,51,1585189,122.57 126.8 102
147,1403,13 11 13,51,1584020,123.41 123.41 104
148,1408,14 10 13,51,1583946,124.26 122.57 104
149,1398,12 12 13,51,1583946,122.57 124.26 104
150,1413,15 9 13,51,1583723,125.1 121.72 104
151,1393,11 13 13,51,1583723,121.72 125.1 104
152,1388,10 14 13,51,1583351,120.88 125.95 104
153,1383,9 15 13,51,1582831,120.03 126.8 104
154,1395,12 9 15,51,1581459,122.57 121.72 106
155,1390,11 10 15,51,1581459,121.72 122.57 106
156,1400,13 8 15,51,1581308,123.41 120.88 106
157,1385,10 11 15,51,1581308,120.88 123.41 106
158,1404,14 7 15,51,1581005,124.26 120.03 106
159,1380,9 12 15,51,1581005,120.03 124.26 106
160,1409,15 13 9,51,1580762,125.1 125.1 101
161,1404,14 14 9,51,1580690,124.26 125.95 101
162,1409,15 6 15,51,1580550,125.1 119.19 106
163,1375,8 13 15,51,1580550,119.19 125.1 106
164,1399,13 15 9,51,1580473,123.41 126.8 101
165,1370,7 14 15,51,1579944,118.34 125.95 106
166,1407,14 11 12,51,1579534,124.26 123.41 103
167,1401,14 11 11,51,1579534,124.26 123.41 103
168,1402,13 12 12,51,1579534,123.41 124.26 103
169,1397,13 12 11,51,1579534,123.41 124.26 103
170,1412,15 10 12,51,1579387,125.1 122.57 103
171,1406,15 10 11,51,1579387,125.1 122.57 103
172,1397,12 13 12,51,1579387,122.57 125.1 103
173,1392,12 13 11,51,1579387,122.57 125.1 103
174,1365,6 15 15,51,1579187,117.5 126.8 106
175,1392,11 14 12,51,1579093,121.72 125.95 103
176,1387,11 14 11,51,1579093,121.72 125.95 103
177,1387,10 15 12,51,1578651,120.88 126.8 103
178,1382,10 15 11,51,1578651,120.88 126.8 103
179,1394,12 10 14,51,1577418,122.57 122.57 105
180,1399,13 9 14,51,1577343,123.41 121.72 105
181,1390,11 11 14,51,1577343,121.72 123.41 105
182,1404,14 8 14,51,1577118,124.26 120.88 105
183,1385,10 12 14,51,1577118,120.88 124.26 105
184,1408,15 7 14,51,1576743,125.1 120.03 105
185,1380,9 13 14,51,1576743,120.03 125.1 105
186,1374,8 14 14,51,1576218,119.19 125.95 105
187,1408,15 14 8,51,1575686,125.1 125.95 100
188,1369,7 15 14,51,1575543,118.34 126.8 105
189,1403,14 15 8,51,1575543,124.26 126.8 100
190,1400,14 12 10,51,1574913,124.26 124.26 102
191,1405,15 11 10,51,1574840,125.1 123.41 102
192,1396,13 13 10,51,1574840,123.41 125.1 102
193,1391,12 14 10,51,1574621,122.57 125.95 102
194,1386,11 15 10,51,1574257,121.72 126.8 102
195,1398,13 10 13,51,1573171,123.41 122.57 104
196,1394,12 11 13,51,1573171,122.57 123.41 104
197,1403,14 9 13,51,1573022,124.26 121.72 104
198,1389,11 12 13,51,1573022,121.72 124.26 104
199,1408,15 8 13,51,1572725,125.1 120.88 104
200,1384,10 13 13,51,1572725,120.88 125.1 104
201,1379,9 14 13,51,1572279,120.03 125.95 104
202,1374,8 15 13,51,1571684,119.19 126.8 104
203,1385,11 9 15,51,1570552,121.72 121.72 106
204,1390,12 8 15,51,1570477,122.57 120.88 106
205,1381,10 10 15,51,1570477,120.88 122.57 106
206,1406,15 15 7,51,1570398,125.1 126.8 99
207,1395,13 7 15,51,1570250,123.41 120.03 106
208,1376,9 11 15,51,1570250,120.03 123.41 106
209,1404,15 12 9,51,1570081,125.1 124.26 101
210,1399,14 13 9,51,1570081,124.26 125.1 101
211,1394,13 14 9,51,1569937,123.41 125.95 101
212,1400,14 6 15,51,1569871,124.26 119.19 106
213,1371,8 12 15,51,1569871,119.19 124.26 106
214,1390,12 15 9,51,1569648,122.57 126.8 101
215,1404,15 5 15,51,1569341,125.1 118.34 106
216,1366,7 13 15,51,1569341,118.34 125.1 106
217,1397,13 11 12,51,1568789,123.41 123.41 103
218,1392,13 11 11,51,1568789,123.41 123.41 103
219,1402,14 10 12,51,1568715,124.26 122.57 103
220,1397,14 10 11,51,1568715,124.26 122.57 103
221,1393,12 12 12,51,1568715,122.57 124.26 103
222,1387,12 12 11,51,1568715,122.57 124.26 103
223,1360,6 14 15,51,1568659,117.5 125.95 106
224,1407,15 9 12,51,1568495,125.1 121.72 103
225,1401,15 9 11,51,1568495,125.1 121.72 103
226,1388,11 13 12,51,1568495,121.72 125.1 103
227,1382,11 13 11,51,1568495,121.72 125.1 103
228,1383,10 14 12,51,1568127,120.88 125.95 103
229,1377,10 14 11,51,1568127,120.88 125.95 103
230,1355,5 15 15,51,1567826,116.65 126.8 106
231,1378,9 15 12,51,1567611,120.03 126.8 103
