rank,cp,ivs,maxlevel,stat-product,stats
1,2255,15 15 15,51,3864375,131.02 206.25 143
2,2251,15 14 15,51,3848537,131.02 205.41 143
3,2241,14 15 15,51,3839443,130.18 206.25 143
4,2249,15 15 14,51,3837351,131.02 206.25 142
5,2242,15 15 13,51,3837351,131.02 206.25 142
6,2246,15 13 15,51,3832700,131.02 204.56 143
7,2236,14 14 15,51,3823708,130.18 205.41 143
8,2244,15 14 14,51,3821624,131.02 205.41 142
9,2237,15 14 13,51,3821624,131.02 205.41 142
10,2241,15 12 15,51,3816862,131.02 203.72 143
11,2226,13 15 15,51,3814512,129.33 206.25 143
12,2234,14 15 14,51,3812594,130.18 206.25 142
13,2227,14 15 13,51,3812594,130.18 206.25 142
14,2235,15 15 12,51,3810328,131.02 206.25 141
15,2231,14 13 15,51,3807973,130.18 204.56 143
16,2239,15 13 14,51,3805898,131.02 204.56 142
17,2233,15 13 13,51,3805898,131.02 204.56 142
18,2237,15 11 15,51,3801024,131.02 202.87 143
19,2221,13 14 15,51,3798879,129.33 205.41 143
20,2229,14 14 14,51,3796969,130.18 205.41 142
21,2223,14 14 13,51,3796969,130.18 205.41 142
22,2231,15 14 12,51,3794712,131.02 205.41 141
23,2227,14 12 15,51,3792237,130.18 203.72 143
24,2235,15 12 14,51,3790171,131.02 203.72 142
25,2228,15 12 13,51,3790171,131.02 203.72 142
26,2211,12 15 15,51,3789580,128.49 206.25 143
27,2219,13 15 14,51,3787837,129.33 206.25 142
28,2213,13 15 13,51,3787837,129.33 206.25 142
29,2221,14 15 12,51,3785745,130.18 206.25 141
30,2232,15 10 15,51,3785187,131.02 202.03 143
31,2228,15 15 11,51,3783304,131.02 206.25 140
32,2217,13 13 15,51,3783245,129.33 204.56 143
33,2225,14 13 14,51,3781343,130.18 204.56 142
34,2218,14 13 13,51,3781343,130.18 204.56 142
35,2226,15 13 12,51,3779095,131.02 204.56 141
36,2222,14 11 15,51,3776502,130.18 202.87 143
37,2230,15 11 14,51,3774444,131.02 202.87 142
38,2223,15 11 13,51,3774444,131.02 202.87 142
39,2207,12 14 15,51,3774049,128.49 205.41 143
40,2215,13 14 14,51,3772313,129.33 205.41 142
41,2208,13 14 13,51,3772313,129.33 205.41 142
42,2216,14 14 12,51,3770230,130.18 205.41 141
43,2227,15 9 15,51,3769349,131.02 201.18 143
44,2224,15 14 11,51,3767799,131.02 205.41 140
45,2212,13 12 15,51,3767612,129.33 203.72 143
46,2220,14 12 14,51,3765718,130.18 203.72 142
47,2214,14 12 13,51,3765718,130.18 203.72 142
48,2197,11 15 15,51,3764649,127.64 206.25 143
49,2221,15 12 12,51,3763479,131.02 203.72 141
50,2205,12 15 14,51,3763080,128.49 206.25 142
51,2198,12 15 13,51,3763080,128.49 206.25 142
52,2206,13 15 12,51,3761162,129.33 206.25 141
53,2218,14 10 15,51,3760766,130.18 202.03 143
54,2214,14 15 11,51,3758896,130.18 206.25 140
55,2225,15 10 14,51,3758717,131.02 202.03 142
56,2219,15 10 13,51,3758717,131.02 202.03 142
57,2202,12 13 15,51,3758518,128.49 204.56 143
58,2210,13 13 14,51,3756789,129.33 204.56 142
59,2204,13 13 13,51,3756789,129.33 204.56 142
60,2222,15 15 10,51,3756280,131.02 206.25 139
61,2212,14 13 12,51,3754714,130.18 204.56 141
62,2223,15 8 15,51,3753512,131.02 200.34 143
63,2219,15 13 11,51,3752293,131.02 204.56 140
64,2208,13 11 15,51,3751979,129.33 202.87 143
65,2216,14 11 14,51,3750093,130.18 202.87 142
66,2209,14 11 13,51,3750093,130.18 202.87 142
67,2192,11 14 15,51,3749220,127.64 205.41 143
68,2217,15 11 12,51,3747863,131.02 202.87 141
69,2200,12 14 14,51,3747657,128.49 205.41 142
70,2194,12 14 13,51,3747657,128.49 205.41 142
71,2202,13 14 12,51,3745747,129.33 205.41 141
