rank,cp,ivs,maxlevel,stat-product,stats
1,2282,15 15 15,51,3764036,137.78 191.04 143
2,2277,15 14 15,51,3747381,137.78 190.19 143
3,2268,14 15 15,51,3740944,136.94 191.04 143
4,2276,15 15 14,51,3737714,137.78 191.04 142
5,2269,15 15 13,51,3737714,137.78 191.04 142
6,2272,15 13 15,51,3730726,137.78 189.35 143
7,2263,14 14 15,51,3724391,136.94 190.19 143
8,2271,15 14 14,51,3721175,137.78 190.19 142
9,2264,15 14 13,51,3721175,137.78 190.19 142
10,2254,13 15 15,51,3717851,136.09 191.04 143
11,2262,14 15 14,51,3714783,136.94 191.04 142
12,2255,14 15 13,51,3714783,136.94 191.04 142
13,2267,15 12 15,51,3714071,137.78 188.5 143
14,2262,15 15 12,51,3711392,137.78 191.04 141
15,2258,14 13 15,51,3707838,136.94 189.35 143
16,2266,15 13 14,51,3704637,137.78 189.35 142
17,2259,15 13 13,51,3704637,137.78 189.35 142
18,2249,13 14 15,51,3701401,136.09 190.19 143
19,2257,14 14 14,51,3698346,136.94 190.19 142
20,2250,14 14 13,51,3698346,136.94 190.19 142
21,2262,15 11 15,51,3697416,137.78 187.66 143
22,2257,15 14 12,51,3694970,137.78 190.19 141
23,2240,12 15 15,51,3694759,135.25 191.04 143
24,2248,13 15 14,51,3691852,136.09 191.04 142
25,2241,13 15 13,51,3691852,136.09 191.04 142
26,2253,14 12 15,51,3691285,136.94 188.5 143
27,2248,14 15 12,51,3688623,136.94 191.04 141
28,2261,15 12 14,51,3688098,137.78 188.5 142
29,2254,15 12 13,51,3688098,137.78 188.5 142
30,2255,15 15 11,51,3685070,137.78 191.04 140
31,2244,13 13 15,51,3684950,136.09 189.35 143
32,2252,14 13 14,51,3681909,136.94 189.35 142
33,2245,14 13 13,51,3681909,136.94 189.35 142
34,2257,15 10 15,51,3680761,137.78 186.81 143
35,2252,15 13 12,51,3678548,137.78 189.35 141
36,2235,12 14 15,51,3678411,135.25 190.19 143
37,2243,13 14 14,51,3675517,136.09 190.19 142
38,2236,13 14 13,51,3675517,136.09 190.19 142
39,2248,14 11 15,51,3674732,136.94 187.66 143
40,2243,14 14 12,51,3672301,136.94 190.19 141
41,2226,11 15 15,51,3671667,134.4 191.04 143
42,2255,15 11 14,51,3671560,137.78 187.66 142
43,2249,15 11 13,51,3671560,137.78 187.66 142
44,2234,12 15 14,51,3668922,135.25 191.04 142
45,2227,12 15 13,51,3668922,135.25 191.04 142
46,2250,15 14 11,51,3668765,137.78 190.19 140
47,2239,13 12 15,51,3668499,136.09 188.5 143
48,2234,13 15 12,51,3665854,136.09 191.04 141
49,2247,14 12 14,51,3665472,136.94 188.5 142
50,2240,14 12 13,51,3665472,136.94 188.5 142
51,2252,15 9 15,51,3664106,137.78 185.97 143
52,2242,14 15 11,51,3662462,136.94 191.04 140
53,2247,15 12 12,51,3662126,137.78 188.5 141
54,2230,12 13 15,51,3662062,135.25 189.35 143
55,2238,13 13 14,51,3659181,136.09 189.35 142
56,2231,13 13 13,51,3659181,136.09 189.35 142
57,2249,15 15 10,51,3658748,137.78 191.04 139
58,2243,14 10 15,51,3658179,136.94 186.81 143
59,2238,14 13 12,51,3655980,136.94 189.35 141
60,2221,11 14 15,51,3655421,134.4 190.19 143
61,2250,15 10 14,51,3655021,137.78 186.81 142
62,2244,15 10 13,51,3655021,137.78 186.81 142
63,2229,12 14 14,51,3652688,135.25 190.19 142
64,2222,12 14 13,51,3652688,135.25 190.19 142
65,2245,15 13 11,51,3652459,137.78 189.35 140
66,2234,13 11 15,51,3652049,136.09 187.66 143
67,2229,13 14 12,51,3649633,136.09 190.19 141
