rank,cp,ivs,maxlevel,stat-product,stats
1,769,15 15 15,51,823934,71.85 100.59 114
2,766,15 14 15,51,817010,71.85 99.75 114
3,766,15 15 14,51,816706,71.85 100.59 113
4,760,14 15 15,51,814240,71.01 100.59 114
5,763,15 13 15,51,810086,71.85 98.9 114
6,763,15 14 14,51,809843,71.85 99.75 113
7,764,15 15 13,51,809479,71.85 100.59 112
8,757,14 14 15,51,807398,71.01 99.75 114
9,757,14 15 14,51,807098,71.01 100.59 113
10,751,13 15 15,51,804547,70.16 100.59 114
11,760,15 12 15,51,803162,71.85 98.05 114
12,760,15 13 14,51,802980,71.85 98.9 113
13,760,15 14 13,51,802676,71.85 99.75 112
14,761,15 15 12,51,802251,71.85 100.59 111
15,754,14 13 15,51,800556,71.01 98.9 114
16,754,14 14 14,51,800315,71.01 99.75 113
17,755,14 15 13,51,799955,71.01 100.59 112
18,748,13 14 15,51,797786,70.16 99.75 114
19,748,13 15 14,51,797489,70.16 100.59 113
20,756,15 11 15,51,796238,71.85 97.21 114
21,757,15 12 14,51,796117,71.85 98.05 113
22,757,15 13 13,51,795874,71.85 98.9 112
23,757,15 14 12,51,795510,71.85 99.75 111
24,758,15 15 11,51,795024,71.85 100.59 110
25,742,12 15 15,51,794854,69.31 100.59 114
26,751,14 12 15,51,793713,71.01 98.05 114
27,751,14 13 14,51,793533,71.01 98.9 113
28,751,14 14 13,51,793233,71.01 99.75 112
29,752,14 15 12,51,792813,71.01 100.59 111
30,745,13 13 15,51,791025,70.16 98.9 114
31,745,13 14 14,51,790788,70.16 99.75 113
32,746,13 15 13,51,790432,70.16 100.59 112
33,753,15 10 15,51,789315,71.85 96.36 114
34,753,15 11 14,51,789254,71.85 97.21 113
35,754,15 12 13,51,789072,71.85 98.05 112
36,754,15 13 12,51,788768,71.85 98.9 111
37,755,15 14 11,51,788343,71.85 99.75 110
38,739,12 14 15,51,788174,69.31 99.75 114
39,739,12 15 14,51,787881,69.31 100.59 113
40,755,15 15 10,51,787796,71.85 100.59 109
41,752,15 15 9,51,787796,71.85 100.59 109
42,747,14 11 15,51,786871,71.01 97.21 114
43,748,14 12 14,51,786751,71.01 98.05 113
44,748,14 13 13,51,786511,71.01 98.9 112
45,749,14 14 12,51,786151,71.01 99.75 111
46,749,14 15 11,51,785670,71.01 100.59 110
47,733,11 15 15,51,785160,68.47 100.59 114
48,742,13 12 15,51,784264,70.16 98.05 114
49,742,13 13 14,51,784086,70.16 98.9 113
50,742,13 14 13,51,783790,70.16 99.75 112
51,743,13 15 12,51,783375,70.16 100.59 111
52,750,15 9 15,51,782391,71.85 95.52 114
53,750,15 10 14,51,782391,71.85 96.36 113
54,751,15 11 13,51,782269,71.85 97.21 112
55,751,15 12 12,51,782026,71.85 98.05 111
56,751,15 13 11,51,781662,71.85 98.9 110
57,736,12 13 15,51,781495,69.31 98.9 114
58,736,12 14 14,51,781260,69.31 99.75 113
59,752,15 14 10,51,781176,71.85 99.75 109
60,749,15 14 9,51,781176,71.85 99.75 109
61,737,12 15 13,51,780909,69.31 100.59 112
62,749,15 15 8,51,780569,71.85 100.59 108
63,744,14 10 15,51,780028,71.01 96.36 114
64,745,14 11 14,51,779968,71.01 97.21 113
65,745,14 12 13,51,779788,71.01 98.05 112
66,745,14 13 12,51,779488,71.01 98.9 111
67,746,14 14 11,51,779068,71.01 99.75 110
68,730,11 14 15,51,778562,68.47 99.75 114
69,746,14 15 10,51,778528,71.01 100.59 109
70,743,14 15 9,51,778528,71.01 100.59 109
71,730,11 15 14,51,778273,68.47 100.59 113
72,738,13 11 15,51,777503,70.16 97.21 114
73,739,13 12 14,51,777385,70.16 98.05 113
74,739,13 13 13,51,777147,70.16 98.9 112
75,740,13 14 12,51,776792,70.16 99.75 111
76,740,13 15 11,51,776317,70.16 100.59 110
77,747,15 9 14,51,775528,71.85 95.52 113
78,746,15 8 15,51,775467,71.85 94.67 114
79,724,10 15 15,51,775467,67.62 100.59 114
80,747,15 10 13,51,775467,71.85 96.36 112
81,748,15 11 12,51,775285,71.85 97.21 111
82,748,15 12 11,51,774981,71.85 98.05 110
83,733,12 12 15,51,774815,69.31 98.05 114
84,733,12 13 14,51,774639,69.31 98.9 113
85,749,15 13 10,51,774556,71.85 98.9 109
86,746,15 13 9,51,774556,71.85 98.9 109
