rank,cp,ivs,maxlevel,stat-product,stats
1,2500,0 15 14,44,3637754,171.78 118.3 179
2,2500,0 15 11,44.5,3621540,172.37 118.7 177
3,2492,0 15 15,43.5,3617706,171.31 117.98 179
4,2494,0 15 13,44,3617432,171.78 118.3 178
5,2497,0 14 12,44.5,3617056,172.37 117.89 178
6,2498,1 15 14,43.5,3614465,172.12 117.98 178
7,2500,1 15 12,44,3614077,172.59 118.3 177
8,2497,0 14 15,44,3612838,171.78 117.49 179
9,2491,0 14 14,44,3612838,171.78 117.49 179
10,2500,0 13 14,44.5,3612291,172.37 117.08 179
11,2495,1 14 15,43.5,3609875,172.12 117.17 179
12,2497,1 14 13,44,3609601,172.59 117.49 178
13,2500,1 13 12,44.5,3609054,173.18 117.08 178
14,2496,0 12 15,44.5,3607246,172.37 116.27 180
15,2499,0 12 13,45,3607113,172.84 116.59 179
16,2498,2 15 15,43,3606633,172.33 117.57 178
17,2500,1 13 15,44,3604846,172.59 116.68 179
18,2494,1 13 14,44,3604846,172.59 116.68 179
19,2496,3 15 15,42.5,3603548,172.66 117.25 178
20,2498,3 15 13,43,3603130,173.14 117.57 177
21,2496,0 11 14,45,3601899,172.84 115.77 180
22,2498,2 13 15,43.5,3601810,172.93 116.36 179
23,2500,2 13 13,44,3601537,173.4 116.68 178
24,2494,0 15 10,44.5,3601080,172.37 118.7 176
25,2496,0 15 8,45,3600490,172.84 119.03 175
26,2498,0 14 7,45.5,3599819,173.42 118.61 175
27,2499,1 11 15,44.5,3598917,173.18 115.45 180
28,2500,1 15 9,44.5,3597509,173.18 118.7 175
29,2489,0 15 12,44,3597109,171.78 118.3 177
30,2491,0 14 11,44.5,3596735,172.37 117.89 177
31,2497,2 12 14,44,3596619,173.4 115.87 179
32,2499,0 14 10,45,3596262,172.84 118.22 176
33,2493,0 14 9,45,3596262,172.84 118.22 176
34,2499,4 14 15,42.5,3595512,173.47 116.45 178
35,2492,1 15 13,43.5,3594159,172.12 117.98 177
36,2495,1 15 11,44,3593658,172.59 118.3 176
37,2499,1 10 14,45,3593404,173.66 114.96 180
38,2497,1 14 10,44.5,3593284,173.18 117.89 176
39,2499,1 14 8,45,3592696,173.66 118.22 175
40,2486,0 14 13,44,3592655,171.78 117.49 178
41,2494,0 13 13,44.5,3592110,172.37 117.08 178
42,2488,0 13 12,44.5,3592110,172.37 117.08 178
43,2496,0 13 11,45,3591753,172.84 117.4 177
44,2499,0 12 10,45.5,3590739,173.42 116.98 177
45,2498,2 15 12,43.5,3590631,172.93 117.98 176
46,2492,2 15 11,43.5,3590631,172.93 117.98 176
47,2500,2 15 10,44,3590015,173.4 118.3 175
48,2495,2 15 9,44,3590015,173.4 118.3 175
49,2486,1 15 15,43,3589780,171.53 117.57 178
50,2489,1 14 14,43.5,3589708,172.12 117.17 178
51,2492,1 14 12,44,3589323,172.59 117.49 177
52,2500,0 8 14,46,3589009,173.9 114.02 181
53,2494,1 13 11,44.5,3588779,173.18 117.08 177
54,2499,6 15 15,41.5,3588358,173.99 116.52 177
55,2497,1 13 9,45,3588307,173.66 117.4 176
56,2500,3 11 14,44,3588157,174.21 115.06 179
57,2488,0 13 15,44,3587922,171.78 116.68 179
58,2491,0 12 14,44.5,3587205,172.37 116.27 179
59,2493,0 12 12,45,3586962,172.84 116.59 178
60,2498,3 15 10,43.5,3586913,173.73 117.98 175
61,2492,2 15 14,43,3586371,172.33 117.57 177
62,2487,2 15 13,43,3586371,172.33 117.57 177
63,2495,2 14 13,43.5,3586300,172.93 117.17 177
64,2498,2 14 11,44,3585800,173.4 117.49 176
65,2496,0 11 11,45.5,3585774,173.42 116.16 178
66,2498,0 11 9,46,3585443,173.9 116.48 177
67,2500,2 13 10,44.5,3585257,173.99 117.08 176
68,2489,1 13 13,44,3584707,172.59 116.68 178
69,2497,1 12 13,44.5,3583991,173.18 116.27 178
70,2491,1 12 12,44.5,3583991,173.18 116.27 178
71,2499,1 12 11,45,3583635,173.66 116.59 177
72,2490,3 15 14,42.5,3583303,172.66 117.25 177
73,2495,0 15 5,45.5,3583220,173.42 119.43 173
74,2496,0 7 15,46,3582875,173.9 113.2 182
75,2493,3 15 12,43,3582773,173.14 117.57 176
76,2495,3 14 11,43.5,3582702,173.73 117.17 176
77,2497,0 15 3,46,3582305,173.9 119.76 172
78,2498,3 14 9,44,3582087,174.21 117.49 175
79,2488,0 11 15,44.5,3582020,172.37 115.45 180
80,2489,2 14 15,43,3581930,172.33 116.77 178
81,2490,0 11 13,45,3581888,172.84 115.77 179
82,2492,2 13 14,43.5,3581688,172.93 116.36 178
83,2499,0 14 2,46.5,3581347,174.48 119.34 172
84,2495,2 13 12,44,3581304,173.4 116.68 177
85,2488,0 15 9,44.5,3580619,172.37 118.7 175
86,2497,2 12 11,44.5,3580588,173.99 116.27 177
87,2498,0 10 13,45.5,3580525,173.42 115.34 179
88,2492,0 10 12,45.5,3580525,173.42 115.34 179
89,2495,0 10 10,46,3580308,173.9 115.66 178
90,2500,2 12 9,45,3580118,174.47 116.59 176
91,2490,0 15 7,45,3579916,172.84 119.03 174
92,2491,1 12 15,44,3579813,172.59 115.87 179
93,2486,1 12 14,44,3579813,172.59 115.87 179
94,2496,4 15 13,42.5,3579631,173.47 117.25 176
95,2493,0 14 6,45.5,3579248,173.42 118.61 174
96,2499,4 15 11,43,3578986,173.94 117.57 175
97,2494,1 11 14,44.5,3578923,173.18 115.45 179
98,2487,3 14 15,42.5,3578866,172.66 116.45 178
99,2496,1 11 12,45,3578679,173.66 115.77 178
100,2495,0 14 4,46,3578453,173.9 118.94 173
101,2495,3 14 14,43,3578451,173.14 116.77 177
102,2490,3 14 13,43,3578451,173.14 116.77 177
103,2498,3 13 13,43.5,3578209,173.73 116.36 177
104,2498,1 10 11,45.5,3577317,174.24 115.34 178
105,2494,1 15 8,44.5,3576951,173.18 118.7 174
106,2489,2 12 15,43.5,3576798,172.93 115.55 179
107,2493,0 10 15,45,3576534,172.84 114.96 180
108,2487,0 10 14,45,3576534,172.84 114.96 180
109,2492,2 12 13,44,3576526,173.4 115.87 178
110,2496,1 15 6,45,3576131,173.66 119.03 173
111,2488,0 14 8,45,3575829,172.84 118.22 175
112,2496,5 15 11,42.5,3575770,174.27 117.25 175
113,2500,2 11 13,44.5,3575637,173.99 115.45 178
114,2494,2 11 12,44.5,3575637,173.99 115.45 178
115,2499,1 14 5,45.5,3575464,174.24 118.61 173
116,2493,4 14 14,42.5,3575312,173.47 116.45 177
117,2490,4 15 15,42,3575077,172.86 116.84 177
118,2495,0 9 14,45.5,3574992,173.42 114.52 180
119,2496,0 13 8,45.5,3574992,173.42 117.8 175
120,2490,0 13 7,45.5,3574992,173.42 117.8 175
121,2497,0 9 12,46,3574887,173.9 114.84 179
122,2496,4 14 12,43,3574784,173.94 116.77 176
123,2498,4 13 11,43.5,3574542,174.54 116.36 176
124,2498,0 13 6,46,3574316,173.9 118.12 174
125,2492,3 13 15,43,3573850,173.14 115.96 178
126,2499,1 6 15,46,3573690,174.72 112.38 182
127,2491,1 10 15,44.5,3573572,173.18 114.64 180
128,2493,1 10 13,45,3573441,173.66 114.96 179
129,2495,3 12 14,43.5,3573436,173.73 115.55 178
130,2489,1 15 10,44,3573239,172.59 118.3 175
131,2500,2 15 7,44.5,3573091,173.99 118.7 173
132,2494,2 15 6,44.5,3573091,173.99 118.7 173
133,2498,3 12 12,44,3573052,174.21 115.87 177
134,2500,0 12 5,46.5,3573018,174.48 117.69 174
135,2499,0 8 11,46.5,3572874,174.48 114.4 179
136,2491,1 14 9,44.5,3572868,173.18 117.89 175
137,2494,1 14 7,45,3572166,173.66 118.22 174
138,2500,3 11 11,44.5,3572164,174.81 115.45 177
139,2496,2 15 4,45,3572152,174.47 119.03 172
140,2495,1 9 12,45.5,3571901,174.24 114.52 179
141,2488,5 15 15,41.5,3571898,173.19 116.52 177
142,2498,1 9 10,46,3571684,174.72 114.84 178
143,2499,5 14 13,42.5,3571572,174.27 116.45 176
144,2494,2 11 15,44,3571468,173.4 115.06 179
145,2489,2 11 14,44,3571468,173.4 115.06 179
146,2491,0 13 10,45,3571460,172.84 117.4 176
147,2485,0 13 9,45,3571460,172.84 117.4 176
148,2496,5 15 14,42,3571337,173.67 116.84 176
149,2490,5 15 13,42,3571337,173.67 116.84 176
150,2496,1 13 6,45.5,3571331,174.24 117.8 174
151,2490,4 13 15,42.5,3570715,173.47 115.64 178
152,2498,1 13 4,46,3570537,174.72 118.12 173
153,2493,0 12 9,45.5,3570453,173.42 116.98 176
154,2497,2 10 14,44.5,3570403,173.99 114.64 179
155,2498,4 13 14,43,3570301,173.94 115.96 177
156,2493,4 13 13,43,3570301,173.94 115.96 177
157,2499,2 10 12,45,3570160,174.47 114.96 178
158,2495,0 12 7,46,3569894,173.9 117.3 175
159,2489,2 15 8,44,3569501,173.4 118.3 174
160,2494,0 8 13,46,3569181,173.9 114.02 180
161,2492,0 8 15,45.5,3569176,173.42 113.71 181
162,2497,2 14 8,44.5,3569130,173.99 117.89 174
163,2486,1 14 11,44,3569044,172.59 117.49 176
164,2500,3 15 5,44.5,3569037,174.81 118.7 172
165,2488,1 13 10,44.5,3568503,173.18 117.08 176
166,2497,0 11 6,46.5,3568423,174.48 116.87 175
167,2492,3 11 15,43.5,3568382,173.73 114.75 179
168,2499,2 14 6,45,3568311,174.47 118.22 173
169,2495,3 11 13,44,3568112,174.21 115.06 178
170,2494,6 15 14,41.5,3568085,173.99 116.52 176
171,2496,1 9 15,45,3567919,173.66 114.14 180
172,2490,1 9 14,45,3567919,173.66 114.14 180
173,2491,1 13 8,45,3567919,173.66 117.4 175
174,2499,0 11 4,47,3567772,174.96 117.19 174
175,2499,6 14 11,42.5,3567644,175.07 116.45 175
176,2496,6 15 12,42,3567410,174.47 116.84 175
177,2499,0 4 15,47,3567339,174.96 111.42 183
178,2496,5 13 14,42.5,3567093,174.27 115.64 177
179,2497,3 10 12,44.5,3567048,174.81 114.64 178
180,2493,5 14 15,42,3567028,173.67 116.04 177
181,2496,0 7 12,46.5,3566987,174.48 113.58 180
182,2499,1 12 8,45.5,3566912,174.24 116.98 175
183,2493,1 12 7,45.5,3566912,174.24 116.98 175
184,2498,0 7 10,47,3566906,174.96 113.89 179
185,2488,0 12 11,45,3566810,172.84 116.59 177
186,2499,5 13 12,43,3566566,174.75 115.96 176
187,2493,3 15 9,43.5,3566417,173.73 117.98 174
