rank,cp,ivs,maxlevel,stat-product,stats
1,2500,3 15 15,50.5,3779243,165.22 178.71 128
2,2495,2 14 15,51,3763126,164.83 178.36 128
3,2500,4 13 15,50.5,3762689,166.06 177.02 128
4,2488,1 15 15,51,3761571,163.99 179.2 128
5,2494,3 14 15,50.5,3761416,165.22 177.86 128
6,2487,2 15 15,50.5,3759961,164.38 178.71 128
7,2499,3 14 14,51,3752874,165.68 178.36 127
8,2492,2 15 14,51,3751422,164.83 179.2 127
9,2498,4 14 14,50.5,3751071,166.06 177.86 127
10,2491,3 15 14,50.5,3749717,165.22 178.71 127
11,2496,3 12 15,51,3746571,165.68 176.67 128
12,2489,2 13 15,51,3745291,164.83 177.51 128
13,2497,4 15 15,50,3745195,165.54 178.14 127
14,2494,4 12 15,50.5,3744772,166.06 176.18 128
15,2482,1 14 15,51,3743828,163.99 178.36 128
16,2488,3 13 15,50.5,3743589,165.22 177.02 128
17,2495,5 15 15,49.5,3743317,165.92 177.65 127
18,2475,0 15 15,51,3742181,163.14 179.2 128
19,2497,3 15 13,51,3740969,165.68 179.2 126
20,2496,4 15 13,50.5,3739172,166.06 178.71 126
21,2500,4 12 14,51,3736267,166.52 176.67 127
22,2499,6 14 13,50,3735724,167.22 177.3 126
23,2493,3 13 14,51,3735087,165.68 177.51 127
24,2493,5 15 13,50,3734567,166.38 178.14 126
25,2499,5 12 14,50.5,3734376,166.9 176.18 127
26,2487,2 14 14,51,3733726,164.83 178.36 127
27,2492,4 13 14,50.5,3733293,166.06 177.02 127
28,2500,6 15 14,49.5,3732599,166.76 177.65 126
29,2480,1 15 14,51,3732184,163.99 179.2 127
30,2500,5 14 11,51,3731465,167.37 178.36 125
31,2493,4 15 11,51,3730214,166.52 179.2 125
32,2496,4 10 15,51,3729651,166.52 174.98 128
33,2497,5 13 15,50,3728695,166.38 176.46 127
34,2490,3 11 15,51,3728645,165.68 175.82 128
35,2500,5 15 12,50.5,3728326,166.9 178.71 125
36,2495,5 10 15,50.5,3727764,166.9 174.49 128
37,2496,7 15 14,49,3727531,167.06 177.08 126
38,2491,4 14 15,50,3727529,165.54 177.3 127
39,2483,2 12 15,51,3727456,164.83 176.67 128
40,2488,4 11 15,50.5,3726854,166.06 175.33 128
41,2496,6 13 15,49.5,3726730,166.76 175.97 127
42,2476,1 13 15,51,3726084,163.99 177.51 128
43,2489,5 14 15,49.5,3725660,165.92 176.81 127
44,2498,4 13 13,51,3724584,166.52 177.51 126
45,2469,0 14 15,51,3724529,163.14 178.36 128
46,2497,6 15 12,50,3723639,167.22 178.14 125
47,2491,3 14 13,51,3723323,165.68 178.36 126
48,2497,5 13 13,50.5,3722699,166.9 177.02 126
49,2484,2 15 13,51,3721883,164.83 179.2 126
50,2490,4 14 13,50.5,3721535,166.06 177.86 126
51,2499,9 15 15,48,3719870,167.72 176.02 126
52,2497,5 15 10,51,3719156,167.37 179.2 124
53,2500,7 12 13,50,3718909,168.06 175.62 126
54,2494,4 11 14,51,3718390,166.52 175.82 127
55,2493,6 13 13,50,3718019,167.22 176.46 126
56,2499,6 10 14,50.5,3717321,167.75 174.49 127
57,2487,3 12 14,51,3717301,165.68 176.67 127
58,2495,5 14 14,50,3716951,166.38 177.3 126
59,2487,5 14 13,50,3716951,166.38 177.3 126
60,2493,5 11 14,50.5,3716508,166.9 175.33 127
61,2500,8 15 13,49,3716438,167.9 177.08 125
62,2481,2 13 14,51,3716031,164.83 177.51 127
63,2500,7 13 14,49.5,3715965,167.59 175.97 126
64,2488,4 15 14,50,3715706,165.54 178.14 126
65,2494,6 14 14,49.5,3714992,166.76 176.81 126
66,2500,6 12 11,51,3714763,168.21 176.67 125
67,2474,1 14 14,51,3714579,163.99 178.36 127
68,2487,5 15 14,49.5,3713842,165.92 177.65 126
69,2494,5 13 11,51,3713780,167.37 177.51 125
70,2467,0 15 14,51,3712945,163.14 179.2 127
71,2495,4 14 12,51,3712619,166.52 178.36 125
72,2487,4 14 11,51,3712619,166.52 178.36 125
73,2497,5 8 15,51,3712365,167.37 173.29 128
74,2498,6 11 15,50,3711836,167.22 174.78 127
75,2490,4 9 15,51,3711634,166.52 174.13 128
76,2489,3 15 12,51,3711279,165.68 179.2 125
77,2480,3 15 11,51,3711279,165.68 179.2 125
78,2491,5 12 15,50,3710939,166.38 175.62 127
79,2497,8 13 14,49,3710828,167.9 175.41 126
80,2494,5 14 12,50.5,3710740,166.9 177.86 125
81,2484,3 10 15,51,3710719,165.68 174.98 128
82,2496,6 8 15,50.5,3710392,167.75 172.8 128
83,2500,8 15 11,49.5,3710269,168.43 177.65 124
84,2499,7 14 15,49,3709949,167.06 176.25 126
85,2490,7 14 14,49,3709949,167.06 176.25 126
86,2497,7 11 15,49.5,3709786,167.59 174.3 127
87,2489,5 9 15,50.5,3709755,166.9 173.65 128
88,2477,2 11 15,51,3709621,164.83 175.82 128
89,2487,4 15 12,50.5,3709497,166.06 178.71 125
90,2490,6 12 15,49.5,3708984,166.76 175.13 127
91,2492,6 15 15,49,3708894,166.22 177.08 126
92,2470,1 12 15,51,3708341,163.99 176.67 128
93,2498,5 11 13,51,3707838,167.37 175.82 126
94,2497,8 14 15,48.5,3707826,167.43 175.76 126
95,2498,7 13 12,50,3707046,168.06 176.46 125
96,2463,0 13 15,51,3706878,163.14 177.51 128
97,2491,7 15 15,48.5,3706864,166.6 176.59 126
98,2492,4 12 13,51,3706848,166.52 176.67 126
99,2491,6 14 12,50,3706075,167.22 177.3 125
100,2497,6 11 13,50.5,3705867,167.75 175.33 126
101,2500,7 15 9,50.5,3705731,168.59 178.71 123
102,2485,3 13 13,51,3705677,165.68 177.51 126
103,2491,5 12 13,50.5,3704972,166.9 176.18 126
104,2478,2 14 13,51,3704327,164.83 178.36 126
105,2498,7 14 13,49.5,3704028,167.59 176.81 125
