rank,cp,ivs,maxlevel,stat-product,stats
1,2499,1 15 13,32.5,3177761,196.4 117.24 138
2,2499,0 12 15,33,3175380,196.44 115.46 140
3,2493,1 15 15,32,3175193,195.62 116.77 139
4,2500,0 13 14,33,3173171,196.44 116.21 139
5,2495,0 14 15,32.5,3168308,195.66 116.5 139
6,2496,0 15 11,33,3167869,196.44 117.71 137
7,2494,2 14 15,32,3166965,196.36 116.03 139
8,2500,1 11 15,33,3166802,197.19 114.71 140
9,2496,0 15 14,32.5,3165678,195.66 117.24 138
10,2490,0 15 13,32.5,3165678,195.66 117.24 138
11,2495,2 15 14,32,3164336,196.36 116.77 138
12,2483,0 15 15,32,3163120,194.87 116.77 139
13,2497,1 13 15,32.5,3160014,196.4 115.75 139
14,2497,1 14 11,33,3159705,197.19 116.96 137
15,2496,0 10 14,33.5,3159004,197.22 114.41 140
16,2495,3 13 15,32,3158583,197.1 115.29 139
17,2498,1 14 14,32.5,3157520,196.4 116.5 138
18,2491,1 14 13,32.5,3157520,196.4 116.5 138
19,2497,0 11 13,33.5,3157075,197.22 115.17 139
20,2499,1 15 10,33,3156748,197.19 117.71 136
21,2497,3 14 14,32,3156091,197.1 116.03 138
22,2485,1 14 15,32,3154969,195.62 116.03 139
23,2498,0 12 12,33.5,3154848,197.22 115.92 138
24,2491,0 11 15,33,3154761,196.44 114.71 140
25,2492,1 15 12,32.5,3154733,196.4 117.24 137
26,2499,0 13 8,34,3153944,197.99 117.13 136
27,2498,3 15 13,32,3153305,197.1 116.77 137
28,2492,0 12 14,33,3152699,196.44 115.46 139
29,2486,1 15 14,32,3152350,195.62 116.77 138
30,2500,0 13 11,33.5,3152324,197.22 116.67 137
31,2498,2 12 15,32.5,3151564,197.15 115 139
32,2497,5 15 13,31.5,3151494,197.79 116.3 137
33,2499,2 13 11,33,3151388,197.94 116.21 137
34,2500,0 14 7,34,3150952,197.99 117.89 135
35,2491,3 15 15,31.5,3150718,196.31 116.3 138
