rank,cp,ivs,maxlevel,stat-product,stats
1,2341,15 15 15,51,3668602,148.77 172.44 143
2,2336,15 14 15,51,3650618,148.77 171.6 143
3,2328,14 15 15,51,3647757,147.93 172.44 143
4,2335,15 15 14,51,3642947,148.77 172.44 142
5,2328,15 15 13,51,3642947,148.77 172.44 142
6,2330,15 13 15,51,3632635,148.77 170.75 143
7,2322,14 14 15,51,3629876,147.93 171.6 143
8,2315,13 15 15,51,3626913,147.08 172.44 143
9,2329,15 14 14,51,3625089,148.77 171.6 142
10,2322,15 14 13,51,3625089,148.77 171.6 142
11,2321,14 15 14,51,3622248,147.93 172.44 142
12,2314,14 15 13,51,3622248,147.93 172.44 142
13,2321,15 15 12,51,3617292,148.77 172.44 141
14,2324,15 12 15,51,3614652,148.77 169.91 143
15,2317,14 13 15,51,3611995,147.93 170.75 143
16,2309,13 14 15,51,3609134,147.08 171.6 143
17,2323,15 13 14,51,3607232,148.77 170.75 142
18,2316,15 13 13,51,3607232,148.77 170.75 142
19,2302,12 15 15,51,3606069,146.24 172.44 143
20,2316,14 14 14,51,3604492,147.93 171.6 142
21,2309,14 14 13,51,3604492,147.93 171.6 142
22,2308,13 15 14,51,3601550,147.08 172.44 142
23,2301,13 15 13,51,3601550,147.08 172.44 142
24,2315,15 14 12,51,3599561,148.77 171.6 141
25,2307,14 15 12,51,3596740,147.93 172.44 141
26,2318,15 11 15,51,3596668,148.77 169.06 143
27,2311,14 12 15,51,3594114,147.93 169.91 143
28,2314,15 15 11,51,3591638,148.77 172.44 140
29,2303,13 13 15,51,3591355,147.08 170.75 143
30,2317,15 12 14,51,3589374,148.77 169.91 142
31,2310,15 12 13,51,3589374,148.77 169.91 142
32,2296,12 14 15,51,3588392,146.24 171.6 143
33,2310,14 13 14,51,3586736,147.93 170.75 142
34,2303,14 13 13,51,3586736,147.93 170.75 142
35,2288,11 15 15,51,3585224,145.39 172.44 143
36,2302,13 14 14,51,3583895,147.08 171.6 142
37,2296,13 14 13,51,3583895,147.08 171.6 142
38,2309,15 13 12,51,3581829,148.77 170.75 141
39,2295,12 15 14,51,3580851,146.24 172.44 142
40,2288,12 15 13,51,3580851,146.24 172.44 142
41,2302,14 14 12,51,3579109,147.93 171.6 141
42,2313,15 10 15,51,3578685,148.77 168.21 143
43,2305,14 11 15,51,3576233,147.93 169.06 143
44,2294,13 15 12,51,3576187,147.08 172.44 141
45,2308,15 14 11,51,3574032,148.77 171.6 140
46,2298,13 12 15,51,3573576,147.08 169.91 143
47,2312,15 11 14,51,3571517,148.77 169.06 142
48,2305,15 11 13,51,3571517,148.77 169.06 142
49,2301,14 15 11,51,3571231,147.93 172.44 140
50,2290,12 13 15,51,3570715,146.24 170.75 143
51,2304,14 12 14,51,3568980,147.93 169.91 142
52,2297,14 12 13,51,3568980,147.93 169.91 142
53,2283,11 14 15,51,3567650,145.39 171.6 143
54,2297,13 13 14,51,3566241,147.08 170.75 142
55,2290,13 13 13,51,3566241,147.08 170.75 142
56,2307,15 15 10,51,3565983,148.77 172.44 139
57,2275,10 15 15,51,3564380,144.55 172.44 143
58,2304,15 12 12,51,3564097,148.77 169.91 141
59,2289,12 14 14,51,3563298,146.24 171.6 142
60,2282,12 14 13,51,3563298,146.24 171.6 142
61,2296,14 13 12,51,3561478,147.93 170.75 141
62,2307,15 9 15,51,3560702,148.77 167.37 143
63,2281,11 15 14,51,3560153,145.39 172.44 142
64,2275,11 15 13,51,3560153,145.39 172.44 142
65,2289,13 14 12,51,3558657,147.08 171.6 141
66,2299,14 10 15,51,3558351,147.93 168.21 143
67,2302,15 13 11,51,3556426,148.77 170.75 140
68,2292,13 11 15,51,3555797,147.08 169.06 143
69,2281,12 15 12,51,3555634,146.24 172.44 141
70,2295,14 14 11,51,3553725,147.93 171.6 140
71,2306,15 10 14,51,3553659,148.77 168.21 142
72,2299,15 10 13,51,3553659,148.77 168.21 142
73,2285,12 12 15,51,3553038,146.24 169.91 143
74,2298,14 11 14,51,3551224,147.93 169.06 142
75,2292,14 11 13,51,3551224,147.93 169.06 142
76,2287,13 15 11,51,3550824,147.08 172.44 140
77,2277,11 13 15,51,3550075,145.39 170.75 143
78,2291,13 12 14,51,3548586,147.08 169.91 142
79,2284,13 12 13,51,3548586,147.08 169.91 142
80,2301,15 14 10,51,3548503,148.77 171.6 139
81,2269,10 14 15,51,3546907,144.55 171.6 143
82,2298,15 11 12,51,3546365,148.77 169.06 141
83,2283,12 13 14,51,3545745,146.24 170.75 142
