rank,cp,ivs,maxlevel,stat-product,stats
1,1190,15 15 15,51,1284099,109.89 91.29 128
2,1180,14 15 15,51,1274222,109.04 91.29 128
3,1186,15 15 14,51,1274067,109.89 91.29 127
4,1184,15 14 15,51,1272210,109.89 90.45 128
5,1171,13 15 15,51,1264344,108.2 91.29 128
6,1177,14 15 14,51,1264267,109.04 91.29 127
7,1182,15 15 13,51,1264035,109.89 91.29 126
8,1175,14 14 15,51,1262423,109.04 90.45 128
9,1180,15 14 14,51,1262270,109.89 90.45 127
10,1179,15 13 15,51,1260320,109.89 89.6 128
11,1162,12 15 15,51,1254466,107.35 91.29 128
12,1167,13 15 14,51,1254466,108.2 91.29 127
13,1173,14 15 13,51,1254312,109.04 91.29 126
14,1178,15 15 12,51,1254003,109.89 91.29 125
15,1174,15 15 11,51,1254003,109.89 91.29 125
16,1166,13 14 15,51,1252637,108.2 90.45 128
17,1171,14 14 14,51,1252561,109.04 90.45 127
18,1176,15 14 13,51,1252331,109.89 90.45 126
19,1170,14 13 15,51,1250625,109.04 89.6 128
20,1175,15 13 14,51,1250474,109.89 89.6 127
21,1173,15 12 15,51,1248430,109.89 88.76 128
22,1158,12 15 14,51,1244666,107.35 91.29 127
23,1153,11 15 15,51,1244589,106.51 91.29 128
24,1164,13 15 13,51,1244589,108.2 91.29 126
25,1169,14 15 12,51,1244357,109.04 91.29 125
26,1165,14 15 11,51,1244357,109.04 91.29 125
27,1170,15 15 10,51,1243971,109.89 91.29 124
28,1157,12 14 15,51,1242851,107.35 90.45 128
29,1162,13 14 14,51,1242851,108.2 90.45 127
30,1167,14 14 13,51,1242698,109.04 90.45 126
31,1172,15 14 12,51,1242392,109.89 90.45 125
32,1168,15 14 11,51,1242392,109.89 90.45 125
33,1160,13 13 15,51,1240930,108.2 89.6 128
34,1166,14 13 14,51,1240854,109.04 89.6 127
35,1171,15 13 13,51,1240627,109.89 89.6 126
36,1164,14 12 15,51,1238827,109.04 88.76 128
37,1169,15 12 14,51,1238677,109.89 88.76 127
38,1167,15 11 15,51,1236540,109.89 87.91 128
39,1149,11 15 14,51,1234865,106.51 91.29 127
40,1155,12 15 13,51,1234865,107.35 91.29 126
41,1144,10 15 15,51,1234711,105.66 91.29 128
42,1160,13 15 12,51,1234711,108.2 91.29 125
43,1156,13 15 11,51,1234711,108.2 91.29 125
44,1161,14 15 10,51,1234402,109.04 91.29 124
45,1166,15 15 9,51,1233939,109.89 91.29 123
46,1153,12 14 14,51,1233141,107.35 90.45 127
47,1148,11 14 15,51,1233065,106.51 90.45 128
48,1158,13 14 13,51,1233065,108.2 90.45 126
49,1163,14 14 12,51,1232835,109.04 90.45 125
50,1159,14 14 11,51,1232835,109.04 90.45 125
51,1164,15 14 10,51,1232453,109.89 90.45 124
