rank,cp,ivs,maxlevel,stat-product,stats
1,2356,15 15 15,51,3830499,144.55 176.67 150
2,2351,15 14 15,51,3812171,144.55 175.82 150
3,2342,14 15 15,51,3808098,143.7 176.67 150
4,2350,15 15 14,51,3804962,144.55 176.67 149
5,2345,15 13 15,51,3793843,144.55 174.98 150
6,2337,14 14 15,51,3789878,143.7 175.82 150
7,2344,15 14 14,51,3786757,144.55 175.82 149
8,2329,13 15 15,51,3785698,142.86 176.67 150
9,2336,14 15 14,51,3782711,143.7 176.67 149
10,2343,15 15 13,51,3779426,144.55 176.67 148
11,2339,15 12 15,51,3775516,144.55 174.13 150
12,2331,14 13 15,51,3771657,143.7 174.98 150
13,2338,15 13 14,51,3768551,144.55 174.98 149
14,2323,13 14 15,51,3767584,142.86 175.82 150
15,2330,14 14 14,51,3764612,143.7 175.82 149
16,2315,12 15 15,51,3763297,142.01 176.67 150
17,2337,15 14 13,51,3761342,144.55 175.82 148
18,2322,13 15 14,51,3760460,142.86 176.67 149
19,2329,14 15 13,51,3757324,143.7 176.67 148
20,2334,15 11 15,51,3757188,144.55 173.29 150
21,2336,15 15 12,51,3753889,144.55 176.67 147
22,2330,15 15 11,51,3753889,144.55 176.67 147
23,2326,14 12 15,51,3753437,143.7 174.13 150
24,2333,15 12 14,51,3750346,144.55 174.13 149
25,2317,13 13 15,51,3749471,142.86 174.98 150
26,2325,14 13 14,51,3746513,143.7 174.98 149
27,2309,12 14 15,51,3745291,142.01 175.82 150
28,2332,15 13 13,51,3743259,144.55 174.98 148
29,2317,13 14 14,51,3742467,142.86 175.82 149
30,2301,11 15 15,51,3740897,141.17 176.67 150
31,2324,14 14 13,51,3739346,143.7 175.82 148
32,2328,15 10 15,51,3738860,144.55 172.44 150
33,2308,12 15 14,51,3738208,142.01 176.67 149
34,2331,15 14 12,51,3735928,144.55 175.82 147
35,2324,15 14 11,51,3735928,144.55 175.82 147
36,2315,13 15 13,51,3735222,142.86 176.67 148
37,2320,14 11 15,51,3735216,143.7 173.29 150
38,2327,15 11 14,51,3732140,144.55 173.29 149
39,2323,14 15 12,51,3731936,143.7 176.67 147
40,2316,14 15 11,51,3731936,143.7 176.67 147
41,2312,13 12 15,51,3731358,142.86 174.13 150
42,2319,14 12 14,51,3728414,143.7 174.13 149
43,2323,15 15 10,51,3728352,144.55 176.67 146
44,2304,12 13 15,51,3727285,142.01 174.98 150
45,2326,15 12 13,51,3725175,144.55 174.13 148
46,2311,13 13 14,51,3724474,142.86 174.98 149
47,2296,11 14 15,51,3722998,141.17 175.82 150
48,2318,14 13 13,51,3721368,143.7 174.98 148
49,2322,15 9 15,51,3720532,144.55 171.6 150
50,2303,12 14 14,51,3720322,142.01 175.82 149
51,2287,10 15 15,51,3718496,140.32 176.67 150
52,2325,15 13 12,51,3717966,144.55 174.98 147
53,2318,15 13 11,51,3717966,144.55 174.98 147
54,2310,13 14 13,51,3717350,142.86 175.82 148
55,2314,14 10 15,51,3716995,143.7 172.44 150
56,2295,11 15 14,51,3715957,141.17 176.67 149
57,2317,14 14 12,51,3714080,143.7 175.82 147
58,2310,14 14 11,51,3714080,143.7 175.82 147
59,2321,15 10 14,51,3713934,144.55 172.44 149
60,2306,13 11 15,51,3713244,142.86 173.29 150
61,2302,12 15 13,51,3713120,142.01 176.67 148
62,2317,15 14 10,51,3710513,144.55 175.82 146
63,2313,14 11 14,51,3710315,143.7 173.29 149
64,2309,13 15 12,51,3709984,142.86 176.67 147
65,2302,13 15 11,51,3709984,142.86 176.67 147
66,2298,12 12 15,51,3709278,142.01 174.13 150
67,2320,15 11 13,51,3707092,144.55 173.29 148
68,2309,14 15 10,51,3706549,143.7 176.67 146
69,2305,13 12 14,51,3706482,142.86 174.13 149
70,2290,11 13 15,51,3705098,141.17 174.98 150
71,2312,14 12 13,51,3703391,143.7 174.13 148
72,2316,15 15 9,51,3702816,144.55 176.67 145
73,2297,12 13 14,51,3702436,142.01 174.98 149
74,2316,15 8 15,51,3702205,144.55 170.75 150
75,2282,10 14 15,51,3700704,140.32 175.82 150
76,2319,15 12 12,51,3700005,144.55 174.13 147
77,2313,15 12 11,51,3700005,144.55 174.13 147
78,2304,13 13 13,51,3699478,142.86 174.98 148
79,2309,14 9 15,51,3698775,143.7 171.6 150
80,2289,11 14 14,51,3698178,141.17 175.82 149
81,2311,14 13 12,51,3696224,143.7 174.98 147
82,2305,14 13 11,51,3696224,143.7 174.98 147
83,2273,9 15 15,51,3696095,139.47 176.67 150
84,2316,15 9 14,51,3695729,144.55 171.6 149
85,2296,12 14 13,51,3695354,142.01 175.82 148
86,2301,13 10 15,51,3695131,142.86 172.44 150
87,2281,10 15 14,51,3693706,140.32 176.67 149
88,2312,15 13 10,51,3692674,144.55 174.98 146
89,2303,13 14 12,51,3692233,142.86 175.82 147
90,2297,13 14 11,51,3692233,142.86 175.82 147
91,2308,14 10 14,51,3692215,143.7 172.44 149
92,2293,12 11 15,51,3691272,142.01 173.29 150
93,2288,11 15 13,51,3691018,141.17 176.67 148
94,2315,15 10 13,51,3689009,144.55 172.44 148
95,2304,14 14 10,51,3688814,143.7 175.82 146
96,2300,13 11 14,51,3688489,142.86 173.29 149
97,2295,12 15 12,51,3688031,142.01 176.67 147
98,2289,12 15 11,51,3688031,142.01 176.67 147
99,2284,11 12 15,51,3687199,141.17 174.13 150
100,2307,14 11 13,51,3685413,143.7 173.29 148
101,2311,15 14 9,51,3685099,144.55 175.82 145
102,2296,13 15 10,51,3684746,142.86 176.67 146
103,2292,12 12 14,51,3684550,142.01 174.13 149
104,2311,15 7 15,51,3683877,144.55 169.91 150
105,2276,10 13 15,51,3682912,140.32 174.98 150
106,2314,15 11 12,51,3682044,144.55 173.29 147
107,2307,15 11 11,51,3682044,144.55 173.29 147
108,2299,13 12 13,51,3681606,142.86 174.13 148
109,2303,14 15 9,51,3681162,143.7 176.67 145
110,2303,14 8 15,51,3680554,143.7 170.75 150
111,2284,11 13 14,51,3680398,141.17 174.98 149
112,2268,9 14 15,51,3678411,139.47 175.82 150
113,2306,14 12 12,51,3678368,143.7 174.13 147
114,2299,14 12 11,51,3678368,143.7 174.13 147
115,2291,12 13 13,51,3677588,142.01 174.98 148
116,2310,15 8 14,51,3677523,144.55 170.75 149
117,2309,15 15 8,51,3677279,144.55 176.67 144
118,2295,13 9 15,51,3677017,142.86 171.6 150
119,2275,10 14 14,51,3676033,140.32 175.82 149
120,2306,15 12 10,51,3674835,144.55 174.13 146
121,2298,13 13 12,51,3674481,142.86 174.98 147
122,2291,13 13 11,51,3674481,142.86 174.98 147
123,2302,14 9 14,51,3674116,143.7 171.6 149
124,2260,8 15 15,51,3673695,138.63 176.67 150
125,2283,11 14 13,51,3673358,141.17 175.82 148
126,2287,12 10 15,51,3673266,142.01 172.44 150
127,2267,9 15 14,51,3671455,139.47 176.67 149
128,2298,14 13 10,51,3671080,143.7 174.98 146
129,2309,15 9 13,51,3670925,144.55 171.6 148
130,2294,13 10 14,51,3670497,142.86 172.44 149
131,2290,12 14 12,51,3670385,142.01 175.82 147
132,2283,12 14 11,51,3670385,142.01 175.82 147
133,2279,11 11 15,51,3669300,141.17 173.29 150
134,2274,10 15 13,51,3668916,140.32 176.67 148
135,2301,14 10 13,51,3667435,143.7 172.44 148
136,2305,15 13 9,51,3667382,144.55 174.98 145
137,2290,13 14 10,51,3667115,142.86 175.82 146
138,2286,12 11 14,51,3666664,142.01 173.29 149
139,2282,11 15 12,51,3666079,141.17 176.67 147
140,2275,11 15 11,51,3666079,141.17 176.67 147
141,2305,15 6 15,51,3665549,144.55 169.06 150
142,2271,10 12 15,51,3665120,140.32 174.13 150
143,2308,15 10 12,51,3664083,144.55 172.44 147
144,2302,15 10 11,51,3664083,144.55 172.44 147
145,2293,13 11 13,51,3663734,142.86 173.29 148
146,2297,14 14 9,51,3663548,143.7 175.82 145
