rank,cp,ivs,maxlevel,stat-product,stats
1,2075,15 15 15,51,3237559,132.71 156.38 156
2,2069,15 14 15,51,3220058,132.71 155.54 156
3,2062,14 15 15,51,3216937,131.87 156.38 156
4,2069,15 15 14,51,3216805,132.71 156.38 155
5,2064,15 13 15,51,3202558,132.71 154.69 156
6,2056,14 14 15,51,3199548,131.87 155.54 156
7,2064,15 14 14,51,3199417,132.71 155.54 155
8,2048,13 15 15,51,3196316,131.02 156.38 156
9,2056,14 15 14,51,3196316,131.87 156.38 155
10,2064,15 15 13,51,3196052,132.71 156.38 154
11,2058,15 12 15,51,3185058,132.71 153.84 156
12,2050,14 13 15,51,3182160,131.87 154.69 156
13,2058,15 13 14,51,3182029,132.71 154.69 155
14,2043,13 14 15,51,3179039,131.02 155.54 156
15,2050,14 14 14,51,3179039,131.87 155.54 155
16,2058,15 14 13,51,3178776,132.71 155.54 154
17,2043,13 15 14,51,3175827,131.02 156.38 155
18,2035,12 15 15,51,3175695,130.18 156.38 156
19,2050,14 15 13,51,3175695,131.87 156.38 154
20,2058,15 15 12,51,3175298,132.71 156.38 153
21,2052,15 11 15,51,3167557,132.71 153 156
22,2045,14 12 15,51,3164771,131.87 153.84 156
23,2052,15 12 14,51,3164641,132.71 153.84 155
24,2037,13 13 15,51,3161761,131.02 154.69 156
25,2045,14 13 14,51,3161761,131.87 154.69 155
26,2052,15 13 13,51,3161500,132.71 154.69 154
27,2037,13 14 14,51,3158660,131.02 155.54 155
28,2030,12 14 15,51,3158529,130.18 155.54 156
29,2045,14 14 13,51,3158529,131.87 155.54 154
30,2052,15 14 12,51,3158134,132.71 155.54 153
31,2030,12 15 14,51,3155337,130.18 156.38 155
32,2037,13 15 13,51,3155337,131.02 156.38 154
33,2022,11 15 15,51,3155073,129.33 156.38 156
34,2045,14 15 12,51,3155073,131.87 156.38 153
35,2052,15 15 11,51,3154544,132.71 156.38 152
36,2047,15 15 10,51,3154544,132.71 156.38 152
37,2047,15 10 15,51,3150057,132.71 152.15 156
38,2039,14 11 15,51,3147382,131.87 153 156
39,2047,15 11 14,51,3147253,132.71 153 155
40,2032,13 12 15,51,3144484,131.02 153.84 156
41,2039,14 12 14,51,3144484,131.87 153.84 155
42,2047,15 12 13,51,3144224,132.71 153.84 154
43,2032,13 13 14,51,3141493,131.02 154.69 155
44,2024,12 13 15,51,3141363,130.18 154.69 156
45,2039,14 13 13,51,3141363,131.87 154.69 154
46,2047,15 13 12,51,3140970,132.71 154.69 153
47,2024,12 14 14,51,3138282,130.18 155.54 155
48,2032,13 14 13,51,3138282,131.02 155.54 154
49,2017,11 14 15,51,3138019,129.33 155.54 156
50,2039,14 14 12,51,3138019,131.87 155.54 153
51,2047,15 14 11,51,3137493,132.71 155.54 152
52,2041,15 14 10,51,3137493,132.71 155.54 152
53,2024,12 15 13,51,3134980,130.18 156.38 154
54,2017,11 15 14,51,3134848,129.33 156.38 155
55,2032,13 15 12,51,3134848,131.02 156.38 153
56,2009,10 15 15,51,3134452,128.49 156.38 156
57,2039,14 15 11,51,3134452,131.87 156.38 152
58,2034,14 15 10,51,3134452,131.87 156.38 152
59,2041,15 15 9,51,3133791,132.71 156.38 151
60,2041,15 9 15,51,3132557,132.71 151.31 156
61,2034,14 10 15,51,3129993,131.87 152.15 156
62,2041,15 10 14,51,3129864,132.71 152.15 155
63,2026,13 11 15,51,3127206,131.02 153 156
64,2034,14 11 14,51,3127206,131.87 153 155
65,2041,15 11 13,51,3126948,132.71 153 154
66,2026,13 12 14,51,3124327,131.02 153.84 155
67,2019,12 12 15,51,3124197,130.18 153.84 156
68,2034,14 12 13,51,3124197,131.87 153.84 154
69,2041,15 12 12,51,3123807,132.71 153.84 153
70,2019,12 13 14,51,3121226,130.18 154.69 155
71,2026,13 13 13,51,3121226,131.02 154.69 154
72,2011,11 13 15,51,3120964,129.33 154.69 156
73,2034,14 13 12,51,3120964,131.87 154.69 153
74,2041,15 13 11,51,3120441,132.71 154.69 152
75,2036,15 13 10,51,3120441,132.71 154.69 152
76,2019,12 14 13,51,3118035,130.18 155.54 154
77,2011,11 14 14,51,3117903,129.33 155.54 155
78,2026,13 14 12,51,3117903,131.02 155.54 153
79,2003,10 14 15,51,3117509,128.49 155.54 156
80,2034,14 14 11,51,3117509,131.87 155.54 152
81,2028,14 14 10,51,3117509,131.87 155.54 152
82,2035,15 14 9,51,3116851,132.71 155.54 151
83,2035,15 8 15,51,3115056,132.71 150.46 156
84,2011,11 15 13,51,3114623,129.33 156.38 154
85,2019,12 15 12,51,3114623,130.18 156.38 153
86,2003,10 15 14,51,3114359,128.49 156.38 155
87,2026,13 15 11,51,3114359,131.02 156.38 152
88,2021,13 15 10,51,3114359,131.02 156.38 152
89,1996,9 15 15,51,3113830,127.64 156.38 156
90,2028,14 15 9,51,3113830,131.87 156.38 151
91,2035,15 15 8,51,3113037,132.71 156.38 150
92,2028,14 9 15,51,3112604,131.87 151.31 156
93,2035,15 9 14,51,3112476,132.71 151.31 155
94,2021,13 10 15,51,3109929,131.02 152.15 156
95,2028,14 10 14,51,3109929,131.87 152.15 155
96,2036,15 10 13,51,3109672,132.71 152.15 154
97,2021,13 11 14,51,3107160,131.02 153 155
98,2013,12 11 15,51,3107031,130.18 153 156
99,2028,14 11 13,51,3107031,131.87 153 154
100,2036,15 11 12,51,3106643,132.71 153 153
101,2013,12 12 14,51,3104170,130.18 153.84 155
102,2021,13 12 13,51,3104170,131.02 153.84 154
103,2006,11 12 15,51,3103910,129.33 153.84 156
104,2028,14 12 12,51,3103910,131.87 153.84 153
105,2036,15 12 11,51,3103390,132.71 153.84 152
106,2030,15 12 10,51,3103390,132.71 153.84 152
107,2013,12 13 13,51,3101089,130.18 154.69 154
108,2006,11 13 14,51,3100958,129.33 154.69 155
109,2021,13 13 12,51,3100958,131.02 154.69 153
110,1998,10 13 15,51,3100566,128.49 154.69 156
111,2028,14 13 11,51,3100566,131.87 154.69 152
112,2023,14 13 10,51,3100566,131.87 154.69 152
113,2030,15 13 9,51,3099912,132.71 154.69 151
114,2006,11 14 13,51,3097788,129.33 155.54 154
115,2013,12 14 12,51,3097788,130.18 155.54 153
116,2029,15 7 15,51,3097556,132.71 149.62 156
117,1998,10 14 14,51,3097525,128.49 155.54 155
118,2021,13 14 11,51,3097525,131.02 155.54 152
119,2015,13 14 10,51,3097525,131.02 155.54 152
120,1990,9 14 15,51,3096999,127.64 155.54 156
121,2022,14 14 9,51,3096999,131.87 155.54 151
122,2030,15 14 8,51,3096210,132.71 155.54 150
123,2022,14 8 15,51,3095215,131.87 150.46 156
124,2030,15 8 14,51,3095088,132.71 150.46 155
125,2006,11 15 12,51,3094399,129.33 156.38 153
126,1998,10 15 13,51,3094266,128.49 156.38 154
127,2013,12 15 11,51,3094266,130.18 156.38 152
128,2008,12 15 10,51,3094266,130.18 156.38 152
129,1990,9 15 14,51,3093870,127.64 156.38 155
130,2015,13 15 9,51,3093870,131.02 156.38 151
131,1982,8 15 15,51,3093209,126.8 156.38 156
132,2022,14 15 8,51,3093209,131.87 156.38 150
133,2015,13 9 15,51,3092652,131.02 151.31 156
134,2022,14 9 14,51,3092652,131.87 151.31 155
135,2030,15 9 13,51,3092396,132.71 151.31 154
136,2029,15 15 7,51,3092284,132.71 156.38 149
137,2015,13 10 14,51,3089994,131.02 152.15 155
138,2008,12 10 15,51,3089865,130.18 152.15 156
139,2023,14 10 13,51,3089865,131.87 152.15 154
140,2030,15 10 12,51,3089479,132.71 152.15 153
141,2008,12 11 14,51,3087114,130.18 153 155
142,2015,13 11 13,51,3087114,131.02 153 154
143,2000,11 11 15,51,3086855,129.33 153 156
144,2023,14 11 12,51,3086855,131.87 153 153
145,2030,15 11 11,51,3086338,132.71 153 152
146,2024,15 11 10,51,3086338,132.71 153 152
147,2008,12 12 13,51,3084143,130.18 153.84 154
148,2000,11 12 14,51,3084013,129.33 153.84 155
149,2015,13 12 12,51,3084013,131.02 153.84 153
150,1992,10 12 15,51,3083623,128.49 153.84 156
151,2023,14 12 11,51,3083623,131.87 153.84 152
152,2017,14 12 10,51,3083623,131.87 153.84 152
153,2024,15 12 9,51,3082973,132.71 153.84 151
154,2000,11 13 13,51,3080952,129.33 154.69 154
155,2008,12 13 12,51,3080952,130.18 154.69 153
156,1992,10 13 14,51,3080690,128.49 154.69 155
157,2015,13 13 11,51,3080690,131.02 154.69 152
158,2010,13 13 10,51,3080690,131.02 154.69 152
159,1985,9 13 15,51,3080167,127.64 154.69 156
160,2017,14 13 9,51,3080167,131.87 154.69 151
161,2024,15 6 15,51,3080056,132.71 148.77 156
162,2024,15 13 8,51,3079383,132.71 154.69 150
163,2017,14 7 15,51,3077826,131.87 149.62 156
164,2024,15 7 14,51,3077700,132.71 149.62 155
165,2000,11 14 12,51,3077672,129.33 155.54 153
166,1992,10 14 13,51,3077541,128.49 155.54 154
167,2008,12 14 11,51,3077541,130.18 155.54 152
168,2002,12 14 10,51,3077541,130.18 155.54 152
169,1985,9 14 14,51,3077146,127.64 155.54 155
170,2009,13 14 9,51,3077146,131.02 155.54 151
171,1977,8 14 15,51,3076489,126.8 155.54 156
172,2017,14 14 8,51,3076489,131.87 155.54 150
173,2024,15 14 7,51,3075569,132.71 155.54 149
174,2009,13 8 15,51,3075374,131.02 150.46 156
175,2017,14 8 14,51,3075374,131.87 150.46 155
176,2024,15 8 13,51,3075120,132.71 150.46 154
177,1992,10 15 12,51,3074174,128.49 156.38 153
178,2000,11 15 11,51,3074174,129.33 156.38 152
179,1994,11 15 10,51,3074174,129.33 156.38 152
180,1985,9 15 13,51,3073909,127.64 156.38 154
181,2002,12 15 9,51,3073909,130.18 156.38 151
182,1977,8 15 14,51,3073381,126.8 156.38 155
183,2009,13 15 8,51,3073381,131.02 156.38 150
184,2009,13 9 14,51,3072827,131.02 151.31 155
