rank,cp,ivs,maxlevel,stat-product,stats
1,1462,15 15 15,51,1664539,128.49 81.99 158
2,1458,15 15 14,51,1654004,128.49 81.99 157
3,1453,14 15 15,51,1653588,127.64 81.99 158
4,1455,15 14 15,51,1647379,128.49 81.15 158
5,1454,15 15 13,51,1643469,128.49 81.99 156
6,1449,14 15 14,51,1643122,127.64 81.99 157
7,1443,13 15 15,51,1642637,126.8 81.99 158
8,1451,15 14 14,51,1636953,128.49 81.15 157
9,1445,14 14 15,51,1636541,127.64 81.15 158
10,1450,15 15 12,51,1632934,128.49 81.99 155
11,1445,14 15 13,51,1632657,127.64 81.99 156
12,1439,13 15 14,51,1632241,126.8 81.99 157
13,1433,12 15 15,51,1631686,125.95 81.99 158
14,1447,15 13 15,51,1630219,128.49 80.3 158
15,1447,15 14 13,51,1626526,128.49 81.15 156
16,1441,14 14 14,51,1626183,127.64 81.15 157
17,1436,13 14 15,51,1625703,126.8 81.15 158
18,1447,15 15 11,51,1622399,128.49 81.99 154
19,1441,14 15 12,51,1622191,127.64 81.99 155
20,1435,13 15 13,51,1621844,126.8 81.99 156
21,1430,12 15 14,51,1621359,125.95 81.99 157
22,1424,11 15 15,51,1620735,125.1 81.99 158
23,1443,15 13 14,51,1619901,128.49 80.3 157
24,1438,14 13 15,51,1619494,127.64 80.3 158
25,1443,15 14 12,51,1616100,128.49 81.15 155
26,1437,14 14 13,51,1615825,127.64 81.15 156
27,1432,13 14 14,51,1615414,126.8 81.15 157
28,1426,12 14 15,51,1614865,125.95 81.15 158
29,1439,15 12 15,51,1613059,128.49 79.46 158
30,1443,15 15 10,51,1611864,128.49 81.99 153
31,1437,14 15 11,51,1611725,127.64 81.99 154
32,1431,13 15 12,51,1611448,126.8 81.99 155
33,1426,12 15 13,51,1611032,125.95 81.99 156
34,1420,11 15 14,51,1610478,125.1 81.99 157
35,1414,10 15 15,51,1609785,124.26 81.99 158
36,1439,15 13 13,51,1609583,128.49 80.3 156
37,1434,14 13 14,51,1609244,127.64 80.3 157
38,1428,13 13 15,51,1608769,126.8 80.3 158
39,1439,15 14 11,51,1605673,128.49 81.15 154
40,1433,14 14 12,51,1605467,127.64 81.15 155
41,1428,13 14 13,51,1605124,126.8 81.15 156
42,1422,12 14 14,51,1604644,125.95 81.15 157
43,1416,11 14 15,51,1604027,125.1 81.15 158
44,1436,15 12 14,51,1602849,128.49 79.46 157
45,1430,14 12 15,51,1602446,127.64 79.46 158
46,1439,15 15 9,51,1601329,128.49 81.99 152
47,1435,15 15 8,51,1601329,128.49 81.99 152
48,1433,14 15 10,51,1601259,127.64 81.99 153
49,1427,13 15 11,51,1601052,126.8 81.99 154
50,1422,12 15 12,51,1600705,125.95 81.99 155
51,1416,11 15 13,51,1600220,125.1 81.99 156
52,1410,10 15 14,51,1599596,124.26 81.99 157
53,1435,15 13 12,51,1599265,128.49 80.3 155
54,1430,14 13 13,51,1598994,127.64 80.3 156
55,1405,9 15 15,51,1598834,123.41 81.99 158
56,1424,13 13 14,51,1598586,126.8 80.3 157
57,1419,12 13 15,51,1598043,125.95 80.3 158
58,1432,15 11 15,51,1595898,128.49 78.61 158
59,1435,15 14 10,51,1595247,128.49 81.15 153
60,1430,14 14 11,51,1595110,127.64 81.15 154
61,1424,13 14 12,51,1594835,126.8 81.15 155
62,1418,12 14 13,51,1594424,125.95 81.15 156
