rank,cp,ivs,maxlevel,stat-product,stats
1,935,15 15 15,51,904902,96.36 58.33 161
2,932,15 15 14,51,899281,96.36 58.33 160
3,926,14 15 15,51,896964,95.52 58.33 161
4,930,15 15 13,51,893660,96.36 58.33 159
5,928,15 14 15,51,891787,96.36 57.48 161
6,924,14 15 14,51,891393,95.52 58.33 160
7,918,13 15 15,51,889026,94.67 58.33 161
8,927,15 15 12,51,888040,96.36 58.33 158
9,925,15 15 11,51,888040,96.36 58.33 158
10,925,15 14 14,51,886248,96.36 57.48 160
11,922,14 15 13,51,885821,95.52 58.33 159
12,920,14 14 15,51,883964,95.52 57.48 161
13,916,13 15 14,51,883504,94.67 58.33 160
14,922,15 15 10,51,882419,96.36 58.33 157
15,910,12 15 15,51,881088,93.83 58.33 161
16,923,15 14 13,51,880709,96.36 57.48 159
17,919,14 15 12,51,880250,95.52 58.33 158
18,917,14 15 11,51,880250,95.52 58.33 158
19,921,15 13 15,51,878672,96.36 56.64 161
20,917,14 14 14,51,878474,95.52 57.48 160
21,913,13 15 13,51,877982,94.67 58.33 159
22,920,15 15 9,51,876799,96.36 58.33 156
23,912,13 14 15,51,876142,94.67 57.48 161
24,908,12 15 14,51,875616,93.83 58.33 160
25,921,15 14 12,51,875170,96.36 57.48 158
26,918,15 14 11,51,875170,96.36 57.48 158
27,914,14 15 10,51,874679,95.52 58.33 157
28,919,15 13 14,51,873215,96.36 56.64 160
29,902,11 15 15,51,873151,92.98 58.33 161
30,915,14 14 13,51,872983,95.52 57.48 159
31,911,13 15 12,51,872460,94.67 58.33 158
32,909,13 15 11,51,872460,94.67 58.33 158
33,917,15 15 8,51,871178,96.36 58.33 155
34,913,14 13 15,51,870965,95.52 56.64 161
35,909,13 14 14,51,870700,94.67 57.48 160
36,905,12 15 13,51,870143,93.83 58.33 159
37,916,15 14 10,51,869631,96.36 57.48 157
38,912,14 15 9,51,869108,95.52 58.33 156
39,903,12 14 15,51,868319,93.83 57.48 161
40,916,15 13 13,51,867757,96.36 56.64 159
41,899,11 15 14,51,867727,92.98 58.33 160
42,912,14 14 12,51,867493,95.52 57.48 158
43,910,14 14 11,51,867493,95.52 57.48 158
44,906,13 15 10,51,866938,94.67 58.33 157
45,914,15 12 15,51,865558,96.36 55.79 161
46,915,15 15 7,51,865558,96.36 58.33 154
47,910,14 13 14,51,865555,95.52 56.64 160
48,907,13 14 13,51,865258,94.67 57.48 159
49,894,10 15 15,51,865213,92.14 58.33 161
50,903,12 15 12,51,864671,93.83 58.33 158
51,900,12 15 11,51,864671,93.83 58.33 158
52,913,15 14 9,51,864092,96.36 57.48 156
53,909,14 15 8,51,863537,95.52 58.33 155
54,905,13 13 15,51,863257,94.67 56.64 161
55,901,12 14 14,51,862926,93.83 57.48 160
56,897,11 15 13,51,862304,92.98 58.33 159
57,914,15 13 12,51,862300,96.36 56.64 158
58,911,15 13 11,51,862300,96.36 56.64 158
59,908,14 14 10,51,862002,95.52 57.48 157
60,904,13 15 9,51,861417,94.67 58.33 156
61,895,11 14 15,51,860496,92.98 57.48 161
62,912,15 12 14,51,860182,96.36 55.79 160
63,908,14 13 13,51,860145,95.52 56.64 159
64,912,15 15 6,51,859937,96.36 58.33 153
65,891,10 15 14,51,859839,92.14 58.33 160
66,904,13 14 12,51,859816,94.67 57.48 158
67,902,13 14 11,51,859816,94.67 57.48 158
68,898,12 15 10,51,859198,93.83 58.33 157
69,911,15 14 8,51,858553,96.36 57.48 155
70,906,14 12 15,51,857965,95.52 55.79 161
71,907,14 15 7,51,857965,95.52 58.33 154
72,902,13 13 14,51,857895,94.67 56.64 160
73,899,12 14 13,51,857532,93.83 57.48 159
74,885,9 15 15,51,857275,91.29 58.33 161
75,895,11 15 12,51,856881,92.98 58.33 158
76,892,11 15 11,51,856881,92.98 58.33 158
77,909,15 13 10,51,856842,96.36 56.64 157
78,905,14 14 9,51,856512,95.52 57.48 156
79,901,13 15 8,51,855895,94.67 58.33 155
80,897,12 13 15,51,855549,93.83 56.64 161
81,893,11 14 14,51,855152,92.98 57.48 160
82,909,15 12 13,51,854806,96.36 55.79 159
83,906,14 13 12,51,854736,95.52 56.64 158
84,903,14 13 11,51,854736,95.52 56.64 158
85,889,10 15 13,51,854465,92.14 58.33 159
86,900,13 14 10,51,854374,94.67 57.48 157
87,910,15 15 5,51,854317,96.36 58.33 152
88,907,15 15 4,51,854317,96.36 58.33 152
89,896,12 15 9,51,853725,93.83 58.33 156
90,908,15 14 7,51,853014,96.36 57.48 154
91,887,10 14 15,51,852674,92.14 57.48 161
92,904,14 12 14,51,852636,95.52 55.79 160
93,900,13 13 13,51,852533,94.67 56.64 159
94,907,15 11 15,51,852443,96.36 54.94 161
95,904,14 15 6,51,852394,95.52 58.33 153
96,896,12 14 12,51,852139,93.83 57.48 158
97,894,12 14 11,51,852139,93.83 57.48 158
98,883,9 15 14,51,851950,91.29 58.33 160
99,890,11 15 10,51,851457,92.98 58.33 157
100,906,15 13 9,51,851384,96.36 56.64 156
101,903,14 14 8,51,851022,95.52 57.48 155
102,898,13 12 15,51,850373,94.67 55.79 161
103,899,13 15 7,51,850373,94.67 58.33 154
104,894,12 13 14,51,850236,93.83 56.64 160
105,891,11 14 13,51,849807,92.98 57.48 159
106,907,15 12 12,51,849430,96.36 55.79 158
107,904,15 12 11,51,849430,96.36 55.79 158
108,877,8 15 15,51,849337,90.45 58.33 161
109,901,14 13 10,51,849326,95.52 56.64 157
110,887,10 15 12,51,849091,92.14 58.33 158
111,884,10 15 11,51,849091,92.14 58.33 158
112,897,13 14 9,51,848932,94.67 57.48 156
113,905,15 15 3,51,848696,96.36 58.33 151
114,893,12 15 8,51,848253,93.83 58.33 155
115,889,11 13 15,51,847842,92.98 56.64 161
116,906,15 14 6,51,847475,96.36 57.48 153
117,885,10 14 14,51,847377,92.14 57.48 160
118,901,14 12 13,51,847307,95.52 55.79 159
119,898,13 13 12,51,847172,94.67 56.64 158
120,895,13 13 11,51,847172,94.67 56.64 158
121,905,15 11 14,51,847149,96.36 54.94 160
122,902,14 15 5,51,846823,95.52 58.33 152
123,899,14 15 4,51,846823,95.52 58.33 152
124,891,12 14 10,51,846746,93.83 57.48 157
125,881,9 15 13,51,846626,91.29 58.33 159
126,888,11 15 9,51,846034,92.98 58.33 156
127,904,15 13 8,51,845927,96.36 56.64 155
128,900,14 14 7,51,845531,95.52 57.48 154
129,896,13 12 14,51,845091,94.67 55.79 160
130,899,14 11 15,51,844966,95.52 54.94 161
131,892,12 13 13,51,844922,93.83 56.64 159
132,879,9 14 15,51,844851,91.29 57.48 161
133,896,13 15 6,51,844851,94.67 58.33 153
134,888,11 14 12,51,844462,92.98 57.48 158
135,886,11 14 11,51,844462,92.98 57.48 158
136,875,8 15 14,51,844062,90.45 58.33 160
137,902,15 12 10,51,844053,96.36 55.79 157
138,898,14 13 9,51,843916,95.52 56.64 156
139,882,10 15 10,51,843717,92.14 58.33 157
140,895,13 14 8,51,843490,94.67 57.48 155
141,902,15 15 2,51,843076,96.36 58.33 150
142,890,12 12 15,51,842780,93.83 55.79 161
143,891,12 15 7,51,842780,93.83 58.33 154
144,886,11 13 14,51,842576,92.98 56.64 160
145,882,10 14 13,51,842081,92.14 57.48 159
146,899,14 12 12,51,841978,95.52 55.79 158
147,897,14 12 11,51,841978,95.52 55.79 158
148,903,15 14 5,51,841936,96.36 57.48 152
149,901,15 14 4,51,841936,96.36 57.48 152
150,902,15 11 13,51,841854,96.36 54.94 159
151,893,13 13 10,51,841810,94.67 56.64 157
152,869,7 15 15,51,841400,89.6 58.33 161
153,889,12 14 9,51,841352,93.83 57.48 156
154,878,9 15 12,51,841301,91.29 58.33 158
155,876,9 15 11,51,841301,91.29 58.33 158
156,897,14 15 3,51,841252,95.52 58.33 151
157,885,11 15 8,51,840611,92.98 58.33 155
158,901,15 13 7,51,840469,96.36 56.64 154
159,881,10 13 15,51,840134,92.14 56.64 161
160,898,14 14 6,51,840041,95.52 57.48 153
161,893,13 12 13,51,839809,94.67 55.79 159
162,897,14 11 14,51,839718,95.52 54.94 160
163,890,12 13 12,51,839608,93.83 56.64 158
164,887,12 13 11,51,839608,93.83 56.64 158
165,877,9 14 14,51,839603,91.29 57.48 160
166,900,15 10 15,51,839329,96.36 54.1 161
167,894,13 15 5,51,839329,94.67 58.33 152
168,891,13 15 4,51,839329,94.67 58.33 152
169,883,11 14 10,51,839117,92.98 57.48 157
170,873,8 15 13,51,838787,90.45 58.33 159
171,900,15 12 9,51,838677,96.36 55.79 156
172,896,14 13 8,51,838506,95.52 56.64 155
173,879,10 15 9,51,838343,92.14 58.33 156
174,892,13 14 7,51,838048,94.67 57.48 154
175,888,12 12 14,51,837545,93.83 55.79 160
176,891,13 11 15,51,837488,94.67 54.94 161
177,900,15 15 1,51,837455,96.36 58.33 149
178,884,11 13 13,51,837310,92.98 56.64 159
179,888,12 15 6,51,837307,93.83 58.33 153
180,871,8 14 15,51,837028,90.45 57.48 161
181,880,10 14 12,51,836785,92.14 57.48 158
182,878,10 14 11,51,836785,92.14 57.48 158
183,894,14 12 10,51,836649,95.52 55.79 157
184,900,15 11 12,51,836559,96.36 54.94 158
185,898,15 11 11,51,836559,96.36 54.94 158
186,890,13 13 9,51,836448,94.67 56.64 156
187,898,15 14 3,51,836396,96.36 57.48 151
188,867,7 15 14,51,836174,89.6 58.33 160
189,874,9 15 10,51,835976,91.29 58.33 157
190,887,12 14 8,51,835959,93.83 57.48 155
191,894,14 15 2,51,835681,95.52 58.33 150
192,882,11 12 15,51,835187,92.98 55.79 161
193,883,11 15 7,51,835187,92.98 58.33 154
194,899,15 13 6,51,835012,96.36 56.64 153
