rank,cp,ivs,maxlevel,stat-product,stats
1,2500,0 15 13,28,3576777,174.6 113.81 180
2,2495,0 15 12,28,3556906,174.6 113.81 179
3,2495,3 15 15,27.5,3555558,175.14 112.79 180
4,2497,0 14 14,28,3554561,174.6 113.1 180
5,2493,0 14 13,28,3554561,174.6 113.1 180
6,2494,0 13 15,28,3551969,174.6 112.39 181
7,2496,1 15 10,28,3551355,175.31 113.81 178
8,2500,4 15 14,27.5,3549948,175.84 112.79 179
9,2498,1 14 12,28,3549124,175.31 113.1 179
10,2497,4 14 15,27.5,3547608,175.84 112.09 180
11,2500,0 10 12,28.5,3547195,176.15 111.25 181
12,2500,1 13 14,28,3546646,175.31 112.39 180
13,2495,1 13 13,28,3546646,175.31 112.39 180
14,2497,1 12 15,28,3543919,175.31 111.69 181
15,2498,2 14 10,28,3543528,176.01 113.1 178
16,2485,2 15 15,27.5,3541336,174.44 112.79 180
17,2500,2 13 12,28,3541164,176.01 112.39 179
18,2499,0 8 15,28.5,3540412,176.15 109.83 183
19,2500,0 15 4,28.5,3539532,176.15 114.82 175
20,2499,5 13 15,27.5,3539481,176.54 111.39 180
21,2497,2 12 13,28,3538551,176.01 111.69 180
22,2497,0 14 5,28.5,3537648,176.15 114.11 176
23,2490,0 15 11,28,3537035,174.6 113.81 178
24,2486,0 15 10,28,3537035,174.6 113.81 178
25,2490,3 15 14,27.5,3535805,175.14 112.79 179
26,2499,2 11 15,28,3535689,176.01 110.98 181
27,2500,3 13 10,28,3535523,176.72 112.39 178
28,2499,0 13 7,28.5,3535512,176.15 113.39 177
29,2488,0 14 12,28,3534813,174.6 113.1 179
30,2500,1 15 2,28.5,3533554,176.87 114.82 174
31,2487,3 14 15,27.5,3533474,175.14 112.09 180
32,2496,0 12 8,28.5,3533125,176.15 112.68 178
33,2490,0 13 14,28,3532345,174.6 112.39 180
34,2485,0 13 13,28,3532345,174.6 112.39 180
35,2491,1 15 9,28,3531403,175.31 113.81 177
36,2498,0 11 10,28.5,3530487,176.15 111.97 179
37,2493,0 11 9,28.5,3530487,176.15 111.97 179
38,2499,3 11 13,28,3530276,176.72 110.98 180
39,2495,4 15 13,27.5,3530116,175.84 112.79 178
40,2499,1 13 5,28.5,3529770,176.87 113.39 176
41,2487,0 12 15,28,3529629,174.6 111.69 181
42,2493,1 14 11,28,3529297,175.31 113.1 178
43,2488,1 14 10,28,3529297,175.31 113.1 178
44,2493,4 14 14,27.5,3527899,175.84 112.09 179
45,2495,0 10 11,28.5,3527598,176.15 111.25 180
46,2475,1 15 15,27.5,3527113,173.73 112.79 180
47,2490,1 13 12,28,3526942,175.31 112.39 179
48,2496,2 15 8,28,3525611,176.01 113.81 176
49,2491,2 15 7,28,3525611,176.01 113.81 176
50,2490,4 13 15,27.5,3525435,175.84 111.39 180
51,2498,1 11 8,28.5,3524977,176.87 111.97 178
52,2497,0 9 13,28.5,3524457,176.15 110.54 181
53,2492,0 9 12,28.5,3524457,176.15 110.54 181
54,2492,1 12 14,28,3524340,175.31 111.69 180
55,2487,1 12 13,28,3524340,175.31 111.69 180
56,2500,5 15 12,27.5,3524269,176.54 112.79 177
57,2495,5 15 11,27.5,3524269,176.54 112.79 177
58,2493,2 14 9,28,3523620,176.01 113.1 177
59,2500,1 10 10,28.5,3522202,176.87 111.25 179
60,2495,1 10 9,28.5,3522202,176.87 111.25 179
61,2498,5 14 13,27.5,3522167,176.54 112.09 178
62,2480,2 15 14,27.5,3521662,174.44 112.79 179
63,2489,1 11 15,28,3521489,175.31 110.98 181
64,2495,2 13 11,28,3521381,176.01 112.39 178
65,2490,2 13 10,28,3521381,176.01 112.39 178
66,2499,8 15 15,27,3521151,177.01 111.76 178
67,2494,0 8 14,28.5,3521065,176.15 109.83 182
68,2495,5 13 14,27.5,3519817,176.54 111.39 179
69,2496,3 15 6,28,3519658,176.72 113.81 175
70,2477,2 14 15,27.5,3519340,174.44 112.09 180
71,2495,0 15 3,28.5,3519306,176.15 114.82 174
72,2489,0 15 2,28.5,3519306,176.15 114.82 174
73,2497,1 9 11,28.5,3519175,176.87 110.54 180
74,2492,2 12 12,28,3518892,176.01 111.69 179
75,2500,6 15 10,27.5,3518264,177.24 112.79 176
76,2498,3 14 8,28,3517784,176.72 113.1 176
77,2493,3 14 7,28,3517784,176.72 113.1 176
78,2492,0 14 4,28.5,3517547,176.15 114.11 175
79,2491,0 7 15,28.5,3517422,176.15 109.11 183
80,2492,5 12 15,27.5,3517220,176.54 110.69 180
81,2481,0 15 9,28,3517164,174.6 113.81 177
82,2498,6 14 11,27.5,3516278,177.24 112.09 177
83,2494,2 11 14,28,3516155,176.01 110.98 180
84,2489,2 11 13,28,3516155,176.01 110.98 180
85,2485,3 15 13,27.5,3516052,175.14 112.79 178
86,2499,1 8 13,28.5,3515896,176.87 109.83 181
87,2494,1 8 12,28.5,3515896,176.87 109.83 181
88,2495,3 13 9,28,3515660,176.72 112.39 177
89,2494,0 13 6,28.5,3515537,176.15 113.39 176
90,2489,0 13 5,28.5,3515537,176.15 113.39 176
