rank,cp,ivs,maxlevel,stat-product,stats
1,2499,0 14 15,23.5,3640299,170.96 162.54 131
2,2497,0 15 14,23.5,3626903,170.96 163.19 130
3,2491,0 15 13,23.5,3626903,170.96 163.19 130
4,2496,1 14 13,23.5,3626194,171.61 162.54 130
5,2494,0 13 15,23.5,3625796,170.96 161.9 131
6,2500,2 13 13,23.5,3625376,172.26 161.9 130
7,2498,1 12 15,23.5,3624972,171.61 161.25 131
8,2497,5 15 15,23,3616944,172.34 161.44 130
9,2494,1 15 12,23.5,3612636,171.61 163.19 129
10,2492,0 14 14,23.5,3612510,170.96 162.54 130
11,2486,0 14 13,23.5,3612510,170.96 162.54 130
12,2499,2 14 12,23.5,3611879,172.26 162.54 129
13,2499,0 5 14,24,3611828,172.77 158.37 132
14,2497,1 13 14,23.5,3611747,171.61 161.9 130
15,2491,1 13 13,23.5,3611747,171.61 161.9 130
16,2489,0 12 15,23.5,3611292,170.96 161.25 131
17,2495,2 12 13,23.5,3610875,172.26 161.25 130
18,2493,1 11 15,23.5,3610413,171.61 160.6 131
19,2499,3 11 13,23.5,3609893,172.9 160.6 130
20,2497,2 10 15,23.5,3609425,172.26 159.95 131
21,2497,0 12 8,24,3603687,172.77 162.95 128
22,2487,4 15 15,23,3603498,171.69 161.44 130
23,2500,0 10 10,24,3602669,172.77 161.65 129
24,2492,5 14 15,23,3602591,172.34 160.8 130
25,2500,6 15 14,23,3602464,172.98 161.44 129
26,2496,6 13 15,23,3601577,172.98 160.16 130
27,2496,0 8 11,24,3601199,172.77 160.34 130
28,2500,7 12 15,23,3600457,173.62 159.52 130
29,2500,1 7 11,24,3600086,173.43 159.68 130
30,2498,0 6 13,24,3599277,172.77 159.03 131
31,2485,0 15 12,23.5,3599003,170.96 163.19 129
32,2489,1 14 12,23.5,3598300,171.61 162.54 129
33,2498,2 15 11,23.5,3598158,172.26 163.19 128
34,2491,2 15 10,23.5,3598158,172.26 163.19 128
35,2487,0 13 14,23.5,3598118,170.96 161.9 130
36,2481,0 13 13,23.5,3598118,170.96 161.9 130
37,2494,2 13 12,23.5,3597489,172.26 161.9 129
38,2496,3 14 10,23.5,3597353,172.9 162.54 128
39,2492,1 12 14,23.5,3597300,171.61 161.25 130
40,2486,1 12 13,23.5,3597300,171.61 161.25 130
41,2500,0 4 15,24,3596903,172.77 157.72 132
42,2494,0 4 14,24,3596903,172.77 157.72 132
43,2484,0 11 15,23.5,3596789,170.96 160.6 131
44,2498,3 12 12,23.5,3596569,172.9 161.25 129
45,2500,4 13 10,23.5,3596440,173.55 161.9 128
46,2496,2 11 14,23.5,3596373,172.26 160.6 130
47,2490,2 11 13,23.5,3596373,172.26 160.6 130
48,2488,1 10 15,23.5,3595855,171.61 159.95 131
49,2498,1 3 14,24,3595546,173.43 157.06 132
50,2494,3 10 13,23.5,3595337,172.9 159.95 130
51,2492,2 9 15,23.5,3594812,172.26 159.3 131
52,2499,4 9 13,23.5,3594193,173.55 159.3 130
53,2497,3 8 15,23.5,3593658,172.9 158.66 131
54,2499,0 15 6,24,3590119,172.77 164.92 126
55,2493,0 15 5,24,3590119,172.77 164.92 126
56,2478,3 15 15,23,3590052,171.05 161.44 130
57,2496,0 13 7,24,3589893,172.77 163.61 127
58,2498,1 14 5,24,3589417,173.43 164.26 126
59,2499,0 11 9,24,3589214,172.77 162.3 128
60,2492,0 11 8,24,3589214,172.77 162.3 128
61,2482,4 14 15,23,3589198,171.69 160.8 130
62,2491,5 15 14,23,3589121,172.34 161.44 129
63,2500,1 12 7,24,3589077,173.43 162.95 127
64,2497,1 10 8,24,3588282,173.43 161.65 128
65,2487,5 13 15,23,3588238,172.34 160.16 130
66,2495,6 14 14,23,3588168,172.98 160.8 129
67,2495,0 9 10,24,3588084,172.77 160.99 129
68,2497,7 15 12,23,3587777,173.62 161.44 128
69,2491,6 12 15,23,3587171,172.98 159.52 130
70,2499,7 13 14,23,3587109,173.62 160.16 129
71,2499,1 8 10,24,3587034,173.43 160.34 129
72,2497,0 7 12,24,3586501,172.77 159.68 130
73,2491,0 7 11,24,3586501,172.77 159.68 130
74,2495,7 11 15,23,3585997,173.62 158.88 130
75,2495,1 6 11,24,3585331,173.43 159.03 130
76,2480,0 14 12,23.5,3584722,170.96 162.54 129
77,2499,8 10 15,23,3584716,174.26 158.24 130
78,2488,1 15 11,23.5,3584631,171.61 163.19 128
79,2482,1 15 10,23.5,3584631,171.61 163.19 128
80,2493,0 5 13,24,3584465,172.77 158.37 131
81,2500,2 5 11,24,3584051,174.08 158.37 130
82,2484,1 13 12,23.5,3583964,171.61 161.9 129
83,2493,2 14 11,23.5,3583880,172.26 162.54 128
84,2486,2 14 10,23.5,3583880,172.26 162.54 128
85,2482,0 12 14,23.5,3583725,170.96 161.25 130
86,2476,0 12 13,23.5,3583725,170.96 161.25 130
87,2494,3 15 9,23.5,3583469,172.9 163.19 127
88,2497,1 4 13,24,3583175,173.43 157.72 131
89,2489,2 12 12,23.5,3583099,172.26 161.25 129
90,2497,3 13 11,23.5,3583021,172.9 161.9 128
91,2491,3 13 10,23.5,3583021,172.9 161.9 128
92,2487,1 11 14,23.5,3582853,171.61 160.6 130
93,2481,1 11 13,23.5,3582853,171.61 160.6 130
94,2499,4 14 9,23.5,3582617,173.55 162.54 127
95,2479,0 10 15,23.5,3582286,170.96 159.95 131
96,2493,3 11 12,23.5,3582125,172.9 160.6 129
97,2495,4 12 10,23.5,3582055,173.55 161.25 128
98,2495,0 3 15,24,3581978,172.77 157.06 132
99,2489,0 3 14,24,3581978,172.77 157.06 132
100,2500,5 15 7,23.5,3581884,174.2 163.19 126
101,2491,2 10 14,23.5,3581872,172.26 159.95 130
102,2485,2 10 13,23.5,3581872,172.26 159.95 130
103,2483,1 9 15,23.5,3581297,171.61 159.3 131
104,2497,4 10 12,23.5,3581043,173.55 159.95 129
105,2499,5 11 10,23.5,3580981,174.2 160.6 128
106,2495,3 9 14,23.5,3580781,172.9 159.3 130
107,2489,3 9 13,23.5,3580781,172.9 159.3 130
108,2499,1 2 15,24,3580565,173.43 156.41 132
109,2493,1 2 14,24,3580565,173.43 156.41 132
110,2487,2 8 15,23.5,3580199,172.26 158.66 131
111,2500,4 8 14,23.5,3579582,173.55 158.66 130
112,2494,4 8 13,23.5,3579582,173.55 158.66 130
113,2497,2 1 14,24,3579038,174.08 155.76 132
114,2491,3 7 15,23.5,3578990,172.9 158.01 131
115,2498,5 7 13,23.5,3578274,174.2 158.01 130
116,2496,4 6 15,23.5,3577671,173.55 157.36 131
117,2469,2 15 15,23,3576606,170.41 161.44 130
118,2500,5 5 15,23.5,3576243,174.2 156.71 131
119,2495,0 14 6,24,3575872,172.77 164.26 126
120,2488,0 14 5,24,3575872,172.77 164.26 126
121,2473,3 14 15,23,3575806,171.05 160.8 130
122,2481,4 15 14,23,3575779,171.69 161.44 129
123,2491,0 12 7,24,3575533,172.77 162.95 127
124,2500,0 5 6,24.5,3575363,174.56 160.02 128
125,2499,1 13 6,24,3575117,173.43 163.61 126
126,2493,1 13 5,24,3575117,173.43 163.61 126
127,2496,1 15 4,24,3575117,173.43 164.92 125
128,2477,4 13 15,23,3574899,171.69 160.16 130
129,2486,5 14 14,23,3574879,172.34 160.8 129
130,2494,0 10 9,24,3574742,172.77 161.65 128
131,2487,0 10 8,24,3574742,172.77 161.65 128
132,2495,1 11 7,24,3574663,173.43 162.3 127
133,2494,6 15 13,23,3574538,172.98 161.44 128
134,2487,6 15 12,23,3574538,172.98 161.44 128
135,2500,2 14 4,24,3574367,174.08 164.26 125
136,2497,2 12 5,24,3574253,174.08 162.95 126
137,2482,5 12 15,23,3573885,172.34 159.52 130
138,2490,6 13 14,23,3573873,172.98 160.16 129
139,2498,1 9 9,24,3573755,173.43 160.99 128
140,2492,1 9 8,24,3573755,173.43 160.99 128
141,2500,2 10 7,24,3573684,174.08 161.65 127
142,2498,7 14 13,23,3573539,173.62 160.8 128
143,2492,7 14 12,23,3573539,173.62 160.8 128
144,2490,0 8 10,24,3573498,172.77 160.34 129
145,2500,8 15 11,23,3572883,174.26 161.44 127
146,2486,6 11 15,23,3572765,172.98 158.88 130
147,2494,7 12 14,23,3572761,173.62 159.52 129
148,2496,2 8 8,24,3572658,174.08 160.34 128
149,2496,8 13 12,23,3572436,174.26 160.16 128
150,2494,1 7 10,24,3572393,173.43 159.68 129
151,2492,0 6 12,24,3571802,172.77 159.03 130
152,2486,0 6 11,24,3571802,172.77 159.03 130
153,2498,8 11 14,23,3571543,174.26 158.88 129
154,2490,7 10 15,23,3571537,173.62 158.24 130
155,2500,3 7 8,24,3571452,174.73 159.68 128
156,2500,9 12 12,23,3571228,174.9 159.52 128
157,2499,0 1 9,24.5,3571208,174.56 157.37 130
158,2498,2 6 10,24,3571177,174.08 159.03 129
159,2479,0 15 11,23.5,3571104,170.96 163.19 128
160,2473,0 15 10,23.5,3571104,170.96 163.19 128
161,2496,1 5 12,24,3570577,173.43 158.37 130
162,2490,1 5 11,24,3570577,173.43 158.37 130
163,2475,0 13 12,23.5,3570440,170.96 161.9 129
164,2483,1 14 11,23.5,3570406,171.61 162.54 128
165,2477,1 14 10,23.5,3570406,171.61 162.54 128
166,2494,8 9 15,23,3570203,174.26 157.6 130
167,2485,2 15 9,23.5,3570047,172.26 163.19 127
168,2488,0 4 13,24,3569654,172.77 157.72 131
169,2479,1 12 12,23.5,3569629,171.61 161.25 129
170,2488,2 13 11,23.5,3569601,172.26 161.9 128
171,2481,2 13 10,23.5,3569601,172.26 161.9 128
172,2477,0 11 14,23.5,3569333,170.96 160.6 130
173,2471,0 11 13,23.5,3569333,170.96 160.6 130
174,2489,3 14 9,23.5,3569249,172.9 162.54 127
175,2494,2 4 11,24,3569241,174.08 157.72 130
176,2498,9 8 15,23,3568763,174.9 156.96 130
177,2484,2 11 12,23.5,3568709,172.26 160.6 129
178,2492,3 12 11,23.5,3568689,172.9 161.25 128
179,2486,3 12 10,23.5,3568689,172.9 161.25 128
180,2497,4 15 8,23.5,3568568,173.55 163.19 126
181,2491,4 15 7,23.5,3568568,173.55 163.19 126
182,2482,1 10 14,23.5,3568406,171.61 159.95 130
183,2476,1 10 13,23.5,3568406,171.61 159.95 130
184,2494,4 13 9,23.5,3568343,173.55 161.9 127
185,2492,1 3 13,24,3568307,173.43 157.06 131
186,2499,3 3 11,24,3567793,174.73 157.06 130
187,2474,0 9 15,23.5,3567783,170.96 159.3 131
188,2488,3 10 12,23.5,3567681,172.9 159.95 129
189,2495,5 14 7,23.5,3567670,174.2 162.54 126
190,2496,4 11 11,23.5,3567669,173.55 160.6 128
191,2490,4 11 10,23.5,3567669,173.55 160.6 128
192,2486,2 9 14,23.5,3567370,172.26 159.3 130
