rank,cp,ivs,maxlevel,stat-product,stats
1,2204,15 15 15,51,3142793,153.84 142.86 143
2,2192,14 15 15,51,3125525,153 142.86 143
3,2197,15 14 15,51,3124197,153.84 142.01 143
4,2197,15 15 14,51,3120816,153.84 142.86 142
5,2191,15 15 13,51,3120816,153.84 142.86 142
6,2180,13 15 15,51,3108257,152.15 142.86 143
7,2185,14 14 15,51,3107031,153 142.01 143
8,2191,15 13 15,51,3105600,153.84 141.17 143
9,2185,14 15 14,51,3103668,153 142.86 142
10,2179,14 15 13,51,3103668,153 142.86 142
11,2191,15 14 14,51,3102349,153.84 142.01 142
12,2184,15 14 13,51,3102349,153.84 142.01 142
13,2184,15 15 12,51,3098838,153.84 142.86 141
14,2167,12 15 15,51,3090989,151.31 142.86 143
15,2173,13 14 15,51,3089865,152.15 142.01 143
16,2179,14 13 15,51,3088537,153 141.17 143
17,2184,15 12 15,51,3087004,153.84 140.32 143
18,2173,13 15 14,51,3086521,152.15 142.86 142
19,2167,13 15 13,51,3086521,152.15 142.86 142
20,2179,14 14 14,51,3085303,153 142.01 142
21,2172,14 14 13,51,3085303,153 142.01 142
22,2184,15 13 14,51,3083883,153.84 141.17 142
23,2178,15 13 13,51,3083883,153.84 141.17 142
24,2172,14 15 12,51,3081811,153 142.86 141
25,2178,15 14 12,51,3080502,153.84 142.01 141
26,2178,15 15 11,51,3076860,153.84 142.86 140
27,2155,11 15 15,51,3073721,150.46 142.86 143
28,2161,12 14 15,51,3072699,151.31 142.01 143
29,2167,13 13 15,51,3071473,152.15 141.17 143
30,2172,14 12 15,51,3070042,153 140.32 143
31,2161,12 15 14,51,3069374,151.31 142.86 142
32,2155,12 15 13,51,3069374,151.31 142.86 142
33,2178,15 11 15,51,3068408,153.84 139.47 143
34,2167,13 14 14,51,3068257,152.15 142.01 142
35,2160,13 14 13,51,3068257,152.15 142.01 142
36,2172,14 13 14,51,3066938,153 141.17 142
37,2166,14 13 13,51,3066938,153 141.17 142
38,2178,15 12 14,51,3065416,153.84 140.32 142
39,2171,15 12 13,51,3065416,153.84 140.32 142
40,2160,13 15 12,51,3064785,152.15 142.86 141
41,2166,14 14 12,51,3063576,153 142.01 141
42,2171,15 13 12,51,3062165,153.84 141.17 141
43,2166,14 15 11,51,3059955,153 142.86 140
44,2171,15 14 11,51,3058654,153.84 142.01 140
45,2143,10 15 15,51,3056453,149.62 142.86 143
46,2149,11 14 15,51,3055533,150.46 142.01 143
47,2171,15 15 10,51,3054883,153.84 142.86 139
48,2155,12 13 15,51,3054409,151.31 141.17 143
49,2160,13 12 15,51,3053081,152.15 140.32 143
50,2149,11 15 14,51,3052226,150.46 142.86 142
51,2143,11 15 13,51,3052226,150.46 142.86 142
52,2166,14 11 15,51,3051548,153 139.47 143
53,2155,12 14 14,51,3051212,151.31 142.01 142
54,2148,12 14 13,51,3051212,151.31 142.01 142
55,2160,13 13 14,51,3049994,152.15 141.17 142
56,2154,13 13 13,51,3049994,152.15 141.17 142
57,2171,15 10 15,51,3049811,153.84 138.63 143
58,2166,14 12 14,51,3048574,153 140.32 142
59,2159,14 12 13,51,3048574,153 140.32 142
60,2148,12 15 12,51,3047758,151.31 142.86 141
61,2171,15 11 14,51,3046950,153.84 139.47 142
62,2165,15 11 13,51,3046950,153.84 139.47 142
63,2154,13 14 12,51,3046650,152.15 142.01 141
64,2159,14 13 12,51,3045340,153 141.17 141
65,2165,15 12 12,51,3043829,153.84 140.32 141
66,2154,13 15 11,51,3043049,152.15 142.86 140
67,2159,14 14 11,51,3041848,153 142.01 140
68,2165,15 13 11,51,3040448,153.84 141.17 140
69,2131,9 15 15,51,3039185,148.77 142.86 143
70,2137,10 14 15,51,3038367,149.62 142.01 143
71,2159,14 15 10,51,3038098,153 142.86 139
72,2143,11 13 15,51,3037345,150.46 141.17 143
73,2165,15 14 10,51,3036807,153.84 142.01 139
74,2148,12 12 15,51,3036119,151.31 140.32 143
75,2137,10 15 14,51,3035079,149.62 142.86 142
76,2131,10 15 13,51,3035079,149.62 142.86 142
77,2154,13 11 15,51,3034689,152.15 139.47 143
78,2143,11 14 14,51,3034166,150.46 142.01 142
79,2136,11 14 13,51,3034166,150.46 142.01 142
80,2159,14 10 15,51,3033054,153 138.63 143
81,2148,12 13 14,51,3033050,151.31 141.17 142
82,2142,12 13 13,51,3033050,151.31 141.17 142
83,2165,15 15 9,51,3032905,153.84 142.86 138
84,2154,13 12 14,51,3031731,152.15 140.32 142
85,2147,13 12 13,51,3031731,152.15 140.32 142
86,2164,15 9 15,51,3031215,153.84 137.78 143
87,2136,11 15 12,51,3030732,150.46 142.86 141
88,2159,14 11 14,51,3030209,153 139.47 142
89,2153,14 11 13,51,3030209,153 139.47 142
90,2142,12 14 12,51,3029724,151.31 142.01 141
91,2147,13 13 12,51,3028515,152.15 141.17 141
92,2165,15 10 14,51,3028484,153.84 138.63 142
93,2158,15 10 13,51,3028484,153.84 138.63 142
94,2153,14 12 12,51,3027105,153 140.32 141
95,2142,12 15 11,51,3026143,151.31 142.86 140
96,2158,15 11 12,51,3025493,153.84 139.47 141
97,2147,13 14 11,51,3025043,152.15 142.01 140
98,2153,14 13 11,51,3023742,153 141.17 140
99,2158,15 12 11,51,3022242,153.84 140.32 140
100,2119,8 15 15,51,3021916,147.93 142.86 143
101,2147,13 15 10,51,3021313,152.15 142.86 139
102,2125,9 14 15,51,3021201,148.77 142.01 143
103,2130,10 13 15,51,3020282,149.62 141.17 143
104,2153,14 14 10,51,3020121,153 142.01 139
105,2136,11 12 15,51,3019158,150.46 140.32 143
106,2158,15 13 10,51,3018730,153.84 141.17 139
107,2125,9 15 14,51,3017932,148.77 142.86 142
108,2119,9 15 13,51,3017932,148.77 142.86 142
109,2142,12 11 15,51,3017829,151.31 139.47 143
110,2131,10 14 14,51,3017120,149.62 142.01 142
111,2124,10 14 13,51,3017120,149.62 142.01 142
112,2147,13 10 15,51,3016297,152.15 138.63 143
113,2153,14 15 9,51,3016241,153 142.86 138
114,2136,11 13 14,51,3016105,150.46 141.17 142
115,2130,11 13 13,51,3016105,150.46 141.17 142
116,2158,15 14 9,51,3014959,153.84 142.01 138
117,2142,12 12 14,51,3014888,151.31 140.32 142
118,2135,12 12 13,51,3014888,151.31 140.32 142
119,2152,14 9 15,51,3014560,153 137.78 143
120,2124,10 15 12,51,3013705,149.62 142.86 141
121,2147,13 11 14,51,3013467,152.15 139.47 142
122,2141,13 11 13,51,3013467,152.15 139.47 142
123,2130,11 14 12,51,3012798,150.46 142.01 141
124,2158,15 8 15,51,3012618,153.84 136.94 143
125,2153,14 10 14,51,3011844,153 138.63 142
126,2146,14 10 13,51,3011844,153 138.63 142
127,2135,12 13 12,51,3011690,151.31 141.17 141
128,2158,15 15 8,51,3010928,153.84 142.86 137
129,2141,13 12 12,51,3010380,152.15 140.32 141
130,2158,15 9 14,51,3010017,153.84 137.78 142
131,2151,15 9 13,51,3010017,153.84 137.78 142
132,2130,11 15 11,51,3009237,150.46 142.86 140
133,2146,14 11 12,51,3008869,153 139.47 141
134,2135,12 14 11,51,3008237,151.31 142.01 140
135,2152,15 10 12,51,3007156,153.84 138.63 141
136,2141,13 13 11,51,3007036,152.15 141.17 140
137,2146,14 12 11,51,3005636,153 140.32 140
138,2107,7 15 15,51,3004648,147.08 142.86 143
139,2135,12 15 10,51,3004528,151.31 142.86 139
140,2113,8 14 15,51,3004035,147.93 142.01 143
141,2152,15 11 11,51,3004035,153.84 139.47 140
142,2141,13 14 10,51,3003435,152.15 142.01 139
143,2118,9 13 15,51,3003218,148.77 141.17 143
144,2124,10 12 15,51,3002196,149.62 140.32 143
145,2146,14 13 10,51,3002144,153 141.17 139
146,2130,11 11 15,51,3000970,150.46 139.47 143
147,2113,8 15 14,51,3000784,147.93 142.86 142
148,2106,8 15 13,51,3000784,147.93 142.86 142
149,2152,15 12 10,51,3000654,153.84 140.32 139
150,2119,9 14 14,51,3000074,148.77 142.01 142
151,2112,9 14 13,51,3000074,148.77 142.01 142
152,2141,13 15 9,51,2999577,152.15 142.86 138
153,2135,12 10 15,51,2999539,151.31 138.63 143
154,2124,10 13 14,51,2999161,149.62 141.17 142
155,2118,10 13 13,51,2999161,149.62 141.17 142
156,2146,14 14 9,51,2998393,153 142.01 138
157,2130,11 12 14,51,2998045,150.46 140.32 142
158,2123,11 12 13,51,2998045,150.46 140.32 142
159,2140,13 9 15,51,2997905,152.15 137.78 143
160,2152,15 13 9,51,2997013,153.84 141.17 138
161,2135,12 11 14,51,2996726,151.31 139.47 142
162,2129,12 11 13,51,2996726,151.31 139.47 142
163,2112,9 15 12,51,2996678,148.77 142.86 141
164,2146,14 8 15,51,2996065,153 136.94 143
165,2118,10 14 12,51,2995872,149.62 142.01 141
166,2141,13 10 14,51,2995204,152.15 138.63 142
167,2134,13 10 13,51,2995204,152.15 138.63 142
168,2124,11 13 12,51,2994865,150.46 141.17 141
169,2146,14 15 8,51,2994384,153 142.86 137
170,2151,15 7 15,51,2994022,153.84 136.09 143
171,2129,12 12 12,51,2993656,151.31 140.32 141
172,2146,14 9 14,51,2993479,153 137.78 142
173,2140,14 9 13,51,2993479,153 137.78 142
174,2151,15 14 8,51,2993112,153.84 142.01 137
175,2118,10 15 11,51,2992331,149.62 142.86 140
176,2134,13 11 12,51,2992246,152.15 139.47 141
177,2151,15 8 14,51,2991551,153.84 136.94 142
178,2145,15 8 13,51,2991551,153.84 136.94 142
179,2123,11 14 11,51,2991431,150.46 142.01 140
180,2140,14 10 12,51,2990634,153 138.63 141
181,2129,12 13 11,51,2990331,151.31 141.17 140
182,2135,13 12 11,51,2989030,152.15 140.32 140
183,2151,15 15 7,51,2988950,153.84 142.86 136
184,2145,15 15 6,51,2988950,153.84 142.86 136
185,2145,15 9 12,51,2988820,153.84 137.78 141
186,2123,11 15 10,51,2987743,150.46 142.86 139
187,2140,14 11 11,51,2987530,153 139.47 140
188,2095,6 15 15,51,2987380,146.24 142.86 143
189,2101,7 14 15,51,2986869,147.08 142.01 143
190,2129,12 14 10,51,2986749,151.31 142.01 139
191,2106,8 13 15,51,2986154,147.93 141.17 143
192,2145,15 10 11,51,2985829,153.84 138.63 140
193,2134,13 13 10,51,2985558,152.15 141.17 139
194,2112,9 12 15,51,2985235,148.77 140.32 143
195,2140,14 12 10,51,2984167,153 140.32 139
196,2118,10 11 15,51,2984111,149.62 139.47 143
197,2101,7 15 14,51,2983637,147.08 142.86 142
198,2094,7 15 13,51,2983637,147.08 142.86 142
199,2106,8 14 14,51,2983028,147.93 142.01 142
200,2100,8 14 13,51,2983028,147.93 142.01 142
201,2129,12 15 9,51,2982912,151.31 142.86 138
202,2123,11 10 15,51,2982782,150.46 138.63 143
203,2145,15 11 10,51,2982578,153.84 139.47 139
204,2112,9 13 14,51,2982216,148.77 141.17 142
205,2106,9 13 13,51,2982216,148.77 141.17 142
206,2134,13 14 9,51,2981828,152.15 142.01 138
207,2129,12 9 15,51,2981250,151.31 137.78 143
208,2118,10 12 14,51,2981202,149.62 140.32 142
209,2112,10 12 13,51,2981202,149.62 140.32 142
210,2140,14 13 9,51,2980546,153 141.17 138
211,2123,11 11 14,51,2979984,150.46 139.47 142
212,2117,11 11 13,51,2979984,150.46 139.47 142
213,2100,8 15 12,51,2979652,147.93 142.86 141
214,2134,13 8 15,51,2979513,152.15 136.94 143
215,2145,15 12 9,51,2979067,153.84 140.32 138
216,2106,9 14 12,51,2978947,148.77 142.01 141
217,2129,12 10 14,51,2978564,151.31 138.63 142
218,2123,12 10 13,51,2978564,151.31 138.63 142
219,2112,10 13 12,51,2978040,149.62 141.17 141
220,2134,13 15 8,51,2977841,152.15 142.86 137
221,2139,14 7 15,51,2977571,153 136.09 143
222,2134,13 9 14,51,2976940,152.15 137.78 142
223,2128,13 9 13,51,2976940,152.15 137.78 142
224,2117,11 12 12,51,2976932,150.46 140.32 141
225,2140,14 14 8,51,2976666,153 142.01 137
226,2123,12 11 12,51,2975622,151.31 139.47 141
227,2144,15 6 15,51,2975425,153.84 135.25 143
228,2106,9 15 11,51,2975425,148.77 142.86 140
229,2145,15 13 8,51,2975295,153.84 141.17 137
230,2139,14 8 14,51,2975114,153 136.94 142
231,2133,14 8 13,51,2975114,153 136.94 142
232,2112,10 14 11,51,2974625,149.62 142.01 140
233,2128,13 10 12,51,2974111,152.15 138.63 141
234,2117,11 13 11,51,2973625,150.46 141.17 140
235,2145,15 7 14,51,2973085,153.84 136.09 142
236,2138,15 7 13,51,2973085,153.84 136.09 142
237,2139,14 15 7,51,2972527,153 142.86 136
238,2133,14 15 6,51,2972527,153 142.86 136
239,2123,12 12 11,51,2972424,151.31 140.32 140
240,2133,14 9 12,51,2972398,153 137.78 141
241,2145,15 14 7,51,2971264,153.84 142.01 136
242,2138,15 14 6,51,2971264,153.84 142.01 136
243,2128,13 11 11,51,2971024,152.15 139.47 140
244,2111,10 15 10,51,2970957,149.62 142.86 139
245,2138,15 8 12,51,2970484,153.84 136.94 141
246,2083,5 15 15,51,2970112,145.39 142.86 143
247,2117,11 14 10,51,2970064,150.46 142.01 139
248,2089,6 14 15,51,2969703,146.24 142.01 143
249,2133,14 10 11,51,2969423,153 138.63 140
250,2094,7 13 15,51,2969090,147.08 141.17 143
251,2123,12 13 10,51,2968971,151.31 141.17 139
252,2100,8 12 15,51,2968273,147.93 140.32 143
253,2128,13 12 10,51,2967680,152.15 140.32 139
254,2139,15 9 11,51,2967623,153.84 137.78 140
255,2106,9 11 15,51,2967251,148.77 139.47 143
256,2138,15 15 5,51,2966973,153.84 142.86 135
257,2089,6 15 14,51,2966490,146.24 142.86 142
258,2082,6 15 13,51,2966490,146.24 142.86 142
259,2117,11 15 9,51,2966248,150.46 142.86 138
260,2133,14 11 10,51,2966190,153 139.47 139
261,2111,10 10 15,51,2966025,149.62 138.63 143
262,2094,7 14 14,51,2965982,147.08 142.01 142
263,2088,7 14 13,51,2965982,147.08 142.01 142
264,2100,8 13 14,51,2965272,147.93 141.17 142
265,2094,8 13 13,51,2965272,147.93 141.17 142
266,2123,12 14 9,51,2965262,151.31 142.01 138
267,2117,11 9 15,51,2964595,150.46 137.78 143
268,2139,15 10 10,51,2964502,153.84 138.63 139
269,2106,9 12 14,51,2964359,148.77 140.32 142
270,2100,9 12 13,51,2964359,148.77 140.32 142
271,2128,13 13 9,51,2964079,152.15 141.17 138
272,2111,10 11 14,51,2963243,149.62 139.47 142
273,2105,10 11 13,51,2963243,149.62 139.47 142
274,2122,12 8 15,51,2962960,151.31 136.94 143
275,2133,14 12 9,51,2962698,153 140.32 138
276,2088,7 15 12,51,2962625,147.08 142.86 141
277,2094,8 14 12,51,2962021,147.93 142.01 141
278,2117,11 10 14,51,2961924,150.46 138.63 142
279,2111,11 10 13,51,2961924,150.46 138.63 142
280,2122,12 15 8,51,2961297,151.31 142.86 137
281,2100,9 13 12,51,2961215,148.77 141.17 141
282,2127,13 7 15,51,2961121,152.15 136.09 143
283,2139,15 11 9,51,2961121,153.84 139.47 138
284,2122,12 9 14,51,2960402,151.31 137.78 142
285,2116,12 9 13,51,2960402,151.31 137.78 142
286,2128,13 14 8,51,2960220,152.15 142.01 137
287,2105,10 12 12,51,2960207,149.62 140.32 141
288,2132,14 6 15,51,2959077,153 135.25 143
289,2111,11 11 12,51,2958998,150.46 139.47 141
290,2133,14 13 8,51,2958948,153 141.17 137
291,2128,13 8 14,51,2958677,152.15 136.94 142
292,2121,13 8 13,51,2958677,152.15 136.94 142
293,2094,8 15 11,51,2958520,147.93 142.86 140
294,2100,9 14 11,51,2957819,148.77 142.01 140
295,2116,12 10 12,51,2957588,151.31 138.63 141
296,2139,15 12 8,51,2957479,153.84 140.32 137
297,2105,10 13 11,51,2956919,149.62 141.17 140
298,2138,15 5 15,51,2956829,153.84 134.4 143
299,2133,14 7 14,51,2956749,153 136.09 142
300,2127,14 7 13,51,2956749,153 136.09 142
301,2128,13 15 7,51,2956105,152.15 142.86 136
302,2121,13 15 6,51,2956105,152.15 142.86 136
303,2122,13 9 12,51,2955976,152.15 137.78 141
304,2111,11 12 11,51,2955819,150.46 140.32 140
305,2133,14 14 7,51,2954938,153 142.01 136
306,2127,14 14 6,51,2954938,153 142.01 136
307,2138,15 6 14,51,2954618,153.84 135.25 142
308,2132,15 6 13,51,2954618,153.84 135.25 142
309,2116,12 11 11,51,2954518,151.31 139.47 140
310,2100,9 15 10,51,2954172,148.77 142.86 139
311,2127,14 8 12,51,2954162,153 136.94 141
312,2138,15 13 7,51,2953578,153.84 141.17 136
313,2132,15 13 6,51,2953578,153.84 141.17 136
314,2105,10 14 10,51,2953378,149.62 142.01 139
315,2122,13 10 11,51,2953018,152.15 138.63 140
316,2071,4 15 15,51,2952844,144.55 142.86 143
317,2076,5 14 15,51,2952538,145.39 142.01 143
318,2111,11 13 10,51,2952385,150.46 141.17 139
319,2132,15 7 12,51,2952147,153.84 136.09 141
320,2082,6 13 15,51,2952027,146.24 141.17 143
321,2127,14 9 11,51,2951317,153 137.78 140
322,2088,7 12 15,51,2951311,147.08 140.32 143
323,2116,12 12 10,51,2951193,151.31 140.32 139
