rank,cp,ivs,maxlevel,stat-product,stats
1,2498,5 15 15,51,4213452,147.93 175.82 162
2,2492,5 14 15,51,4193195,147.93 174.98 162
3,2500,7 14 14,50.5,4191528,149.2 174.49 161
4,2500,6 14 14,51,4191125,148.77 174.98 161
5,2484,4 15 15,51,4189375,147.08 175.82 162
6,2499,6 15 15,50.5,4187981,148.36 175.33 161
7,2492,6 15 14,50.5,4187981,148.36 175.33 161
8,2492,5 15 14,51,4187443,147.93 175.82 161
9,2500,7 15 13,50.5,4185617,149.2 175.33 160
10,2497,7 15 15,50,4185344,148.73 174.78 161
11,2500,6 15 13,51,4185214,148.77 175.82 160
12,2494,6 12 15,51,4176411,148.77 173.29 162
13,2486,5 13 15,51,4172938,147.93 174.13 162
14,2494,7 13 14,50.5,4171279,149.2 173.65 161
15,2494,6 13 14,51,4170878,148.77 174.13 161
16,2478,4 14 15,51,4169234,147.08 174.98 162
17,2499,8 13 15,50,4168519,149.57 173.1 161
18,2493,6 14 15,50.5,4167847,148.36 174.49 161
19,2486,5 14 14,51,4167311,147.93 174.98 161
20,2494,7 14 13,50.5,4165494,149.2 174.49 160
21,2470,3 15 15,51,4165299,146.24 175.82 162
22,2491,7 14 15,50,4165222,148.73 173.94 161
23,2493,6 14 13,51,4165093,148.77 174.98 160
24,2478,4 15 14,51,4163515,147.08 175.82 161
25,2499,9 14 14,49.5,4162892,150 173.46 160
26,2499,8 14 14,50,4162737,149.57 173.94 160
27,2485,5 15 13,51,4161434,147.93 175.82 160
28,2497,8 15 15,49.5,4159634,149.16 174.3 160
29,2491,8 15 14,49.5,4159634,149.16 174.3 160
30,2493,7 15 12,50.5,4159457,149.2 175.33 159
31,2491,7 15 14,50,4159348,148.73 174.78 160
32,2496,7 10 15,51,4159164,149.62 171.6 162
33,2493,6 15 12,51,4159056,148.77 175.82 159
34,2498,9 15 13,49.5,4156859,150 174.3 159
35,2498,8 15 13,50,4156704,149.57 174.78 159
36,2495,9 15 15,49,4156438,149.52 173.74 160
37,2500,7 15 11,51,4156381,149.62 175.82 158
38,2494,7 15 10,51,4156381,149.62 175.82 158
39,2488,6 11 15,51,4156038,148.77 172.44 162
40,2496,8 11 14,50.5,4154119,150.04 171.96 161
41,2496,7 11 14,51,4153852,149.62 172.44 161
42,2480,5 12 15,51,4152681,147.93 173.29 162
43,2495,7 12 15,50.5,4151030,149.2 172.8 161
44,2488,7 12 14,50.5,4151030,149.2 172.8 161
45,2488,6 12 14,51,4150631,148.77 173.29 161
46,2472,4 13 15,51,4149093,147.08 174.13 162
47,2496,8 12 13,50.5,4148554,150.04 172.8 160
48,2496,7 12 13,51,4148287,149.62 173.29 160
49,2493,8 12 15,50,4148283,149.57 172.26 161
50,2487,6 13 15,50.5,4147712,148.36 173.65 161
51,2480,5 13 14,51,4147179,147.93 174.13 161
52,2488,7 13 13,50.5,4145370,149.2 173.65 160
53,2464,3 14 15,51,4145273,146.24 174.98 162
54,2485,7 13 15,50,4145100,148.73 173.1 161
55,2487,6 13 13,51,4144972,148.77 174.13 160
56,2472,4 14 14,51,4143498,147.08 174.98 161
57,2499,9 13 15,49.5,4142782,150 172.62 160
58,2493,9 13 14,49.5,4142782,150 172.62 160
59,2495,8 13 12,50.5,4142736,150.04 173.65 159
60,2493,8 13 14,50,4142627,149.57 173.1 160
61,2495,7 13 12,51,4142469,149.62 174.13 159
62,2498,8 8 15,51,4141453,150.46 169.91 162
63,2479,5 14 13,51,4141427,147.93 174.98 160
64,2456,2 15 15,51,4141222,145.39 175.82 162
65,2500,10 13 13,49.5,4139889,150.83 172.62 159
66,2500,9 13 13,50,4139864,150.41 173.1 159
67,2496,8 13 10,51,4139673,150.46 174.13 158
68,2491,8 14 15,49.5,4139636,149.16 173.46 160
69,2463,3 15 14,51,4139587,146.24 175.82 161
70,2497,10 13 15,49,4139469,150.35 172.07 160
71,2487,7 14 12,50.5,4139459,149.2 174.49 159
72,2487,6 14 12,51,4139061,148.77 174.98 159
73,2490,7 9 15,51,4138675,149.62 170.75 162
74,2471,4 15 13,51,4137655,147.08 175.82 160
75,2492,9 14 13,49.5,4136874,150 173.46 159
76,2492,8 14 13,50,4136720,149.57 173.94 159
77,2495,8 14 11,50.5,4136665,150.04 174.49 158
78,2498,9 9 14,50.5,4136501,150.89 170.28 161
79,2489,9 14 15,49,4136455,149.52 172.91 160
80,2494,7 14 11,51,4136399,149.62 174.98 158
81,2488,7 14 10,51,4136399,149.62 174.98 158
82,2498,8 9 14,51,4136366,150.46 170.75 161
83,2482,6 10 15,51,4135666,148.77 171.6 162
84,2479,5 15 12,51,4135425,147.93 175.82 159
85,2500,10 14 12,49.5,4133822,150.83 173.46 158
86,2499,9 14 12,50,4133797,150.41 173.94 158
87,2497,8 10 15,50.5,4133756,150.04 171.12 161
88,2490,8 10 14,50.5,4133756,150.04 171.12 161
89,2497,10 14 14,49,4133566,150.35 172.91 159
90,2490,7 10 14,51,4133490,149.62 171.6 161
91,2497,11 14 14,48.5,4133484,150.77 172.43 159
92,2495,8 14 9,51,4133440,150.46 174.98 157
93,2486,6 15 11,51,4132899,148.77 175.82 158
94,2480,6 15 10,51,4132899,148.77 175.82 158
95,2474,5 11 15,51,4132424,147.93 172.44 162
96,2497,9 10 13,50.5,4131159,150.89 171.12 160
97,2497,8 10 13,51,4131024,150.46 171.6 160
98,2495,9 10 15,50,4130890,150.41 170.58 161
99,2489,7 11 15,50.5,4130781,149.2 171.96 161
100,2492,9 15 12,49.5,4130716,150 174.3 158
101,2500,10 14 10,50,4130581,151.25 173.94 157
102,2492,8 15 12,50,4130562,149.57 174.78 158
103,2495,10 15 15,48.5,4130506,149.94 173.26 159
104,2489,10 15 14,48.5,4130506,149.94 173.26 159
105,2489,9 15 14,49,4130460,149.52 173.74 159
106,2482,6 11 14,51,4130384,148.77 172.44 161
107,2494,8 15 10,50.5,4130341,150.04 175.33 157
108,2487,7 15 9,51,4130075,149.62 175.82 157
109,2466,4 12 15,51,4128952,147.08 173.29 162
110,2490,8 11 13,50.5,4128317,150.04 171.96 160
111,2489,7 11 13,51,4128051,149.62 172.44 160
112,2487,8 11 15,50,4128048,149.57 171.42 161
113,2499,10 15 11,49.5,4127502,150.83 174.3 157
114,2499,9 15 11,50,4127477,150.41 174.78 157
115,2492,9 15 10,50,4127477,150.41 174.78 157
116,2496,10 15 13,49,4127412,150.35 173.74 158
117,2496,11 15 13,48.5,4127331,150.77 173.26 158
118,2474,5 12 14,51,4127048,147.93 173.29 161
119,2494,8 15 8,51,4126954,150.46 175.82 156
120,2493,11 15 15,48,4126759,150.28 172.7 159
121,2497,9 11 12,50.5,4125563,150.89 171.96 159
122,2494,10 11 14,49.5,4125480,150.83 170.94 160
123,2494,9 11 14,50,4125455,150.41 171.42 160
124,2497,8 11 12,51,4125428,150.46 172.44 159
