rank,cp,ivs,maxlevel,stat-product,stats
1,2496,0 13 14,28.5,3304863,188.28 116.25 151
2,2497,0 14 13,28.5,3303117,188.28 116.96 150
3,2499,0 15 12,28.5,3301103,188.28 117.67 149
4,2493,0 15 11,28.5,3301103,188.28 117.67 149
5,2497,1 12 14,28.5,3297029,188.99 115.53 151
6,2499,1 13 13,28.5,3295412,188.99 116.25 150
7,2495,1 14 11,28.5,3293525,188.99 116.96 149
8,2498,4 15 13,28,3292316,189.44 116.64 149
9,2500,0 15 5,29,3291398,189.92 118.7 146
10,2496,1 15 10,28.5,3291369,188.99 117.67 148
11,2491,2 15 15,28,3289677,188.03 116.64 150
12,2499,2 11 14,28.5,3289042,189.7 114.82 151
13,2497,2 13 11,28.5,3285795,189.7 116.25 149
14,2494,0 12 15,28.5,3284588,188.28 115.53 151
15,2488,0 12 14,28.5,3284588,188.28 115.53 151
16,2500,5 14 13,28,3284573,190.15 115.93 149
17,2498,2 14 10,28.5,3283766,189.7 116.96 148
18,2490,0 13 13,28.5,3282976,188.28 116.25 150
19,2493,3 14 15,28,3282032,188.74 115.93 150
20,2498,0 7 15,29,3281971,189.92 112.95 153
21,2500,2 15 9,28.5,3281466,189.7 117.67 147
22,2500,0 8 14,29,3281288,189.92 113.67 152
23,2491,0 14 12,28.5,3281097,188.28 116.96 149
24,2485,0 14 11,28.5,3281097,188.28 116.96 149
25,2496,0 9 12,29,3280331,189.92 114.38 151
26,2495,3 15 14,28,3280031,188.74 116.64 149
27,2489,3 15 13,28,3280031,188.74 116.64 149
28,2498,0 10 11,29,3279102,189.92 115.1 150
29,2487,0 15 10,28.5,3278948,188.28 117.67 148
30,2498,3 12 11,28.5,3277914,190.42 115.53 149
31,2500,0 11 10,29,3277599,189.92 115.82 149
32,2482,1 15 15,28,3277310,187.32 116.64 150
33,2495,1 11 15,28.5,3276677,188.99 114.82 151
34,2490,1 11 14,28.5,3276677,188.99 114.82 151
35,2500,3 13 10,28.5,3276013,190.42 116.25 148
36,2495,0 12 8,29,3275823,189.92 116.54 148
37,2491,1 12 13,28.5,3275195,188.99 115.53 150
38,2495,4 13 15,28,3274237,189.44 115.22 150
39,2497,0 13 7,29,3273773,189.92 117.26 147
40,2493,1 13 12,28.5,3273443,188.99 116.25 149
41,2487,1 13 11,28.5,3273443,188.99 116.25 149
42,2499,1 6 15,29,3273419,190.64 112.23 153
43,2499,6 15 10,28,3272363,190.86 116.64 147
44,2497,4 14 14,28,3272362,189.44 115.93 149
45,2491,4 14 13,28,3272362,189.44 115.93 149
46,2498,1 8 12,29,3272048,190.64 113.67 151
47,2499,0 14 6,29,3271450,189.92 117.98 146
48,2492,0 14 5,29,3271450,189.92 117.98 146
49,2489,1 14 10,28.5,3271421,188.99 116.96 148
50,2497,3 15 7,28.5,3271395,190.42 117.67 146
51,2500,1 9 11,29,3270950,190.64 114.38 150
52,2492,4 15 12,28,3270220,189.44 116.64 148
53,2500,4 11 11,28.5,3269881,191.13 114.82 149
54,2484,2 14 15,28,3269740,188.03 115.93 150
55,2493,7 15 15,27.5,3269707,189.85 115.59 149
56,2490,1 15 9,28.5,3269130,188.99 117.67 147
57,2494,0 15 4,29,3268854,189.92 118.7 145
58,2497,2 10 15,28.5,3268613,189.7 114.11 151
59,2491,2 10 14,28.5,3268613,189.7 114.11 151
60,2497,1 11 8,29,3267933,190.64 115.82 148
61,2485,2 15 14,28,3267746,188.03 116.64 149
62,2480,2 15 13,28,3267746,188.03 116.64 149
63,2493,2 11 13,28.5,3267260,189.7 114.82 150
64,2496,5 12 15,28,3266292,190.15 114.52 150
