rank,cp,ivs,maxlevel,stat-product,stats
1,1980,15 15 15,51,2633868,148.77 130.18 136
2,1968,14 15 15,51,2618903,147.93 130.18 136
3,1973,15 14 15,51,2616765,148.77 129.33 136
4,1974,15 15 14,51,2614501,148.77 130.18 135
5,1957,13 15 15,51,2603937,147.08 130.18 136
6,1962,14 14 15,51,2601897,147.93 129.33 136
7,1967,15 13 15,51,2599662,148.77 128.49 136
8,1962,14 15 14,51,2599646,147.93 130.18 135
9,1967,15 14 14,51,2597524,148.77 129.33 135
10,1967,15 15 13,51,2595134,148.77 130.18 134
11,1946,12 15 15,51,2588972,146.24 130.18 136
12,1951,13 14 15,51,2587029,147.08 129.33 136
13,1956,14 13 15,51,2584891,147.93 128.49 136
14,1951,13 15 14,51,2584791,147.08 130.18 135
15,1956,14 14 14,51,2582765,147.93 129.33 135
16,1960,15 12 15,51,2582559,148.77 127.64 136
17,1961,15 13 14,51,2580546,148.77 128.49 135
18,1956,14 15 13,51,2580389,147.93 130.18 134
19,1961,15 14 13,51,2578283,148.77 129.33 134
20,1961,15 15 12,51,2575768,148.77 130.18 133
21,1935,11 15 15,51,2574007,145.39 130.18 136
22,1940,12 14 15,51,2572161,146.24 129.33 136
23,1944,13 13 15,51,2570120,147.08 128.49 136
24,1940,12 15 14,51,2569936,146.24 130.18 135
25,1945,13 14 14,51,2568006,147.08 129.33 135
26,1949,14 12 15,51,2567885,147.93 127.64 136
27,1950,14 13 14,51,2565884,147.93 128.49 135
28,1945,13 15 13,51,2565644,147.08 130.18 134
29,1954,15 11 15,51,2565456,148.77 126.8 136
30,1950,14 14 13,51,2563633,147.93 129.33 134
31,1954,15 12 14,51,2563569,148.77 127.64 135
32,1955,15 13 13,51,2561431,148.77 128.49 134
33,1950,14 15 12,51,2561133,147.93 130.18 133
34,1923,10 15 15,51,2559042,144.55 130.18 136
35,1955,15 14 12,51,2559042,148.77 129.33 133
36,1928,11 14 15,51,2557293,145.39 129.33 136
37,1955,15 15 11,51,2556401,148.77 130.18 132
38,1933,12 13 15,51,2555349,146.24 128.49 136
39,1929,11 15 14,51,2555081,145.39 130.18 135
40,1934,12 14 14,51,2553248,146.24 129.33 135
41,1938,13 12 15,51,2553211,147.08 127.64 136
42,1938,13 13 14,51,2551222,147.08 128.49 135
43,1934,12 15 13,51,2550899,146.24 130.18 134
44,1943,14 11 15,51,2550879,147.93 126.8 136
45,1943,14 12 14,51,2549003,147.93 127.64 135
46,1939,13 14 13,51,2548984,147.08 129.33 134
47,1947,15 10 15,51,2548352,148.77 125.95 136
48,1943,14 13 13,51,2546878,147.93 128.49 134
49,1948,15 11 14,51,2546592,148.77 126.8 135
50,1939,13 15 12,51,2546498,147.08 130.18 133
51,1948,15 12 13,51,2544580,148.77 127.64 134
52,1944,14 14 12,51,2544502,147.93 129.33 133
53,1912,9 15 15,51,2544077,143.7 130.18 136
54,1917,10 14 15,51,2542425,144.55 129.33 136
55,1948,15 13 12,51,2542316,148.77 128.49 133
56,1944,14 15 11,51,2541876,147.93 130.18 132
57,1922,11 13 15,51,2540578,145.39 128.49 136
58,1917,10 15 14,51,2540225,144.55 130.18 135
59,1949,15 14 11,51,2539801,148.77 129.33 132
60,1927,12 12 15,51,2538538,146.24 127.64 136
61,1922,11 14 14,51,2538489,145.39 129.33 135
62,1949,15 15 10,51,2537034,148.77 130.18 131
63,1942,15 15 9,51,2537034,148.77 130.18 131
64,1927,12 13 14,51,2536560,146.24 128.49 135
65,1932,13 11 15,51,2536303,147.08 126.8 136
66,1923,11 15 13,51,2536154,145.39 130.18 134
67,1932,13 12 14,51,2534438,147.08 127.64 135
68,1928,12 14 13,51,2534335,146.24 129.33 134
69,1936,14 10 15,51,2533873,147.93 125.95 136
70,1932,13 13 13,51,2532324,147.08 128.49 134
71,1937,14 11 14,51,2532123,147.93 126.8 135
72,1928,12 15 12,51,2531863,146.24 130.18 133
73,1941,15 9 15,51,2531249,148.77 125.1 136
74,1937,14 12 13,51,2530122,147.93 127.64 134
75,1933,13 14 12,51,2529962,147.08 129.33 133
76,1941,15 10 14,51,2529615,148.77 125.95 135
77,1901,8 15 15,51,2529112,142.86 130.18 136
78,1937,14 13 12,51,2527871,147.93 128.49 133
79,1942,15 11 13,51,2527728,148.77 126.8 134
80,1906,9 14 15,51,2527557,143.7 129.33 136
81,1933,13 15 11,51,2527351,147.08 130.18 132
82,1911,10 13 15,51,2525808,144.55 128.49 136
83,1942,15 12 12,51,2525590,148.77 127.64 133
84,1906,9 15 14,51,2525370,143.7 130.18 135
85,1938,14 14 11,51,2525370,147.93 129.33 132
86,1916,11 12 15,51,2523864,145.39 127.64 136
87,1911,10 14 14,51,2523730,144.55 129.33 135
88,1942,15 13 11,51,2523201,148.77 128.49 132
89,1938,14 15 10,51,2522619,147.93 130.18 131
90,1931,14 15 9,51,2522619,147.93 130.18 131
91,1916,11 13 14,51,2521898,145.39 128.49 135
92,1920,12 11 15,51,2521726,146.24 126.8 136
93,1911,10 15 13,51,2521409,144.55 130.18 134
94,1942,15 14 10,51,2520560,148.77 129.33 131
95,1936,15 14 9,51,2520560,148.77 129.33 131
96,1921,12 12 14,51,2519872,146.24 127.64 135
97,1916,11 14 13,51,2519685,145.39 129.33 134
98,1925,13 10 15,51,2519394,147.08 125.95 136
99,1921,12 13 13,51,2517771,146.24 128.49 134
100,1936,15 15 8,51,2517668,148.77 130.18 130
101,1926,13 11 14,51,2517653,147.08 126.8 135
102,1917,11 15 12,51,2517227,145.39 130.18 133
103,1930,14 9 15,51,2516867,147.93 125.1 136
104,1926,13 12 13,51,2515664,147.08 127.64 134
105,1921,12 14 12,51,2515422,146.24 129.33 133
106,1930,14 10 14,51,2515242,147.93 125.95 135
107,1934,15 8 15,51,2514146,148.77 124.26 136
108,1890,7 15 15,51,2514146,142.01 130.18 136
109,1926,13 13 12,51,2513426,147.08 128.49 133
110,1931,14 11 13,51,2513366,147.93 126.8 134
111,1922,12 15 11,51,2512826,146.24 130.18 132
112,1895,8 14 15,51,2512689,142.86 129.33 136
113,1935,15 9 14,51,2512637,148.77 125.1 135
114,1931,14 12 12,51,2511240,147.93 127.64 133
115,1900,9 13 15,51,2511037,143.7 128.49 136
116,1926,13 14 11,51,2510940,147.08 129.33 132
117,1935,15 10 13,51,2510877,148.77 125.95 134
118,1895,8 15 14,51,2510515,142.86 130.18 135
119,1905,10 12 15,51,2509190,144.55 127.64 136
120,1900,9 14 14,51,2508972,143.7 129.33 135
121,1936,15 11 12,51,2508865,148.77 126.8 133
122,1931,14 13 11,51,2508865,147.93 128.49 132
123,1927,13 15 10,51,2508204,147.08 130.18 131
124,1920,13 15 9,51,2508204,147.08 130.18 131
125,1905,10 13 14,51,2507235,144.55 128.49 135
126,1909,11 11 15,51,2507150,145.39 126.8 136
127,1900,9 15 13,51,2506664,143.7 130.18 134
128,1936,15 12 11,51,2506601,148.77 127.64 132
129,1931,14 14 10,51,2506239,147.93 129.33 131
130,1925,14 14 9,51,2506239,147.93 129.33 131
131,1910,11 12 14,51,2505306,145.39 127.64 135
132,1905,10 14 13,51,2505036,144.55 129.33 134
133,1914,12 10 15,51,2504915,146.24 125.95 136
134,1936,15 13 10,51,2504086,148.77 128.49 131
135,1930,15 13 9,51,2504086,148.77 128.49 131
136,1925,14 15 8,51,2503363,147.93 130.18 130
137,1910,11 13 13,51,2503217,145.39 128.49 134
138,1915,12 11 14,51,2503184,146.24 126.8 135
139,1905,10 15 12,51,2502592,144.55 130.18 133
140,1919,13 9 15,51,2502485,147.08 125.1 136
141,1930,15 14 8,51,2501319,148.77 129.33 130
142,1915,12 12 13,51,2501206,146.24 127.64 134
143,1910,11 14 12,51,2500882,145.39 129.33 133
144,1919,13 10 14,51,2500869,147.08 125.95 135
145,1923,14 8 15,51,2499861,147.93 124.26 136
146,1878,6 15 15,51,2499181,141.17 130.18 136
147,1920,13 11 13,51,2499004,147.08 126.8 134
148,1915,12 13 12,51,2498981,146.24 128.49 133
149,1924,14 9 14,51,2498361,147.93 125.1 135
150,1910,11 15 11,51,2498301,145.39 130.18 132
151,1930,15 15 7,51,2498301,148.77 130.18 129
152,1884,7 14 15,51,2497821,142.01 129.33 136
153,1928,15 7 15,51,2497043,148.77 123.41 136
154,1920,13 12 12,51,2496890,147.08 127.64 133
155,1924,14 10 13,51,2496610,147.93 125.95 134
156,1915,12 14 11,51,2496509,146.24 129.33 132
157,1889,8 13 15,51,2496266,142.86 128.49 136
158,1928,15 8 14,51,2495660,148.77 124.26 135
159,1884,7 15 14,51,2495660,142.01 130.18 135
160,1925,14 11 12,51,2494610,147.93 126.8 133
161,1920,13 13 11,51,2494528,147.08 128.49 132
162,1893,9 12 15,51,2494517,143.7 127.64 136
163,1889,8 14 14,51,2494213,142.86 129.33 135
164,1929,15 9 13,51,2494025,148.77 125.1 134
165,1915,12 15 10,51,2493789,146.24 130.18 131
166,1909,12 15 9,51,2493789,146.24 130.18 131
167,1898,10 11 15,51,2492573,144.55 126.8 136
168,1894,9 13 14,51,2492573,143.7 128.49 135
169,1925,14 12 11,51,2492359,147.93 127.64 132
170,1929,15 10 12,51,2492139,148.77 125.95 133
171,1889,8 15 13,51,2491919,142.86 130.18 134
172,1920,13 14 10,51,2491917,147.08 129.33 131
173,1914,13 14 9,51,2491917,147.08 129.33 131
174,1899,10 12 14,51,2490740,144.55 127.64 135
175,1903,11 10 15,51,2490435,145.39 125.95 136
176,1894,9 14 13,51,2490387,143.7 129.33 134
177,1929,15 11 11,51,2490001,148.77 126.8 132
178,1925,14 13 10,51,2489858,147.93 128.49 131
179,1919,14 13 9,51,2489858,147.93 128.49 131
180,1914,13 15 8,51,2489058,147.08 130.18 130
181,1903,11 11 14,51,2488715,145.39 126.8 135
182,1899,10 13 13,51,2488663,144.55 128.49 134
183,1908,12 9 15,51,2488103,146.24 125.1 136
184,1894,9 15 12,51,2487957,143.7 130.18 133
185,1930,15 12 10,51,2487612,148.77 127.64 131
186,1923,15 12 9,51,2487612,148.77 127.64 131
187,1919,14 14 8,51,2487107,147.93 129.33 130
188,1904,11 12 13,51,2486748,145.39 127.64 134
189,1908,12 10 14,51,2486496,146.24 125.95 135
190,1899,10 14 12,51,2486342,144.55 129.33 133
191,1912,13 8 15,51,2485577,147.08 124.26 136
192,1924,15 13 8,51,2484971,148.77 128.49 130
193,1909,12 11 13,51,2484642,146.24 126.8 134
194,1904,11 13 12,51,2484536,145.39 128.49 133
195,1867,5 15 15,51,2484216,140.32 130.18 136
196,1919,14 15 7,51,2484106,147.93 130.18 129
197,1913,13 9 14,51,2484085,147.08 125.1 135
198,1899,10 15 11,51,2483776,144.55 130.18 132
199,1872,6 14 15,51,2482953,141.17 129.33 136
200,1917,14 7 15,51,2482856,147.93 123.41 136
201,1909,12 12 12,51,2482540,146.24 127.64 133
202,1913,13 10 13,51,2482344,147.08 125.95 134
203,1904,11 14 11,51,2482078,145.39 129.33 132
204,1924,15 14 7,51,2482078,148.77 129.33 129
205,1877,7 13 15,51,2481495,142.01 128.49 136
206,1917,14 8 14,51,2481480,147.93 124.26 135
207,1873,6 15 14,51,2480805,141.17 130.18 135
208,1914,13 11 12,51,2480355,147.08 126.8 133
209,1909,12 13 11,51,2480192,146.24 128.49 132
210,1921,15 6 15,51,2479940,148.77 122.57 136
211,1918,14 9 13,51,2479855,147.93 125.1 134
212,1882,8 12 15,51,2479843,142.86 127.64 136
213,1878,7 14 14,51,2479454,142.01 129.33 135
214,1904,11 15 10,51,2479374,145.39 130.18 131
215,1898,11 15 9,51,2479374,145.39 130.18 131
216,1924,15 15 6,51,2478934,148.77 130.18 128
217,1922,15 7 14,51,2478683,148.77 123.41 135
218,1914,13 12 11,51,2478117,147.08 127.64 132
219,1887,9 11 15,51,2477997,143.7 126.8 136
220,1918,14 10 12,51,2477979,147.93 125.95 133
221,1883,8 13 14,51,2477911,142.86 128.49 135
