rank,cp,ivs,maxlevel,stat-product,stats
1,2500,1 10 15,50,5159191,121 247.89 172
2,2495,1 15 13,49.5,5156850,120.67 251.39 170
3,2500,2 13 15,49,5155435,121.12 248.92 171
4,2491,1 15 15,49,5154242,120.28 250.59 171
5,2499,1 13 15,49.5,5152603,120.67 249.71 171
6,2500,1 13 13,50,5151057,121 250.41 170
7,2498,1 11 14,50,5146583,121 248.73 171
8,2499,1 9 13,50.5,5144093,121.38 247.83 171
9,2498,2 14 14,49,5142485,121.12 249.75 170
10,2496,1 9 15,50,5141703,121 247.05 172
11,2500,2 12 13,49.5,5140735,121.5 248.88 170
12,2497,1 14 14,49.5,5139661,120.67 250.55 170
13,2491,1 14 13,49.5,5139661,120.67 250.55 170
14,2496,2 12 15,49,5138135,121.12 248.08 171
15,2498,1 14 12,50,5137940,121 251.25 169
16,2487,1 14 15,49,5137061,120.28 249.75 171
17,2499,3 15 13,48.5,5136072,121.62 249.89 169
18,2500,1 12 11,50.5,5135805,121.38 250.36 169
19,2494,1 12 15,49.5,5135313,120.67 248.88 171
20,2496,1 12 13,50,5133772,121 249.57 170
21,2496,3 15 15,48,5133258,121.22 249.09 170
22,2500,2 15 11,49.5,5131572,121.5 251.39 168
23,2497,1 10 12,50.5,5131405,121.38 248.67 170
24,2495,2 15 15,48.5,5131076,120.78 249.89 170
25,2499,1 10 10,51,5129711,121.72 249.36 169
26,2496,2 15 13,49,5129333,121.12 250.59 169
27,2494,1 10 14,50,5129196,121 247.89 171
28,2498,2 13 12,49.5,5127702,121.5 249.71 169
29,2495,1 8 13,50.5,5126596,121.38 246.98 171
30,2500,1 3 15,51,5126521,121.72 243.45 173
31,2489,1 15 12,49.5,5126516,120.67 251.39 169
32,2500,1 15 9,50.5,5126289,121.38 252.88 167
33,2499,2 13 10,50,5125807,121.84 250.41 168
34,2494,2 13 14,49,5125286,121.12 248.92 170
35,2496,1 15 11,50,5124621,121 252.09 168
36,2490,1 15 10,50,5124621,121 252.09 168
37,2500,2 6 15,50,5124578,121.84 244.53 172
38,2491,1 8 15,50,5124214,121 246.21 172
39,2485,1 15 14,49,5124100,120.28 250.59 170
40,2495,2 11 13,49.5,5123426,121.5 248.04 170
41,2497,1 13 10,50.5,5122606,121.38 251.2 168
42,2493,1 13 14,49.5,5122471,120.67 249.71 170
43,2499,1 6 15,50.5,5121378,121.38 245.3 172
44,2500,3 9 15,49,5121312,121.95 245.58 171
45,2492,2 11 15,49,5120835,121.12 247.25 171
46,2494,1 13 12,50,5120757,121 250.41 169
47,2499,1 13 8,51,5120554,121.72 251.9 167
48,2500,1 6 13,51,5120039,121.72 245.98 171
49,2495,3 14 13,48.5,5118952,121.62 249.06 169
50,2499,2 9 15,49.5,5118743,121.5 246.36 171
51,2495,1 11 11,50.5,5118513,121.38 249.51 169
52,2490,1 11 15,49.5,5118022,120.67 248.04 171
53,2500,4 12 15,48,5116733,122.05 246.6 170
54,2497,1 11 9,51,5116644,121.72 250.21 168
55,2492,1 11 13,50,5116486,121 248.73 170
56,2491,3 14 15,48,5116147,121.22 248.26 170
57,2499,3 12 15,48.5,5114798,121.62 247.4 170
58,2498,1 4 14,51,5114586,121.72 244.29 172
59,2496,2 14 11,49.5,5114466,121.5 250.55 168
60,2493,1 9 12,50.5,5114011,121.38 247.83 170
61,2490,2 14 15,48.5,5113972,120.78 249.06 170
62,2500,2 14 7,50.5,5113876,122.23 252.04 166
63,2497,2 14 9,50,5112394,121.84 251.25 167
64,2495,1 9 10,51,5112322,121.72 248.52 169
65,2498,2 7 14,50,5112292,121.84 245.37 171
66,2492,2 14 13,49,5112235,121.12 249.75 169
67,2490,1 9 14,50,5111809,121 247.05 171
68,2499,5 15 15,47,5110852,122.14 247.59 169
69,2493,2 12 12,49.5,5110495,121.5 248.88 169
70,2499,4 15 15,47.5,5109555,121.72 248.4 169
71,2499,2 5 13,50.5,5109342,122.23 244.46 171
72,2495,1 14 9,50.5,5109202,121.38 252.04 167
73,2497,1 7 14,50.5,5109099,121.38 246.14 171
74,2491,1 7 13,50.5,5109099,121.38 246.14 171
75,2495,1 2 15,51,5108721,121.72 242.6 173
76,2498,3 10 14,49,5108680,121.95 246.41 170
77,2495,2 12 10,50,5108606,121.84 249.57 168
78,2490,2 12 14,49,5108087,121.12 248.08 170
79,2500,4 15 13,48,5107612,122.05 249.09 168
80,2498,1 7 12,51,5107589,121.72 246.83 170
81,2492,1 14 11,50,5107538,121 251.25 168
82,2486,1 14 10,50,5107538,121 251.25 168
83,2497,1 14 7,51,5106972,121.72 252.74 166
84,2496,2 5 15,50,5106968,121.84 243.69 172
85,2487,1 7 15,50,5106725,121 245.37 172
86,2500,3 8 13,49.5,5106475,122.34 245.52 170
87,2497,2 10 14,49.5,5106117,121.5 247.2 170
88,2491,2 10 13,49.5,5106117,121.5 247.2 170
89,2493,3 15 12,48.5,5105681,121.62 249.89 168
90,2493,1 12 10,50.5,5105416,121.38 250.36 168
91,2488,1 12 14,49.5,5105282,120.67 248.88 170
92,2499,2 10 12,50,5104408,121.84 247.89 169
93,2496,3 8 15,49,5103892,121.95 244.74 171
94,2494,1 5 15,50.5,5103779,121.38 244.46 172
95,2498,4 13 14,48,5103761,122.05 247.43 169
96,2495,3 15 10,49,5103587,121.95 250.59 167
97,2490,1 12 12,50,5103573,121 249.57 169
98,2487,2 10 15,49,5103534,121.12 246.41 171
99,2495,1 12 8,51,5103371,121.72 251.05 167
100,2489,3 15 14,48,5103062,121.22 249.09 169
101,2496,1 5 13,51,5102445,121.72 245.14 171
102,2500,4 11 13,48.5,5102300,122.45 246.56 169
103,2497,3 13 14,48.5,5101831,121.62 248.23 169
104,2491,3 13 13,48.5,5101831,121.62 248.23 169
105,2500,2 8 11,50.5,5101821,122.23 246.98 169
106,2495,2 8 15,49.5,5101332,121.5 245.52 171
107,2491,1 10 11,50.5,5101220,121.38 248.67 169
108,2493,2 15 10,49.5,5101026,121.5 251.39 167
109,2488,2 15 14,48.5,5100893,120.78 249.89 169
110,2498,2 15 6,50.5,5100069,122.23 252.88 165
111,2499,3 13 12,49,5099920,121.95 248.92 168
112,2497,2 8 13,50,5099801,121.84 246.21 170
113,2496,4 11 15,48,5099505,122.05 245.77 170
114,2492,1 10 9,51,5099358,121.72 249.36 168
115,2488,1 10 13,50,5099201,121 247.89 170
116,2487,3 13 15,48,5099036,121.22 247.43 170
117,2490,2 15 12,49,5098982,121.12 250.59 168
118,2495,2 15 8,50,5098777,121.84 252.09 166
119,2500,3 11 11,49.5,5098069,122.34 248.04 168
