rank,cp,ivs,maxlevel,stat-product,stats
1,762,15 15 15,51,663843,87.07 69.31 110
2,759,15 15 14,51,657808,87.07 69.31 109
3,756,15 15 13,51,657808,87.07 69.31 109
4,755,14 15 15,51,657398,86.22 69.31 110
5,758,15 14 15,51,655747,87.07 68.47 110
6,753,15 15 12,51,651773,87.07 69.31 108
7,752,14 15 14,51,651421,86.22 69.31 109
8,749,14 15 13,51,651421,86.22 69.31 109
9,747,13 15 15,51,650953,85.38 69.31 110
10,755,15 14 14,51,649786,87.07 68.47 109
11,752,15 14 13,51,649786,87.07 68.47 109
12,750,14 14 15,51,649381,86.22 68.47 110
13,753,15 13 15,51,647651,87.07 67.62 110
14,751,15 15 11,51,645738,87.07 69.31 107
15,746,14 15 12,51,645445,86.22 69.31 108
16,745,13 15 14,51,645035,85.38 69.31 109
17,742,13 15 13,51,645035,85.38 69.31 109
18,740,12 15 15,51,644507,84.53 69.31 110
19,749,15 14 12,51,643824,87.07 68.47 108
20,747,14 14 14,51,643477,86.22 68.47 109
21,745,14 14 13,51,643477,86.22 68.47 109
22,743,13 14 15,51,643014,85.38 68.47 110
23,750,15 13 14,51,641764,87.07 67.62 109
24,747,15 13 13,51,641764,87.07 67.62 109
25,746,14 13 15,51,641364,86.22 67.62 110
26,748,15 15 10,51,639703,87.07 69.31 106
27,748,15 12 15,51,639556,87.07 66.78 110
28,743,14 15 11,51,639469,86.22 69.31 107
29,739,13 15 12,51,639117,85.38 69.31 108
30,737,12 15 14,51,638648,84.53 69.31 109
31,734,12 15 13,51,638648,84.53 69.31 109
32,733,11 15 15,51,638062,83.68 69.31 110
33,746,15 14 11,51,637863,87.07 68.47 107
34,742,14 14 12,51,637574,86.22 68.47 108
35,740,13 14 14,51,637168,85.38 68.47 109
36,737,13 14 13,51,637168,85.38 68.47 109
37,736,12 14 15,51,636648,84.53 68.47 110
38,744,15 13 12,51,635876,87.07 67.62 108
39,743,14 13 14,51,635533,86.22 67.62 109
40,740,14 13 13,51,635533,86.22 67.62 109
41,738,13 13 15,51,635076,85.38 67.62 110
42,745,15 12 14,51,633742,87.07 66.78 109
43,742,15 12 13,51,633742,87.07 66.78 109
44,745,15 15 9,51,633668,87.07 69.31 105
45,740,14 15 10,51,633492,86.22 69.31 106
46,741,14 12 15,51,633346,86.22 66.78 110
47,736,13 15 11,51,633199,85.38 69.31 107
48,732,12 15 12,51,632789,84.53 69.31 108
49,730,11 15 14,51,632262,83.68 69.31 109
50,727,11 15 13,51,632262,83.68 69.31 109
51,743,15 14 10,51,631902,87.07 68.47 106
52,739,14 14 11,51,631670,86.22 68.47 107
53,725,10 15 15,51,631617,82.84 69.31 110
54,743,15 11 15,51,631460,87.07 65.93 110
55,734,13 14 12,51,631323,85.38 68.47 108
56,733,12 14 14,51,630860,84.53 68.47 109
57,730,12 14 13,51,630860,84.53 68.47 109
58,728,11 14 15,51,630281,83.68 68.47 110
59,741,15 13 11,51,629988,87.07 67.62 107
60,737,14 13 12,51,629702,86.22 67.62 108
61,735,13 13 14,51,629302,85.38 67.62 109
62,733,13 13 13,51,629302,85.38 67.62 109
63,731,12 13 15,51,628788,84.53 67.62 110
64,740,15 12 12,51,627927,87.07 66.78 108
65,742,15 15 8,51,627633,87.07 69.31 104
66,738,14 12 14,51,627589,86.22 66.78 109
67,735,14 12 13,51,627589,86.22 66.78 109
68,737,14 15 9,51,627516,86.22 69.31 105
69,733,13 15 10,51,627282,85.38 69.31 106
70,734,13 12 15,51,627137,85.38 66.78 110
71,729,12 15 11,51,626930,84.53 69.31 107
72,724,11 15 12,51,626461,83.68 69.31 108
73,740,15 14 9,51,625940,87.07 68.47 105
74,722,10 15 14,51,625875,82.84 69.31 109
75,720,10 15 13,51,625875,82.84 69.31 109
76,736,14 14 10,51,625767,86.22 68.47 106
77,741,15 11 14,51,625720,87.07 65.93 109
78,738,15 11 13,51,625720,87.07 65.93 109
79,731,13 14 11,51,625477,85.38 68.47 107
80,736,14 11 15,51,625329,86.22 65.93 110
81,718,9 15 15,51,625172,81.99 69.31 110
82,727,12 14 12,51,625072,84.53 68.47 108
83,725,11 14 14,51,624551,83.68 68.47 109
84,723,11 14 13,51,624551,83.68 68.47 109
85,738,15 13 10,51,624100,87.07 67.62 106
86,721,10 14 15,51,623915,82.84 68.47 110
87,734,14 13 11,51,623872,86.22 67.62 107
88,730,13 13 12,51,623529,85.38 67.62 108
89,739,15 10 15,51,623364,87.07 65.09 110
90,728,12 13 14,51,623071,84.53 67.62 109
91,725,12 13 13,51,623071,84.53 67.62 109
92,724,11 13 15,51,622500,83.68 67.62 110
93,737,15 12 11,51,622113,87.07 66.78 107
94,732,14 12 12,51,621831,86.22 66.78 108
95,739,15 15 7,51,621598,87.07 69.31 103
96,736,15 15 6,51,621598,87.07 69.31 103
97,734,14 15 8,51,621540,86.22 69.31 104
98,731,13 12 14,51,621436,85.38 66.78 109
99,728,13 12 13,51,621436,85.38 66.78 109
100,730,13 15 9,51,621364,85.38 69.31 105
101,726,12 15 10,51,621071,84.53 69.31 106
102,726,12 12 15,51,620928,84.53 66.78 110
103,721,11 15 11,51,620661,83.68 69.31 107
104,717,10 15 12,51,620133,82.84 69.31 108
105,735,15 11 12,51,619979,87.07 65.93 108
106,737,15 14 8,51,619979,87.07 68.47 104
107,733,14 14 9,51,619863,86.22 68.47 105
108,733,14 11 14,51,619645,86.22 65.93 109
109,731,14 11 13,51,619645,86.22 65.93 109
110,729,13 14 10,51,619632,85.38 68.47 106
111,715,9 15 14,51,619489,81.99 69.31 109
112,712,9 15 13,51,619489,81.99 69.31 109
113,724,12 14 11,51,619284,84.53 68.47 107
114,729,13 11 15,51,619199,85.38 65.93 110
115,720,11 14 12,51,618821,83.68 68.47 108
116,710,8 15 15,51,618727,81.15 69.31 110
117,718,10 14 14,51,618243,82.84 68.47 109
118,715,10 14 13,51,618243,82.84 68.47 109
119,735,15 13 9,51,618213,87.07 67.62 105
120,731,14 13 10,51,618041,86.22 67.62 106
121,727,13 13 11,51,617755,85.38 67.62 107
122,736,15 10 14,51,617697,87.07 65.09 109
123,733,15 10 13,51,617697,87.07 65.09 109
124,713,9 14 15,51,617548,81.99 68.47 110
125,723,12 13 12,51,617355,84.53 67.62 108
126,731,14 10 15,51,617312,86.22 65.09 110
127,721,11 13 14,51,616841,83.68 67.62 109
128,718,11 13 13,51,616841,83.68 67.62 109
129,734,15 12 10,51,616299,87.07 66.78 106
130,716,10 13 15,51,616212,82.84 67.62 110
131,730,14 12 11,51,616073,86.22 66.78 107
132,725,13 12 12,51,615735,85.38 66.78 108
