rank,cp,ivs,maxlevel,stat-product,stats
1,2495,1 15 15,51,3652568,169.91 114.96 187
2,2494,2 15 15,50.5,3650352,170.28 114.64 187
3,2500,3 15 14,50.5,3648806,171.12 114.64 186
4,2498,2 14 15,51,3643749,170.75 114.12 187
5,2497,3 14 15,50.5,3641449,171.12 113.8 187
6,2483,0 15 15,51,3634396,169.06 114.96 187
7,2489,1 15 14,51,3633035,169.91 114.96 186
8,2500,4 13 15,50.5,3632281,171.96 112.96 187
9,2496,2 15 13,51,3631480,170.75 114.96 185
10,2490,2 15 12,51,3631480,170.75 114.96 185
11,2488,2 15 14,50.5,3630831,170.28 114.64 186
12,2497,3 15 11,51,3629731,171.6 114.96 184
13,2495,3 15 13,50.5,3629189,171.12 114.64 185
14,2490,3 15 15,50,3625906,170.58 114.28 186
15,2486,1 14 15,51,3625710,169.91 114.12 187
16,2493,2 14 14,51,3624263,170.75 114.12 186
17,2497,4 15 14,50,3624178,171.42 114.28 185
18,2489,4 15 15,49.5,3623547,170.94 113.96 186
19,2499,3 14 13,51,3622624,171.6 114.12 185
20,2494,3 14 12,51,3622624,171.6 114.12 185
21,2498,5 15 12,50,3622257,172.26 114.28 184
22,2491,3 14 14,50.5,3621976,171.12 113.8 186
23,2495,5 15 14,49.5,3621732,171.78 113.96 185
24,2500,4 14 11,51,3620791,172.44 114.12 184
25,2498,4 14 13,50.5,3620250,171.96 113.8 185
26,2493,4 14 15,50,3616975,171.42 113.44 186
27,2489,2 13 15,51,3616758,170.75 113.27 187
28,2497,6 15 15,49,3616286,172.07 113.6 185
29,2496,3 13 14,51,3615226,171.6 113.27 186
30,2500,5 14 14,50,3615164,172.26 113.44 185
31,2477,0 15 14,51,3614960,169.06 114.96 186
32,2492,5 14 15,49.5,3614535,171.78 113.13 186
33,2487,3 13 15,50.5,3614476,171.12 112.96 187
34,2497,4 13 12,51,3613503,172.44 113.27 185
35,2484,1 15 13,51,3613503,169.91 114.96 185
36,2478,1 15 12,51,3613503,169.91 114.96 185
37,2494,4 13 14,50.5,3612857,171.96 112.96 186
38,2498,6 14 14,49.5,3612639,172.62 113.13 185
39,2485,2 15 11,51,3611851,170.75 114.96 184
40,2491,3 15 10,51,3610004,171.6 114.96 183
41,2489,3 15 12,50.5,3609571,171.12 114.64 184
42,2498,4 15 9,51,3607964,172.44 114.96 182
43,2496,5 13 15,50,3607782,172.26 112.6 186
44,2473,0 14 15,51,3607672,169.06 114.12 187
45,2495,4 15 11,50.5,3607639,171.96 114.64 183
46,2492,3 12 15,51,3607538,171.6 112.42 187
47,2500,7 14 15,49,3607121,172.91 112.77 185
48,2480,1 14 14,51,3606322,169.91 114.12 186
49,2499,4 12 14,51,3605923,172.44 112.42 186
50,2496,5 15 9,50.5,3605513,172.8 114.64 182
51,2494,6 13 15,49.5,3605262,172.62 112.29 186
