rank,cp,ivs,maxlevel,stat-product,stats
1,2346,15 15 15,51,3191660,172.44 136.09 136
2,2335,14 15 15,51,3176015,171.6 136.09 136
3,2339,15 14 15,51,3171836,172.44 135.25 136
4,2339,15 15 14,51,3168192,172.44 136.09 135
5,2323,13 15 15,51,3160369,170.75 136.09 136
6,2328,14 14 15,51,3156288,171.6 135.25 136
7,2328,14 15 14,51,3152662,171.6 136.09 135
8,2332,15 13 15,51,3152012,172.44 134.4 136
9,2332,15 14 14,51,3148514,172.44 135.25 135
10,2312,12 15 15,51,3144724,169.91 136.09 136
11,2332,15 15 13,51,3144724,172.44 136.09 134
12,2316,13 14 15,51,3140740,170.75 135.25 136
13,2316,13 15 14,51,3137131,170.75 136.09 135
14,2320,14 13 15,51,3136561,171.6 134.4 136
15,2320,14 14 14,51,3133080,171.6 135.25 135
16,2324,15 12 15,51,3132188,172.44 133.56 136
17,2320,14 15 13,51,3129309,171.6 136.09 134
18,2300,11 15 15,51,3129078,169.06 136.09 136
19,2324,15 13 14,51,3128835,172.44 134.4 135
20,2305,12 14 15,51,3125191,169.91 135.25 136
21,2324,15 14 13,51,3125191,172.44 135.25 134
22,2305,12 15 14,51,3121601,169.91 136.09 135
23,2324,15 15 12,51,3121256,172.44 136.09 133
24,2309,13 13 15,51,3121110,170.75 134.4 136
25,2309,13 14 14,51,3117646,170.75 135.25 135
26,2313,14 12 15,51,3116834,171.6 133.56 136
27,2309,13 15 13,51,3113893,170.75 136.09 134
28,2313,14 13 14,51,3113498,171.6 134.4 135
29,2289,10 15 15,51,3113433,168.21 136.09 136
30,2317,15 11 15,51,3112364,172.44 132.71 136
31,2313,14 14 13,51,3109872,171.6 135.25 134
32,2293,11 14 15,51,3109643,169.06 135.25 136
33,2317,15 12 14,51,3109157,172.44 133.56 135
34,2293,11 15 14,51,3106070,169.06 136.09 135
35,2313,14 15 12,51,3105955,171.6 136.09 133
36,2297,12 13 15,51,3105659,169.91 134.4 136
37,2317,15 13 13,51,3105659,172.44 134.4 134
38,2297,12 14 14,51,3102212,169.91 135.25 135
39,2317,15 14 12,51,3101869,172.44 135.25 133
40,2302,13 12 15,51,3101480,170.75 133.56 136
41,2297,12 15 13,51,3098478,169.91 136.09 134
42,2302,13 13 14,51,3098161,170.75 134.4 135
43,2277,9 15 15,51,3097788,167.37 136.09 136
44,2317,15 15 11,51,3097788,172.44 136.09 132
45,2306,14 11 15,51,3097107,171.6 132.71 136
46,2302,13 14 13,51,3094552,170.75 135.25 134
47,2282,10 14 15,51,3094095,168.21 135.25 136
48,2306,14 12 14,51,3093916,171.6 133.56 135
49,2310,15 10 15,51,3092540,172.44 131.87 136
50,2302,13 15 12,51,3090655,170.75 136.09 133
51,2282,10 15 14,51,3090540,168.21 136.09 135
52,2306,14 13 13,51,3090435,171.6 134.4 134
53,2286,11 13 15,51,3090208,169.06 134.4 136
54,2310,15 11 14,51,3089479,172.44 132.71 135
55,2286,11 14 14,51,3086778,169.06 135.25 135
56,2306,14 14 12,51,3086664,171.6 135.25 133
57,2290,12 12 15,51,3086126,169.91 133.56 136
58,2310,15 12 13,51,3086126,172.44 133.56 134
59,2286,11 15 13,51,3083063,169.06 136.09 134
60,2290,12 13 14,51,3082823,169.91 134.4 135
61,2306,14 15 11,51,3082602,171.6 136.09 132
62,2310,15 13 12,51,3082482,172.44 134.4 133
63,2266,8 15 15,51,3082142,166.52 136.09 136
64,2294,13 11 15,51,3081851,170.75 132.71 136
65,2290,12 14 13,51,3079233,169.91 135.25 134
66,2294,13 12 14,51,3078675,170.75 133.56 135
67,2270,9 14 15,51,3078547,167.37 135.25 136
68,2310,15 14 11,51,3078547,172.44 135.25 132
69,2298,14 10 15,51,3077381,171.6 131.87 136
70,2290,12 15 12,51,3075355,169.91 136.09 133
71,2294,13 13 13,51,3075211,170.75 134.4 134
72,2270,9 15 14,51,3075010,167.37 136.09 135
73,2275,10 13 15,51,3074757,168.21 134.4 136
74,2298,14 11 14,51,3074335,171.6 132.71 135
75,2310,15 15 10,51,3074320,172.44 136.09 131
76,2302,15 15 9,51,3074320,172.44 136.09 131
77,2302,15 9 15,51,3072716,172.44 131.02 136
78,2294,13 14 12,51,3071459,170.75 135.25 133
79,2275,10 14 14,51,3071344,168.21 135.25 135
80,2299,14 12 13,51,3070998,171.6 133.56 134
81,2279,11 12 15,51,3070773,169.06 133.56 136
82,2302,15 10 14,51,3069801,172.44 131.87 135
83,2275,10 15 13,51,3067647,168.21 136.09 134
84,2279,11 13 14,51,3067486,169.06 134.4 135
85,2294,13 15 11,51,3067417,170.75 136.09 132
86,2299,14 13 12,51,3067372,171.6 134.4 133
87,2283,12 11 15,51,3066594,169.91 132.71 136
88,2303,15 11 13,51,3066594,172.44 132.71 134
89,2254,7 15 15,51,3066497,165.68 136.09 136
90,2279,11 14 13,51,3063913,169.06 135.25 134
91,2298,14 14 11,51,3063456,171.6 135.25 132
92,2283,12 12 14,51,3063434,169.91 133.56 135
93,2303,15 12 12,51,3063096,172.44 133.56 133
94,2259,8 14 15,51,3062999,166.52 135.25 136
95,2287,13 10 15,51,3062221,170.75 131.87 136
96,2279,11 15 12,51,3060055,169.06 136.09 133
97,2283,12 13 13,51,3059987,169.91 134.4 134
98,2259,8 15 14,51,3059479,166.52 136.09 135
99,2263,9 13 15,51,3059306,167.37 134.4 136
100,2303,15 13 11,51,3059306,172.44 134.4 132
101,2298,14 15 10,51,3059249,171.6 136.09 131
102,2291,14 15 9,51,3059249,171.6 136.09 131
103,2287,13 11 14,51,3059190,170.75 132.71 135
104,2291,14 9 15,51,3057654,171.6 131.02 136
105,2283,12 14 12,51,3056253,169.91 135.25 133
106,2263,9 14 14,51,3055910,167.37 135.25 135
107,2287,13 12 13,51,3055870,170.75 133.56 134
108,2267,10 12 15,51,3055419,168.21 133.56 136
109,2302,15 14 10,51,3055224,172.44 135.25 131
110,2295,15 14 9,51,3055224,172.44 135.25 131
111,2291,14 10 14,51,3054753,171.6 131.87 135
112,2295,15 8 15,51,3052892,172.44 130.18 136
113,2287,13 13 12,51,3052262,170.75 134.4 133
114,2263,9 15 13,51,3052232,167.37 136.09 134
115,2283,12 15 11,51,3052232,169.91 136.09 132
116,2267,10 13 14,51,3052148,168.21 134.4 135
117,2291,14 11 13,51,3051562,171.6 132.71 134
118,2272,11 11 15,51,3051337,169.06 132.71 136
119,2243,6 15 15,51,3050851,164.83 136.09 136
120,2295,15 15 8,51,3050851,172.44 136.09 130
121,2295,15 9 14,51,3050123,172.44 131.02 135
122,2267,10 14 13,51,3048594,168.21 135.25 134
123,2287,13 14 11,51,3048365,170.75 135.25 132
124,2272,11 12 14,51,3048193,169.06 133.56 135
125,2291,14 12 12,51,3048080,171.6 133.56 133
126,2247,7 14 15,51,3047450,165.68 135.25 136
127,2276,12 10 15,51,3047062,169.91 131.87 136
128,2295,15 10 13,51,3047062,172.44 131.87 134
129,2272,11 13 13,51,3044764,169.06 134.4 134
130,2267,10 15 12,51,3044754,168.21 136.09 133
131,2291,14 13 11,51,3044309,171.6 134.4 132
132,2287,13 15 10,51,3044179,170.75 136.09 131
133,2280,13 15 9,51,3044179,170.75 136.09 131
134,2276,12 11 14,51,3044046,169.91 132.71 135
135,2247,7 15 14,51,3043949,165.68 136.09 135
136,2252,8 13 15,51,3043855,166.52 134.4 136
137,2295,15 11 12,51,3043709,172.44 132.71 133
138,2280,13 9 15,51,3042591,170.75 131.02 136
139,2272,11 14 12,51,3041048,169.06 135.25 133
140,2276,12 12 13,51,3040742,169.91 133.56 134
141,2252,8 14 14,51,3040476,166.52 135.25 135
142,2291,14 14 10,51,3040248,171.6 135.25 131
143,2284,14 14 9,51,3040248,171.6 135.25 131
144,2256,9 12 15,51,3040065,167.37 133.56 136
145,2295,15 12 11,51,3040065,172.44 133.56 132
146,2280,13 10 14,51,3039705,170.75 131.87 135
147,2283,14 8 15,51,3037927,171.6 130.18 136
148,2276,12 13 12,51,3037152,169.91 134.4 133
149,2272,11 15 11,51,3037047,169.06 136.09 132
150,2252,8 15 13,51,3036817,166.52 136.09 134
151,2256,9 13 14,51,3036811,167.37 134.4 135
152,2280,13 11 13,51,3036529,170.75 132.71 134
153,2295,15 13 10,51,3036129,172.44 134.4 131
154,2288,15 13 9,51,3036129,172.44 134.4 131
155,2260,10 11 15,51,3036081,168.21 132.71 136
156,2283,14 15 8,51,3035896,171.6 136.09 130
157,2231,5 15 15,51,3035206,163.99 136.09 136
158,2284,14 9 14,51,3035171,171.6 131.02 135
159,2256,9 14 13,51,3033274,167.37 135.25 134
160,2276,12 14 11,51,3033274,169.91 135.25 132
161,2287,15 7 15,51,3033068,172.44 129.33 136
162,2280,13 12 12,51,3033065,170.75 133.56 133
163,2260,10 12 14,51,3032952,168.21 133.56 135
164,2284,14 10 13,51,3032125,171.6 131.87 134
165,2264,11 10 15,51,3031902,169.06 131.87 136
166,2236,6 14 15,51,3031902,164.83 135.25 136
167,2288,15 14 8,51,3031902,172.44 135.25 130
168,2288,15 8 14,51,3030444,172.44 130.18 135
169,2260,10 13 13,51,3029540,168.21 134.4 134
170,2256,9 15 12,51,3029454,167.37 136.09 133
171,2280,13 13 11,51,3029313,170.75 134.4 132
172,2276,12 15 10,51,3029109,169.91 136.09 131
173,2268,12 15 9,51,3029109,169.91 136.09 131
174,2264,11 11 14,51,3028901,169.06 132.71 135
175,2284,14 11 12,51,3028789,171.6 132.71 133
176,2236,6 15 14,51,3028419,164.83 136.09 135
177,2240,7 13 15,51,3028404,165.68 134.4 136
178,2268,12 9 15,51,3027529,169.91 131.02 136
179,2288,15 9 13,51,3027529,172.44 131.02 134
180,2287,15 15 7,51,3027383,172.44 136.09 129
181,2260,10 14 12,51,3025843,168.21 135.25 133
182,2265,11 12 13,51,3025614,169.06 133.56 134
183,2280,13 14 10,51,3025271,170.75 135.25 131
184,2272,13 14 9,51,3025271,170.75 135.25 131
185,2284,14 12 11,51,3025163,171.6 133.56 132
186,2240,7 14 14,51,3025043,165.68 135.25 135
187,2245,8 12 15,51,3024711,166.52 133.56 136
188,2269,12 10 14,51,3024657,169.91 131.87 135
189,2288,15 10 12,51,3024322,172.44 131.87 133
190,2272,13 8 15,51,3022962,170.75 130.18 136
191,2265,11 13 12,51,3022042,169.06 134.4 133
192,2260,10 15 11,51,3021861,168.21 136.09 132
193,2269,12 11 13,51,3021497,169.91 132.71 134
194,2245,8 13 14,51,3021473,166.52 134.4 135
195,2240,7 15 13,51,3021401,165.68 136.09 134
196,2284,14 13 10,51,3021246,171.6 134.4 131
197,2277,14 13 9,51,3021246,171.6 134.4 131
198,2272,13 15 8,51,3020941,170.75 136.09 130
199,2249,9 11 15,51,3020824,167.37 132.71 136
200,2288,15 11 11,51,3020824,172.44 132.71 132
201,2272,13 9 14,51,3020219,170.75 131.02 135
202,2220,4 15 15,51,3019561,163.14 136.09 136
203,2276,14 7 15,51,3018200,171.6 129.33 136
204,2264,11 14 11,51,3018183,169.06 135.25 132
205,2269,12 12 12,51,3018050,169.91 133.56 133
206,2245,8 14 13,51,3017954,166.52 135.25 134
207,2249,9 12 14,51,3017711,167.37 133.56 135
208,2273,13 10 13,51,3017188,170.75 131.87 134
209,2276,14 14 8,51,3017040,171.6 135.25 130
210,2288,15 12 10,51,3017034,172.44 133.56 131
211,2281,15 12 9,51,3017034,172.44 133.56 131
212,2253,10 10 15,51,3016743,168.21 131.87 136
213,2224,5 14 15,51,3016354,163.99 135.25 136
214,2276,14 8 14,51,3015589,171.6 130.18 135
215,2249,9 13 13,51,3014316,167.37 134.4 134
216,2269,12 13 11,51,3014316,169.91 134.4 132
217,2245,8 15 12,51,3014154,166.52 136.09 133
218,2264,11 15 10,51,3014039,169.06 136.09 131
219,2257,11 15 9,51,3014039,169.06 136.09 131
220,2273,13 11 12,51,3013869,170.75 132.71 133
221,2253,10 11 14,51,3013757,168.21 132.71 135
222,2280,15 6 15,51,3013244,172.44 128.49 136
223,2229,6 13 15,51,3012953,164.83 134.4 136
224,2280,15 13 8,51,3012953,172.44 134.4 130
225,2224,5 15 14,51,3012888,163.99 136.09 135
226,2277,14 9 13,51,3012688,171.6 131.02 134
227,2276,14 15 7,51,3012543,171.6 136.09 129
228,2257,11 9 15,51,3012467,169.06 131.02 136
229,2280,15 7 14,51,3010766,172.44 129.33 135
230,2249,9 14 12,51,3010638,167.37 135.25 133
231,2253,10 12 13,51,3010486,168.21 133.56 134
232,2269,12 14 10,51,3010295,169.91 135.25 131
233,2261,12 14 9,51,3010295,169.91 135.25 131
234,2273,13 12 11,51,3010260,170.75 133.56 132
235,2257,11 10 14,51,3009609,169.06 131.87 135
236,2229,6 14 14,51,3009609,164.83 135.25 135
237,2277,14 10 12,51,3009497,171.6 131.87 133
238,2233,7 12 15,51,3009357,165.68 133.56 136
239,2280,15 14 7,51,3008580,172.44 135.25 129
240,2261,12 8 15,51,3007997,169.91 130.18 136
241,2280,15 8 13,51,3007997,172.44 130.18 134
242,2253,10 13 12,51,3006931,168.21 134.4 133
243,2249,9 15 11,51,3006676,167.37 136.09 132
244,2257,11 11 13,51,3006465,169.06 132.71 134
245,2273,13 13 10,51,3006363,170.75 134.4 131
246,2265,13 13 9,51,3006363,170.75 134.4 131
247,2233,7 13 14,51,3006136,165.68 134.4 135
248,2277,14 11 11,51,3006016,171.6 132.71 132
249,2229,6 15 13,51,3005986,164.83 136.09 134
250,2261,12 15 8,51,3005986,169.91 136.09 130
251,2237,8 11 15,51,3005567,166.52 132.71 136
252,2261,12 9 14,51,3005268,169.91 131.02 135
253,2281,15 9 12,51,3004936,172.44 131.02 133
254,2208,3 15 15,51,3003915,162.3 136.09 136
255,2280,15 15 6,51,3003915,172.44 136.09 128
256,2265,13 7 15,51,3003332,170.75 129.33 136
257,2253,10 14 11,51,3003092,168.21 135.25 132
258,2257,11 12 12,51,3003035,169.06 133.56 133
259,2233,7 14 13,51,3002635,165.68 135.25 134
