rank,cp,ivs,maxlevel,stat-product,stats
1,2457,15 15 15,51,3924493,153.84 161.45 158
2,2451,15 14 15,51,3903946,153.84 160.61 158
3,2444,14 15 15,51,3902930,153 161.45 158
4,2451,15 15 14,51,3899654,153.84 161.45 157
5,2444,15 13 15,51,3883399,153.84 159.76 158
6,2437,14 14 15,51,3882495,153 160.61 158
7,2430,13 15 15,51,3881366,152.15 161.45 158
8,2444,15 14 14,51,3879237,153.84 160.61 157
9,2437,14 15 14,51,3878227,153 161.45 157
10,2444,15 15 13,51,3874816,153.84 161.45 156
11,2438,15 12 15,51,3862851,153.84 158.92 158
12,2431,14 13 15,51,3862061,153 159.76 158
13,2424,13 14 15,51,3861045,152.15 160.61 158
14,2417,12 15 15,51,3859803,151.31 161.45 158
15,2438,15 13 14,51,3858820,153.84 159.76 157
16,2431,14 14 14,51,3857923,153 160.61 157
17,2424,13 15 14,51,3856801,152.15 161.45 157
18,2438,15 14 13,51,3854529,153.84 160.61 156
19,2431,14 15 13,51,3853525,153 161.45 156
20,2437,15 15 12,51,3849977,153.84 161.45 155
21,2431,15 11 15,51,3842304,153.84 158.07 158
22,2424,14 12 15,51,3841627,153 158.92 158
23,2417,13 13 15,51,3840724,152.15 159.76 158
24,2410,12 14 15,51,3839595,151.31 160.61 158
25,2431,15 12 14,51,3838403,153.84 158.92 157
26,2403,11 15 15,51,3838240,150.46 161.45 158
27,2424,14 13 14,51,3837618,153 159.76 157
28,2417,13 14 14,51,3836608,152.15 160.61 157
29,2410,12 15 14,51,3835374,151.31 161.45 157
30,2431,15 13 13,51,3834242,153.84 159.76 156
31,2424,14 14 13,51,3833350,153 160.61 156
32,2417,13 15 13,51,3832235,152.15 161.45 156
33,2431,15 14 12,51,3829820,153.84 160.61 155
34,2424,14 15 12,51,3828823,153 161.45 155
35,2431,15 15 11,51,3825138,153.84 161.45 154
36,2425,15 10 15,51,3821757,153.84 157.23 158
37,2418,14 11 15,51,3821193,153 158.07 158
38,2411,13 12 15,51,3820403,152.15 158.92 158
39,2404,12 13 15,51,3819386,151.31 159.76 158
40,2397,11 14 15,51,3818145,150.46 160.61 158
41,2425,15 11 14,51,3817986,153.84 158.07 157
42,2418,14 12 14,51,3817313,153 158.92 157
43,2390,10 15 15,51,3816677,149.62 161.45 158
44,2411,13 13 14,51,3816415,152.15 159.76 157
45,2404,12 14 14,51,3815294,151.31 160.61 157
46,2425,15 12 13,51,3813955,153.84 158.92 156
47,2397,11 15 14,51,3813947,150.46 161.45 157
48,2418,14 13 13,51,3813174,153 159.76 156
49,2411,13 14 13,51,3812171,152.15 160.61 156
50,2404,12 15 13,51,3810945,151.31 161.45 156
51,2425,15 13 12,51,3809663,153.84 159.76 155
52,2418,14 14 12,51,3808777,153 160.61 155
53,2411,13 15 12,51,3807670,152.15 161.45 155
54,2424,15 14 11,51,3805112,153.84 160.61 154
55,2417,14 15 11,51,3804121,153 161.45 154
56,2418,15 9 15,51,3801210,153.84 156.38 158
57,2412,14 10 15,51,3800759,153 157.23 158
58,2424,15 15 10,51,3800300,153.84 161.45 153
59,2405,13 11 15,51,3800081,152.15 158.07 158
60,2398,12 12 15,51,3799178,151.31 158.92 158
61,2391,11 13 15,51,3798049,150.46 159.76 158
62,2418,15 10 14,51,3797569,153.84 157.23 157
63,2412,14 11 14,51,3797008,153 158.07 157
64,2383,10 14 15,51,3796694,149.62 160.61 158
65,2405,13 12 14,51,3796223,152.15 158.92 157
66,2398,12 13 14,51,3795213,151.31 159.76 157
67,2376,9 15 15,51,3795114,148.77 161.45 158
68,2390,11 14 14,51,3793979,150.46 160.61 157
69,2418,15 11 13,51,3793668,153.84 158.07 156
70,2411,14 12 13,51,3792999,153 158.92 156
71,2383,10 15 14,51,3792521,149.62 161.45 157
72,2404,13 13 13,51,3792107,152.15 159.76 156
73,2397,12 14 13,51,3790992,151.31 160.61 156
74,2390,11 15 13,51,3789655,150.46 161.45 156
75,2418,15 12 12,51,3789506,153.84 158.92 155
76,2411,14 13 12,51,3788731,153 159.76 155
77,2404,13 14 12,51,3787734,152.15 160.61 155
78,2397,12 15 12,51,3786516,151.31 161.45 155
79,2418,15 13 11,51,3785085,153.84 159.76 154
80,2411,14 14 11,51,3784204,153 160.61 154
81,2404,13 15 11,51,3783104,152.15 161.45 154
82,2412,15 8 15,51,3780663,153.84 155.54 158
83,2418,15 14 10,51,3780403,153.84 160.61 153
84,2405,14 9 15,51,3780324,153 156.38 158
85,2398,13 10 15,51,3779760,152.15 157.23 158
86,2411,14 15 10,51,3779419,153 161.45 153
87,2391,12 11 15,51,3778970,151.31 158.07 158
88,2384,11 12 15,51,3777954,150.46 158.92 158
89,2412,15 9 14,51,3777152,153.84 156.38 157
90,2377,10 13 15,51,3776712,149.62 159.76 158
91,2405,14 10 14,51,3776703,153 157.23 157
92,2398,13 11 14,51,3776030,152.15 158.07 157
93,2417,15 15 9,51,3775461,153.84 161.45 152
94,2411,15 15 8,51,3775461,153.84 161.45 152
95,2370,9 14 15,51,3775244,148.77 160.61 158
96,2391,12 12 14,51,3775133,151.31 158.92 157
97,2384,11 13 14,51,3774011,150.46 159.76 157
98,2363,8 15 15,51,3773551,147.93 161.45 158
99,2412,15 10 13,51,3773381,153.84 157.23 156
100,2405,14 11 13,51,3772823,153 158.07 156
101,2377,10 14 14,51,3772665,149.62 160.61 157
102,2398,13 12 13,51,3772043,152.15 158.92 156
103,2370,9 15 14,51,3771094,148.77 161.45 157
104,2391,12 13 13,51,3771040,151.31 159.76 156
105,2384,11 14 13,51,3769814,150.46 160.61 156
106,2412,15 11 12,51,3769349,153.84 158.07 155
107,2405,14 12 12,51,3768685,153 158.92 155
108,2377,10 15 13,51,3768365,149.62 161.45 156
109,2398,13 13 12,51,3767799,152.15 159.76 155
110,2391,12 14 12,51,3766691,151.31 160.61 155
111,2384,11 15 12,51,3765362,150.46 161.45 155
112,2412,15 12 11,51,3765058,153.84 158.92 154
113,2405,14 13 11,51,3764287,153 159.76 154
114,2398,13 14 11,51,3763297,152.15 160.61 154
115,2391,12 15 11,51,3762087,151.31 161.45 154
116,2411,15 13 10,51,3760506,153.84 159.76 153
117,2405,15 7 15,51,3760116,153.84 154.69 158
118,2398,14 8 15,51,3759890,153 155.54 158
119,2404,14 14 10,51,3759632,153 160.61 153
120,2392,13 9 15,51,3759439,152.15 156.38 158
121,2385,12 10 15,51,3758761,151.31 157.23 158
122,2397,13 15 10,51,3758538,152.15 161.45 153
123,2378,11 11 15,51,3757858,150.46 158.07 158
124,2405,15 8 14,51,3756735,153.84 155.54 157
125,2371,10 12 15,51,3756729,149.62 158.92 158
126,2399,14 9 14,51,3756398,153 156.38 157
127,2392,13 10 14,51,3755837,152.15 157.23 157
128,2411,15 14 9,51,3755694,153.84 160.61 152
129,2404,15 14 8,51,3755694,153.84 160.61 152
130,2364,9 13 15,51,3755374,148.77 159.76 158
131,2385,12 11 14,51,3755052,151.31 158.07 157
132,2404,14 15 9,51,3754717,153 161.45 152
133,2398,14 15 8,51,3754717,153 161.45 152
134,2378,11 12 14,51,3754042,150.46 158.92 157
135,2356,8 14 15,51,3753794,147.93 160.61 158
136,2405,15 9 13,51,3753094,153.84 156.38 156
137,2371,10 13 14,51,3752808,149.62 159.76 157
138,2399,14 10 13,51,3752648,153 157.23 156
139,2349,7 15 15,51,3751987,147.08 161.45 158
140,2392,13 11 13,51,3751979,152.15 158.07 156
141,2364,9 14 14,51,3751350,148.77 160.61 157
142,2385,12 12 13,51,3751087,151.31 158.92 156
143,2404,15 15 7,51,3750623,153.84 161.45 151
144,2378,11 13 13,51,3749973,150.46 159.76 156
145,2356,8 15 14,51,3749667,147.93 161.45 157
146,2405,15 10 12,51,3749192,153.84 157.23 155
147,2398,14 11 12,51,3748638,153 158.07 155
148,2371,10 14 13,51,3748635,149.62 160.61 156
149,2392,13 12 12,51,3747863,152.15 158.92 155
150,2363,9 15 13,51,3747074,148.77 161.45 156
151,2385,12 13 12,51,3746866,151.31 159.76 155
152,2378,11 14 12,51,3745648,150.46 160.61 155
153,2405,15 11 11,51,3745031,153.84 158.07 154
154,2398,14 12 11,51,3744371,153 158.92 154
155,2370,10 15 12,51,3744208,149.62 161.45 155
156,2391,13 13 11,51,3743490,152.15 159.76 154
157,2384,12 14 11,51,3742390,151.31 160.61 154
158,2377,11 15 11,51,3741069,150.46 161.45 154
159,2405,15 12 10,51,3740609,153.84 158.92 153
