rank,cp,ivs,maxlevel,stat-product,stats
1,2389,15 15 15,51,3414202,166.52 124.26 165
2,2377,14 15 15,51,3396871,165.68 124.26 165
3,2383,15 15 14,51,3393510,166.52 124.26 164
4,2381,15 14 15,51,3390976,166.52 123.41 165
5,2365,13 15 15,51,3379540,164.83 124.26 165
6,2371,14 15 14,51,3376284,165.68 124.26 164
7,2369,14 14 15,51,3373763,165.68 123.41 165
8,2377,15 15 13,51,3372817,166.52 124.26 163
9,2370,15 15 12,51,3372817,166.52 124.26 163
10,2375,15 14 14,51,3370425,166.52 123.41 164
11,2373,15 13 15,51,3367750,166.52 122.57 165
12,2352,12 15 15,51,3362209,163.99 124.26 165
13,2359,13 15 14,51,3359058,164.83 124.26 164
14,2357,13 14 15,51,3356550,164.83 123.41 165
15,2365,14 15 13,51,3355697,165.68 124.26 163
16,2358,14 15 12,51,3355697,165.68 124.26 163
17,2363,14 14 14,51,3353316,165.68 123.41 164
18,2364,15 15 11,51,3352125,166.52 124.26 162
19,2360,14 13 15,51,3350655,165.68 122.57 165
20,2369,15 14 13,51,3349873,166.52 123.41 163
21,2362,15 14 12,51,3349873,166.52 123.41 163
22,2366,15 13 14,51,3347339,166.52 122.57 164
23,2340,11 15 15,51,3344878,163.14 124.26 165
24,2364,15 12 15,51,3344524,166.52 121.72 165
25,2346,12 15 14,51,3341832,163.99 124.26 164
26,2344,12 14 15,51,3339337,163.99 123.41 165
27,2352,13 15 13,51,3338576,164.83 124.26 163
28,2346,13 15 12,51,3338576,164.83 124.26 163
29,2350,13 14 14,51,3336207,164.83 123.41 164
30,2352,14 15 11,51,3335109,165.68 124.26 162
31,2348,13 13 15,51,3333560,164.83 122.57 165
32,2356,14 14 13,51,3332869,165.68 123.41 163
33,2350,14 14 12,51,3332869,165.68 123.41 163
34,2358,15 15 10,51,3331433,166.52 124.26 161
35,2354,14 13 14,51,3330348,165.68 122.57 164
36,2356,15 14 11,51,3329322,166.52 123.41 162
37,2352,14 12 15,51,3327547,165.68 121.72 165
38,2328,10 15 15,51,3327547,162.3 124.26 165
39,2360,15 13 13,51,3326929,166.52 122.57 163
40,2354,15 13 12,51,3326929,166.52 122.57 163
41,2334,11 15 14,51,3324606,163.14 124.26 164
42,2358,15 12 14,51,3324254,166.52 121.72 164
43,2332,11 14 15,51,3322124,163.14 123.41 165
44,2340,12 15 13,51,3321455,163.99 124.26 163
45,2334,12 15 12,51,3321455,163.99 124.26 163
46,2356,15 11 15,51,3321298,166.52 120.88 165
47,2338,12 14 14,51,3319098,163.99 123.41 164
48,2340,13 15 11,51,3318094,164.83 124.26 162
49,2336,12 13 15,51,3316464,163.99 122.57 165
50,2344,13 14 13,51,3315864,164.83 123.41 163
51,2338,13 14 12,51,3315864,164.83 123.41 163
52,2346,14 15 10,51,3314522,165.68 124.26 161
53,2342,13 13 14,51,3313356,164.83 122.57 164
54,2344,14 14 11,51,3312422,165.68 123.41 162
55,2352,15 15 9,51,3310741,166.52 124.26 160
56,2340,13 12 15,51,3310570,164.83 121.72 165
57,2316,9 15 15,51,3310216,161.45 124.26 165
58,2348,14 13 13,51,3310041,165.68 122.57 163
59,2342,14 13 12,51,3310041,165.68 122.57 163
60,2350,15 14 10,51,3308770,166.52 123.41 161
61,2346,14 12 14,51,3307380,165.68 121.72 164
62,2322,10 15 14,51,3307380,162.3 124.26 164
63,2348,15 13 11,51,3306518,166.52 122.57 162
64,2320,10 14 15,51,3304910,162.3 123.41 165
65,2344,14 11 15,51,3304439,165.68 120.88 165
66,2328,11 15 13,51,3304334,163.14 124.26 163
67,2322,11 15 12,51,3304334,163.14 124.26 163
68,2352,15 12 13,51,3303984,166.52 121.72 163
69,2346,15 12 12,51,3303984,166.52 121.72 163
70,2326,11 14 14,51,3301989,163.14 123.41 164
71,2350,15 11 14,51,3301169,166.52 120.88 164
72,2328,12 15 11,51,3301078,163.99 124.26 162
73,2324,11 13 15,51,3299369,163.14 122.57 165
74,2332,12 14 13,51,3298860,163.99 123.41 163
75,2326,12 14 12,51,3298860,163.99 123.41 163
76,2348,15 10 15,51,3298072,166.52 120.03 165
77,2334,13 15 10,51,3297612,164.83 124.26 161
78,2330,12 13 14,51,3296365,163.99 122.57 164
79,2332,13 14 11,51,3295522,164.83 123.41 162
80,2340,14 15 9,51,3293935,165.68 124.26 160
81,2328,12 12 15,51,3293592,163.99 121.72 165
82,2336,13 13 13,51,3293153,164.83 122.57 163
83,2330,13 13 12,51,3293153,164.83 122.57 163
84,2304,8 15 15,51,3292885,160.61 124.26 165
85,2338,14 14 10,51,3291975,165.68 123.41 161
86,2334,13 12 14,51,3290506,164.83 121.72 164
87,2310,9 15 14,51,3290154,161.45 124.26 164
88,2346,15 15 8,51,3290049,166.52 124.26 159
89,2336,14 13 11,51,3289734,165.68 122.57 162
