rank,cp,ivs,maxlevel,stat-product,stats
1,2122,15 15 15,51,2786013,161.45 99.75 173
2,2111,14 15 15,51,2771427,160.61 99.75 173
3,2117,15 15 14,51,2769909,161.45 99.75 172
4,2113,15 14 15,51,2762403,161.45 98.9 173
5,2100,13 15 15,51,2756840,159.76 99.75 173
6,2106,14 15 14,51,2755407,160.61 99.75 172
7,2112,15 15 13,51,2753805,161.45 99.75 171
8,2102,14 14 15,51,2747940,160.61 98.9 173
9,2108,15 14 14,51,2746435,161.45 98.9 172
10,2089,12 15 15,51,2742254,158.92 99.75 173
11,2095,13 15 14,51,2740905,159.76 99.75 172
12,2101,14 15 13,51,2739387,160.61 99.75 171
13,2104,15 13 15,51,2738792,161.45 98.05 173
14,2107,15 15 12,51,2737701,161.45 99.75 170
15,2091,13 14 15,51,2733477,159.76 98.9 173
16,2097,14 14 14,51,2732056,160.61 98.9 172
17,2103,15 14 13,51,2730467,161.45 98.9 171
18,2078,11 15 15,51,2727667,158.07 99.75 173
19,2084,12 15 14,51,2726402,158.92 99.75 172
20,2090,13 15 13,51,2724969,159.76 99.75 171
21,2093,14 13 15,51,2724453,160.61 98.05 173
22,2096,14 15 12,51,2723367,160.61 99.75 170
23,2099,15 13 14,51,2722961,161.45 98.05 172
24,2101,15 15 11,51,2721596,161.45 99.75 169
25,2096,15 15 10,51,2721596,161.45 99.75 169
26,2080,12 14 15,51,2719014,158.92 98.9 173
27,2086,13 14 14,51,2717677,159.76 98.9 172
28,2092,14 14 13,51,2716172,160.61 98.9 171
29,2095,15 12 15,51,2715182,161.45 97.21 173
30,2098,15 14 12,51,2714500,161.45 98.9 170
31,2067,10 15 15,51,2713081,157.23 99.75 173
32,2073,11 15 14,51,2711900,158.07 99.75 172
33,2079,12 15 13,51,2710551,158.92 99.75 171
34,2082,13 13 15,51,2710114,159.76 98.05 173
35,2084,13 15 12,51,2709034,159.76 99.75 170
36,2088,14 13 14,51,2708705,160.61 98.05 172
37,2090,14 15 11,51,2707347,160.61 99.75 169
38,2085,14 15 10,51,2707347,160.61 99.75 169
39,2094,15 13 13,51,2707130,161.45 98.05 171
40,2091,15 15 9,51,2705492,161.45 99.75 168
41,2069,11 14 15,51,2704551,158.07 98.9 173
42,2075,12 14 14,51,2703297,158.92 98.9 172
43,2081,13 14 13,51,2701876,159.76 98.9 171
44,2084,14 12 15,51,2700967,160.61 97.21 173
45,2087,14 14 12,51,2700288,160.61 98.9 170
46,2090,15 12 14,51,2699487,161.45 97.21 172
47,2092,15 14 11,51,2698532,161.45 98.9 169
48,2087,15 14 10,51,2698532,161.45 98.9 169
49,2055,9 15 15,51,2698494,156.38 99.75 173
50,2062,10 15 14,51,2697398,157.23 99.75 172
51,2068,11 15 13,51,2696133,158.07 99.75 171
52,2071,12 13 15,51,2695775,158.92 98.05 173
53,2073,12 15 12,51,2694700,158.92 99.75 170
54,2077,13 13 14,51,2694449,159.76 98.05 172
55,2079,13 15 11,51,2693098,159.76 99.75 169
56,2074,13 15 10,51,2693098,159.76 99.75 169
57,2083,14 13 13,51,2692957,160.61 98.05 171
58,2086,15 11 15,51,2691572,161.45 96.36 173
59,2080,14 15 9,51,2691327,160.61 99.75 168
60,2089,15 13 12,51,2691299,161.45 98.05 170
61,2058,10 14 15,51,2690088,157.23 98.9 173
62,2086,15 15 8,51,2689388,161.45 99.75 167
63,2064,11 14 14,51,2688918,158.07 98.9 172
64,2070,12 14 13,51,2687580,158.92 98.9 171
65,2073,13 12 15,51,2686751,159.76 97.21 173
66,2076,13 14 12,51,2686076,159.76 98.9 170
67,2079,14 12 14,51,2685354,160.61 97.21 172
68,2081,14 14 11,51,2684404,160.61 98.9 169
69,2076,14 14 10,51,2684404,160.61 98.9 169
70,2044,8 15 15,51,2683908,155.54 99.75 173
71,2085,15 12 13,51,2683793,161.45 97.21 171
72,2050,9 15 14,51,2682896,156.38 99.75 172
73,2082,15 14 9,51,2682564,161.45 98.9 168
74,2056,10 15 13,51,2681716,157.23 99.75 171
75,2060,11 13 15,51,2681436,158.07 98.05 173
76,2062,11 15 12,51,2680367,158.07 99.75 170
77,2066,12 13 14,51,2680192,158.92 98.05 172
78,2068,12 15 11,51,2678849,158.92 99.75 169
79,2063,12 15 10,51,2678849,158.92 99.75 169
80,2072,13 13 13,51,2678783,159.76 98.05 171
81,2075,14 11 15,51,2677480,160.61 96.36 173
82,2078,14 13 12,51,2677208,160.61 98.05 170
83,2069,13 15 9,51,2677163,159.76 99.75 168
84,2081,15 11 14,51,2676014,161.45 96.36 172
85,2047,9 14 15,51,2675626,156.38 98.9 173
86,2083,15 13 11,51,2675468,161.45 98.05 169
87,2078,15 13 10,51,2675468,161.45 98.05 169
88,2075,14 15 8,51,2675308,160.61 99.75 167
89,2053,10 14 14,51,2674539,157.23 98.9 172
90,2059,11 14 13,51,2673285,158.07 98.9 171
91,2080,15 15 7,51,2673284,161.45 99.75 166
92,2062,12 12 15,51,2672535,158.92 97.21 173
93,2065,12 14 12,51,2671864,158.92 98.9 170
94,2068,13 12 14,51,2671221,159.76 97.21 172
95,2070,13 14 11,51,2670275,159.76 98.9 169
96,2065,13 14 10,51,2670275,159.76 98.9 169
97,2074,14 12 13,51,2669741,160.61 97.21 171
98,2033,7 15 15,51,2669321,154.69 99.75 173
99,2071,14 14 9,51,2668520,160.61 98.9 168
100,2039,8 15 14,51,2668394,155.54 99.75 172
101,2080,15 12 12,51,2668098,161.45 97.21 170
102,2077,15 10 15,51,2667962,161.45 95.52 173
103,2045,9 15 13,51,2667298,156.38 99.75 171
104,2049,10 13 15,51,2667096,157.23 98.05 173
105,2077,15 14 8,51,2666597,161.45 98.9 167
106,2051,10 15 12,51,2666033,157.23 99.75 170
107,2055,11 13 14,51,2665936,158.07 98.05 172
108,2061,12 13 13,51,2664610,158.92 98.05 171
109,2057,11 15 11,51,2664600,158.07 99.75 169
110,2052,11 15 10,51,2664600,158.07 99.75 169
111,2064,13 11 15,51,2663388,159.76 96.36 173
112,2067,13 13 12,51,2663118,159.76 98.05 170
113,2058,12 15 9,51,2662998,158.92 99.75 168
114,2070,14 11 14,51,2662003,160.61 96.36 172
115,2073,14 13 11,51,2661460,160.61 98.05 169
116,2067,14 13 10,51,2661460,160.61 98.05 169
117,2064,13 15 8,51,2661227,159.76 99.75 167
