rank,cp,ivs,maxlevel,stat-product,stats
1,1010,15 15 15,51,1081830,93.83 104.82 110
2,1006,15 14 15,51,1073105,93.83 103.97 110
3,1001,14 15 15,51,1072083,92.98 104.82 110
4,1006,15 15 14,51,1071995,93.83 104.82 109
5,1003,15 15 13,51,1071995,93.83 104.82 109
6,1002,15 13 15,51,1064381,93.83 103.13 110
7,997,14 14 15,51,1063438,92.98 103.97 110
8,1002,15 14 14,51,1063350,93.83 103.97 109
9,999,15 14 13,51,1063350,93.83 103.97 109
10,992,13 15 15,51,1062337,92.14 104.82 110
11,997,14 15 14,51,1062337,92.98 104.82 109
12,994,14 15 13,51,1062337,92.98 104.82 109
13,999,15 15 12,51,1062160,93.83 104.82 108
14,998,15 12 15,51,1055656,93.83 102.28 110
15,993,14 13 15,51,1054792,92.98 103.13 110
16,998,15 13 14,51,1054705,93.83 103.13 109
17,994,15 13 13,51,1054705,93.83 103.13 109
18,988,13 14 15,51,1053770,92.14 103.97 110
19,993,14 14 14,51,1053770,92.98 103.97 109
20,990,14 14 13,51,1053770,92.98 103.97 109
21,995,15 14 12,51,1053594,93.83 103.97 108
22,988,13 15 14,51,1052680,92.14 104.82 109
23,985,13 15 13,51,1052680,92.14 104.82 109
24,983,12 15 15,51,1052591,91.29 104.82 110
25,990,14 15 12,51,1052591,92.98 104.82 108
26,995,15 15 11,51,1052325,93.83 104.82 107
27,994,15 11 15,51,1046932,93.83 101.44 110
28,989,14 12 15,51,1046146,92.98 102.28 110
29,994,15 12 14,51,1046059,93.83 102.28 109
30,990,15 12 13,51,1046059,93.83 102.28 109
31,984,13 13 15,51,1045203,92.14 103.13 110
32,989,14 13 14,51,1045203,92.98 103.13 109
33,986,14 13 13,51,1045203,92.98 103.13 109
34,991,15 13 12,51,1045028,93.83 103.13 108
35,984,13 14 14,51,1044190,92.14 103.97 109
36,981,13 14 13,51,1044190,92.14 103.97 109
37,979,12 14 15,51,1044102,91.29 103.97 110
38,986,14 14 12,51,1044102,92.98 103.97 108
39,991,15 14 11,51,1043839,93.83 103.97 107
40,979,12 15 14,51,1043022,91.29 104.82 109
41,976,12 15 13,51,1043022,91.29 104.82 109
42,981,13 15 12,51,1043022,92.14 104.82 108
43,974,11 15 15,51,1042845,90.45 104.82 110
44,986,14 15 11,51,1042845,92.98 104.82 107
45,991,15 15 10,51,1042490,93.83 104.82 106
46,990,15 10 15,51,1038207,93.83 100.59 110
47,985,14 11 15,51,1037500,92.98 101.44 110
48,990,15 11 14,51,1037414,93.83 101.44 109
49,986,15 11 13,51,1037414,93.83 101.44 109
50,980,13 12 15,51,1036636,92.14 102.28 110
51,985,14 12 14,51,1036636,92.98 102.28 109
52,981,14 12 13,51,1036636,92.98 102.28 109
53,987,15 12 12,51,1036463,93.83 102.28 108
54,980,13 13 14,51,1035701,92.14 103.13 109
55,977,13 13 13,51,1035701,92.14 103.13 109
56,975,12 13 15,51,1035614,91.29 103.13 110
57,982,14 13 12,51,1035614,92.98 103.13 108
58,987,15 13 11,51,1035352,93.83 103.13 107
59,975,12 14 14,51,1034611,91.29 103.97 109
60,972,12 14 13,51,1034611,91.29 103.97 109
61,977,13 14 12,51,1034611,92.14 103.97 108
62,970,11 14 15,51,1034435,90.45 103.97 110
63,982,14 14 11,51,1034435,92.98 103.97 107
64,987,15 14 10,51,1034083,93.83 103.97 106
65,972,12 15 12,51,1033453,91.29 104.82 108
66,970,11 15 14,51,1033364,90.45 104.82 109
67,966,11 15 13,51,1033364,90.45 104.82 109
68,977,13 15 11,51,1033364,92.14 104.82 107
69,965,10 15 15,51,1033099,89.6 104.82 110
70,982,14 15 10,51,1033099,92.98 104.82 106
71,987,15 15 9,51,1032656,93.83 104.82 105
72,986,15 9 15,51,1029483,93.83 99.75 110
73,981,14 10 15,51,1028854,92.98 100.59 110
74,986,15 10 14,51,1028769,93.83 100.59 109
75,982,15 10 13,51,1028769,93.83 100.59 109
76,976,13 11 15,51,1028068,92.14 101.44 110
77,981,14 11 14,51,1028068,92.98 101.44 109
78,977,14 11 13,51,1028068,92.98 101.44 109
79,982,15 11 12,51,1027897,93.83 101.44 108
80,976,13 12 14,51,1027212,92.14 102.28 109
81,973,13 12 13,51,1027212,92.14 102.28 109
82,971,12 12 15,51,1027125,91.29 102.28 110
83,978,14 12 12,51,1027125,92.98 102.28 108
84,983,15 12 11,51,1026866,93.83 102.28 107
85,971,12 13 14,51,1026199,91.29 103.13 109
86,968,12 13 13,51,1026199,91.29 103.13 109
