rank,cp,ivs,maxlevel,stat-product,stats
1,2500,0 15 15,39.5,4354398,143.32 150.41 202
2,2500,0 13 14,40,4339788,143.83 149.37 202
3,2498,0 12 15,40,4338196,143.83 148.58 203
4,2499,1 15 12,39.5,4334973,144.11 150.41 200
5,2495,0 15 14,39.5,4332841,143.32 150.41 201
6,2493,0 14 15,39.5,4331600,143.32 149.62 202
7,2500,0 14 9,40.5,4328644,144.35 150.69 199
8,2500,2 15 13,39,4327317,144.37 149.87 200
9,2496,1 15 15,39,4325318,143.59 149.87 201
10,2499,0 11 13,40.5,4324522,144.35 148.31 202
11,2498,0 10 14,40.5,4322690,144.35 147.52 203
12,2500,1 14 10,40,4321571,144.62 150.16 199
13,2498,0 15 11,40,4320577,143.83 150.95 199
14,2493,0 15 10,40,4320577,143.83 150.95 199
15,2497,0 14 12,40,4319554,143.83 150.16 200
16,2500,3 15 14,38.5,4319319,144.63 149.32 200
17,2495,0 13 13,40,4318304,143.83 149.37 201
18,2500,1 11 14,40,4317457,144.62 147.79 202
19,2493,0 12 14,40,4316826,143.83 148.58 202
20,2498,1 10 15,40,4315628,144.62 147 203
21,2491,0 11 15,40,4315121,143.83 147.79 203
22,2494,1 15 11,39.5,4313298,144.11 150.41 199
23,2499,2 13 12,39.5,4313021,144.9 148.83 200
24,2497,1 14 13,39.5,4312277,144.11 149.62 200
25,2492,1 14 12,39.5,4312277,144.11 149.62 200
26,2490,0 15 13,39.5,4311285,143.32 150.41 200
27,2485,0 15 12,39.5,4311285,143.32 150.41 200
28,2496,1 13 14,39.5,4311029,144.11 148.83 201
29,2500,4 15 15,38,4310982,144.88 148.78 200
30,2489,0 14 14,39.5,4310156,143.32 149.62 201
31,2494,1 12 15,39.5,4309553,144.11 148.05 202
32,2500,0 15 5,41,4309459,144.74 151.9 196
33,2487,0 13 15,39.5,4308802,143.32 148.83 202
34,2498,0 14 6,41,4308768,144.74 151.11 197
35,2497,0 13 7,41,4307847,144.74 150.31 198
36,2496,0 15 7,40.5,4307693,144.35 151.49 197
37,2495,0 14 8,40.5,4306892,144.35 150.69 198
38,2500,0 12 9,41,4306696,144.74 149.52 199
39,2500,1 12 9,40.5,4306612,145.14 149.11 199
40,2498,0 13 10,40.5,4305861,144.35 149.9 199
41,2493,0 13 9,40.5,4305861,144.35 149.9 199
42,2495,2 15 12,39,4305680,144.37 149.87 199
43,2498,0 11 10,41,4305315,144.74 148.72 200
44,2500,3 13 13,39,4305276,145.16 148.3 200
45,2498,2 14 14,39,4304661,144.37 149.08 200
46,2493,2 14 13,39,4304661,144.37 149.08 200
47,2496,0 12 11,40.5,4304602,144.35 149.11 200
48,2491,1 15 14,39,4303799,143.59 149.87 200
