rank,cp,ivs,maxlevel,stat-product,stats
1,1309,15 15 15,51,1761092,97.21 158.92 114
2,1305,15 14 15,51,1751725,97.21 158.07 114
3,1297,14 15 15,51,1745779,96.36 158.92 114
4,1304,15 15 14,51,1745644,97.21 158.92 113
5,1302,15 13 15,51,1742357,97.21 157.23 114
6,1294,14 14 15,51,1736493,96.36 158.07 114
7,1300,15 14 14,51,1736359,97.21 158.07 113
8,1298,15 12 15,51,1732990,97.21 156.38 114
9,1286,13 15 15,51,1730465,95.52 158.92 114
10,1292,14 15 14,51,1730465,96.36 158.92 113
11,1299,15 15 13,51,1730196,97.21 158.92 112
12,1290,14 13 15,51,1727206,96.36 157.23 114
13,1297,15 13 14,51,1727074,97.21 157.23 113
14,1295,15 11 15,51,1723622,97.21 155.54 114
15,1282,13 14 15,51,1721260,95.52 158.07 114
16,1289,14 14 14,51,1721260,96.36 158.07 113
17,1295,15 14 13,51,1720993,97.21 158.07 112
18,1287,14 12 15,51,1717920,96.36 156.38 114
19,1293,15 12 14,51,1717788,97.21 156.38 113
20,1281,13 15 14,51,1715285,95.52 158.92 113
21,1274,12 15 15,51,1715151,94.67 158.92 114
22,1288,14 15 13,51,1715151,96.36 158.92 112
23,1294,15 15 12,51,1714748,97.21 158.92 111
24,1291,15 10 15,51,1714255,97.21 154.69 114
25,1279,13 13 15,51,1712056,95.52 157.23 114
26,1285,14 13 14,51,1712056,96.36 157.23 113
27,1292,15 13 13,51,1711790,97.21 157.23 112
28,1283,14 11 15,51,1708634,96.36 155.54 114
29,1290,15 11 14,51,1708503,97.21 155.54 113
30,1278,13 14 14,51,1706161,95.52 158.07 113
31,1271,12 14 15,51,1706028,94.67 158.07 114
32,1284,14 14 13,51,1706028,96.36 158.07 112
33,1291,15 14 12,51,1705627,97.21 158.07 111
34,1288,15 9 15,51,1704887,97.21 153.84 114
35,1276,13 12 15,51,1702851,95.52 156.38 114
36,1282,14 12 14,51,1702851,96.36 156.38 113
37,1288,15 12 13,51,1702587,97.21 156.38 112
38,1270,12 15 14,51,1700106,94.67 158.92 113
39,1276,13 15 13,51,1700106,95.52 158.92 112
40,1263,11 15 15,51,1699837,93.83 158.92 114
41,1283,14 15 12,51,1699837,96.36 158.92 111
42,1280,14 10 15,51,1699348,96.36 154.69 114
43,1289,15 15 11,51,1699300,97.21 158.92 110
44,1286,15 10 14,51,1699218,97.21 154.69 113
45,1274,13 13 14,51,1697038,95.52 157.23 113
46,1268,12 13 15,51,1696905,94.67 157.23 114
47,1281,14 13 13,51,1696905,96.36 157.23 112
48,1287,15 13 12,51,1696506,97.21 157.23 111
49,1284,15 8 15,51,1695520,97.21 153 114
50,1272,13 11 15,51,1693646,95.52 155.54 114
51,1279,14 11 14,51,1693646,96.36 155.54 113
52,1285,15 11 13,51,1693383,97.21 155.54 112
