rank,cp,ivs,maxlevel,stat-product,stats
1,1359,15 15 15,41,1095145,167.01 77.14 85
2,1353,15 15 14,41,1095145,167.01 77.14 85
3,1353,14 15 15,41,1089930,166.22 77.14 85
4,1346,14 15 14,41,1089930,166.22 77.14 85
5,1346,13 15 15,41,1084715,165.42 77.14 85
6,1340,13 15 14,41,1084715,165.42 77.14 85
7,1352,15 14 15,41,1083855,167.01 76.35 85
8,1346,15 14 14,41,1083855,167.01 76.35 85
9,1346,15 15 13,41,1082261,167.01 77.14 84
10,1340,12 15 15,41,1079500,164.63 77.14 85
11,1333,12 15 14,41,1079500,164.63 77.14 85
12,1346,14 14 15,41,1078694,166.22 76.35 85
13,1339,14 14 14,41,1078694,166.22 76.35 85
14,1340,14 15 13,41,1077108,166.22 77.14 84
15,1333,11 15 15,41,1074285,163.83 77.14 85
16,1327,11 15 14,41,1074285,163.83 77.14 85
17,1339,13 14 15,41,1073533,165.42 76.35 85
18,1333,13 14 14,41,1073533,165.42 76.35 85
19,1345,15 13 15,41,1072565,167.01 75.55 85
20,1339,15 13 14,41,1072565,167.01 75.55 85
21,1334,13 15 13,41,1071954,165.42 77.14 84
22,1339,15 14 13,41,1071104,167.01 76.35 84
23,1340,15 15 12,41,1069377,167.01 77.14 83
24,1327,10 15 15,41,1069070,163.04 77.14 85
25,1320,10 15 14,41,1069070,163.04 77.14 85
26,1333,12 14 15,41,1068371,164.63 76.35 85
27,1326,12 14 14,41,1068371,164.63 76.35 85
28,1339,14 13 15,41,1067457,166.22 75.55 85
29,1332,14 13 14,41,1067457,166.22 75.55 85
30,1327,12 15 13,41,1066800,164.63 77.14 84
31,1333,14 14 13,41,1066003,166.22 76.35 84
32,1334,14 15 12,41,1064285,166.22 77.14 83
33,1320,9 15 15,41,1063855,162.24 77.14 85
34,1314,9 15 14,41,1063855,162.24 77.14 85
35,1326,11 14 15,41,1063210,163.83 76.35 85
36,1320,11 14 14,41,1063210,163.83 76.35 85
37,1332,13 13 15,41,1062350,165.42 75.55 85
38,1326,13 13 14,41,1062350,165.42 75.55 85
39,1321,11 15 13,41,1061647,163.83 77.14 84
40,1338,15 12 15,41,1061275,167.01 74.76 85
41,1332,15 12 14,41,1061275,167.01 74.76 85
42,1327,13 14 13,41,1060903,165.42 76.35 84
43,1332,15 13 13,41,1059947,167.01 75.55 84
44,1327,13 15 12,41,1059193,165.42 77.14 83
45,1314,8 15 15,41,1058640,161.45 77.14 85
46,1308,8 15 14,41,1058640,161.45 77.14 85
47,1333,15 14 12,41,1058353,167.01 76.35 83
48,1320,10 14 15,41,1058049,163.04 76.35 85
49,1314,10 14 14,41,1058049,163.04 76.35 85
50,1326,12 13 15,41,1057243,164.63 75.55 85
51,1320,12 13 14,41,1057243,164.63 75.55 85
52,1314,10 15 13,41,1056493,163.04 77.14 84
53,1334,15 15 11,41,1056493,167.01 77.14 82
54,1331,14 12 15,41,1056221,166.22 74.76 85
55,1325,14 12 14,41,1056221,166.22 74.76 85
56,1320,12 14 13,41,1055802,164.63 76.35 84
57,1326,14 13 13,41,1054899,166.22 75.55 84
58,1321,12 15 12,41,1054100,164.63 77.14 83
59,1307,7 15 15,41,1053425,160.65 77.14 85
60,1301,7 15 14,41,1053425,160.65 77.14 85
61,1327,14 14 12,41,1053313,166.22 76.35 83
