rank,cp,ivs,maxlevel,stat-product,stats
1,2448,15 15 15,41,3407794,174.97 125.66 155
2,2442,15 15 14,41,3407794,174.97 125.66 155
3,2437,14 15 15,41,3392304,174.17 125.66 155
4,2431,14 15 14,41,3392304,174.17 125.66 155
5,2440,15 14 15,41,3386226,174.97 124.86 155
6,2434,15 14 14,41,3386226,174.97 124.86 155
7,2436,15 15 13,41,3385808,174.97 125.66 154
8,2426,13 15 15,41,3376814,173.38 125.66 155
9,2420,13 15 14,41,3376814,173.38 125.66 155
10,2429,14 14 15,41,3370834,174.17 124.86 155
11,2423,14 14 14,41,3370834,174.17 124.86 155
12,2425,14 15 13,41,3370418,174.17 125.66 154
13,2433,15 13 15,41,3364658,174.97 124.07 155
14,2426,15 13 14,41,3364658,174.97 124.07 155
15,2428,15 14 13,41,3364379,174.97 124.86 154
16,2429,15 15 12,41,3363823,174.97 125.66 153
17,2415,12 15 15,41,3361324,172.58 125.66 155
18,2409,12 15 14,41,3361324,172.58 125.66 155
19,2418,13 14 15,41,3355442,173.38 124.86 155
20,2412,13 14 14,41,3355442,173.38 124.86 155
21,2414,13 15 13,41,3355028,173.38 125.66 154
22,2422,14 13 15,41,3349364,174.17 124.07 155
23,2415,14 13 14,41,3349364,174.17 124.07 155
24,2417,14 14 13,41,3349087,174.17 124.86 154
25,2418,14 15 12,41,3348533,174.17 125.66 153
26,2404,11 15 15,41,3345834,171.78 125.66 155
27,2398,11 15 14,41,3345834,171.78 125.66 155
28,2425,15 12 15,41,3343089,174.97 123.27 155
29,2419,15 12 14,41,3343089,174.97 123.27 155
30,2420,15 13 13,41,3342950,174.97 124.07 154
31,2422,15 14 12,41,3342533,174.97 124.86 153
32,2423,15 15 11,41,3341837,174.97 125.66 152
33,2407,12 14 15,41,3340050,172.58 124.86 155
34,2401,12 14 14,41,3340050,172.58 124.86 155
35,2402,12 15 13,41,3339638,172.58 125.66 154
36,2411,13 13 15,41,3334070,173.38 124.07 155
37,2404,13 13 14,41,3334070,173.38 124.07 155
38,2406,13 14 13,41,3333794,173.38 124.86 154
39,2407,13 15 12,41,3333243,173.38 125.66 153
40,2393,10 15 15,41,3330344,170.99 125.66 155
41,2386,10 15 14,41,3330344,170.99 125.66 155
42,2414,14 12 15,41,3327893,174.17 123.27 155
43,2408,14 12 14,41,3327893,174.17 123.27 155
44,2409,14 13 13,41,3327755,174.17 124.07 154
45,2411,14 14 12,41,3327339,174.17 124.86 153
46,2412,14 15 11,41,3326647,174.17 125.66 152
47,2396,11 14 15,41,3324658,171.78 124.86 155
48,2390,11 14 14,41,3324658,171.78 124.86 155
49,2391,11 15 13,41,3324248,171.78 125.66 154
50,2417,15 11 15,41,3321521,174.97 122.48 155
51,2411,15 11 14,41,3321521,174.97 122.48 155
52,2412,15 12 13,41,3321521,174.97 123.27 154
53,2414,15 13 12,41,3321243,174.97 124.07 153
54,2415,15 14 11,41,3320686,174.97 124.86 152
55,2417,15 15 10,41,3319851,174.97 125.66 151
56,2410,15 15 9,41,3319851,174.97 125.66 151
57,2400,12 13 15,41,3318776,172.58 124.07 155
58,2393,12 13 14,41,3318776,172.58 124.07 155
59,2395,12 14 13,41,3318501,172.58 124.86 154
60,2396,12 15 12,41,3317952,172.58 125.66 153
61,2381,9 15 15,41,3314854,170.19 125.66 155
62,2375,9 15 14,41,3314854,170.19 125.66 155
63,2403,13 12 15,41,3312698,173.38 123.27 155
64,2397,13 12 14,41,3312698,173.38 123.27 155
65,2398,13 13 13,41,3312560,173.38 124.07 154
66,2400,13 14 12,41,3312146,173.38 124.86 153
67,2401,13 15 11,41,3311457,173.38 125.66 152
