rank,cp,ivs,maxlevel,stat-product,stats
1,2483,15 15 15,41,4009362,153.49 128.04 204
2,2478,15 15 14,41,3989708,153.49 128.04 203
3,2470,14 15 15,41,3988588,152.7 128.04 204
4,2475,15 14 15,41,3984459,153.49 127.25 204
5,2473,15 15 13,41,3970054,153.49 128.04 202
6,2468,15 15 12,41,3970054,153.49 128.04 202
7,2465,14 15 14,41,3969036,152.7 128.04 203
8,2457,13 15 15,41,3967814,151.9 128.04 204
9,2470,15 14 14,41,3964927,153.49 127.25 203
10,2462,14 14 15,41,3963814,152.7 127.25 204
11,2467,15 13 15,41,3959556,153.49 126.45 204
12,2463,15 15 11,41,3950401,153.49 128.04 201
13,2460,14 15 13,41,3949484,152.7 128.04 202
14,2455,14 15 12,41,3949484,152.7 128.04 202
15,2452,13 15 14,41,3948364,151.9 128.04 203
16,2444,12 15 15,41,3947040,151.11 128.04 204
17,2465,15 14 13,41,3945396,153.49 127.25 202
18,2460,15 14 12,41,3945396,153.49 127.25 202
19,2457,14 14 14,41,3944384,152.7 127.25 203
20,2449,13 14 15,41,3943169,151.9 127.25 204
21,2462,15 13 14,41,3940147,153.49 126.45 203
22,2454,14 13 15,41,3939040,152.7 126.45 204
23,2459,15 12 15,41,3934653,153.49 125.66 204
24,2458,15 15 10,41,3930747,153.49 128.04 200
25,2450,14 15 11,41,3929932,152.7 128.04 201
26,2447,13 15 13,41,3928914,151.9 128.04 202
27,2443,13 15 12,41,3928914,151.9 128.04 202
28,2439,12 15 14,41,3927692,151.11 128.04 203
29,2431,11 15 15,41,3926266,150.31 128.04 204
30,2456,15 14 11,41,3925864,153.49 127.25 201
31,2452,14 14 13,41,3924953,152.7 127.25 202
32,2448,14 14 12,41,3924953,152.7 127.25 202
33,2444,13 14 14,41,3923840,151.9 127.25 203
34,2436,12 14 15,41,3922524,151.11 127.25 204
35,2458,15 13 13,41,3920737,153.49 126.45 202
36,2453,15 13 12,41,3920737,153.49 126.45 202
37,2450,14 13 14,41,3919731,152.7 126.45 203
38,2442,13 13 15,41,3918525,151.9 126.45 204
39,2455,15 12 14,41,3915366,153.49 125.66 203
40,2447,14 12 15,41,3914267,152.7 125.66 204
41,2453,15 15 9,41,3911093,153.49 128.04 199
42,2446,14 15 10,41,3910380,152.7 128.04 200
43,2452,15 11 15,41,3909750,153.49 124.86 204
44,2438,13 15 11,41,3909464,151.9 128.04 201
45,2434,12 15 13,41,3908344,151.11 128.04 202
46,2430,12 15 12,41,3908344,151.11 128.04 202
47,2426,11 15 14,41,3907020,150.31 128.04 203
48,2451,15 14 10,41,3906332,153.49 127.25 200
49,2443,14 14 11,41,3905523,152.7 127.25 201
50,2418,10 15 15,41,3905492,149.52 128.04 204
51,2440,13 14 13,41,3904511,151.9 127.25 202
