rank,cp,ivs,maxlevel,stat-product,stats
1,2328,15 15 15,41,2909142,185.3 112.14 140
2,2318,14 15 15,41,2896657,184.51 112.14 140
3,2319,15 14 15,41,2888510,185.3 111.34 140
4,2321,15 15 14,41,2888363,185.3 112.14 139
5,2314,15 15 13,41,2888363,185.3 112.14 139
6,2308,13 15 15,41,2884171,183.71 112.14 140
7,2309,14 14 15,41,2876113,184.51 111.34 140
8,2311,14 15 14,41,2875966,184.51 112.14 139
9,2305,14 15 13,41,2875966,184.51 112.14 139
10,2298,12 15 15,41,2871685,182.92 112.14 140
11,2311,15 13 15,41,2867878,185.3 110.55 140
12,2313,15 14 14,41,2867878,185.3 111.34 139
13,2306,15 14 13,41,2867878,185.3 111.34 139
14,2308,15 15 12,41,2867583,185.3 112.14 138
15,2299,13 14 15,41,2863716,183.71 111.34 140
16,2301,13 15 14,41,2863570,183.71 112.14 139
17,2295,13 15 13,41,2863570,183.71 112.14 139
18,2288,11 15 15,41,2859200,182.12 112.14 140
19,2301,14 13 15,41,2855569,184.51 110.55 140
20,2303,14 14 14,41,2855569,184.51 111.34 139
21,2296,14 14 13,41,2855569,184.51 111.34 139
22,2298,14 15 12,41,2855276,184.51 112.14 138
23,2290,12 14 15,41,2851319,182.92 111.34 140
24,2291,12 15 14,41,2851173,182.92 112.14 139
25,2285,12 15 13,41,2851173,182.92 112.14 139
26,2305,15 13 14,41,2847393,185.3 110.55 139
27,2298,15 13 13,41,2847393,185.3 110.55 139
28,2303,15 12 15,41,2847246,185.3 109.75 140
29,2300,15 14 12,41,2847246,185.3 111.34 138
30,2301,15 15 11,41,2846803,185.3 112.14 137
31,2278,10 15 15,41,2846714,181.33 112.14 140
32,2291,13 13 15,41,2843261,183.71 110.55 140
33,2293,13 14 14,41,2843261,183.71 111.34 139
34,2286,13 14 13,41,2843261,183.71 111.34 139
35,2288,13 15 12,41,2842969,183.71 112.14 138
36,2280,11 14 15,41,2838922,182.12 111.34 140
37,2281,11 15 14,41,2838777,182.12 112.14 139
38,2275,11 15 13,41,2838777,182.12 112.14 139
39,2295,14 13 14,41,2835172,184.51 110.55 139
40,2288,14 13 13,41,2835172,184.51 110.55 139
41,2293,14 12 15,41,2835026,184.51 109.75 140
42,2290,14 14 12,41,2835026,184.51 111.34 138
43,2291,14 15 11,41,2834585,184.51 112.14 137
44,2268,9 15 15,41,2834229,180.53 112.14 140
45,2281,12 13 15,41,2830952,182.92 110.55 140
46,2283,12 14 14,41,2830952,182.92 111.34 139
47,2277,12 14 13,41,2830952,182.92 111.34 139
48,2278,12 15 12,41,2830661,182.92 112.14 138
49,2296,15 12 14,41,2826908,185.3 109.75 139
50,2290,15 12 13,41,2826908,185.3 109.75 139
51,2291,15 13 12,41,2826908,185.3 110.55 138
52,2294,15 11 15,41,2826613,185.3 108.96 140
53,2293,15 14 11,41,2826613,185.3 111.34 137
54,2270,10 14 15,41,2826525,181.33 111.34 140
55,2271,10 15 14,41,2826381,181.33 112.14 139
56,2265,10 15 13,41,2826381,181.33 112.14 139
57,2295,15 15 10,41,2826024,185.3 112.14 136
58,2285,13 13 14,41,2822952,183.71 110.55 139
59,2278,13 13 13,41,2822952,183.71 110.55 139
60,2283,13 12 15,41,2822806,183.71 109.75 140
61,2280,13 14 12,41,2822806,183.71 111.34 138
62,2281,13 15 11,41,2822367,183.71 112.14 137
63,2258,8 15 15,41,2821743,179.74 112.14 140
64,2271,11 13 15,41,2818644,182.12 110.55 140
65,2273,11 14 14,41,2818644,182.12 111.34 139
66,2267,11 14 13,41,2818644,182.12 111.34 139
67,2268,11 15 12,41,2818354,182.12 112.14 138
68,2286,14 12 14,41,2814775,184.51 109.75 139
69,2280,14 12 13,41,2814775,184.51 109.75 139
70,2282,14 13 12,41,2814775,184.51 110.55 138
71,2285,14 11 15,41,2814482,184.51 108.96 140
72,2283,14 14 11,41,2814482,184.51 111.34 137
73,2260,9 14 15,41,2814128,180.53 111.34 140
74,2261,9 15 14,41,2813984,180.53 112.14 139
75,2255,9 15 13,41,2813984,180.53 112.14 139
76,2285,14 15 10,41,2813895,184.51 112.14 136
77,2275,12 13 14,41,2810731,182.92 110.55 139
78,2268,12 13 13,41,2810731,182.92 110.55 139
79,2273,12 12 15,41,2810586,182.92 109.75 140
80,2270,12 14 12,41,2810586,182.92 111.34 138
81,2272,12 15 11,41,2810149,182.92 112.14 137
82,2248,7 15 15,41,2809258,178.94 112.14 140
83,2283,15 12 12,41,2806571,185.3 109.75 138
84,2288,15 11 14,41,2806423,185.3 108.96 139
85,2281,15 11 13,41,2806423,185.3 108.96 139
86,2285,15 13 11,41,2806423,185.3 110.55 137
87,2261,10 13 15,41,2806335,181.33 110.55 140
88,2263,10 14 14,41,2806335,181.33 111.34 139
89,2257,10 14 13,41,2806335,181.33 111.34 139
90,2258,10 15 12,41,2806047,181.33 112.14 138
91,2286,15 10 15,41,2805981,185.3 108.16 140
92,2286,15 14 10,41,2805981,185.3 111.34 136
93,2288,15 15 9,41,2805244,185.3 112.14 135
94,2281,15 15 8,41,2805244,185.3 112.14 135
95,2277,13 12 14,41,2802643,183.71 109.75 139
96,2270,13 12 13,41,2802643,183.71 109.75 139
97,2272,13 13 12,41,2802643,183.71 110.55 138
98,2275,13 11 15,41,2802351,183.71 108.96 140
99,2273,13 14 11,41,2802351,183.71 111.34 137
100,2275,13 15 10,41,2801766,183.71 112.14 136
101,2250,8 14 15,41,2801731,179.74 111.34 140
102,2251,8 15 14,41,2801588,179.74 112.14 139
103,2245,8 15 13,41,2801588,179.74 112.14 139
104,2265,11 13 14,41,2798511,182.12 110.55 139
105,2259,11 13 13,41,2798511,182.12 110.55 139
106,2263,11 12 15,41,2798366,182.12 109.75 140
107,2260,11 14 12,41,2798366,182.12 111.34 138
108,2262,11 15 11,41,2797931,182.12 112.14 137
109,2238,6 15 15,41,2796772,178.15 112.14 140
110,2273,14 12 12,41,2794525,184.51 109.75 138
111,2278,14 11 14,41,2794379,184.51 108.96 139
112,2272,14 11 13,41,2794379,184.51 108.96 139
113,2275,14 13 11,41,2794379,184.51 110.55 137
114,2252,9 13 15,41,2794027,180.53 110.55 140
115,2253,9 14 14,41,2794027,180.53 111.34 139
116,2247,9 14 13,41,2794027,180.53 111.34 139
117,2276,14 10 15,41,2793938,184.51 108.16 140
118,2277,14 14 10,41,2793938,184.51 111.34 136
119,2248,9 15 12,41,2793740,180.53 112.14 138
120,2278,14 15 9,41,2793205,184.51 112.14 135
121,2271,14 15 8,41,2793205,184.51 112.14 135
122,2267,12 12 14,41,2790510,182.92 109.75 139
123,2260,12 12 13,41,2790510,182.92 109.75 139
124,2262,12 13 12,41,2790510,182.92 110.55 138
125,2265,12 11 15,41,2790219,182.92 108.96 140
126,2264,12 14 11,41,2790219,182.92 111.34 137
127,2265,12 15 10,41,2789637,182.92 112.14 136
128,2240,7 14 15,41,2789334,178.94 111.34 140
129,2241,7 15 14,41,2789191,178.94 112.14 139
130,2235,7 15 13,41,2789191,178.94 112.14 139
131,2255,10 13 14,41,2786290,181.33 110.55 139
132,2249,10 13 13,41,2786290,181.33 110.55 139
133,2275,15 11 12,41,2786233,185.3 108.96 138
134,2277,15 12 11,41,2786233,185.3 109.75 137
135,2253,10 12 15,41,2786146,181.33 109.75 140
136,2250,10 14 12,41,2786146,181.33 111.34 138
137,2280,15 10 14,41,2785938,185.3 108.16 139
138,2273,15 10 13,41,2785938,185.3 108.16 139
139,2278,15 13 10,41,2785938,185.3 110.55 136
140,2252,10 15 11,41,2785713,181.33 112.14 137
141,2278,15 9 15,41,2785349,185.3 107.37 140
142,2280,15 14 9,41,2785349,185.3 111.34 135
143,2273,15 14 8,41,2785349,185.3 111.34 135
144,2274,15 15 7,41,2784465,185.3 112.14 134
145,2228,5 15 15,41,2784286,177.35 112.14 140
146,2264,13 12 12,41,2782480,183.71 109.75 138
147,2268,13 11 14,41,2782334,183.71 108.96 139
148,2262,13 11 13,41,2782334,183.71 108.96 139
149,2265,13 13 11,41,2782334,183.71 110.55 137
150,2266,13 10 15,41,2781895,183.71 108.16 140
151,2267,13 14 10,41,2781895,183.71 111.34 136
152,2242,8 13 15,41,2781718,179.74 110.55 140
153,2243,8 14 14,41,2781718,179.74 111.34 139
154,2237,8 14 13,41,2781718,179.74 111.34 139
155,2239,8 15 12,41,2781433,179.74 112.14 138
156,2268,13 15 9,41,2781165,183.71 112.14 135
157,2262,13 15 8,41,2781165,183.71 112.14 135
158,2257,11 12 14,41,2778378,182.12 109.75 139
159,2250,11 12 13,41,2778378,182.12 109.75 139
160,2252,11 13 12,41,2778378,182.12 110.55 138
161,2255,11 11 15,41,2778088,182.12 108.96 140
162,2254,11 14 11,41,2778088,182.12 111.34 137
163,2255,11 15 10,41,2777508,182.12 112.14 136
164,2230,6 14 15,41,2776937,178.15 111.34 140
165,2231,6 15 14,41,2776795,178.15 112.14 139
166,2225,6 15 13,41,2776795,178.15 112.14 139
167,2265,14 11 12,41,2774275,184.51 108.96 138
168,2267,14 12 11,41,2774275,184.51 109.75 137
169,2245,9 13 14,41,2774070,180.53 110.55 139
170,2239,9 13 13,41,2774070,180.53 110.55 139
171,2270,14 10 14,41,2773982,184.51 108.16 139
172,2263,14 10 13,41,2773982,184.51 108.16 139
173,2268,14 13 10,41,2773982,184.51 110.55 136
174,2243,9 12 15,41,2773926,180.53 109.75 140
175,2240,9 14 12,41,2773926,180.53 111.34 138
176,2242,9 15 11,41,2773495,180.53 112.14 137
177,2268,14 9 15,41,2773395,184.51 107.37 140
178,2270,14 14 9,41,2773395,184.51 111.34 135
179,2263,14 14 8,41,2773395,184.51 111.34 135
180,2265,14 15 7,41,2772514,184.51 112.14 134
181,2218,4 15 15,41,2771801,176.56 112.14 140
182,2254,12 12 12,41,2770435,182.92 109.75 138
183,2258,12 11 14,41,2770289,182.92 108.96 139
184,2252,12 11 13,41,2770289,182.92 108.96 139
185,2255,12 13 11,41,2770289,182.92 110.55 137
186,2257,12 10 15,41,2769853,182.92 108.16 140
187,2257,12 14 10,41,2769853,182.92 111.34 136
188,2232,7 13 15,41,2769410,178.94 110.55 140
189,2233,7 14 14,41,2769410,178.94 111.34 139
190,2227,7 14 13,41,2769410,178.94 111.34 139
191,2229,7 15 12,41,2769125,178.94 112.14 138
192,2258,12 15 9,41,2769125,182.92 112.14 135
193,2252,12 15 8,41,2769125,182.92 112.14 135
194,2247,10 12 14,41,2766245,181.33 109.75 139
195,2241,10 12 13,41,2766245,181.33 109.75 139
196,2242,10 13 12,41,2766245,181.33 110.55 138
197,2268,15 11 11,41,2766043,185.3 108.96 137
198,2245,10 11 15,41,2765956,181.33 108.96 140
199,2244,10 14 11,41,2765956,181.33 111.34 137
200,2267,15 10 12,41,2765896,185.3 108.16 138
201,2270,15 12 10,41,2765896,185.3 109.75 136
202,2271,15 9 14,41,2765454,185.3 107.37 139
203,2265,15 9 13,41,2765454,185.3 107.37 139
204,2272,15 13 9,41,2765454,185.3 110.55 135
205,2265,15 13 8,41,2765454,185.3 110.55 135
206,2245,10 15 10,41,2765380,181.33 112.14 136
207,2269,15 8 15,41,2764717,185.3 106.57 140
208,2266,15 14 7,41,2764717,185.3 111.34 134
209,2220,5 14 15,41,2764540,177.35 111.34 140
210,2221,5 15 14,41,2764399,177.35 112.14 139
211,2215,5 15 13,41,2764399,177.35 112.14 139
212,2268,15 15 6,41,2763685,185.3 112.14 133
213,2255,13 11 12,41,2762317,183.71 108.96 138
214,2257,13 12 11,41,2762317,183.71 109.75 137
215,2260,13 10 14,41,2762025,183.71 108.16 139
216,2254,13 10 13,41,2762025,183.71 108.16 139
217,2259,13 13 10,41,2762025,183.71 110.55 136
218,2235,8 13 14,41,2761849,179.74 110.55 139
219,2229,8 13 13,41,2761849,179.74 110.55 139
220,2234,8 12 15,41,2761706,179.74 109.75 140
221,2231,8 14 12,41,2761706,179.74 111.34 138
222,2258,13 9 15,41,2761440,183.71 107.37 140
223,2260,13 14 9,41,2761440,183.71 111.34 135
224,2254,13 14 8,41,2761440,183.71 111.34 135
225,2232,8 15 11,41,2761277,179.74 112.14 137
226,2255,13 15 7,41,2760564,183.71 112.14 134
227,2208,3 15 15,41,2759315,175.76 112.14 140
228,2244,11 12 12,41,2758389,182.12 109.75 138
229,2249,11 11 14,41,2758244,182.12 108.96 139
230,2242,11 11 13,41,2758244,182.12 108.96 139
231,2246,11 13 11,41,2758244,182.12 110.55 137
232,2247,11 10 15,41,2757810,182.12 108.16 140
233,2247,11 14 10,41,2757810,182.12 111.34 136
234,2222,6 13 15,41,2757101,178.15 110.55 140
235,2223,6 14 14,41,2757101,178.15 111.34 139
236,2217,6 14 13,41,2757101,178.15 111.34 139
237,2249,11 15 9,41,2757086,182.12 112.14 135
238,2242,11 15 8,41,2757086,182.12 112.14 135
239,2219,6 15 12,41,2756818,178.15 112.14 138
240,2259,14 11 11,41,2754172,184.51 108.96 137
241,2237,9 12 14,41,2754112,180.53 109.75 139
242,2231,9 12 13,41,2754112,180.53 109.75 139
243,2232,9 13 12,41,2754112,180.53 110.55 138
244,2257,14 10 12,41,2754025,184.51 108.16 138
245,2260,14 12 10,41,2754025,184.51 109.75 136
246,2235,9 11 15,41,2753825,180.53 108.96 140
247,2234,9 14 11,41,2753825,180.53 111.34 137
248,2261,14 9 14,41,2753585,184.51 107.37 139
249,2255,14 9 13,41,2753585,184.51 107.37 139
250,2262,14 13 9,41,2753585,184.51 110.55 135
251,2255,14 13 8,41,2753585,184.51 110.55 135
252,2235,9 15 10,41,2753251,180.53 112.14 136
253,2259,14 8 15,41,2752851,184.51 106.57 140
254,2257,14 14 7,41,2752851,184.51 111.34 134
255,2210,4 14 15,41,2752143,176.56 111.34 140
256,2211,4 15 14,41,2752002,176.56 112.14 139
257,2205,4 15 13,41,2752002,176.56 112.14 139
258,2258,14 15 6,41,2751824,184.51 112.14 133
259,2246,12 11 12,41,2750359,182.92 108.96 138
260,2247,12 12 11,41,2750359,182.92 109.75 137
261,2250,12 10 14,41,2750068,182.92 108.16 139
262,2244,12 10 13,41,2750068,182.92 108.16 139
263,2249,12 13 10,41,2750068,182.92 110.55 136
264,2225,7 13 14,41,2749628,178.94 110.55 139
265,2219,7 13 13,41,2749628,178.94 110.55 139
266,2248,12 9 15,41,2749486,182.92 107.37 140
267,2224,7 12 15,41,2749486,178.94 109.75 140
268,2221,7 14 12,41,2749486,178.94 111.34 138
269,2250,12 14 9,41,2749486,182.92 111.34 135
270,2244,12 14 8,41,2749486,182.92 111.34 135
271,2222,7 15 11,41,2749059,178.94 112.14 137
272,2245,12 15 7,41,2748613,182.92 112.14 134
273,2198,2 15 15,41,2746830,174.97 112.14 140
274,2234,10 12 12,41,2746344,181.33 109.75 138
275,2239,10 11 14,41,2746200,181.33 108.96 139
