rank,cp,ivs,maxlevel,stat-product,stats
1,894,15 15 15,41,750964,105.77 62.83 113
2,887,14 15 15,41,745317,104.98 62.83 113
3,890,15 15 14,41,744318,105.77 62.83 112
4,887,15 15 13,41,744318,105.77 62.83 112
5,888,15 14 15,41,741458,105.77 62.03 113
6,880,13 15 15,41,739671,104.18 62.83 113
7,884,14 15 14,41,738721,104.98 62.83 112
8,881,14 15 13,41,738721,104.98 62.83 112
9,884,15 15 12,41,737672,105.77 62.83 111
10,881,14 14 15,41,735883,104.98 62.03 113
11,885,15 14 14,41,734896,105.77 62.03 112
12,882,15 14 13,41,734896,105.77 62.03 112
13,873,12 15 15,41,734025,103.39 62.83 113
14,877,13 15 14,41,733125,104.18 62.83 112
15,874,13 15 13,41,733125,104.18 62.83 112
16,878,14 15 12,41,732126,104.98 62.83 111
17,882,15 13 15,41,731952,105.77 61.24 113
18,881,15 15 11,41,731026,105.77 62.83 110
19,875,13 14 15,41,730308,104.18 62.03 113
20,878,14 14 14,41,729371,104.98 62.03 112
21,875,14 14 13,41,729371,104.98 62.03 112
22,867,11 15 15,41,728378,102.59 62.83 113
23,879,15 14 12,41,728335,105.77 62.03 111
24,870,12 15 14,41,727529,103.39 62.83 112
25,867,12 15 13,41,727529,103.39 62.83 112
26,871,13 15 12,41,726579,104.18 62.83 111
27,876,14 13 15,41,726448,104.98 61.24 113
28,874,14 15 11,41,725530,104.98 62.83 110
29,879,15 13 14,41,725474,105.77 61.24 112
30,876,15 13 13,41,725474,105.77 61.24 112
31,868,12 14 15,41,724733,103.39 62.03 113
32,878,15 15 10,41,724381,105.77 62.83 109
33,872,13 14 14,41,723845,104.18 62.03 112
34,868,13 14 13,41,723845,104.18 62.03 112
35,872,14 14 12,41,722858,104.98 62.03 111
36,860,10 15 15,41,722732,101.8 62.83 113
37,876,15 12 15,41,722446,105.77 60.44 113
38,864,11 15 14,41,721932,102.59 62.83 112
39,861,11 15 13,41,721932,102.59 62.83 112
40,875,15 14 11,41,721773,105.77 62.03 110
41,864,12 15 12,41,721033,103.39 62.83 111
42,869,13 13 15,41,720945,104.18 61.24 113
43,868,13 15 11,41,720034,104.18 62.83 110
44,873,14 13 14,41,720020,104.98 61.24 112
45,869,14 13 13,41,720020,104.98 61.24 112
46,861,11 14 15,41,719158,102.59 62.03 113
47,873,15 13 12,41,718997,105.77 61.24 111
48,871,14 15 10,41,718934,104.98 62.83 109
49,865,12 14 14,41,718319,103.39 62.03 112
50,862,12 14 13,41,718319,103.39 62.03 112
51,875,15 15 9,41,717735,105.77 62.83 108
52,871,15 15 8,41,717735,105.77 62.83 108
53,865,13 14 12,41,717382,104.18 62.03 111
54,853,9 15 15,41,717085,101 62.83 113
55,870,14 12 15,41,717014,104.98 60.44 113
56,869,14 14 11,41,716346,104.98 62.03 110
57,857,10 15 14,41,716336,101.8 62.83 112
58,854,10 15 13,41,716336,101.8 62.83 112
59,873,15 12 14,41,716053,105.77 60.44 112
60,870,15 12 13,41,716053,105.77 60.44 112
61,858,11 15 12,41,715486,102.59 62.83 111
62,862,12 13 15,41,715442,103.39 61.24 113
63,872,15 14 10,41,715211,105.77 62.03 109
64,866,13 13 14,41,714565,104.18 61.24 112
65,863,13 13 13,41,714565,104.18 61.24 112
66,861,12 15 11,41,714537,103.39 62.83 110
67,866,14 13 12,41,713591,104.98 61.24 111
68,855,10 14 15,41,713583,101.8 62.03 113
69,865,13 15 10,41,713488,104.18 62.83 109
70,871,15 11 15,41,712940,105.77 59.65 113
71,858,11 14 14,41,712794,102.59 62.03 112
72,855,11 14 13,41,712794,102.59 62.03 112
73,870,15 13 11,41,712519,105.77 61.24 110
74,868,14 15 9,41,712339,104.98 62.83 108
75,865,14 15 8,41,712339,104.98 62.83 108
76,859,12 14 12,41,711906,103.39 62.03 111
77,863,13 12 15,41,711582,104.18 60.44 113
78,847,8 15 15,41,711439,100.21 62.83 113
79,868,15 15 7,41,711089,105.77 62.83 107
