rank,cp,ivs,maxlevel,stat-product
1,2029,15 15 15,40,2741701
2,2018,14 15 15,40,2727195
3,2022,15 14 15,40,2724349
4,2023,15 15 14,40,2723050
5,2018,15 15 13,40,2723050
6,2007,13 15 15,40,2712688
7,2011,14 14 15,40,2709934
8,2012,14 15 14,40,2708642
9,2007,14 15 13,40,2708642
10,2016,15 13 15,40,2706996
11,2017,15 14 14,40,2705816
12,2011,15 14 13,40,2705816
13,2012,15 15 12,40,2704399
14,1996,12 15 15,40,2698182
15,2001,13 14 15,40,2695519
16,2002,13 15 14,40,2694235
17,1996,13 15 13,40,2694235
18,2005,14 13 15,40,2692673
19,2006,14 14 14,40,2691499
20,2001,14 14 13,40,2691499
21,2002,14 15 12,40,2690090
22,2009,15 12 15,40,2689644
23,2010,15 13 14,40,2688581
24,2005,15 13 13,40,2688581
25,2006,15 14 12,40,2687283
26,2007,15 15 11,40,2685748
27,1986,11 15 15,40,2683676
28,1990,12 14 15,40,2681105
29,1991,12 15 14,40,2679827
30,1986,12 15 13,40,2679827
31,1994,13 13 15,40,2678351
32,1995,13 14 14,40,2677183
33,1990,13 14 13,40,2677183
34,1991,13 15 12,40,2675781
35,1999,14 12 15,40,2675413
36,2000,14 13 14,40,2674356
37,1994,14 13 13,40,2674356
38,1995,14 14 12,40,2673064
39,2003,15 11 15,40,2672291
40,1996,14 15 11,40,2671538
41,2004,15 12 14,40,2671347
42,1998,15 12 13,40,2671347
43,1999,15 13 12,40,2670166
44,1975,10 15 15,40,2669169
45,2000,15 14 11,40,2668750
46,2001,15 15 10,40,2667097
47,1996,15 15 9,40,2667097
48,1979,11 14 15,40,2666690
49,1980,11 15 14,40,2665419
50,1975,11 15 13,40,2665419
51,1984,12 13 15,40,2664028
52,1985,12 14 14,40,2662866
53,1979,12 14 13,40,2662866
54,1980,12 15 12,40,2661472
55,1988,13 12 15,40,2661182
56,1989,13 13 14,40,2660131
57,1984,13 13 13,40,2660131
58,1985,13 14 12,40,2658846
59,1992,14 11 15,40,2658152
60,1986,13 15 11,40,2657327
61,1993,14 12 14,40,2657212
62,1988,14 12 13,40,2657212
63,1989,14 13 12,40,2656038
64,1996,15 10 15,40,2654938
65,1964,9 15 15,40,2654663
66,1990,14 14 11,40,2654629
67,1997,15 11 14,40,2654112
68,1992,15 11 13,40,2654112
69,1993,15 12 12,40,2653050
70,1991,14 15 10,40,2652985
71,1985,14 15 9,40,2652985
72,1969,10 14 15,40,2652276
73,1994,15 13 11,40,2651751
74,1970,10 15 14,40,2651012
75,1964,10 15 13,40,2651012
76,1995,15 14 10,40,2650217
77,1989,15 14 9,40,2650217
78,1973,11 13 15,40,2649705
79,1974,11 14 14,40,2648550
80,1969,11 14 13,40,2648550
81,1990,15 15 8,40,2648446
82,1970,11 15 12,40,2647163
83,1977,12 12 15,40,2646951
84,1978,12 13 14,40,2645905
85,1973,12 13 13,40,2645905
86,1974,12 14 12,40,2644627
87,1982,13 11 15,40,2644013
88,1975,12 15 11,40,2643117
89,1983,13 12 14,40,2643078
90,1977,13 12 13,40,2643078
91,1978,13 13 12,40,2641910
92,1986,14 10 15,40,2640891
