rank,cp,ivs,maxlevel,stat-product,stats
1,1318,15 15 15,41,1561419,110.55 117.7 120
2,1314,15 15 14,41,1561419,110.55 117.7 120
3,1314,15 14 15,41,1550869,110.55 116.91 120
4,1309,15 14 14,41,1550869,110.55 116.91 120
5,1309,14 15 15,41,1550186,109.75 117.7 120
6,1304,14 15 14,41,1550186,109.75 117.7 120
7,1309,15 15 13,41,1548408,110.55 117.7 119
8,1309,15 13 15,41,1540319,110.55 116.11 120
9,1305,15 13 14,41,1540319,110.55 116.11 120
10,1304,14 14 15,41,1539712,109.75 116.91 120
11,1300,14 14 14,41,1539712,109.75 116.91 120
12,1299,13 15 15,41,1538953,108.96 117.7 120
13,1295,13 15 14,41,1538953,108.96 117.7 120
14,1305,15 14 13,41,1537945,110.55 116.91 119
15,1300,14 15 13,41,1537268,109.75 117.7 119
16,1305,15 15 12,41,1535396,110.55 117.7 118
17,1305,15 12 15,41,1529769,110.55 115.32 120
18,1300,15 12 14,41,1529769,110.55 115.32 120
19,1300,14 13 15,41,1529238,109.75 116.11 120
20,1296,14 13 14,41,1529238,109.75 116.11 120
21,1295,13 14 15,41,1528555,108.96 116.91 120
22,1291,13 14 14,41,1528555,108.96 116.91 120
23,1290,12 15 15,41,1527720,108.16 117.7 120
24,1285,12 15 14,41,1527720,108.16 117.7 120
25,1301,15 13 13,41,1527483,110.55 116.11 119
26,1296,14 14 13,41,1526881,109.75 116.91 119
27,1291,13 15 13,41,1526128,108.96 117.7 119
28,1301,15 14 12,41,1525021,110.55 116.91 118
29,1296,14 15 12,41,1524350,109.75 117.7 118
30,1301,15 15 11,41,1522384,110.55 117.7 117
31,1300,15 11 15,41,1519219,110.55 114.52 120
32,1296,15 11 14,41,1519219,110.55 114.52 120
33,1295,14 12 15,41,1518764,109.75 115.32 120
34,1291,14 12 14,41,1518764,109.75 115.32 120
35,1290,13 13 15,41,1518156,108.96 116.11 120
36,1286,13 13 14,41,1518156,108.96 116.11 120
37,1285,12 14 15,41,1517397,108.16 116.91 120
38,1281,12 14 14,41,1517397,108.16 116.91 120
39,1296,15 12 13,41,1517021,110.55 115.32 119
40,1291,14 13 13,41,1516494,109.75 116.11 119
41,1280,11 15 15,41,1516487,107.37 117.7 120
42,1276,11 15 14,41,1516487,107.37 117.7 120
43,1286,13 14 13,41,1515817,108.96 116.91 119
44,1281,12 15 13,41,1514989,108.16 117.7 119
45,1296,15 13 12,41,1514647,110.55 116.11 118
46,1291,14 14 12,41,1514050,109.75 116.91 118
47,1286,13 15 12,41,1513304,108.96 117.7 118
48,1296,15 14 11,41,1512098,110.55 116.91 117
49,1291,14 15 11,41,1511432,109.75 117.7 117
50,1296,15 15 10,41,1509372,110.55 117.7 116
51,1292,15 15 9,41,1509372,110.55 117.7 116
52,1296,15 10 15,41,1508669,110.55 113.73 120
53,1291,15 10 14,41,1508669,110.55 113.73 120
54,1291,14 11 15,41,1508289,109.75 114.52 120
55,1287,14 11 14,41,1508289,109.75 114.52 120
56,1286,13 12 15,41,1507758,108.96 115.32 120
57,1282,13 12 14,41,1507758,108.96 115.32 120
58,1281,12 13 15,41,1507075,108.16 116.11 120
59,1277,12 13 14,41,1507075,108.16 116.11 120
60,1292,15 11 13,41,1506559,110.55 114.52 119
61,1276,11 14 15,41,1506240,107.37 116.91 120
62,1272,11 14 14,41,1506240,107.37 116.91 120
63,1287,14 12 13,41,1506107,109.75 115.32 119
64,1282,13 13 13,41,1505505,108.96 116.11 119
65,1271,10 15 15,41,1505253,106.57 117.7 120
66,1267,10 15 14,41,1505253,106.57 117.7 120
67,1277,12 14 13,41,1504752,108.16 116.91 119
68,1292,15 12 12,41,1504273,110.55 115.32 118
69,1272,11 15 13,41,1503849,107.37 117.7 119
70,1287,14 13 12,41,1503750,109.75 116.11 118
71,1282,13 14 12,41,1503079,108.96 116.91 118
72,1277,12 15 12,41,1502258,108.16 117.7 118
73,1292,15 13 11,41,1501811,110.55 116.11 117
74,1287,14 14 11,41,1501219,109.75 116.91 117
75,1282,13 15 11,41,1500479,108.96 117.7 117
76,1292,15 14 10,41,1499174,110.55 116.91 116
77,1287,15 14 9,41,1499174,110.55 116.91 116
78,1287,14 15 10,41,1498513,109.75 117.7 116
79,1283,14 15 9,41,1498513,109.75 117.7 116
80,1291,15 9 15,41,1498119,110.55 112.93 120
81,1287,15 9 14,41,1498119,110.55 112.93 120
82,1286,14 10 15,41,1497815,109.75 113.73 120
83,1282,14 10 14,41,1497815,109.75 113.73 120
84,1281,13 11 15,41,1497360,108.96 114.52 120
85,1277,13 11 14,41,1497360,108.96 114.52 120
86,1277,12 12 15,41,1496752,108.16 115.32 120
87,1272,12 12 14,41,1496752,108.16 115.32 120
88,1287,15 15 8,41,1496360,110.55 117.7 115
89,1287,15 10 13,41,1496097,110.55 113.73 119
90,1272,11 13 15,41,1495993,107.37 116.11 120
91,1267,11 13 14,41,1495993,107.37 116.11 120
92,1282,14 11 13,41,1495720,109.75 114.52 119
93,1277,13 12 13,41,1495193,108.96 115.32 119
94,1266,10 14 15,41,1495083,106.57 116.91 120
95,1262,10 14 14,41,1495083,106.57 116.91 120
96,1272,12 13 13,41,1494516,108.16 116.11 119
97,1261,9 15 15,41,1494020,105.77 117.7 120
98,1257,9 15 14,41,1494020,105.77 117.7 120
99,1287,15 11 12,41,1493899,110.55 114.52 118
100,1267,11 14 13,41,1493688,107.37 116.91 119
101,1282,14 12 12,41,1493451,109.75 115.32 118
102,1278,13 13 12,41,1492854,108.96 116.11 118
103,1262,10 15 13,41,1492709,106.57 117.7 119
104,1273,12 14 12,41,1492107,108.16 116.91 118
105,1287,15 12 11,41,1491525,110.55 115.32 117
