rank,cp,ivs,maxlevel,stat-product,stats
1,1068,15 15 15,41,975895,116.91 65.21 128
2,1061,14 15 15,41,969256,116.11 65.21 128
3,1064,15 15 14,41,968270,116.91 65.21 127
4,1061,15 14 15,41,963993,116.91 64.42 128
5,1053,13 15 15,41,962617,115.32 65.21 128
6,1057,14 15 14,41,961684,116.11 65.21 127
7,1061,15 15 13,41,960646,116.91 65.21 126
8,1054,14 14 15,41,957436,116.11 64.42 128
9,1058,15 14 14,41,956462,116.91 64.42 127
10,1046,12 15 15,41,955978,114.52 65.21 128
11,1050,13 15 14,41,955097,115.32 65.21 127
12,1054,14 15 13,41,954111,116.11 65.21 126
13,1058,15 15 12,41,953022,116.91 65.21 125
14,1055,15 13 15,41,952092,116.91 63.62 128
15,1047,13 14 15,41,950878,115.32 64.42 128
16,1051,14 14 14,41,949956,116.11 64.42 127
17,1039,11 15 15,41,949340,113.73 65.21 128
18,1055,15 14 13,41,948931,116.91 64.42 126
19,1043,12 15 14,41,948510,114.52 65.21 127
20,1047,13 15 13,41,947576,115.32 65.21 126
21,1051,14 15 12,41,946539,116.11 65.21 125
22,1048,14 13 15,41,945615,116.11 63.62 128
23,1054,15 15 11,41,945398,116.91 65.21 124
24,1051,15 15 10,41,945398,116.91 65.21 124
25,1051,15 13 14,41,944654,116.91 63.62 127
26,1040,12 14 15,41,944320,114.52 64.42 128
27,1044,13 14 14,41,943449,115.32 64.42 127
28,1031,10 15 15,41,942701,112.93 65.21 128
29,1047,14 14 13,41,942476,116.11 64.42 126
30,1036,11 15 14,41,941923,113.73 65.21 127
31,1051,15 14 12,41,941400,116.91 64.42 125
32,1039,12 15 13,41,941041,114.52 65.21 126
33,1048,15 12 15,41,940191,116.91 62.83 128
34,1043,13 15 12,41,940056,115.32 65.21 125
35,1040,13 13 15,41,939139,115.32 63.62 128
36,1047,14 15 11,41,938967,116.11 65.21 124
37,1044,14 15 10,41,938967,116.11 65.21 124
38,1044,14 13 14,41,938228,116.11 63.62 127
39,1048,15 15 9,41,937774,116.91 65.21 123
40,1032,11 14 15,41,937762,113.73 64.42 128
41,1048,15 13 13,41,937216,116.91 63.62 126
42,1036,12 14 14,41,936943,114.52 64.42 127
43,1024,9 15 15,41,936062,112.14 65.21 128
44,1040,13 14 13,41,936020,115.32 64.42 126
45,1028,10 15 14,41,935336,112.93 65.21 127
46,1044,14 14 12,41,934996,116.11 64.42 125
47,1032,11 15 13,41,934506,113.73 65.21 126
48,1048,15 14 11,41,933869,116.91 64.42 124
49,1045,15 14 10,41,933869,116.91 64.42 124
50,1041,14 12 15,41,933795,116.11 62.83 128
51,1036,12 15 12,41,933573,114.52 65.21 125
52,1045,15 12 14,41,932846,116.91 62.83 127
53,1033,12 13 15,41,932662,114.52 63.62 128
54,1040,13 15 11,41,932535,115.32 65.21 124
55,1037,13 15 10,41,932535,115.32 65.21 124
56,1037,13 13 14,41,931802,115.32 63.62 127
57,1041,14 15 9,41,931394,116.11 65.21 123
58,1025,10 14 15,41,931204,112.93 64.42 128
59,1041,14 13 13,41,930840,116.11 63.62 126
60,1029,11 14 14,41,930436,113.73 64.42 127
61,1044,15 15 8,41,930149,116.91 65.21 122
62,1045,15 13 12,41,929778,116.91 63.62 125
63,1033,12 14 13,41,929565,114.52 64.42 126
64,1017,8 15 15,41,929423,111.34 65.21 128
65,1021,9 15 14,41,928749,112.14 65.21 127
66,1037,13 14 12,41,928592,115.32 64.42 125
67,1041,15 11 15,41,928290,116.91 62.03 128
68,1025,10 15 13,41,927971,112.93 65.21 126
69,1041,14 14 11,41,927516,116.11 64.42 124
70,1038,14 14 10,41,927516,116.11 64.42 124
71,1034,13 12 15,41,927399,115.32 62.83 128
72,1029,11 15 12,41,927089,113.73 65.21 125
73,1038,14 12 14,41,926500,116.11 62.83 127
74,1041,15 14 9,41,926337,116.91 64.42 123
75,1026,11 13 15,41,926185,113.73 63.62 128
76,1033,12 15 11,41,926104,114.52 65.21 124
77,1030,12 15 10,41,926104,114.52 65.21 124
78,1042,15 12 13,41,925501,116.91 62.83 126
79,1030,12 13 14,41,925375,114.52 63.62 127
80,1033,13 15 9,41,925015,115.32 65.21 123
81,1018,9 14 15,41,924647,112.14 64.42 128
82,1034,13 13 13,41,924465,115.32 63.62 126
83,1022,10 14 14,41,923929,112.93 64.42 127
84,1037,14 15 8,41,923822,116.11 65.21 122
85,1038,14 13 12,41,923453,116.11 63.62 125
86,1026,11 14 13,41,923110,113.73 64.42 126
87,1010,7 15 15,41,922785,110.55 65.21 128
88,1041,15 15 7,41,922525,116.91 65.21 121
89,1042,15 13 11,41,922339,116.91 63.62 124
90,1038,15 13 10,41,922339,116.91 63.62 124
91,1030,12 14 12,41,922188,114.52 64.42 125
92,1014,8 15 14,41,922162,111.34 65.21 127
93,1034,14 11 15,41,921975,116.11 62.03 128
94,1018,9 15 13,41,921436,112.14 65.21 126
95,1034,13 14 11,41,921163,115.32 64.42 124
96,1030,13 14 10,41,921163,115.32 64.42 124
97,1038,15 11 14,41,921038,116.91 62.03 127
98,1027,12 12 15,41,921004,114.52 62.83 128
99,1022,10 15 12,41,920606,112.93 65.21 125
100,1031,13 12 14,41,920154,115.32 62.83 127
101,1034,14 14 9,41,920036,116.11 64.42 123
102,1019,10 13 15,41,919708,112.93 63.62 128
103,1026,11 15 11,41,919673,113.73 65.21 124
104,1022,11 15 10,41,919673,113.73 65.21 124
105,1034,14 12 13,41,919205,116.11 62.83 126
106,1023,11 13 14,41,918949,113.73 63.62 127
107,1038,15 14 8,41,918806,116.91 64.42 122
108,1026,12 15 9,41,918635,114.52 65.21 123
109,1038,15 12 12,41,918155,116.91 62.83 125
110,1011,8 14 15,41,918089,111.34 64.42 128
111,1027,12 13 13,41,918089,114.52 63.62 126
112,1030,13 15 8,41,917494,115.32 65.21 122
113,1015,9 14 14,41,917423,112.14 64.42 127
114,1031,13 13 12,41,917128,115.32 63.62 125
115,1019,10 14 13,41,916654,112.93 64.42 126
116,1035,15 10 15,41,916389,116.91 61.24 128
117,1034,14 15 7,41,916250,116.11 65.21 121
118,1002,6 15 15,41,916146,109.75 65.21 128
119,1034,14 13 11,41,916065,116.11 63.62 124
120,1031,14 13 10,41,916065,116.11 63.62 124
121,1023,11 14 12,41,915783,113.73 64.42 125
122,1027,13 11 15,41,915660,115.32 62.03 128
123,1007,7 15 14,41,915575,110.55 65.21 127
124,1011,8 15 13,41,914901,111.34 65.21 126
125,1035,15 13 9,41,914901,116.91 63.62 123
126,1038,15 15 6,41,914901,116.91 65.21 120
127,1034,15 15 5,41,914901,116.91 65.21 120
128,1027,12 14 11,41,914810,114.52 64.42 124
129,1023,12 14 10,41,914810,114.52 64.42 124
130,1031,14 11 14,41,914772,116.11 62.03 127
131,1020,11 12 15,41,914608,113.73 62.83 128
