rank,cp,ivs,maxlevel,stat-product,stats
1,2468,15 15 15,41,3954063,153.49 140.77 183
2,2455,14 15 15,41,3933576,152.7 140.77 183
3,2463,15 15 14,41,3932456,153.49 140.77 182
4,2457,15 15 13,41,3932456,153.49 140.77 182
5,2461,15 14 15,41,3931724,153.49 139.97 183
6,2442,13 15 15,41,3913088,151.9 140.77 183
7,2450,14 15 14,41,3912081,152.7 140.77 182
8,2444,14 15 13,41,3912081,152.7 140.77 182
9,2448,14 14 15,41,3911352,152.7 139.97 183
10,2452,15 15 12,41,3910849,153.49 140.77 181
11,2456,15 14 14,41,3910239,153.49 139.97 182
12,2450,15 14 13,41,3910239,153.49 139.97 182
13,2454,15 13 15,41,3909384,153.49 139.18 183
14,2430,12 15 15,41,3892601,151.11 140.77 183
15,2437,13 15 14,41,3891705,151.9 140.77 182
16,2432,13 15 13,41,3891705,151.9 140.77 182
17,2435,13 14 15,41,3890980,151.9 139.97 183
18,2439,14 15 12,41,3890586,152.7 140.77 181
19,2443,14 14 14,41,3889978,152.7 139.97 182
20,2438,14 14 13,41,3889978,152.7 139.97 182
21,2446,15 15 11,41,3889242,153.49 140.77 180
22,2441,14 13 15,41,3889128,152.7 139.18 183
23,2445,15 14 12,41,3888754,153.49 139.97 181
24,2449,15 13 14,41,3888021,153.49 139.18 182
25,2443,15 13 13,41,3888021,153.49 139.18 182
26,2447,15 12 15,41,3887045,153.49 138.38 183
27,2417,11 15 15,41,3872113,150.31 140.77 183
28,2424,12 15 14,41,3871330,151.11 140.77 182
29,2419,12 15 13,41,3871330,151.11 140.77 182
30,2423,12 14 15,41,3870609,151.11 139.97 183
31,2426,13 15 12,41,3870322,151.9 140.77 181
32,2430,13 14 14,41,3869718,151.9 139.97 182
33,2425,13 14 13,41,3869718,151.9 139.97 182
34,2434,14 15 11,41,3869091,152.7 140.77 180
35,2428,13 13 15,41,3868872,151.9 139.18 183
36,2432,14 14 12,41,3868605,152.7 139.97 181
37,2436,14 13 14,41,3867876,152.7 139.18 182
38,2431,14 13 13,41,3867876,152.7 139.18 182
39,2441,15 15 10,41,3867635,153.49 140.77 179
40,2439,15 14 11,41,3867269,153.49 139.97 180
41,2434,14 12 15,41,3866905,152.7 138.38 183
42,2438,15 13 12,41,3866659,153.49 139.18 181
43,2442,15 12 14,41,3865804,153.49 138.38 182
44,2436,15 12 13,41,3865804,153.49 138.38 182
45,2440,15 11 15,41,3864706,153.49 137.59 183
46,2404,10 15 15,41,3851626,149.52 140.77 183
47,2411,11 15 14,41,3850954,150.31 140.77 182
48,2406,11 15 13,41,3850954,150.31 140.77 182
49,2410,11 14 15,41,3850237,150.31 139.97 183
50,2414,12 15 12,41,3850059,151.11 140.77 181
51,2417,12 14 14,41,3849458,151.11 139.97 182
52,2412,12 14 13,41,3849458,151.11 139.97 182
53,2421,13 15 11,41,3848939,151.9 140.77 180
54,2416,12 13 15,41,3848617,151.11 139.18 183
55,2420,13 14 12,41,3848456,151.9 139.97 181
56,2423,13 13 14,41,3847731,151.9 139.18 182
57,2418,13 13 13,41,3847731,151.9 139.18 182
58,2428,14 15 10,41,3847596,152.7 140.77 179
59,2427,14 14 11,41,3847231,152.7 139.97 180
60,2422,13 12 15,41,3846765,151.9 138.38 183
61,2425,14 13 12,41,3846624,152.7 139.18 181
62,2436,15 15 9,41,3846028,153.49 140.77 178
63,2430,15 15 8,41,3846028,153.49 140.77 178
64,2434,15 14 10,41,3845784,153.49 139.97 179
65,2429,14 12 14,41,3845774,152.7 138.38 182
66,2424,14 12 13,41,3845774,152.7 138.38 182
67,2433,15 13 11,41,3845296,153.49 139.18 180
68,2427,14 11 15,41,3844681,152.7 137.59 183
69,2431,15 12 12,41,3844564,153.49 138.38 181
70,2435,15 11 14,41,3843587,153.49 137.59 182
71,2429,15 11 13,41,3843587,153.49 137.59 182
72,2433,15 10 15,41,3842366,153.49 136.79 183
73,2391,9 15 15,41,3831139,148.72 140.77 183
74,2399,10 15 14,41,3830579,149.52 140.77 182
75,2394,10 15 13,41,3830579,149.52 140.77 182
76,2397,10 14 15,41,3829865,149.52 139.97 183
77,2401,11 15 12,41,3829795,150.31 140.77 181
78,2405,11 14 14,41,3829198,150.31 139.97 182
79,2399,11 14 13,41,3829198,150.31 139.97 182
80,2408,12 15 11,41,3828788,151.11 140.77 180
81,2403,11 13 15,41,3828361,150.31 139.18 183
82,2407,12 14 12,41,3828307,151.11 139.97 181
83,2411,12 13 14,41,3827586,151.11 139.18 182
84,2405,12 13 13,41,3827586,151.11 139.18 182
85,2416,13 15 10,41,3827556,151.9 140.77 179
86,2414,13 14 11,41,3827194,151.9 139.97 180
87,2409,12 12 15,41,3826624,151.11 138.38 183
88,2413,13 13 12,41,3826590,151.9 139.18 181
89,2423,14 15 9,41,3826101,152.7 140.77 178
90,2418,14 15 8,41,3826101,152.7 140.77 178
91,2421,14 14 10,41,3825858,152.7 139.97 179
92,2416,13 12 14,41,3825744,151.9 138.38 182
93,2411,13 12 13,41,3825744,151.9 138.38 182
94,2420,14 13 11,41,3825372,152.7 139.18 180
95,2415,13 11 15,41,3824657,151.9 137.59 183
96,2418,14 12 12,41,3824643,152.7 138.38 181
97,2425,15 15 7,41,3824421,153.49 140.77 177
