rank,cp,ivs,maxlevel,stat-product
1,2498,0 14 15,32.5,4345209
2,2497,0 15 14,32.5,4336964
3,2499,1 15 12,32.5,4333290
4,2500,1 12 15,32.5,4331891
5,2492,0 13 15,32.5,4327328
6,2496,0 11 14,33,4325882
7,2496,1 15 15,32,4324692
8,2500,0 9 13,33.5,4323864
9,2500,1 13 14,32.5,4323819
10,2497,2 15 13,32,4320912
11,2492,0 14 14,32.5,4319190
12,2500,0 15 11,33,4318974
13,2494,0 15 10,33,4318974
14,2496,0 12 13,33,4317895
15,2498,0 13 9,33.5,4317554
16,2500,0 10 12,33.5,4316031
17,2499,1 14 13,32.5,4315531
18,2494,1 14 12,32.5,4315531
19,2495,1 11 15,32.5,4313917
20,2499,1 9 14,33,4312175
21,2498,2 13 15,32,4311468
22,2492,0 15 13,32.5,4310838
23,2486,0 15 12,32.5,4310838
24,2496,0 13 12,33,4309692
25,2487,0 12 15,32.5,4309446
26,2498,0 14 8,33.5,4308960
27,2496,3 15 14,31.5,4308176
28,2499,0 11 11,33.5,4307981
29,2497,0 10 15,33,4307857
30,2491,0 10 14,33,4307857
31,2500,3 13 13,32,4307585
32,2493,1 15 11,32.5,4307028
33,2491,1 14 15,32,4306968
34,2495,1 12 14,32.5,4305952
35,2497,1 13 10,33,4305883
36,2500,0 8 14,33.5,4305696
37,2495,0 8 13,33.5,4305696
38,2499,1 10 13,33,4304364
39,2498,2 14 14,32,4303204
40,2492,2 14 13,32,4303204
41,2498,0 6 12,34,4302964
42,2500,2 15 10,32.5,4302946
43,2483,0 15 15,32,4302284
44,2496,2 12 12,32.5,4302188
45,2487,0 13 14,32.5,4301416
46,2495,0 14 11,33,4301273
47,2489,0 14 10,33,4301273
48,2497,0 15 7,33.5,4300148
49,2498,2 9 15,32.5,4300133
50,2491,0 11 13,33,4299978
51,2499,0 12 10,33.5,4299713
52,2493,0 12 9,33.5,4299713
53,2499,3 14 12,32,4299171
54,2499,0 3 15,34,4298907
55,2490,1 15 14,32,4298640
56,2485,1 15 13,32,4298640
57,2500,0 13 6,34,4298468
58,2494,0 9 12,33.5,4297972
59,2494,1 13 13,32.5,4297772
60,2489,1 13 12,32.5,4297772
61,2497,1 14 9,33,4297312
62,2498,1 11 12,33,4296335
63,2490,1 10 15,32.5,4295942
64,2498,1 15 5,33.5,4295862
65,2500,1 12 8,33.5,4295753
66,2498,0 7 11,34,4295398
67,2494,4 15 15,31,4295079
68,2495,0 6 15,33.5,4294926
69,2498,4 13 14,31.5,4294775
70,2492,2 15 12,32,4294725
71,2499,1 8 15,33,4294057
72,2494,1 8 14,33,4294057
73,2496,2 13 11,32.5,4293858
74,2493,2 12 15,32,4293652
75,2486,0 14 13,32.5,4293171
76,2481,0 14 12,32.5,4293171
77,2489,0 15 9,33,4292639
78,2500,2 11 10,33,4292423
79,2497,2 10 14,32.5,4292343
80,2499,0 4 14,34,4291890
81,2490,0 12 12,33,4291883
82,2497,1 6 13,33.5,4291598
83,2482,0 11 15,32.5,4291565
84,2492,0 13 8,33.5,4291228
85,2499,3 15 11,32,4290540
86,2496,3 14 15,31.5,4290519
87,2491,3 14 14,31.5,4290519
88,2494,0 10 11,33.5,4290031
89,2492,0 9 15,33,4289833
90,2486,0 9 14,33,4289833
91,2500,3 12 14,32,4289785
92,2495,3 12 13,32,4289785
93,2500,0 14 5,34,4289587
94,2488,1 14 11,32.5,4289376
95,2496,0 11 7,34,4289258
96,2485,1 13 15,32,4289244
97,2500,1 4 12,34,4288563
98,2496,1 15 8,33,4288524
99,2499,3 10 12,32.5,4288478
100,2498,1 12 11,33,4288090
101,2492,1 12 10,33,4288090
102,2490,1 11 14,32.5,4288085
103,2497,0 8 10,34,4287614
104,2495,0 7 14,33.5,4287529
105,2490,0 7 13,33.5,4287529
106,2500,1 13 7,33.5,4287114
107,2499,0 9 6,34.5,4286731
108,2498,4 14 13,31.5,4286385
109,2493,1 9 13,33,4286354
110,2496,1 10 9,33.5,4286239
111,2500,4 15 9,32,4286086
112,2488,2 15 15,31.5,4286082
113,2483,2 15 14,31.5,4286082
114,2500,3 7 15,32.5,4285977
115,2493,2 13 14,32,4285495
116,2487,2 13 13,32,4285495
117,2495,2 14 10,32.5,4285311
118,2499,0 5 13,34,4284653
119,2493,0 5 12,34,4284653
120,2497,2 11 13,32.5,4284337
121,2491,2 11 12,32.5,4284337
122,2497,2 15 6,33,4284135
123,2497,1 7 12,33.5,4284052
124,2499,2 12 9,33,4284026
125,2482,0 12 14,32.5,4283641
126,2490,0 13 11,33,4283573
127,2484,0 13 10,33,4283573
128,2492,0 14 7,33.5,4282525
129,2492,2 8 15,32.5,4282065
130,2490,3 15 13,31.5,4282065
131,2486,0 10 13,33,4282062
132,2494,0 11 10,33.5,4281872
133,2488,0 11 9,33.5,4281872
134,2496,5 13 15,31,4281608
135,2494,3 13 12,32,4281479
136,2500,1 5 11,34,4281179
137,2485,1 14 14,32,4281022
138,2500,5 11 14,31.5,4281012
139,2497,3 14 8,32.5,4280974
140,2488,1 15 10,32.5,4280766
141,2495,0 12 6,34,4280706
142,2498,1 4 15,33.5,4280553
143,2499,0 15 4,34,4280487
144,2493,0 15 3,34,4280487
145,2494,0 2 15,34,4280377
146,2498,3 11 11,32.5,4280322
147,2489,1 12 13,32.5,4280012
148,2483,1 12 12,32.5,4280012
149,2496,3 10 15,32,4279968
150,2489,0 8 12,33.5,4279914
151,2496,2 6 14,33,4279882
152,2491,1 13 9,33,4279627
153,2497,0 9 9,34,4279610
154,2496,0 13 2,34.5,4278554
155,2493,1 10 12,33,4278434
156,2500,3 8 14,32.5,4278364
157,2499,0 10 5,34.5,4278333
158,2499,1 14 6,33.5,4278256
159,2493,1 14 5,33.5,4278256
160,2485,1 9 15,32.5,4277967
161,2495,1 11 8,33.5,4277928
162,2497,4 15 12,31.5,4277781
163,2488,4 14 15,31,4277477
164,2498,6 15 15,30.5,4277277
165,2493,0 6 11,34,4277198
166,2487,2 14 12,32,4277124
167,2499,2 4 13,33.5,4277120
168,2499,4 12 15,31.5,4277028
169,2493,4 12 14,31.5,4277028
170,2500,0 7 8,34.5,4276786
171,2490,0 5 15,33.5,4276650
172,2495,2 15 9,32.5,4276547
173,2489,2 15 8,32.5,4276547
174,2497,0 0 14,34.5,4276454
175,2497,1 8 11,33.5,4276288
176,2491,2 12 11,32.5,4276115
177,2497,4 10 13,32,4276002
178,2494,1 7 15,33,4275939
179,2488,1 7 14,33,4275939
180,2500,1 15 2,34,4275889
181,2488,2 11 15,32,4275836
182,2498,1 9 7,34,4275668
183,2481,0 13 13,32.5,4275503
184,2499,2 13 8,33,4275410
