rank,cp,ivs,maxlevel,stat-product
1,2499,0 15 12,28,3634084
2,2500,0 13 15,28,3633598
3,2500,3 15 15,27.5,3613239
4,2495,3 15 14,27.5,3613239
5,2497,0 14 13,28,3613078
6,2492,0 14 12,28,3613078
7,2494,0 15 11,28,3613078
8,2495,0 13 14,28,3612835
9,2493,0 12 15,28,3612349
10,2497,1 14 11,28,3606976
11,2498,4 14 14,27.5,3606956
12,2500,4 15 13,27.5,3606956
13,2500,1 13 13,28,3606854
14,2495,1 13 12,28,3606854
15,2499,1 15 10,28,3606854
16,2494,1 15 9,28,3606854
17,2498,1 12 14,28,3606488
18,2496,1 11 15,28,3605878
19,2500,2 13 11,28,3600702
20,2497,2 14 9,28,3600702
21,2498,2 12 12,28,3600457
22,2499,2 15 8,28,3600457
23,2498,2 10 15,28,3599233
24,2490,2 15 15,27.5,3598551
25,2485,2 15 14,27.5,3598551
26,2500,3 13 9,28,3594379
27,2496,0 12 7,28.5,3592827
28,2498,0 13 6,28.5,3592827
29,2499,0 11 9,28.5,3592580
30,2500,0 14 5,28.5,3592580
31,2495,0 14 4,28.5,3592580
32,2493,3 14 15,27.5,3592353
33,2488,3 14 14,27.5,3592353
34,2490,3 15 13,27.5,3592353
35,2487,0 14 11,28,3592193
36,2497,0 10 10,28.5,3592085
37,2497,0 15 3,28.5,3592085
38,2490,0 13 13,28,3592072
39,2485,0 13 12,28,3592072
40,2489,0 15 10,28,3592072
41,2484,0 15 9,28,3592072
42,2488,0 12 14,28,3591707
43,2499,0 9 12,28.5,3591344
44,2494,0 9 11,28.5,3591344
45,2485,0 11 15,28,3591100
46,2497,0 8 13,28.5,3590355
47,2500,0 7 15,28.5,3589119
48,2495,0 7 14,28.5,3589119
49,2499,1 11 7,28.5,3586391
50,2498,1 13 4,28.5,3586391
51,2493,4 14 13,27.5,3586107
52,2500,1 14 3,28.5,3586019
53,2490,1 13 11,28,3586005
54,2492,1 14 10,28,3586005
55,2487,1 14 9,28,3586005
56,2496,4 13 15,27.5,3585986
57,2491,4 13 14,27.5,3585986
58,2495,4 15 12,27.5,3585986
59,2493,1 12 13,28,3585761
60,2488,1 12 12,28,3585761
61,2489,1 15 8,28,3585761
62,2499,1 9 10,28.5,3585398
63,2491,1 11 14,28,3585273
64,2488,1 10 15,28,3584542
65,2497,1 8 11,28.5,3584529
66,2495,7 15 15,27,3584373
67,2480,1 15 15,27.5,3583863
68,2475,1 15 14,27.5,3583863
69,2500,1 7 13,28.5,3583413
70,2497,1 6 14,28.5,3582047
71,2495,2 13 10,28,3579767
72,2490,2 13 9,28,3579767
73,2496,5 13 13,27.5,3579692
74,2498,5 14 12,27.5,3579692
75,2493,2 12 11,28,3579645
76,2492,2 14 8,28,3579645
77,2499,5 12 15,27.5,3579448
78,2493,5 12 14,27.5,3579448
79,2500,5 15 11,27.5,3579448
80,2495,5 15 10,27.5,3579448
81,2496,2 11 13,28,3579278
82,2491,2 11 12,28,3579278
83,2494,2 15 7,28,3579278
84,2493,2 10 14,28,3578665
85,2497,8 14 15,27,3577909
86,2491,2 9 15,28,3577809
87,2500,8 15 14,27,3577788
88,2483,2 14 15,27.5,3577750
89,2478,2 14 14,27.5,3577750
90,2480,2 15 13,27.5,3577750
91,2500,2 7 11,28.5,3577538
92,2500,2 5 14,28.5,3574797
93,2498,3 12 10,28,3573359
94,2493,3 12 9,28,3573359
95,2495,3 13 8,28,3573359
96,2496,3 11 11,28,3573113
97,2497,3 14 7,28,3573113
98,2498,6 12 13,27.5,3573108
99,2498,6 14 10,27.5,3573108
100,2496,6 11 14,27.5,3572741
101,2500,6 15 9,27.5,3572741
102,2498,3 10 13,28,3572621
103,2493,3 10 12,28,3572621
104,2499,3 15 6,28,3572621
105,2494,3 15 5,28,3572621
106,2496,3 9 14,28,3571884
107,2491,0 12 6,28.5,3571816
108,2494,0 11 8,28.5,3571693
109,2489,0 11 7,28.5,3571693
110,2493,0 13 5,28.5,3571693
111,2488,0 13 4,28.5,3571693
112,2483,3 14 13,27.5,3571588
113,2486,3 13 15,27.5,3571467
114,2481,3 13 14,27.5,3571467
115,2485,3 15 12,27.5,3571467
116,2492,0 10 9,28.5,3571322
117,2490,0 14 3,28.5,3571322
118,2480,0 13 11,28,3571308
119,2482,0 14 10,28,3571308
120,2477,0 14 9,28,3571308
121,2500,9 13 15,27,3571279
122,2483,0 12 13,28,3571065
123,2478,0 12 12,28,3571065
124,2479,0 15 8,28,3571065
125,2499,9 15 12,27,3571036
126,2494,3 8 15,28,3570900
127,2489,0 9 10,28.5,3570704
128,2492,0 15 2,28.5,3570704
129,2498,0 10 2,29,3570606
130,2500,0 11 1,29,3570606
131,2480,0 11 14,28,3570580
132,2485,6 15 15,27,3570036
133,2499,0 8 5,29,3569852
134,2478,0 10 15,28,3569851
135,2492,0 8 12,28.5,3569839
136,2487,0 8 11,28.5,3569839
137,2470,0 15 15,27.5,3569175
138,2465,0 15 14,27.5,3569175
139,2490,0 7 13,28.5,3568726
140,2500,0 6 8,29,3568091
141,2492,0 6 15,28.5,3567367
142,2487,0 6 14,28.5,3567367
143,2498,4 12 8,28,3566903
144,2497,0 5 9,29,3566834
145,2495,4 11 9,28,3566779
146,2500,4 13 7,28,3566779
147,2500,7 13 10,27.5,3566600
148,2498,4 10 11,28,3566409
149,2497,4 14 5,28,3566409
