rank,cp,ivs,maxlevel,stat-product
1,1815,15 15 14,40,1789675
2,1820,15 15 15,40,1789675
3,1807,14 15 14,40,1781994
4,1812,14 15 15,40,1781994
5,1810,15 15 13,40,1777160
6,1800,13 15 14,40,1774313
7,1805,13 15 15,40,1774313
8,1802,14 15 13,40,1769533
9,1805,15 14 14,40,1768865
10,1810,15 14 15,40,1768865
11,1792,12 15 14,40,1766632
12,1797,12 15 15,40,1766632
13,1805,15 15 12,40,1764645
14,1795,13 15 13,40,1761906
15,1797,14 14 14,40,1761273
16,1802,14 14 15,40,1761273
17,1784,11 15 14,40,1758951
18,1789,11 15 15,40,1758951
19,1797,14 15 12,40,1757071
20,1800,15 14 13,40,1756495
21,1787,12 15 13,40,1754278
22,1789,13 14 14,40,1753682
23,1794,13 14 15,40,1753682
24,1800,15 15 11,40,1752130
25,1776,10 15 14,40,1751270
26,1781,10 15 15,40,1751270
27,1790,13 15 12,40,1749498
28,1792,14 14 13,40,1748957
29,1794,15 13 14,40,1748055
30,1799,15 13 15,40,1748055
31,1779,11 15 13,40,1746651
32,1781,12 14 14,40,1746090
33,1786,12 14 15,40,1746090
34,1792,14 15 11,40,1744610
35,1795,15 14 12,40,1744126
36,1768,9 15 14,40,1743589
37,1773,9 15 15,40,1743589
38,1782,12 15 12,40,1741924
39,1784,13 14 13,40,1741418
40,1786,14 13 14,40,1740553
41,1791,14 13 15,40,1740553
42,1790,15 15 9,40,1739614
43,1795,15 15 10,40,1739614
44,1771,10 15 13,40,1739024
45,1774,11 14 14,40,1738498
46,1778,11 14 15,40,1738498
47,1785,13 15 11,40,1737090
48,1787,14 14 12,40,1736640
49,1761,8 15 14,40,1735908
50,1765,8 15 15,40,1735908
51,1789,15 13 13,40,1735831
52,1774,11 15 12,40,1734351
53,1776,12 14 13,40,1733880
54,1778,13 13 14,40,1733050
55,1783,13 13 15,40,1733050
56,1782,14 15 9,40,1732148
57,1787,14 15 10,40,1732148
58,1790,15 14 11,40,1731756
59,1763,9 15 13,40,1731396
60,1766,10 14 14,40,1730907
61,1771,10 14 15,40,1730907
62,1777,12 15 11,40,1729570
63,1779,13 14 12,40,1729155
64,1781,14 13 13,40,1728381
65,1753,7 15 14,40,1728227
66,1758,7 15 15,40,1728227
67,1783,15 12 14,40,1727245
68,1788,15 12 15,40,1727245
69,1785,15 15 8,40,1727099
70,1766,10 15 12,40,1726777
71,1769,11 14 13,40,1726341
72,1771,12 13 14,40,1725548
73,1776,12 13 15,40,1725548
74,1775,13 15 9,40,1724682
75,1780,13 15 10,40,1724682
76,1782,14 14 11,40,1724324
77,1756,8 15 13,40,1723769
78,1784,15 13 12,40,1723607
79,1758,9 14 14,40,1723315
80,1763,9 14 15,40,1723315
81,1769,11 15 11,40,1722050
82,1771,12 14 12,40,1721669
83,1774,13 13 13,40,1720931
84,1745,6 15 14,40,1720546
85,1750,6 15 15,40,1720546
86,1776,14 12 14,40,1719832
87,1780,14 12 15,40,1719832
88,1777,14 15 8,40,1719687
89,1779,15 14 9,40,1719386
90,1784,15 14 10,40,1719386
91,1759,9 15 12,40,1719203
92,1761,10 14 13,40,1718802
93,1763,11 13 14,40,1718045
94,1768,11 13 15,40,1718045
95,1767,12 15 9,40,1717216
96,1772,12 15 10,40,1717216
97,1774,13 14 11,40,1716891
98,1776,14 13 12,40,1716209
99,1748,7 15 13,40,1716142
100,1750,8 14 14,40,1715723
101,1755,8 14 15,40,1715723
102,1778,15 12 13,40,1715166
103,1780,15 15 7,40,1714584
104,1761,10 15 11,40,1714530
105,1764,11 14 12,40,1714184
106,1766,12 13 13,40,1713481
107,1737,5 15 14,40,1712865
108,1742,5 15 15,40,1712865
109,1768,13 12 14,40,1712419
110,1773,13 12 15,40,1712419
111,1769,13 15 8,40,1712274
112,1772,14 14 9,40,1712007
113,1777,14 14 10,40,1712007
114,1751,8 15 12,40,1711630
115,1779,15 13 11,40,1711382
116,1753,9 14 13,40,1711264
117,1755,10 13 14,40,1710543
118,1760,10 13 15,40,1710543
119,1759,11 15 9,40,1709750
120,1764,11 15 10,40,1709750
121,1766,12 14 11,40,1709459
122,1769,13 13 12,40,1708812
123,1740,6 15 13,40,1708514
124,1743,7 14 14,40,1708132
125,1747,7 14 15,40,1708132
126,1771,14 12 13,40,1707805
127,1772,14 15 7,40,1707225
128,1774,15 14 8,40,1707017
129,1754,9 15 11,40,1707010
130,1756,10 14 12,40,1706698
131,1772,15 11 14,40,1706435
132,1777,15 11 15,40,1706435
133,1758,11 13 13,40,1706031
134,1729,4 15 14,40,1705184
135,1734,4 15 15,40,1705184
136,1760,12 12 14,40,1705006
137,1765,12 12 15,40,1705006
138,1762,12 15 8,40,1704862
139,1764,13 14 9,40,1704628
140,1769,13 14 10,40,1704628
141,1743,7 15 12,40,1704056
142,1771,14 13 11,40,1704037
143,1745,8 14 13,40,1703725
144,1773,15 12 12,40,1703088
145,1748,9 13 14,40,1703041
146,1753,9 13 15,40,1703041
147,1751,10 15 9,40,1702284
148,1756,10 15 10,40,1702284
149,1775,15 15 6,40,1702069
150,1759,11 14 11,40,1702026
151,1761,12 13 12,40,1701414
152,1732,5 15 13,40,1700887
153,1735,6 14 14,40,1700540
154,1740,6 14 15,40,1700540
155,1763,13 12 13,40,1700444
156,1764,13 15 7,40,1699867
157,1767,14 14 8,40,1699690
158,1746,8 15 11,40,1699491
159,1748,9 14 12,40,1699213
160,1769,15 13 9,40,1699158
161,1774,15 13 10,40,1699158
162,1765,14 11 14,40,1699111
163,1770,14 11 15,40,1699111
164,1751,10 13 13,40,1698581
165,1753,11 12 14,40,1697593
166,1757,11 12 15,40,1697593
167,1722,3 15 14,40,1697503
168,1726,3 15 15,40,1697503
169,1754,11 15 8,40,1697449
170,1757,12 14 9,40,1697248
171,1762,12 14 10,40,1697248
172,1764,13 13 11,40,1696692
173,1735,6 15 12,40,1696483
174,1738,7 14 13,40,1696187
175,1766,14 12 12,40,1695778
176,1740,8 13 14,40,1695538
177,1745,8 13 15,40,1695538
178,1744,9 15 9,40,1694818
179,1749,9 15 10,40,1694818
180,1767,14 15 6,40,1694764
181,1769,15 14 7,40,1694647
182,1751,10 14 11,40,1694594
183,1768,15 11 13,40,1694501
184,1753,11 13 12,40,1694017
185,1725,4 15 13,40,1693260
186,1755,12 12 13,40,1693082
187,1727,5 14 14,40,1692948
