rank,cp,ivs,maxlevel,stat-product,stats
1,2500,1 15 15,41,4022912,155.08 153.49 169
2,2487,0 15 15,41,4002282,154.29 153.49 169
3,2494,1 14 15,41,4002068,155.08 152.7 169
4,2500,2 13 15,41,4001640,155.88 151.9 169
5,2494,1 15 14,41,3999108,155.08 153.49 168
6,2499,2 15 15,40.5,3997573,155.45 153.07 168
7,2493,2 15 14,40.5,3997573,155.45 153.07 168
8,2500,3 14 14,40.5,3997150,156.24 152.28 168
9,2495,2 15 12,41,3995690,155.88 153.49 167
10,2500,3 15 13,40.5,3994052,156.24 153.07 167
11,2494,3 15 15,40,3989484,155.69 152.53 168
12,2500,4 14 15,40,3988959,156.48 151.74 168
13,2481,0 14 15,41,3981544,154.29 152.7 169
14,2487,1 13 15,41,3981224,155.08 151.9 169
15,2493,2 12 15,41,3980689,155.88 151.11 169
16,2500,3 11 15,41,3979941,156.67 150.31 169
17,2482,0 15 14,41,3978600,154.29 153.49 168
18,2488,1 14 14,41,3978387,155.08 152.7 168
19,2494,2 13 14,41,3977962,155.88 151.9 168
20,2500,3 12 14,41,3977324,156.67 151.11 168
21,2493,2 14 15,40.5,3976860,155.45 152.28 168
22,2487,2 14 14,40.5,3976860,155.45 152.28 168
23,2499,3 13 15,40.5,3976332,156.24 151.49 168
24,2493,3 13 14,40.5,3976332,156.24 151.49 168
25,2499,4 12 14,40.5,3975592,157.04 150.69 168
26,2488,1 15 13,41,3975304,155.08 153.49 167
27,2483,1 15 12,41,3975304,155.08 153.49 167
28,2495,2 14 13,41,3974987,155.88 152.7 167
29,2489,2 14 12,41,3974987,155.88 152.7 167
30,2495,3 13 12,41,3974459,156.67 151.9 167
31,2487,2 15 13,40.5,3973778,155.45 153.07 167
32,2494,3 14 13,40.5,3973358,156.24 152.28 167
33,2500,4 13 13,40.5,3972728,157.04 151.49 167
34,2489,2 15 11,41,3971763,155.88 153.49 166
35,2496,3 14 11,41,3971344,156.67 152.7 166
36,2494,3 15 12,40.5,3970136,156.24 153.07 166
37,2500,4 14 12,40.5,3969614,157.04 152.28 166
38,2488,3 14 15,40,3968813,155.69 151.74 168
39,2496,6 15 15,39,3968636,156.93 151.43 167
40,2494,4 13 15,40,3968184,156.48 150.95 168
41,2496,3 15 10,41,3967979,156.67 153.49 165
42,2500,5 12 15,40,3967344,157.27 150.16 168
43,2488,3 15 14,40,3965737,155.69 152.53 167
44,2494,4 14 14,40,3965216,156.48 151.74 167
45,2495,4 15 13,40,3962000,156.48 152.53 166
46,2474,0 13 15,41,3960807,154.29 151.9 169
47,2481,1 12 15,41,3960380,155.08 151.11 169
48,2487,2 11 15,41,3959738,155.88 150.31 169
49,2493,3 10 15,41,3958883,156.67 149.52 169
50,2496,5 15 11,40,3958022,157.27 152.53 165
51,2475,0 14 14,41,3957985,154.29 152.7 168
52,2499,4 9 15,41,3957814,157.47 148.72 169
53,2481,1 13 14,41,3957666,155.08 151.9 168
54,2489,4 15 15,39.5,3957409,155.92 151.98 167
55,2488,2 12 14,41,3957135,155.88 151.11 168
56,2495,5 14 15,39.5,3956788,156.71 151.19 167
57,2494,3 11 14,41,3956391,156.67 150.31 168
58,2492,3 12 15,40.5,3955513,156.24 150.69 168
59,2500,4 10 14,41,3955435,157.47 149.52 168
60,2476,0 15 13,41,3954917,154.29 153.49 167
61,2470,0 15 12,41,3954917,154.29 153.49 167
62,2482,1 14 13,41,3954706,155.08 152.7 167
63,2476,1 14 12,41,3954706,155.08 152.7 167
64,2498,4 11 15,40.5,3954668,157.04 149.9 168
65,2493,4 11 14,40.5,3954668,157.04 149.9 168
66,2488,2 13 13,41,3954284,155.88 151.9 167
67,2482,2 13 12,41,3954284,155.88 151.9 167
68,2494,3 12 13,41,3953650,156.67 151.11 167
69,2488,3 12 12,41,3953650,156.67 151.11 167
70,2499,5 10 14,40.5,3953611,157.83 149.11 168
71,2496,5 15 14,39.5,3953579,156.71 151.98 166
72,2490,5 15 13,39.5,3953579,156.71 151.98 166
73,2496,6 14 13,39.5,3952859,157.49 151.19 166
74,2500,4 11 13,41,3952805,157.47 150.31 167
75,2494,4 11 12,41,3952805,157.47 150.31 167
76,2487,3 13 13,40.5,3952663,156.24 151.49 167
77,2493,4 12 13,40.5,3951928,157.04 150.69 167
78,2500,5 10 12,41,3951749,158.26 149.52 167
79,2477,1 15 11,41,3951499,155.08 153.49 166
80,2483,2 14 11,41,3951184,155.88 152.7 166
81,2499,5 11 13,40.5,3950983,157.83 149.9 167
82,2489,3 13 11,41,3950659,156.67 151.9 166
83,2495,4 12 11,41,3949924,157.47 151.11 166
84,2488,3 14 12,40.5,3949565,156.24 152.28 166
85,2496,6 15 12,39.5,3949510,157.49 151.98 165
86,2494,4 13 12,40.5,3948939,157.04 151.49 166
87,2484,5 15 15,39,3948793,156.14 151.43 167
