rank,cp,ivs,maxlevel,stat-product,stats
1,1394,15 15 15,41,1569193,123.27 84.3 151
2,1391,15 15 14,41,1569193,123.27 84.3 151
3,1385,14 15 15,41,1559069,122.48 84.3 151
4,1382,14 15 14,41,1559069,122.48 84.3 151
5,1387,15 15 13,41,1558801,123.27 84.3 150
6,1388,15 14 15,41,1554389,123.27 83.51 151
7,1384,15 14 14,41,1554389,123.27 83.51 151
8,1376,13 15 15,41,1548945,121.68 84.3 151
9,1373,13 15 14,41,1548945,121.68 84.3 151
10,1378,14 15 13,41,1548744,122.48 84.3 150
11,1383,15 15 12,41,1548409,123.27 84.3 149
12,1379,14 14 15,41,1544361,122.48 83.51 151
13,1375,14 14 14,41,1544361,122.48 83.51 151
14,1381,15 14 13,41,1544095,123.27 83.51 150
15,1381,15 13 15,41,1539585,123.27 82.71 151
16,1378,15 13 14,41,1539585,123.27 82.71 151
17,1367,12 15 15,41,1538821,120.89 84.3 151
18,1364,12 15 14,41,1538821,120.89 84.3 151
19,1369,13 15 13,41,1538687,121.68 84.3 150
20,1375,14 15 12,41,1538419,122.48 84.3 149
21,1380,15 15 11,41,1538017,123.27 84.3 148
22,1370,13 14 15,41,1534333,121.68 83.51 151
23,1366,13 14 14,41,1534333,121.68 83.51 151
24,1372,14 14 13,41,1534133,122.48 83.51 150
25,1377,15 14 12,41,1533801,123.27 83.51 149
26,1372,14 13 15,41,1529653,122.48 82.71 151
27,1369,14 13 14,41,1529653,122.48 82.71 151
28,1374,15 13 13,41,1529390,123.27 82.71 150
29,1358,11 15 15,41,1528698,120.09 84.3 151
30,1355,11 15 14,41,1528698,120.09 84.3 151
31,1360,12 15 13,41,1528631,120.89 84.3 150
32,1366,13 15 12,41,1528429,121.68 84.3 149
33,1371,14 15 11,41,1528094,122.48 84.3 148
34,1376,15 15 10,41,1527625,123.27 84.3 147
35,1372,15 15 9,41,1527625,123.27 84.3 147
36,1375,15 12 15,41,1524782,123.27 81.92 151
37,1371,15 12 14,41,1524782,123.27 81.92 151
38,1361,12 14 15,41,1524304,120.89 83.51 151
39,1357,12 14 14,41,1524304,120.89 83.51 151
40,1363,13 14 13,41,1524171,121.68 83.51 150
41,1368,14 14 12,41,1523906,122.48 83.51 149
42,1373,15 14 11,41,1523507,123.27 83.51 148
43,1363,13 13 15,41,1519720,121.68 82.71 151
44,1360,13 13 14,41,1519720,121.68 82.71 151
45,1365,14 13 13,41,1519523,122.48 82.71 150
46,1370,15 13 12,41,1519194,123.27 82.71 149
47,1349,10 15 15,41,1518574,119.3 84.3 151
48,1346,10 15 14,41,1518574,119.3 84.3 151
49,1351,11 15 13,41,1518574,120.09 84.3 150
50,1357,12 15 12,41,1518440,120.89 84.3 149
51,1362,13 15 11,41,1518171,121.68 84.3 148
52,1367,14 15 10,41,1517769,122.48 84.3 147
53,1364,14 15 9,41,1517769,122.48 84.3 147
54,1369,15 15 8,41,1517233,123.27 84.3 146
55,1366,14 12 15,41,1514944,122.48 81.92 151
56,1362,14 12 14,41,1514944,122.48 81.92 151
57,1367,15 12 13,41,1514684,123.27 81.92 150
58,1352,11 14 15,41,1514276,120.09 83.51 151
59,1348,11 14 14,41,1514276,120.09 83.51 151
60,1354,12 14 13,41,1514210,120.89 83.51 150
61,1359,13 14 12,41,1514010,121.68 83.51 149
62,1364,14 14 11,41,1513678,122.48 83.51 148
63,1370,15 14 10,41,1513213,123.27 83.51 147
64,1366,15 14 9,41,1513213,123.27 83.51 147
65,1368,15 11 15,41,1509978,123.27 81.12 151
66,1364,15 11 14,41,1509978,123.27 81.12 151
67,1354,12 13 15,41,1509787,120.89 82.71 151
68,1351,12 13 14,41,1509787,120.89 82.71 151
69,1356,13 13 13,41,1509655,121.68 82.71 150
70,1362,14 13 12,41,1509392,122.48 82.71 149
71,1367,15 13 11,41,1508998,123.27 82.71 148
72,1342,10 15 13,41,1508517,119.3 84.3 150
73,1340,9 15 15,41,1508450,118.5 84.3 151
74,1337,9 15 14,41,1508450,118.5 84.3 151
75,1348,11 15 12,41,1508450,120.09 84.3 149
76,1353,12 15 11,41,1508249,120.89 84.3 148
77,1358,13 15 10,41,1507914,121.68 84.3 147
78,1355,13 15 9,41,1507914,121.68 84.3 147
79,1360,14 15 8,41,1507444,122.48 84.3 146
80,1365,15 15 7,41,1506841,123.27 84.3 145
81,1357,13 12 15,41,1505107,121.68 81.92 151
82,1353,13 12 14,41,1505107,121.68 81.92 151
83,1359,14 12 13,41,1504912,122.48 81.92 150
84,1364,15 12 12,41,1504586,123.27 81.92 149
85,1343,10 14 15,41,1504248,119.3 83.51 151
86,1340,10 14 14,41,1504248,119.3 83.51 151
