rank,cp,ivs,maxlevel,stat-product,stats
1,1496,15 15 15,40,1916491,116.17 112.22 147
2,1485,14 15 15,40,1903454,115.38 112.22 147
3,1492,15 15 14,40,1903454,116.17 112.22 146
4,1488,15 15 13,40,1903454,116.17 112.22 146
5,1490,15 14 15,40,1902995,116.17 111.43 147
6,1481,14 15 14,40,1890505,115.38 112.22 146
7,1477,14 15 13,40,1890505,115.38 112.22 146
8,1475,13 15 15,40,1890417,114.59 112.22 147
9,1484,15 15 12,40,1890417,116.17 112.22 145
10,1480,14 14 15,40,1890049,115.38 111.43 147
11,1486,15 14 14,40,1890049,116.17 111.43 146
12,1482,15 14 13,40,1890049,116.17 111.43 146
13,1485,15 13 15,40,1889499,116.17 110.64 147
14,1471,13 15 14,40,1877557,114.59 112.22 146
15,1467,13 15 13,40,1877557,114.59 112.22 146
16,1473,14 15 12,40,1877557,115.38 112.22 145
17,1465,12 15 15,40,1877379,113.8 112.22 147
18,1480,15 15 11,40,1877379,116.17 112.22 144
19,1476,14 14 14,40,1877192,115.38 111.43 146
20,1472,14 14 13,40,1877192,115.38 111.43 146
21,1470,13 14 15,40,1877104,114.59 111.43 147
22,1478,15 14 12,40,1877104,116.17 111.43 145
23,1475,14 13 15,40,1876645,115.38 110.64 147
24,1481,15 13 14,40,1876645,116.17 110.64 146
25,1477,15 13 13,40,1876645,116.17 110.64 146
26,1480,15 12 15,40,1876002,116.17 109.85 147
27,1463,13 15 12,40,1864697,114.59 112.22 145
28,1461,12 15 14,40,1864608,113.8 112.22 146
29,1457,12 15 13,40,1864608,113.8 112.22 146
30,1469,14 15 11,40,1864608,115.38 112.22 144
31,1455,11 15 15,40,1864342,113.01 112.22 147
32,1475,15 15 10,40,1864342,116.17 112.22 143
33,1471,15 15 9,40,1864342,116.17 112.22 143
34,1466,13 14 14,40,1864334,114.59 111.43 146
35,1462,13 14 13,40,1864334,114.59 111.43 146
36,1468,14 14 12,40,1864334,115.38 111.43 145
37,1460,12 14 15,40,1864158,113.8 111.43 147
38,1474,15 14 11,40,1864158,116.17 111.43 144
39,1471,14 13 14,40,1863878,115.38 110.64 146
40,1467,14 13 13,40,1863878,115.38 110.64 146
41,1465,13 13 15,40,1863791,114.59 110.64 147
42,1473,15 13 12,40,1863791,116.17 110.64 145
43,1470,14 12 15,40,1863240,115.38 109.85 147
44,1476,15 12 14,40,1863240,116.17 109.85 146
45,1472,15 12 13,40,1863240,116.17 109.85 146
46,1474,15 11 15,40,1862506,116.17 109.06 147
47,1453,12 15 12,40,1851837,113.8 112.22 145
48,1459,13 15 11,40,1851837,114.59 112.22 144
49,1451,11 15 14,40,1851659,113.01 112.22 146
50,1447,11 15 13,40,1851659,113.01 112.22 146
51,1465,14 15 10,40,1851659,115.38 112.22 143
52,1461,14 15 9,40,1851659,115.38 112.22 143
53,1458,13 14 12,40,1851565,114.59 111.43 145
54,1456,12 14 14,40,1851477,113.8 111.43 146
55,1452,12 14 13,40,1851477,113.8 111.43 146
56,1464,14 14 11,40,1851477,115.38 111.43 144
57,1445,10 15 15,40,1851305,112.22 112.22 147
58,1467,15 15 8,40,1851305,116.17 112.22 142
59,1450,11 14 15,40,1851213,113.01 111.43 147
60,1470,15 14 10,40,1851213,116.17 111.43 143
61,1466,15 14 9,40,1851213,116.17 111.43 143
62,1461,13 13 14,40,1851112,114.59 110.64 146
63,1457,13 13 13,40,1851112,114.59 110.64 146
64,1463,14 13 12,40,1851112,115.38 110.64 145
65,1455,12 13 15,40,1850937,113.8 110.64 147
66,1469,15 13 11,40,1850937,116.17 110.64 144
67,1466,14 12 14,40,1850565,115.38 109.85 146
68,1462,14 12 13,40,1850565,115.38 109.85 146
69,1460,13 12 15,40,1850478,114.59 109.85 147
70,1468,15 12 12,40,1850478,116.17 109.85 145
71,1464,14 11 15,40,1849836,115.38 109.06 147
72,1470,15 11 14,40,1849836,116.17 109.06 146
73,1466,15 11 13,40,1849836,116.17 109.06 146
74,1469,15 10 15,40,1849009,116.17 108.27 147
75,1449,12 15 11,40,1839065,113.8 112.22 144
76,1443,11 15 12,40,1838977,113.01 112.22 145
77,1455,13 15 10,40,1838977,114.59 112.22 143
78,1451,13 15 9,40,1838977,114.59 112.22 143
79,1448,12 14 12,40,1838796,113.8 111.43 145
80,1454,13 14 11,40,1838796,114.59 111.43 144
81,1441,10 15 14,40,1838711,112.22 112.22 146
82,1437,10 15 13,40,1838711,112.22 112.22 146
83,1457,14 15 8,40,1838711,115.38 112.22 142
84,1446,11 14 14,40,1838619,113.01 111.43 146
85,1442,11 14 13,40,1838619,113.01 111.43 146
86,1460,14 14 10,40,1838619,115.38 111.43 143
87,1456,14 14 9,40,1838619,115.38 111.43 143
88,1453,13 13 12,40,1838433,114.59 110.64 145
89,1451,12 13 14,40,1838346,113.8 110.64 146
90,1447,12 13 13,40,1838346,113.8 110.64 146
91,1459,14 13 11,40,1838346,115.38 110.64 144
92,1435,9 15 15,40,1838267,111.43 112.22 147
93,1440,10 14 15,40,1838267,112.22 111.43 147
94,1462,15 14 8,40,1838267,116.17 111.43 142
95,1463,15 15 7,40,1838267,116.17 112.22 141
96,1445,11 13 15,40,1838084,113.01 110.64 147
97,1465,15 13 10,40,1838084,116.17 110.64 143
98,1461,15 13 9,40,1838084,116.17 110.64 143
99,1456,13 12 14,40,1837890,114.59 109.85 146
100,1452,13 12 13,40,1837890,114.59 109.85 146
101,1458,14 12 12,40,1837890,115.38 109.85 145
102,1450,12 12 15,40,1837716,113.8 109.85 147
103,1464,15 12 11,40,1837716,116.17 109.85 144
104,1460,14 11 14,40,1837252,115.38 109.06 146
105,1457,14 11 13,40,1837252,115.38 109.06 146
106,1454,13 11 15,40,1837165,114.59 109.06 147
107,1463,15 11 12,40,1837165,116.17 109.06 145
108,1459,14 10 15,40,1836431,115.38 108.27 147
109,1465,15 10 14,40,1836431,116.17 108.27 146
110,1461,15 10 13,40,1836431,116.17 108.27 146
111,1464,15 9 15,40,1835513,116.17 107.48 147
112,1439,11 15 11,40,1826294,113.01 112.22 144
113,1445,12 15 10,40,1826294,113.8 112.22 143
114,1441,12 15 9,40,1826294,113.8 112.22 143
115,1433,10 15 12,40,1826117,112.22 112.22 145
116,1447,13 15 8,40,1826117,114.59 112.22 142
117,1444,12 14 11,40,1826114,113.8 111.43 144
118,1438,11 14 12,40,1826026,113.01 111.43 145
119,1450,13 14 10,40,1826026,114.59 111.43 143
120,1446,13 14 9,40,1826026,114.59 111.43 143
121,1436,10 14 14,40,1825762,112.22 111.43 146
122,1432,10 14 13,40,1825762,112.22 111.43 146
123,1431,9 15 14,40,1825762,111.43 112.22 146
124,1427,9 15 13,40,1825762,111.43 112.22 146
125,1452,14 14 8,40,1825762,115.38 111.43 142
126,1453,14 15 7,40,1825762,115.38 112.22 141
127,1443,12 13 12,40,1825754,113.8 110.64 145
128,1449,13 13 11,40,1825754,114.59 110.64 144
129,1441,11 13 14,40,1825580,113.01 110.64 146
130,1437,11 13 13,40,1825580,113.01 110.64 146
131,1455,14 13 10,40,1825580,115.38 110.64 143
132,1451,14 13 9,40,1825580,115.38 110.64 143
133,1429,9 14 15,40,1825322,111.43 111.43 147
134,1458,15 14 7,40,1825322,116.17 111.43 141
135,1448,13 12 12,40,1825302,114.59 109.85 145
136,1435,10 13 15,40,1825230,112.22 110.64 147
137,1424,8 15 15,40,1825230,110.64 112.22 147
138,1457,15 13 8,40,1825230,116.17 110.64 142
139,1459,15 15 6,40,1825230,116.17 112.22 140
140,1446,12 12 14,40,1825215,113.8 109.85 146
141,1442,12 12 13,40,1825215,113.8 109.85 146
142,1454,14 12 11,40,1825215,115.38 109.85 144
143,1439,11 12 15,40,1824954,113.01 109.85 147
144,1460,15 12 10,40,1824954,116.17 109.85 143
145,1456,15 12 9,40,1824954,116.17 109.85 143
