rank,cp,ivs,maxlevel,stat-product,stats
1,2274,15 15 15,40,4111321,125.66 272.65 120
2,2270,15 14 15,40,4099404,125.66 271.86 120
3,2267,15 13 15,40,4087487,125.66 271.07 120
4,2259,14 15 15,40,4085464,124.87 272.65 120
5,2266,15 15 14,40,4077060,125.66 272.65 119
6,2264,15 12 15,40,4075570,125.66 270.28 120
7,2256,14 14 15,40,4073622,124.87 271.86 120
8,2263,15 14 14,40,4065242,125.66 271.86 119
9,2260,15 11 15,40,4063653,125.66 269.49 120
10,2253,14 13 15,40,4061780,124.87 271.07 120
11,2245,13 15 15,40,4059606,124.08 272.65 120
12,2260,15 13 14,40,4053425,125.66 271.07 119
13,2257,15 10 15,40,4051737,125.66 268.7 120
14,2252,14 15 14,40,4051418,124.87 272.65 119
15,2249,14 12 15,40,4049938,124.87 270.28 120
16,2242,13 14 15,40,4047839,124.08 271.86 120
17,2259,15 15 13,40,4042799,125.66 272.65 118
18,2256,15 12 14,40,4041607,125.66 270.28 119
19,2249,14 14 14,40,4039675,124.87 271.86 119
20,2246,14 11 15,40,4038096,124.87 269.49 120
21,2238,13 13 15,40,4036072,124.08 271.07 120
22,2231,12 15 15,40,4033749,123.29 272.65 120
23,2255,15 14 13,40,4031081,125.66 271.86 118
24,2253,15 11 14,40,4029790,125.66 269.49 119
25,2245,14 13 14,40,4027932,124.87 271.07 119
26,2243,14 10 15,40,4026254,124.87 268.7 120
27,2238,13 15 14,40,4025776,124.08 272.65 119
28,2235,13 12 15,40,4024305,124.08 270.28 120
29,2227,12 14 15,40,4022057,123.29 271.86 120
30,2252,15 13 13,40,4019362,125.66 271.07 118
31,2250,15 10 14,40,4017972,125.66 268.7 119
32,2244,14 15 13,40,4017372,124.87 272.65 118
33,2242,14 12 14,40,4016188,124.87 270.28 119
34,2234,13 14 14,40,4014107,124.08 271.86 119
35,2232,13 11 15,40,4012538,124.08 269.49 120
36,2224,12 13 15,40,4010365,123.29 271.07 120
37,2251,15 15 12,40,4008538,125.66 272.65 117
38,2216,11 15 15,40,4007891,122.5 272.65 120
39,2249,15 12 13,40,4007644,125.66 270.28 118
40,2241,14 14 13,40,4005728,124.87 271.86 118
41,2239,14 11 14,40,4004445,124.87 269.49 119
42,2231,13 13 14,40,4002438,124.08 271.07 119
43,2229,13 10 15,40,4000771,124.08 268.7 120
44,2223,12 15 14,40,4000134,123.29 272.65 119
45,2221,12 12 15,40,3998673,123.29 270.28 120
46,2248,15 14 12,40,3996919,125.66 271.86 117
47,2213,11 14 15,40,3996274,122.5 271.86 120
48,2245,15 11 13,40,3995926,125.66 269.49 118
49,2238,14 13 13,40,3994083,124.87 271.07 118
50,2235,14 10 14,40,3992702,124.87 268.7 119
51,2230,13 15 13,40,3991946,124.08 272.65 118
52,2228,13 12 14,40,3990769,124.08 270.28 119
53,2220,12 14 14,40,3988540,123.29 271.86 119
54,2218,12 11 15,40,3986981,123.29 269.49 120
55,2245,15 13 12,40,3985300,125.66 271.07 117
56,2210,11 13 15,40,3984657,122.5 271.07 120
57,2242,15 10 13,40,3984208,125.66 268.7 118
58,2237,14 15 12,40,3983327,124.87 272.65 117
59,2235,14 12 13,40,3982439,124.87 270.28 118
60,2202,10 15 15,40,3982034,121.71 272.65 120
61,2227,13 14 13,40,3980375,124.08 271.86 118
62,2225,13 11 14,40,3979100,124.08 269.49 119
63,2217,12 13 14,40,3976945,123.29 271.07 119
64,2214,12 10 15,40,3975289,123.29 268.7 120
65,2209,11 15 14,40,3974492,122.5 272.65 119
66,2243,15 15 11,40,3974277,125.66 272.65 116
67,2236,15 15 10,40,3974277,125.66 272.65 116
68,2241,15 12 12,40,3973681,125.66 270.28 117
69,2207,11 12 15,40,3973040,122.5 270.28 120
70,2234,14 14 12,40,3971781,124.87 271.86 117
71,2231,14 11 13,40,3970794,124.87 269.49 118
72,2199,10 14 15,40,3970492,121.71 271.86 120
73,2224,13 13 13,40,3968804,124.08 271.07 118
74,2221,13 10 14,40,3967432,124.08 268.7 119
75,2216,12 15 13,40,3966520,123.29 272.65 118
