,rank,cp,ivs,maxlevel,stat-product
0,1,2500,11 15 15,28.0,2474421
1,2,2493,10 15 15,28.0,2467470
2,3,2498,13 15 13,28.0,2465067
3,4,2497,12 14 15,28.0,2462284
4,5,2491,12 15 13,28.0,2458181
5,6,2499,12 15 14,28.0,2458181
6,7,2498,10 11 15,28.5,2457014
7,8,2500,11 13 12,28.5,2456692
8,9,2490,11 14 15,28.0,2455387
9,10,2500,10 12 14,28.5,2453583
10,11,2495,14 14 13,28.0,2452938
11,12,2484,11 15 13,28.0,2451296
12,13,2492,11 15 14,28.0,2451296
13,14,2495,13 13 15,28.0,2450040
14,15,2493,10 13 12,28.5,2449792
15,16,2496,14 15 12,28.0,2448632
16,17,2483,10 14 15,28.0,2448490
17,18,2488,13 14 13,28.0,2446105
18,19,2496,13 14 14,28.0,2446105
19,20,2494,10 14 11,28.5,2445639
20,21,2499,15 12 15,28.0,2444480
21,22,2477,10 15 13,28.0,2444410
22,23,2485,10 15 14,28.0,2444410
23,24,2495,11 10 15,28.5,2444380
24,25,2497,12 12 12,28.5,2444346
25,26,2488,12 13 15,28.0,2443197
26,27,2489,13 15 12,28.0,2441812
27,28,2495,10 15 10,28.5,2441125
28,29,2497,11 11 14,28.5,2441121
29,30,2492,15 13 13,28.0,2440702
30,31,2500,15 13 14,28.0,2440702
31,32,2499,12 13 11,28.5,2440352
32,33,2481,12 14 13,28.0,2439272
33,34,2489,12 14 14,28.0,2439272
34,35,2492,14 12 15,28.0,2437690
35,36,2488,10 10 15,28.5,2437514
36,37,2490,11 12 12,28.5,2437500
37,38,2499,11 12 13,28.5,2437500
38,39,2493,15 14 12,28.0,2436565
39,40,2481,11 13 15,28.0,2436353
40,41,2500,12 14 10,28.5,2435994
41,42,2482,12 15 12,28.0,2434991
42,43,2483,15 15 15,27.5,2434563
43,44,2498,10 10 11,29.0,2434355
44,45,2490,10 11 14,28.5,2434264
45,46,2485,14 13 13,28.0,2433922
46,47,2493,14 13 14,28.0,2433922
47,48,2492,11 13 11,28.5,2433516
48,49,2474,11 14 13,28.0,2432439
49,50,2482,11 14 14,28.0,2432439
50,51,2495,15 15 11,28.0,2432068
51,52,2494,13 11 12,28.5,2431893
52,53,2485,13 12 15,28.0,2430899
53,54,2500,10 11 10,29.0,2430681
54,55,2483,10 12 12,28.5,2430653
55,56,2492,10 12 13,28.5,2430653
56,57,2487,14 14 12,28.0,2429797
57,58,2474,10 13 15,28.0,2429509
58,59,2493,11 14 10,28.5,2429171
59,60,2494,12 10 14,28.5,2428550
60,61,2475,11 15 12,28.0,2428170
61,62,2496,13 12 11,28.5,2428069
62,63,2476,14 15 15,27.5,2427801
63,64,2478,13 13 13,28.0,2427143
64,65,2486,13 13 14,28.0,2427143
65,66,2485,10 13 11,28.5,2426680
66,67,2498,15 10 12,28.5,2426070
67,68,2467,10 14 13,28.0,2425607
68,69,2475,10 14 14,28.0,2425607
69,70,2488,14 15 11,28.0,2425312
70,71,2489,15 11 15,28.0,2425232
71,72,2487,12 11 12,28.5,2425100
72,73,2496,12 11 13,28.5,2425100
73,74,2478,12 12 15,28.0,2424109
74,75,2497,13 13 10,28.5,2423881
75,76,2480,13 14 12,28.0,2423028
76,77,2500,15 11 11,28.5,2422408
77,78,2486,10 14 10,28.5,2422347
78,79,2487,11 10 14,28.5,2421747
