rank,cp,ivs,maxlevel,stat-product
1,2362,15 15 15,40,3022570
2,2352,14 15 15,40,3009597
3,2354,15 14 15,40,3003069
4,2355,15 15 14,40,3000013
5,2341,13 15 15,40,2996625
6,2344,14 14 15,40,2990180
7,2345,14 15 14,40,2987138
8,2331,12 15 15,40,2983652
9,2346,15 13 15,40,2983569
10,2347,15 14 14,40,2980658
11,2348,15 15 13,40,2977457
12,2334,13 14 15,40,2977292
13,2335,13 15 14,40,2974262
14,2336,14 13 15,40,2970764
15,2321,11 15 15,40,2970680
16,2337,14 14 14,40,2967866
17,2338,14 15 13,40,2964678
18,2324,12 14 15,40,2964403
19,2339,15 12 15,40,2964068
20,2324,12 15 14,40,2961386
21,2340,15 13 14,40,2961303
22,2340,15 14 13,40,2958247
23,2326,13 13 15,40,2957959
24,2311,10 15 15,40,2957708
25,2327,13 14 14,40,2955073
26,2341,15 15 12,40,2954900
27,2334,15 15 11,40,2954900
28,2328,13 15 13,40,2951899
29,2314,11 14 15,40,2951514
30,2329,14 12 15,40,2951347
31,2330,14 13 14,40,2948594
32,2314,11 15 14,40,2948511
33,2330,14 14 13,40,2945551
34,2316,12 13 15,40,2945154
35,2301,9 15 15,40,2944735
36,2331,15 11 15,40,2944568
37,2317,12 14 14,40,2942281
38,2331,14 15 12,40,2942218
39,2324,14 15 11,40,2942218
40,2332,15 12 14,40,2941948
41,2318,12 15 13,40,2939120
42,2333,15 13 13,40,2939038
43,2319,13 12 15,40,2938626
44,2304,10 14 15,40,2938626
45,2319,13 13 14,40,2935884
46,2333,15 14 12,40,2935836
47,2326,15 14 11,40,2935836
48,2304,10 15 14,40,2935635
49,2320,13 14 13,40,2932855
50,2306,11 13 15,40,2932349
51,2327,15 15 10,40,2932344
52,2321,14 11 15,40,2931930
53,2291,8 15 15,40,2931763
54,2321,13 15 12,40,2929536
55,2314,13 15 11,40,2929536
56,2307,11 14 14,40,2929488
57,2322,14 12 14,40,2929322
58,2323,14 13 13,40,2926424
59,2308,11 15 13,40,2926341
60,2309,12 12 15,40,2925904
61,2294,9 14 15,40,2925737
62,2323,15 10 15,40,2925067
63,2323,14 14 12,40,2923236
64,2316,14 14 11,40,2923236
65,2309,12 13 14,40,2923175
66,2294,9 15 14,40,2922760
67,2324,15 11 14,40,2922593
68,2310,12 14 13,40,2920158
69,2325,15 12 13,40,2919828
70,2317,14 15 10,40,2919758
71,2296,10 13 15,40,2919544
72,2311,13 11 15,40,2919293
73,2281,7 15 15,40,2918790
74,2311,12 15 12,40,2916854
75,2304,12 15 11,40,2916854
