rank,cp,ivs,maxlevel,stat-product
1,2494,0 15 15,32,3906858
2,2500,1 14 15,32,3905489
3,2500,1 15 14,32,3901326
4,2496,0 13 14,32.5,3898968
5,2497,0 14 13,32.5,3894910
6,2497,0 15 12,32.5,3890613
7,2497,2 15 15,31.5,3887878
8,2488,0 14 15,32,3887324
9,2498,0 12 12,33,3886597
10,2493,1 13 15,32,3885864
11,2497,1 15 10,32.5,3884814
12,2498,2 12 15,32,3884220
13,2489,0 15 14,32,3883180
14,2499,0 13 11,33,3882507
15,2494,1 14 14,32,3881819
16,2499,2 13 14,32,3880277
17,2490,0 12 14,32.5,3879276
18,2495,0 12 15,32.5,3879276
19,2499,0 14 10,33,3878176
20,2499,0 10 11,33.5,3877659
21,2495,1 11 14,32.5,3877619
22,2494,1 15 13,32,3877538
23,2500,2 14 13,32,3876095
24,2500,2 10 14,32.5,3875779
25,2490,0 13 13,32.5,3875337
26,2496,0 9 15,33,3874086
27,2496,1 12 13,32.5,3873783
28,2500,0 11 10,33.5,3873779
29,2494,0 15 8,33,3873605
30,2500,0 15 9,33,3873605
31,2499,1 14 8,33,3872247
32,2495,2 15 11,32,3871673
33,2500,2 15 12,32,3871673
34,2491,0 14 12,32.5,3871160
35,2497,0 10 14,33,3870597
36,2500,3 14 11,32,3870150
37,2486,1 15 15,31.5,3869878
38,2496,1 13 12,32.5,3869706
39,2491,2 14 15,31.5,3868438
40,2494,4 15 14,31,3868258
41,2500,4 15 15,31,3868258
42,2482,0 13 15,32,3867790
43,2496,0 6 15,33.5,3867595
44,2500,1 15 7,33,3867534
45,2492,0 11 12,33,3866868
46,2498,0 11 13,33,3866868
47,2496,3 13 15,31.5,3866818
48,2486,0 15 10,32.5,3866745
49,2491,0 15 11,32.5,3866745
50,2499,5 14 14,31,3866572
51,2487,1 12 15,32,3866238
52,2500,3 15 10,32,3865588
53,2491,1 14 10,32.5,3865389
54,2497,1 14 11,32.5,3865389
55,2495,0 13 7,33.5,3865291
56,2497,1 10 12,33,3865117
57,2497,0 7 14,33.5,3864563
58,2492,2 11 15,32,3864504
59,2492,2 15 14,31.5,3864171
60,2496,2 13 10,32.5,3863854
61,2482,0 14 14,32,3863764
62,2492,0 12 11,33,3862898
63,2497,3 14 14,31.5,3862651
64,2497,3 10 15,32,3862587
65,2488,1 13 14,32,3862313
66,2500,5 15 13,31,3862162
67,2498,0 8 13,33.5,3861290
68,2498,1 11 11,33,3861249
69,2492,1 15 9,32.5,3860833
70,2496,0 14 6,33.5,3860683
71,2493,2 12 14,32,3860680
72,2483,0 11 14,32.5,3859584
73,2489,0 11 15,32.5,3859584
74,2483,0 15 13,32,3859502
75,2497,2 14 9,32.5,3859397
76,2498,3 11 14,32,3858865
77,2493,0 13 10,33,3858688
78,2492,3 15 12,31.5,3858244
79,2497,3 15 13,31.5,3858244
80,2488,1 14 13,32,3858150
81,2489,1 10 14,32.5,3857836
82,2494,1 10 15,32.5,3857836
83,2493,0 9 11,33.5,3857773
84,2499,0 9 12,33.5,3857773
85,2497,0 4 14,34,3857218
86,2498,1 12 10,33,3857140
87,2497,4 14 12,31.5,3856644
88,2494,2 13 13,32,3856617
89,2494,2 9 14,32.5,3855903
90,2499,2 9 15,32.5,3855903
91,2496,0 15 5,33.5,3855833
92,2498,1 8 11,33.5,3855822
93,2484,0 12 13,32.5,3855765
94,2499,3 12 13,32,3854904
95,2497,2 15 8,32.5,3854699
96,2498,0 5 13,34,3854407
97,2488,0 14 8,33,3854237
98,2494,0 14 9,33,3854237
99,2491,5 15 15,30.5,3854164
100,2489,1 11 13,32.5,3854119
101,2490,0 8 15,33,3854117
102,2494,0 10 10,33.5,3854014
103,2499,3 8 14,32.5,3853787
104,2483,1 15 11,32,3853749
105,2489,1 15 12,32,3853749
106,2493,1 13 8,33,3852789
107,2499,1 13 9,33,3852789
108,2496,6 14 15,30.5,3852404
109,2488,2 14 11,32,3852315
110,2494,2 14 12,32,3852315
111,2494,2 10 13,32.5,3852290
112,2499,1 9 10,33.5,3852167
113,2497,4 15 11,31.5,3852098
114,2495,1 7 15,33,3852064
115,2497,0 12 5,34,3851963
116,2485,0 13 12,32.5,3851707
117,2499,0 6 12,34,3851352
118,2498,2 12 8,33,3851160
119,2490,0 9 14,33,3850748
120,2494,3 13 11,32,3850702
121,2499,3 13 12,32,3850702
122,2483,3 15 14,31,3850514
123,2488,3 15 15,31,3850514
124,2500,3 9 13,32.5,3850277
125,2490,1 12 12,32.5,3850162
126,2494,0 11 9,33.5,3850013
127,2500,2 6 15,33,3849824
128,2488,0 15 7,33,3849545
129,2496,1 15 3,33.5,3849487
