rank,cp,ivs,maxlevel,stat-product,stats
1,2453,15 15 15,40,3885041,154.11 171.5 147
2,2447,15 14 15,40,3867137,154.11 170.7 147
3,2440,14 15 15,40,3865118,153.32 171.5 147
4,2446,15 15 14,40,3858612,154.11 171.5 146
5,2440,15 15 13,40,3858612,154.11 171.5 146
6,2442,15 13 15,40,3849234,154.11 169.91 147
7,2435,14 14 15,40,3847306,153.32 170.7 147
8,2428,13 15 15,40,3845194,152.53 171.5 147
9,2441,15 14 14,40,3840830,154.11 170.7 146
10,2434,15 14 13,40,3840830,154.11 170.7 146
11,2434,14 15 14,40,3838824,153.32 171.5 146
12,2427,14 15 13,40,3838824,153.32 171.5 146
13,2433,15 15 12,40,3832183,154.11 171.5 145
14,2436,15 12 15,40,3831331,154.11 169.12 147
15,2429,14 13 15,40,3829494,153.32 169.91 147
16,2422,13 14 15,40,3827474,152.53 170.7 147
17,2415,12 15 15,40,3825271,151.74 171.5 147
18,2435,15 13 14,40,3823049,154.11 169.91 146
19,2428,15 13 13,40,3823049,154.11 169.91 146
20,2428,14 14 14,40,3821134,153.32 170.7 146
21,2422,14 14 13,40,3821134,153.32 170.7 146
22,2421,13 15 14,40,3819036,152.53 171.5 146
23,2415,13 15 13,40,3819036,152.53 171.5 146
24,2428,15 14 12,40,3814523,154.11 170.7 145
25,2430,15 11 15,40,3813427,154.11 168.33 147
26,2421,14 15 12,40,3812531,153.32 171.5 145
27,2423,14 12 15,40,3811683,153.32 169.12 147
28,2417,13 13 15,40,3809755,152.53 169.91 147
29,2410,12 14 15,40,3807643,151.74 170.7 147
30,2427,15 15 11,40,3805754,154.11 171.5 144
31,2403,11 15 15,40,3805348,150.95 171.5 147
32,2429,15 12 14,40,3805267,154.11 169.12 146
33,2423,15 12 13,40,3805267,154.11 169.12 146
34,2423,14 13 14,40,3803443,153.32 169.91 146
35,2416,14 13 13,40,3803443,153.32 169.91 146
36,2416,13 14 14,40,3801437,152.53 170.7 146
37,2409,13 14 13,40,3801437,152.53 170.7 146
38,2409,12 15 14,40,3799249,151.74 171.5 146
39,2402,12 15 13,40,3799249,151.74 171.5 146
40,2422,15 13 12,40,3796863,154.11 169.91 145
41,2424,15 10 15,40,3795524,154.11 167.54 147
42,2415,14 14 12,40,3794962,153.32 170.7 145
43,2418,14 11 15,40,3793871,153.32 168.33 147
44,2408,13 15 12,40,3792879,152.53 171.5 145
45,2411,13 12 15,40,3792035,152.53 169.12 147
46,2404,12 13 15,40,3790015,151.74 169.91 147
47,2421,15 14 11,40,3788216,154.11 170.7 144
48,2397,11 14 15,40,3787812,150.95 170.7 147
49,2424,15 11 14,40,3787485,154.11 168.33 146
50,2417,15 11 13,40,3787485,154.11 168.33 146
51,2414,14 15 11,40,3786238,153.32 171.5 144
52,2417,14 12 14,40,3785753,153.32 169.12 146
53,2410,14 12 13,40,3785753,153.32 169.12 146
54,2390,10 15 15,40,3785424,150.16 171.5 147
55,2410,13 13 14,40,3783838,152.53 169.91 146
56,2404,13 13 13,40,3783838,152.53 169.91 146
57,2403,12 14 14,40,3781741,151.74 170.7 146
58,2397,12 14 13,40,3781741,151.74 170.7 146
59,2396,11 15 14,40,3779461,150.95 171.5 146
60,2390,11 15 13,40,3779461,150.95 171.5 146
61,2420,15 15 10,40,3779325,154.11 171.5 143
62,2413,15 15 9,40,3779325,154.11 171.5 143
63,2416,15 12 12,40,3779204,154.11 169.12 145
64,2419,15 9 15,40,3777620,154.11 166.75 147
65,2409,14 13 12,40,3777392,153.32 169.91 145
66,2412,14 10 15,40,3776060,153.32 167.54 147
67,2403,13 14 12,40,3775400,152.53 170.7 145
68,2405,13 11 15,40,3774315,152.53 168.33 147
69,2396,12 15 12,40,3773226,151.74 171.5 145
70,2398,12 12 15,40,3772387,151.74 169.12 147
71,2415,15 13 11,40,3770678,154.11 169.91 144
72,2391,11 13 15,40,3770275,150.95 169.91 147
73,2418,15 10 14,40,3769704,154.11 167.54 146
74,2411,15 10 13,40,3769704,154.11 167.54 146
75,2409,14 14 11,40,3768789,153.32 170.7 144
76,2411,14 11 14,40,3768062,153.32 168.33 146
