rank,cp,ivs,maxlevel,stat-product,stats
1,1224,15 15 15,40,1673942,89.3 139.88 134
2,1220,15 14 15,40,1664484,89.3 139.09 134
3,1220,15 15 14,40,1661450,89.3 139.88 133
4,1213,14 15 15,40,1659128,88.51 139.88 134
5,1217,15 13 15,40,1655027,89.3 138.3 134
6,1217,15 14 14,40,1652063,89.3 139.09 133
7,1209,14 14 15,40,1649754,88.51 139.09 134
8,1217,15 15 13,40,1648958,89.3 139.88 132
9,1209,14 15 14,40,1646747,88.51 139.88 133
10,1213,15 12 15,40,1645570,89.3 137.51 134
11,1202,13 15 15,40,1644314,87.72 139.88 134
12,1213,15 13 14,40,1642676,89.3 138.3 133
13,1206,14 13 15,40,1640381,88.51 138.3 134
14,1213,15 14 13,40,1639641,89.3 139.09 132
15,1206,14 14 14,40,1637443,88.51 139.09 133
16,1213,15 15 12,40,1636465,89.3 139.88 131
17,1209,15 15 11,40,1636465,89.3 139.88 131
18,1210,15 11 15,40,1636113,89.3 136.72 134
19,1199,13 14 15,40,1635025,87.72 139.09 134
20,1206,14 15 13,40,1634365,88.51 139.88 132
21,1210,15 12 14,40,1633289,89.3 137.51 133
22,1199,13 15 14,40,1632043,87.72 139.88 133
23,1203,14 12 15,40,1631007,88.51 137.51 134
24,1210,15 13 13,40,1630325,89.3 138.3 132
25,1191,12 15 15,40,1629501,86.93 139.88 134
26,1202,14 13 14,40,1628139,88.51 138.3 133
27,1209,15 14 12,40,1627220,89.3 139.09 131
28,1206,15 14 11,40,1627220,89.3 139.09 131
29,1206,15 10 15,40,1626655,89.3 135.93 134
30,1195,13 13 15,40,1625735,87.72 138.3 134
31,1202,14 14 13,40,1625131,88.51 139.09 132
32,1206,15 15 10,40,1623973,89.3 139.88 130
33,1206,15 11 14,40,1623903,89.3 136.72 133
34,1195,13 14 14,40,1622823,87.72 139.09 133
35,1202,14 15 12,40,1621983,88.51 139.88 131
36,1199,14 15 11,40,1621983,88.51 139.88 131
37,1199,14 11 15,40,1621634,88.51 136.72 134
38,1206,15 12 13,40,1621009,89.3 137.51 132
39,1188,12 14 15,40,1620295,86.93 139.09 134
40,1195,13 15 13,40,1619772,87.72 139.88 132
41,1199,14 12 14,40,1618836,88.51 137.51 133
42,1206,15 13 12,40,1617974,89.3 138.3 131
43,1202,15 13 11,40,1617974,89.3 138.3 131
44,1188,12 15 14,40,1617340,86.93 139.88 133
45,1203,15 9 15,40,1617198,89.3 135.14 134
46,1192,13 12 15,40,1616445,87.72 137.51 134
47,1199,14 13 13,40,1615898,88.51 138.3 132
48,1202,15 14 10,40,1614798,89.3 139.09 130
49,1180,11 15 15,40,1614687,86.14 139.88 134
50,1203,15 10 14,40,1614516,89.3 135.93 133
51,1192,13 13 14,40,1613602,87.72 138.3 133
52,1199,14 14 12,40,1612820,88.51 139.09 131
53,1195,14 14 11,40,1612820,88.51 139.09 131
54,1196,14 10 15,40,1612260,88.51 135.93 134
55,1203,15 11 13,40,1611693,89.3 136.72 132
56,1202,15 15 9,40,1611481,89.3 139.88 129
57,1185,12 13 15,40,1611088,86.93 138.3 134
58,1192,13 14 13,40,1610621,87.72 139.09 132
59,1195,14 15 10,40,1609602,88.51 139.88 130
60,1196,14 11 14,40,1609532,88.51 136.72 133
61,1203,15 12 12,40,1608729,89.3 137.51 131
62,1199,15 12 11,40,1608729,89.3 137.51 131
63,1184,12 14 14,40,1608203,86.93 139.09 133
64,1199,15 8 15,40,1607741,89.3 134.35 134
65,1191,13 15 12,40,1607501,87.72 139.88 131
66,1188,13 15 11,40,1607501,87.72 139.88 131
67,1188,13 11 15,40,1607155,87.72 136.72 134
68,1196,14 12 13,40,1606664,88.51 137.51 132
69,1199,15 13 10,40,1605623,89.3 138.3 130
70,1177,11 14 15,40,1605565,86.14 139.09 134
71,1184,12 15 13,40,1605180,86.93 139.88 132
72,1199,15 9 14,40,1605129,89.3 135.14 133
73,1188,13 12 14,40,1604382,87.72 137.51 133
74,1195,14 13 12,40,1603656,88.51 138.3 131
75,1192,14 13 11,40,1603656,88.51 138.3 131
76,1192,14 9 15,40,1602886,88.51 135.14 134
77,1177,11 15 14,40,1602637,86.14 139.88 133
78,1199,15 10 13,40,1602377,89.3 135.93 132
79,1199,15 14 9,40,1602377,89.3 139.09 129
80,1181,12 12 15,40,1601882,86.93 137.51 134
81,1188,13 13 13,40,1601470,87.72 138.3 132
82,1192,14 14 10,40,1600508,88.51 139.09 130
83,1192,14 10 14,40,1600228,88.51 135.93 133
84,1170,10 15 15,40,1599874,85.35 139.88 134
85,1199,15 11 12,40,1599483,89.3 136.72 131
86,1196,15 11 11,40,1599483,89.3 136.72 131
87,1181,12 13 14,40,1599065,86.93 138.3 133
88,1198,15 15 8,40,1598989,89.3 139.88 128
89,1195,15 15 7,40,1598989,89.3 139.88 128
90,1188,13 14 12,40,1598420,87.72 139.09 131
91,1184,13 14 11,40,1598420,87.72 139.09 131
92,1196,15 7 15,40,1598283,89.3 133.56 134
93,1185,13 10 15,40,1597865,87.72 135.93 134
94,1192,14 11 13,40,1597430,88.51 136.72 132
95,1191,14 15 9,40,1597220,88.51 139.88 129
96,1195,15 12 10,40,1596448,89.3 137.51 130
97,1174,11 13 15,40,1596442,86.14 138.3 134
98,1181,12 14 13,40,1596111,86.93 139.09 132
99,1196,15 8 14,40,1595743,89.3 134.35 133
100,1184,13 15 10,40,1595230,87.72 139.88 130
101,1185,13 11 14,40,1595161,87.72 136.72 133
102,1192,14 12 12,40,1594492,88.51 137.51 131
103,1188,14 12 11,40,1594492,88.51 137.51 131
104,1174,11 14 14,40,1593583,86.14 139.09 133
105,1189,14 8 15,40,1593513,88.51 134.35 134
106,1195,15 13 9,40,1593272,89.3 138.3 129
107,1196,15 9 13,40,1593061,89.3 135.14 132
108,1181,12 15 12,40,1593019,86.93 139.88 131
109,1177,12 15 11,40,1593019,86.93 139.88 131
110,1178,12 11 15,40,1592676,86.93 136.72 134
111,1185,13 12 13,40,1592319,87.72 137.51 132
112,1188,14 13 10,40,1591414,88.51 138.3 130
113,1189,14 9 14,40,1590925,88.51 135.14 133
114,1166,10 14 15,40,1590835,85.35 139.09 134
115,1173,11 15 13,40,1590587,86.14 139.88 132
116,1196,15 10 12,40,1590238,89.3 135.93 131
117,1192,15 10 11,40,1590238,89.3 135.93 131
118,1195,15 14 8,40,1589955,89.3 139.09 128
119,1191,15 14 7,40,1589955,89.3 139.09 128
120,1178,12 12 14,40,1589928,86.93 137.51 133
121,1185,13 13 12,40,1589338,87.72 138.3 131
122,1181,13 13 11,40,1589338,87.72 138.3 131
123,1192,15 6 15,40,1588826,89.3 132.77 134
124,1182,13 9 15,40,1588575,87.72 135.14 134
125,1189,14 10 13,40,1588196,88.51 135.93 132
126,1188,14 14 9,40,1588196,88.51 139.09 129
127,1166,10 15 14,40,1587934,85.35 139.88 133
128,1170,11 12 15,40,1587320,86.14 137.51 134
129,1192,15 11 10,40,1587273,89.3 136.72 130
130,1178,12 13 13,40,1587042,86.93 138.3 132
131,1191,15 15 6,40,1586497,89.3 139.88 127
132,1192,15 7 14,40,1586356,89.3 133.56 133
133,1181,13 14 10,40,1586218,87.72 139.09 130
134,1181,13 10 14,40,1585941,87.72 135.93 133
135,1189,14 11 12,40,1585328,88.51 136.72 131
136,1185,14 11 11,40,1585328,88.51 136.72 131
137,1159,9 15 15,40,1585060,84.56 139.88 134
138,1188,14 15 8,40,1584839,88.51 139.88 128
139,1184,14 15 7,40,1584839,88.51 139.88 128
140,1170,11 13 14,40,1584528,86.14 138.3 133
141,1192,15 12 9,40,1584168,89.3 137.51 129
142,1185,14 7 15,40,1584139,88.51 133.56 134
143,1177,12 14 12,40,1584019,86.93 139.09 131
144,1174,12 14 11,40,1584019,86.93 139.09 131
145,1192,15 8 13,40,1583745,89.3 134.35 132
146,1174,12 10 15,40,1583470,86.93 135.93 134
147,1181,13 11 13,40,1583167,87.72 136.72 132
148,1181,13 15 9,40,1582959,87.72 139.88 129
149,1185,14 12 10,40,1582320,88.51 137.51 130
150,1163,10 13 15,40,1581796,85.35 138.3 134
151,1185,14 8 14,40,1581621,88.51 134.35 133
152,1170,11 14 13,40,1581601,86.14 139.09 132
153,1192,15 9 12,40,1580992,89.3 135.14 131
154,1189,15 9 11,40,1580992,89.3 135.14 131
155,1191,15 13 8,40,1580921,89.3 138.3 128
156,1188,15 13 7,40,1580921,89.3 138.3 128
157,1174,12 15 10,40,1580859,86.93 139.88 130
158,1174,12 11 14,40,1580790,86.93 136.72 133
159,1181,13 12 12,40,1580256,87.72 137.51 131
160,1178,13 12 11,40,1580256,87.72 137.51 131
161,1189,15 5 15,40,1579369,89.3 131.98 134
162,1178,13 8 15,40,1579285,87.72 134.35 134
163,1185,14 13 9,40,1579173,88.51 138.3 129
164,1163,10 14 14,40,1578963,85.35 139.09 133
165,1185,14 9 13,40,1578963,88.51 135.14 132
166,1170,11 15 12,40,1578537,86.14 139.88 131
167,1166,11 15 11,40,1578537,86.14 139.88 131
168,1167,11 11 15,40,1578197,86.14 136.72 134
169,1188,15 10 10,40,1578098,89.3 135.93 130
170,1174,12 12 13,40,1577973,86.93 137.51 132
171,1188,15 14 6,40,1577534,89.3 139.09 127
172,1178,13 13 10,40,1577205,87.72 138.3 130
173,1189,15 6 14,40,1576969,89.3 132.77 133
174,1178,13 9 14,40,1576720,87.72 135.14 133
175,1185,14 10 12,40,1576165,88.51 135.93 131
176,1182,14 10 11,40,1576165,88.51 135.93 131
177,1155,9 14 15,40,1576105,84.56 139.09 134
178,1163,10 15 13,40,1575995,85.35 139.88 132
179,1184,14 14 8,40,1575885,88.51 139.09 128
180,1181,14 14 7,40,1575885,88.51 139.09 128
181,1167,11 12 14,40,1575474,86.14 137.51 133
182,1188,15 11 9,40,1575064,89.3 136.72 129
183,1174,12 13 12,40,1575019,86.93 138.3 131
184,1170,12 13 11,40,1575019,86.93 138.3 131
185,1182,14 6 15,40,1574766,88.51 132.77 134
186,1189,15 7 13,40,1574428,89.3 133.56 132
187,1171,12 9 15,40,1574263,86.93 135.14 134
188,1178,13 10 13,40,1574016,87.72 135.93 132
189,1177,13 14 9,40,1574016,87.72 139.09 129
190,1187,15 15 5,40,1574005,89.3 139.88 126
191,1155,9 15 14,40,1573231,84.56 139.88 133
192,1181,14 11 10,40,1573227,88.51 136.72 130
193,1160,10 12 15,40,1572757,85.35 137.51 134
194,1167,11 13 13,40,1572615,86.14 138.3 132
195,1180,14 15 6,40,1572457,88.51 139.88 127
196,1182,14 7 14,40,1572317,88.51 133.56 133
197,1170,12 14 10,40,1571928,86.93 139.09 130
198,1188,15 12 8,40,1571888,89.3 137.51 128
199,1184,15 12 7,40,1571888,89.3 137.51 128
200,1189,15 8 12,40,1571746,89.3 134.35 131
201,1185,15 8 11,40,1571746,89.3 134.35 131
202,1171,12 10 14,40,1571653,86.93 135.93 133
203,1178,13 11 12,40,1571174,87.72 136.72 131
204,1174,13 11 11,40,1571174,87.72 136.72 131
205,1177,13 15 8,40,1570688,87.72 139.88 128
206,1173,13 15 7,40,1570688,87.72 139.88 128
207,1148,8 15 15,40,1570246,83.77 139.88 134
208,1181,14 12 9,40,1570149,88.51 137.51 129
209,1175,13 7 15,40,1569995,87.72 133.56 134
210,1160,10 13 14,40,1569991,85.35 138.3 133
211,1185,15 4 15,40,1569911,89.3 131.19 134
212,1182,14 8 13,40,1569729,88.51 134.35 132
213,1167,11 14 12,40,1569619,86.14 139.09 131
214,1163,11 14 11,40,1569619,86.14 139.09 131
215,1164,11 10 15,40,1569075,86.14 135.93 134
216,1185,15 9 10,40,1568923,89.3 135.14 130
217,1171,12 11 13,40,1568905,86.93 136.72 132
218,1170,12 15 9,40,1568699,86.93 139.88 129
219,1184,15 13 6,40,1568570,89.3 138.3 127
