rank,cp,ivs,maxlevel,stat-product,stats
1,1997,15 15 15,40,2549411,155.69 116.96 140
2,1986,14 15 15,40,2536470,154.9 116.96 140
3,1990,15 14 15,40,2532185,155.69 116.17 140
4,1991,15 15 14,40,2531201,155.69 116.96 139
5,1985,15 15 13,40,2531201,155.69 116.96 139
6,1976,13 15 15,40,2523529,154.11 116.96 140
7,1980,14 14 15,40,2519332,154.9 116.17 140
8,1981,14 15 14,40,2518352,154.9 116.96 139
9,1975,14 15 13,40,2518352,154.9 116.96 139
10,1983,15 13 15,40,2514959,155.69 115.38 140
11,1984,15 14 14,40,2514098,155.69 116.17 139
12,1979,15 14 13,40,2514098,155.69 116.17 139
13,1980,15 15 12,40,2512991,155.69 116.96 138
14,1966,12 15 15,40,2510587,153.32 116.96 140
15,1970,13 14 15,40,2506478,154.11 116.17 140
16,1971,13 15 14,40,2505503,154.11 116.96 139
17,1965,13 15 13,40,2505503,154.11 116.96 139
18,1973,14 13 15,40,2502193,154.9 115.38 140
19,1974,14 14 14,40,2501336,154.9 116.17 139
20,1969,14 14 13,40,2501336,154.9 116.17 139
21,1970,14 15 12,40,2500235,154.9 116.96 138
22,1976,15 12 15,40,2497734,155.69 114.59 140
23,1956,11 15 15,40,2497646,152.53 116.96 140
24,1977,15 13 14,40,2496995,155.69 115.38 139
25,1972,15 13 13,40,2496995,155.69 115.38 139
26,1973,15 14 12,40,2496011,155.69 116.17 138
27,1974,15 15 11,40,2494781,155.69 116.96 137
28,1959,12 14 15,40,2493624,153.32 116.17 140
29,1961,12 15 14,40,2492655,153.32 116.96 139
30,1955,12 15 13,40,2492655,153.32 116.96 139
31,1963,13 13 15,40,2489427,154.11 115.38 140
32,1964,13 14 14,40,2488574,154.11 116.17 139
33,1958,13 14 13,40,2488574,154.11 116.17 139
34,1960,13 15 12,40,2487478,154.11 116.96 138
35,1966,14 12 15,40,2485055,154.9 114.59 140
36,1946,10 15 15,40,2484705,151.74 116.96 140
37,1967,14 13 14,40,2484320,154.9 115.38 139
38,1962,14 13 13,40,2484320,154.9 115.38 139
39,1963,14 14 12,40,2483341,154.9 116.17 138
40,1964,14 15 11,40,2482117,154.9 116.96 137
41,1949,11 14 15,40,2480770,152.53 116.17 140
42,1969,15 11 15,40,2480508,155.69 113.8 140
43,1971,15 12 14,40,2479893,155.69 114.59 139
44,1965,15 12 13,40,2479893,155.69 114.59 139
45,1951,11 15 14,40,2479806,152.53 116.96 139
46,1945,11 15 13,40,2479806,152.53 116.96 139
47,1966,15 13 12,40,2479031,155.69 115.38 138
48,1967,15 14 11,40,2477924,155.69 116.17 137
49,1953,12 13 15,40,2476661,153.32 115.38 140
50,1968,15 15 10,40,2476571,155.69 116.96 136
51,1954,12 14 14,40,2475812,153.32 116.17 139
52,1948,12 14 13,40,2475812,153.32 116.17 139
53,1950,12 15 12,40,2474722,153.32 116.96 138
54,1956,13 12 15,40,2472376,154.11 114.59 140
55,1936,9 15 15,40,2471764,150.95 116.96 140
56,1957,13 13 14,40,2471645,154.11 115.38 139
57,1952,13 13 13,40,2471645,154.11 115.38 139
58,1953,13 14 12,40,2470671,154.11 116.17 138
59,1954,13 15 11,40,2469453,154.11 116.96 137
60,1959,14 11 15,40,2467917,154.9 113.8 140
61,1939,10 14 15,40,2467917,151.74 116.17 140
62,1961,14 12 14,40,2467304,154.9 114.59 139
63,1955,14 12 13,40,2467304,154.9 114.59 139
64,1940,10 15 14,40,2466957,151.74 116.96 139
65,1935,10 15 13,40,2466957,151.74 116.96 139
66,1956,14 13 12,40,2466448,154.9 115.38 138
67,1957,14 14 11,40,2465346,154.9 116.17 137
68,1958,14 15 10,40,2463999,154.9 116.96 136
69,1943,11 13 15,40,2463894,152.53 115.38 140
70,1963,15 10 15,40,2463282,155.69 113.01 140
71,1944,11 14 14,40,2463051,152.53 116.17 139
72,1938,11 14 13,40,2463051,152.53 116.17 139
