rank,cp,ivs,maxlevel,stat-product,stats
1,941,15 15 15,40,1153513,76.66 134.35 112
2,938,15 14 15,40,1146728,76.66 133.56 112
3,937,15 15 14,40,1143214,76.66 134.35 111
4,931,14 15 15,40,1141621,75.87 134.35 112
5,935,15 13 15,40,1139942,76.66 132.77 112
6,935,15 14 14,40,1136489,76.66 133.56 111
7,928,14 14 15,40,1134906,75.87 133.56 112
8,932,15 12 15,40,1133157,76.66 131.98 112
9,934,15 15 13,40,1132914,76.66 134.35 110
10,928,14 15 14,40,1131428,75.87 134.35 111
11,932,15 13 14,40,1129764,76.66 132.77 111
12,921,13 15 15,40,1129729,75.08 134.35 112
13,926,14 13 15,40,1128190,75.87 132.77 112
14,930,15 11 15,40,1126371,76.66 131.19 112
15,931,15 14 13,40,1126250,76.66 133.56 110
16,925,14 14 14,40,1124772,75.87 133.56 111
17,919,13 14 15,40,1123084,75.08 133.56 112
18,929,15 12 14,40,1123039,76.66 131.98 111
19,931,15 15 12,40,1122615,76.66 134.35 109
20,927,15 15 11,40,1122615,76.66 134.35 109
21,923,14 12 15,40,1121475,75.87 131.98 112
22,925,14 15 13,40,1121235,75.87 134.35 110
23,918,13 15 14,40,1119642,75.08 134.35 111
24,927,15 10 15,40,1119586,76.66 130.4 112
25,929,15 13 13,40,1119586,76.66 132.77 110
26,922,14 13 14,40,1118117,75.87 132.77 111
27,912,12 15 15,40,1117837,74.29 134.35 112
28,916,13 13 15,40,1116438,75.08 132.77 112
29,926,15 11 14,40,1116315,76.66 131.19 111
30,928,15 14 12,40,1116012,76.66 133.56 109
31,925,15 14 11,40,1116012,76.66 133.56 109
32,920,14 11 15,40,1114759,75.87 131.19 112
33,922,14 14 13,40,1114639,75.87 133.56 110
34,915,13 14 14,40,1113056,75.08 133.56 111
35,926,15 12 13,40,1112922,76.66 131.98 110
36,924,15 9 15,40,1112801,76.66 129.61 112
37,924,15 15 10,40,1112316,76.66 134.35 108
38,920,14 12 14,40,1111462,75.87 131.98 111
39,909,12 14 15,40,1111262,74.29 133.56 112
40,921,14 15 12,40,1111042,75.87 134.35 109
41,918,14 15 11,40,1111042,75.87 134.35 109
42,913,13 12 15,40,1109793,75.08 131.98 112
43,924,15 10 14,40,1109590,76.66 130.4 111
44,915,13 15 13,40,1109555,75.08 134.35 110
45,925,15 13 12,40,1109408,76.66 132.77 109
46,922,15 13 11,40,1109408,76.66 132.77 109
47,917,14 10 15,40,1108044,75.87 130.4 112
48,919,14 13 13,40,1108044,75.87 132.77 110
49,908,12 15 14,40,1107857,74.29 134.35 111
50,913,13 13 14,40,1106470,75.08 132.77 111
51,923,15 11 13,40,1106258,76.66 131.19 110
52,921,15 8 15,40,1106015,76.66 128.82 112
53,902,11 15 15,40,1105945,73.5 134.35 112
54,921,15 14 10,40,1105773,76.66 133.56 108
55,917,14 11 14,40,1104806,75.87 131.19 111
56,906,12 13 15,40,1104686,74.29 132.77 112
57,918,14 14 12,40,1104506,75.87 133.56 109
58,915,14 14 11,40,1104506,75.87 133.56 109
59,910,13 11 15,40,1103147,75.08 131.19 112
60,912,13 14 13,40,1103029,75.08 133.56 110
61,921,15 9 14,40,1102865,76.66 129.61 111
62,923,15 12 12,40,1102804,76.66 131.98 109
63,919,15 12 11,40,1102804,76.66 131.98 109
64,921,15 15 9,40,1102017,76.66 134.35 107
65,916,14 12 13,40,1101448,75.87 131.98 110
66,906,12 14 14,40,1101340,74.29 133.56 111
67,915,14 9 15,40,1101328,75.87 129.61 112
68,915,14 15 10,40,1100849,75.87 134.35 108
69,910,13 12 14,40,1099884,75.08 131.98 111
70,920,15 10 13,40,1099593,76.66 130.4 110
71,912,13 15 12,40,1099468,75.08 134.35 109
72,908,13 15 11,40,1099468,75.08 134.35 109
73,899,11 14 15,40,1099440,73.5 133.56 112
74,918,15 7 15,40,1099230,76.66 128.03 112
75,919,15 13 10,40,1099230,76.66 132.77 108
76,914,14 10 14,40,1098151,75.87 130.4 111
77,904,12 12 15,40,1098111,74.29 131.98 112
78,916,14 13 12,40,1097971,75.87 132.77 109
79,912,14 13 11,40,1097971,75.87 132.77 109
80,905,12 15 13,40,1097876,74.29 134.35 110
81,908,13 10 15,40,1096502,75.08 130.4 112
82,909,13 13 13,40,1096502,75.08 132.77 110
83,920,15 11 12,40,1096201,76.66 131.19 109
84,916,15 11 11,40,1096201,76.66 131.19 109
85,918,15 8 14,40,1096140,76.66 128.82 111
86,899,11 15 14,40,1096071,73.5 134.35 111
87,918,15 14 9,40,1095534,76.66 133.56 107
88,914,14 11 13,40,1094853,75.87 131.19 110
89,903,12 13 14,40,1094823,74.29 132.77 111
90,912,14 8 15,40,1094613,75.87 128.82 112
91,912,14 14 10,40,1094373,75.87 133.56 108
92,892,10 15 15,40,1094053,72.71 134.35 112
93,907,13 11 14,40,1093298,75.08 131.19 111
94,909,13 14 12,40,1093001,75.08 133.56 109
95,906,13 14 11,40,1093001,75.08 133.56 109
96,897,11 13 15,40,1092934,73.5 132.77 112
97,917,15 9 13,40,1092929,76.66 129.61 110
98,916,15 12 10,40,1092687,76.66 131.98 108
99,916,15 6 15,40,1092445,76.66 127.24 112
100,917,15 15 8,40,1091718,76.66 134.35 106
101,901,12 11 15,40,1091535,74.29 131.19 112
102,911,14 9 14,40,1091495,75.87 129.61 111
103,913,14 12 12,40,1091435,75.87 131.98 109
104,910,14 12 11,40,1091435,75.87 131.98 109
105,903,12 14 13,40,1091418,74.29 133.56 110
106,911,14 15 9,40,1090656,75.87 134.35 107
107,907,13 12 13,40,1089975,75.08 131.98 110
108,905,13 9 15,40,1089856,75.08 129.61 112
109,896,11 14 14,40,1089623,73.5 133.56 111
110,917,15 10 12,40,1089597,76.66 130.4 109
111,914,15 10 11,40,1089597,76.66 130.4 109
112,915,15 7 14,40,1089415,76.66 128.03 111
113,905,13 15 10,40,1089382,75.08 134.35 108
114,915,15 13 9,40,1089052,76.66 132.77 107
115,900,12 12 14,40,1088306,74.29 131.98 111
116,911,14 10 13,40,1088257,75.87 130.4 110
117,909,14 7 15,40,1087898,75.87 128.03 112
118,909,14 13 10,40,1087898,75.87 132.77 108
119,902,12 15 12,40,1087895,74.29 134.35 109
120,899,12 15 11,40,1087895,74.29 134.35 109
121,890,10 14 15,40,1087618,72.71 133.56 112
122,905,13 10 14,40,1086712,75.08 130.4 111
123,906,13 13 12,40,1086534,75.08 132.77 109
124,903,13 13 11,40,1086534,75.08 132.77 109
125,894,11 12 15,40,1086429,73.5 131.98 112
126,915,15 8 13,40,1086265,76.66 128.82 110
127,896,11 15 13,40,1086196,73.5 134.35 110
128,913,15 11 10,40,1086144,76.66 131.19 108
129,913,15 5 15,40,1085659,76.66 126.45 112
130,915,15 14 8,40,1085296,76.66 133.56 106
131,898,12 10 15,40,1084960,74.29 130.4 112
132,900,12 13 13,40,1084960,74.29 132.77 110
133,910,14 11 12,40,1084900,75.87 131.19 109
134,907,14 11 11,40,1084900,75.87 131.19 109
135,908,14 8 14,40,1084840,75.87 128.82 111
136,889,10 15 14,40,1084285,72.71 134.35 111
137,909,14 14 9,40,1084240,75.87 133.56 107
138,904,13 11 13,40,1083448,75.08 131.19 110
139,902,13 8 15,40,1083211,75.08 128.82 112
140,893,11 13 14,40,1083176,73.5 132.77 111
141,914,15 9 12,40,1082993,76.66 129.61 109
142,911,15 9 11,40,1082993,76.66 129.61 109
143,902,13 14 10,40,1082973,75.08 133.56 108
144,912,15 6 14,40,1082691,76.66 127.24 111
145,913,15 12 9,40,1082569,76.66 131.98 107
146,883,9 15 15,40,1082162,71.92 134.35 112
