rank,cp,ivs,maxlevel,stat-product
1,2496,0 12 15,30.5,3575370
2,2494,0 15 15,30,3570578
3,2498,0 10 14,31,3570075
4,2498,1 14 15,30,3568569
5,2496,0 13 14,30.5,3566030
6,2500,1 12 14,30.5,3563860
7,2497,1 15 11,30.5,3561547
8,2497,0 11 13,31,3560916
9,2497,1 15 14,30,3558885
10,2491,1 15 13,30,3558885
11,2495,0 14 10,31,3558852
12,2490,0 11 15,30.5,3558097
13,2495,2 14 13,30,3556820
14,2499,1 13 10,31,3556768
15,2495,0 14 13,30.5,3556434
16,2495,1 10 15,30.5,3555765
17,2499,0 9 12,31.5,3555235
18,2500,3 13 13,30,3554613
19,2499,1 13 13,30.5,3554352
20,2488,0 14 15,30,3553575
21,2499,2 9 15,30.5,3553287
22,2499,0 9 15,31,3552660
23,2492,0 9 14,31,3552660
24,2496,0 12 12,31,3551499
25,2492,1 13 15,30,3551494
26,2500,0 15 7,31.5,3550553
27,2496,1 8 14,31,3550161
28,2497,2 12 15,30,3549270
29,2490,0 12 14,30.5,3548886
30,2494,0 15 9,31,3548790
31,2494,2 15 12,30,3546967
32,2498,1 14 9,31,3546793
33,2500,0 7 14,31.5,3546651
34,2494,1 11 14,30.5,3546643
35,2494,0 15 12,30.5,3546583
36,2487,0 15 11,30.5,3546583
37,2498,0 10 11,31.5,3546001
38,2499,3 14 12,30,3544847
39,2498,1 14 12,30.5,3544587
40,2492,1 14 11,30.5,3544587
41,2499,2 10 14,30.5,3544256
42,2487,0 15 14,30,3543932
43,2480,0 15 13,30,3543932
44,2495,0 13 8,31.5,3543790
45,2494,4 15 15,29.5,3543670
46,2491,0 10 13,31,3543630
47,2496,2 13 11,30.5,3542449
48,2491,1 14 14,30,3541938
49,2485,1 14 13,30,3541938
50,2496,0 13 11,31,3541824
51,2489,0 13 10,31,3541824
52,2499,1 12 8,31.5,3541633
53,2498,5 14 15,29.5,3541429
54,2496,1 9 13,31,3541223
55,2484,0 10 15,30.5,3540825
56,2500,3 12 11,30.5,3540169
57,2499,0 8 10,32,3539941
58,2496,2 13 14,30,3539802
59,2489,2 13 13,30,3539802
60,2500,1 12 11,31,3539668
61,2493,1 12 10,31,3539668
62,2489,0 13 13,30.5,3539418
63,2500,2 8 13,31,3538670
64,2489,1 9 15,30.5,3538420
65,2499,0 8 13,31.5,3537807
66,2492,0 8 12,31.5,3537807
67,2494,0 5 15,31.5,3537547
68,2500,3 12 14,30,3537523
69,2494,3 12 13,30,3537523
70,2498,2 11 10,31,3537369
71,2493,1 12 13,30.5,3537264
72,2497,3 15 8,30.5,3537060
73,2482,0 13 15,30,3536572
74,2497,1 15 8,31,3536559
75,2497,0 11 10,31.5,3536507
76,2493,2 8 15,30.5,3535869
77,2493,0 8 15,31,3535245
78,2486,0 8 14,31,3535245
79,2497,1 7 12,31.5,3535234
80,2498,4 11 13,30,3535102
81,2498,2 11 13,30.5,3534966
82,2500,0 14 5,32,3534958
83,2498,3 15 11,30,3534825
84,2499,1 4 15,31.5,3534711
85,2491,1 15 10,30.5,3534566
86,2486,1 12 15,30,3534420
87,2490,0 11 12,31,3534342
88,2494,0 14 7,31.5,3533646
89,2497,3 7 15,30.5,3533173
90,2497,1 7 15,31,3532673
91,2490,1 7 14,31,3532673
92,2495,2 14 10,30.5,3532515
93,2484,1 15 12,30,3532126
94,2491,2 11 15,30,3532124
95,2495,1 10 12,31,3532025
96,2488,0 14 9,31,3531891
97,2484,0 11 14,30.5,3531741
98,2497,5 15 14,29.5,3531619
99,2490,5 15 13,29.5,3531619
100,2498,1 13 7,31.5,3531577
101,2500,0 6 12,32,3531418
102,2495,0 3 14,32,3530631
103,2498,0 9 9,32,3530631
104,2499,3 13 10,30.5,3530322
105,2488,2 14 12,30,3530077
106,2494,2 6 14,31,3529954
107,2492,1 13 9,31,3529823
108,2488,0 14 12,30.5,3529694
109,2481,0 14 11,30.5,3529694
110,2495,3 10 15,30,3529685
111,2499,2 9 12,31,3529564
112,2488,1 10 14,30.5,3529426
113,2495,6 14 13,29.5,3529326
114,2494,0 6 14,31.5,3529094
115,2483,3 15 15,29.5,3528966
116,2492,0 9 11,31.5,3528703
117,2495,0 12 6,32,3528271
118,2493,3 13 12,30,3527886
119,2492,1 13 12,30.5,3527628
120,2486,1 13 11,30.5,3527628
121,2499,1 2 14,32,3527622
122,2497,2 12 9,31,3527613
123,2499,4 9 15,30,3527102
124,2499,3 5 14,31,3527088
125,2481,0 14 14,30,3527056
126,2492,2 9 14,30.5,3526967
127,2499,7 13 13,29.5,3526894
128,2488,4 14 15,29.5,3526795
129,2496,0 12 9,31.5,3526752
130,2489,0 12 8,31.5,3526752
131,2498,1 5 14,31.5,3526352
132,2485,0 9 13,31,3526344
133,2496,1 8 11,31.5,3526222
134,2499,1 11 6,32,3526042
135,2497,4 12 12,30,3525554
136,2499,2 15 4,31.5,3525431
137,2497,2 12 12,30.5,3525418
138,2490,2 12 11,30.5,3525418
139,2485,1 13 14,30,3524991
140,2490,0 12 11,31,3524796
141,2483,0 12 10,31,3524796
142,2500,1 11 9,31.5,3524524
143,2493,1 11 8,31.5,3524524
144,2492,5 13 15,29.5,3524485
145,2497,3 8 14,30.5,3524363
146,2499,0 15 4,32,3524338
147,2499,0 7 8,32.5,3524198
148,2500,2 15 7,31,3524100
149,2493,2 15 6,31,3524100
150,2490,1 8 13,31,3523864
151,2500,2 7 11,31.5,3523594
152,2493,0 15 6,31.5,3523241
153,2494,3 11 11,30.5,3523067
154,2490,2 12 14,30,3522783
155,2483,2 12 13,30,3522783
156,2494,1 11 11,31,3522568
157,2487,1 11 10,31,3522568
158,2500,0 7 11,32,3522502
159,2493,0 7 10,32,3522502
160,2494,4 15 9,30,3522457
161,2483,0 12 13,30.5,3522401
162,2495,0 4 13,32,3522371
163,2494,2 15 9,30.5,3522322
164,2487,2 15 8,30.5,3522322
165,2498,2 10 8,31.5,3522152
166,2496,6 12 15,29.5,3522034
167,2498,3 14 6,31,3521994
168,2487,0 15 8,31,3521700
169,2497,1 14 6,31.5,3521259
170,2494,2 7 13,31,3521238
171,2483,1 8 15,30.5,3521075
172,2497,0 10 8,32,3521060
173,2499,4 10 11,30.5,3520573
174,2494,3 11 14,30,3520434
175,2487,3 11 13,30,3520434
176,2493,0 7 13,31.5,3520380
177,2486,0 7 12,31.5,3520380
178,2498,5 14 9,30,3520230
179,2498,3 14 9,30.5,3520217
180,2491,3 14 8,30.5,3520217
181,2498,2 10 11,31,3520197
182,2491,2 10 10,31,3520197
183,2487,1 11 13,30.5,3520176
184,2487,2 15 11,30,3520096
185,2488,0 4 15,31.5,3519859
186,2497,1 6 10,32,3519854
187,2491,1 14 8,31,3519718
188,2480,0 15 10,30.5,3519714
189,2499,1 3 13,32,3519459
190,2500,7 11 15,29.5,3519443
191,2494,6 15 12,29.5,3519348
192,2491,0 10 10,31.5,3519339
193,2499,0 13 3,32.5,3518912
194,2498,3 6 13,31,3518467
195,2487,2 7 15,30.5,3518451
196,2494,0 13 5,32,3518045
197,2492,3 14 11,30,3517992
198,2496,4 13 8,30.5,3517971
199,2499,4 10 14,30,3517941
200,2492,4 10 13,30,3517941
201,2486,0 7 15,31,3517830
202,2492,2 10 13,30.5,3517806
203,2485,1 14 10,30.5,3517734
204,2498,1 6 13,31.5,3517732
205,2491,1 6 12,31.5,3517732
206,2496,3 9 10,31,3517683
207,2496,2 13 8,31,3517596
208,2480,1 11 15,30,3517345
209,2484,0 10 12,31,3517185
210,2487,4 15 14,29.5,3517026
211,2480,4 15 13,29.5,3517026
212,2498,7 14 12,29.5,3517003
