rank,cp,ivs,maxlevel,stat-product,stats
1,2500,1 15 14,28.5,3891783,160.46 155.47 156
2,2495,0 15 15,28.5,3874486,159.75 155.47 156
3,2489,0 15 14,28.5,3874486,159.75 155.47 156
4,2500,1 14 15,28.5,3873931,160.46 154.76 156
5,2494,1 14 14,28.5,3873931,160.46 154.76 156
6,2500,2 13 14,28.5,3873217,161.18 154.04 156
7,2498,0 11 12,29,3870135,161.15 153.95 156
8,2494,1 15 13,28.5,3866836,160.46 155.47 155
9,2498,0 15 8,29,3866657,161.15 156.83 153
10,2500,2 14 13,28.5,3866205,161.18 154.76 155
11,2497,0 8 15,29,3864802,161.15 151.79 158
12,2498,0 12 11,29,3863295,161.15 154.67 155
13,2500,2 15 12,28.5,3858963,161.18 155.47 154
14,2494,2 15 11,28.5,3858963,161.18 155.47 154
15,2497,0 9 14,29,3858542,161.15 152.51 157
16,2499,3 14 11,28.5,3858258,161.89 154.76 154
17,2489,0 14 15,28.5,3856713,159.75 154.76 156
18,2483,0 14 14,28.5,3856713,159.75 154.76 156
19,2498,0 13 10,29,3856224,161.15 155.39 154
20,2494,1 13 15,28.5,3856078,160.46 154.04 156
21,2488,1 13 14,28.5,3856078,160.46 154.04 156
22,2499,2 12 15,28.5,3855285,161.18 153.33 156
23,2494,2 12 14,28.5,3855285,161.18 153.33 156
24,2499,3 11 14,28.5,3854333,161.89 152.62 156
25,2498,0 10 13,29,3852050,161.15 153.23 156
26,2492,0 10 12,29,3852050,161.15 153.23 156
27,2497,1 9 12,29,3851081,161.86 152.51 156
28,2499,3 15 10,28.5,3850869,161.89 155.47 153
29,2483,0 15 13,28.5,3849650,159.75 155.47 155
30,2495,4 15 15,28,3849635,161.17 154.1 155
31,2489,1 14 13,28.5,3849098,160.46 154.76 155
32,2498,0 14 9,29,3848920,161.15 156.11 153
33,2492,0 14 8,29,3848920,161.15 156.11 153
34,2500,5 14 15,28,3848783,161.88 153.39 155
35,2494,2 13 13,28.5,3848388,161.18 154.04 155
36,2497,1 13 8,29,3848287,161.86 155.39 153
37,2499,3 12 13,28.5,3847521,161.89 153.33 155
38,2491,0 7 15,29,3846486,161.15 151.07 158
39,2492,0 11 11,29,3845326,161.15 153.95 155
