rank,cp,ivs,maxlevel,stat-product,stats
1,1702,15 15 15,41,2166117,133.61 120.09 135
2,1692,14 15 15,41,2153223,132.82 120.09 135
3,1696,15 14 15,41,2151772,133.61 119.3 135
4,1697,15 15 14,41,2150071,133.61 120.09 134
5,1682,13 15 15,41,2140330,132.02 120.09 135
6,1686,14 14 15,41,2138963,132.82 119.3 135
7,1691,15 13 15,41,2137426,133.61 118.5 135
8,1687,14 15 14,41,2137273,132.82 120.09 134
9,1691,15 14 14,41,2135833,133.61 119.3 134
10,1692,15 15 13,41,2134026,133.61 120.09 133
11,1672,12 15 15,41,2127436,131.22 120.09 135
12,1676,13 14 15,41,2126155,132.02 119.3 135
13,1681,14 13 15,41,2124704,132.82 118.5 135
14,1677,13 15 14,41,2124475,132.02 120.09 134
15,1681,14 14 14,41,2123119,132.82 119.3 134
16,1685,15 12 15,41,2123081,133.61 117.7 135
17,1686,15 13 14,41,2121594,133.61 118.5 134
18,1682,14 15 13,41,2121324,132.82 120.09 133
19,1686,15 14 13,41,2119894,133.61 119.3 133
20,1687,15 15 12,41,2117981,133.61 120.09 132
21,1682,15 15 11,41,2117981,133.61 120.09 132
22,1661,11 15 15,41,2114543,130.43 120.09 135
23,1666,12 14 15,41,2113347,131.22 119.3 135
24,1671,13 13 15,41,2111981,132.02 118.5 135
25,1667,12 15 14,41,2111677,131.22 120.09 134
26,1675,14 12 15,41,2110444,132.82 117.7 135
27,1671,13 14 14,41,2110406,132.02 119.3 134
28,1676,14 13 14,41,2108965,132.82 118.5 134
29,1679,15 11 15,41,2108736,133.61 116.91 135
30,1672,13 15 13,41,2108621,132.02 120.09 133
31,1680,15 12 14,41,2107355,133.61 117.7 134
32,1676,14 14 13,41,2107275,132.82 119.3 133
33,1681,15 13 13,41,2105761,133.61 118.5 133
34,1677,14 15 12,41,2105374,132.82 120.09 132
35,1672,14 15 11,41,2105374,132.82 120.09 132
36,1681,15 14 12,41,2103954,133.61 119.3 132
37,1676,15 14 11,41,2103954,133.61 119.3 132
38,1677,15 15 10,41,2101936,133.61 120.09 131
39,1651,10 15 15,41,2101649,129.63 120.09 135
40,1656,11 14 15,41,2100539,130.43 119.3 135
41,1660,12 13 15,41,2099258,131.22 118.5 135
42,1657,11 15 14,41,2098879,130.43 120.09 134
43,1665,13 12 15,41,2097807,132.02 117.7 135
44,1661,12 14 14,41,2097693,131.22 119.3 134
45,1666,13 13 14,41,2096337,132.02 118.5 134
46,1669,14 11 15,41,2096184,132.82 116.91 135
47,1662,12 15 13,41,2095919,131.22 120.09 133
48,1670,14 12 14,41,2094811,132.82 117.7 134
49,1666,13 14 13,41,2094657,132.02 119.3 133
50,1674,15 10 15,41,2094391,133.61 116.11 135
51,1671,14 13 13,41,2093227,132.82 118.5 133
52,1674,15 11 14,41,2093116,133.61 116.91 134
53,1667,13 15 12,41,2092767,132.02 120.09 132
54,1662,13 15 11,41,2092767,132.02 120.09 132
55,1675,15 12 13,41,2091628,133.61 117.7 133
56,1671,14 14 12,41,2091431,132.82 119.3 132
57,1666,14 14 11,41,2091431,132.82 119.3 132
58,1676,15 13 12,41,2089928,133.61 118.5 132
59,1671,15 13 11,41,2089928,133.61 118.5 132
60,1667,14 15 10,41,2089424,132.82 120.09 131
61,1641,9 15 15,41,2088755,128.84 120.09 135
62,1671,15 14 10,41,2088015,133.61 119.3 131
63,1646,10 14 15,41,2087731,129.63 119.3 135
64,1650,11 13 15,41,2086535,130.43 118.5 135
65,1646,10 15 14,41,2086081,129.63 120.09 134
66,1672,15 15 9,41,2085890,133.61 120.09 130
67,1655,12 12 15,41,2085169,131.22 117.7 135
68,1651,11 14 14,41,2084979,130.43 119.3 134
69,1656,12 13 14,41,2083708,131.22 118.5 134
70,1659,13 11 15,41,2083632,132.02 116.91 135
71,1652,11 15 13,41,2083216,130.43 120.09 133
72,1660,13 12 14,41,2082267,132.02 117.7 134
73,1656,12 14 13,41,2082038,131.22 119.3 133
74,1664,14 10 15,41,2081924,132.82 116.11 135
75,1661,13 13 13,41,2080692,132.02 118.5 133
76,1664,14 11 14,41,2080657,132.82 116.91 134
77,1657,12 15 12,41,2080160,131.22 120.09 132
78,1652,12 15 11,41,2080160,131.22 120.09 132
79,1668,15 9 15,41,2080046,133.61 115.32 135
80,1665,14 12 13,41,2079178,132.82 117.7 133
81,1661,13 14 12,41,2078907,132.02 119.3 132
82,1656,13 14 11,41,2078907,132.02 119.3 132
83,1669,15 10 14,41,2078877,133.61 116.11 134
84,1669,15 11 13,41,2077496,133.61 116.91 133
85,1666,14 13 12,41,2077488,132.82 118.5 132
86,1661,14 13 11,41,2077488,132.82 118.5 132
87,1657,13 15 10,41,2076912,132.02 120.09 131
88,1670,15 12 12,41,2075902,133.61 117.7 132
89,1665,15 12 11,41,2075902,133.61 117.7 132
90,1631,8 15 15,41,2075862,128.04 120.09 135
91,1661,14 14 10,41,2075587,132.82 119.3 131
92,1636,9 14 15,41,2074923,128.84 119.3 135
93,1666,15 13 10,41,2074095,133.61 118.5 131
94,1640,10 13 15,41,2073813,129.63 118.5 135
95,1662,14 15 9,41,2073474,132.82 120.09 130
96,1636,9 15 14,41,2073283,128.84 120.09 134
97,1645,11 12 15,41,2072532,130.43 117.7 135
98,1641,10 14 14,41,2072266,129.63 119.3 134
99,1666,15 14 9,41,2072076,133.61 119.3 130
100,1649,12 11 15,41,2071080,131.22 116.91 135
101,1646,11 13 14,41,2071080,130.43 118.5 134
102,1642,10 15 13,41,2070513,129.63 120.09 133
103,1667,15 15 8,41,2069845,133.61 120.09 129
104,1650,12 12 14,41,2069723,131.22 117.7 134
105,1654,13 10 15,41,2069458,132.02 116.11 135
106,1646,11 14 13,41,2069420,130.43 119.3 133
107,1654,13 11 14,41,2068198,132.02 116.91 134
108,1651,12 13 13,41,2068158,131.22 118.5 133
109,1658,14 9 15,41,2067665,132.82 115.32 135
110,1647,11 15 12,41,2067553,130.43 120.09 132
111,1642,11 15 11,41,2067553,130.43 120.09 132
112,1655,13 12 13,41,2066728,132.02 117.7 133
113,1659,14 10 14,41,2066503,132.82 116.11 134
114,1651,12 14 12,41,2066384,131.22 119.3 132
115,1646,12 14 11,41,2066384,131.22 119.3 132
116,1662,15 8 15,41,2065701,133.61 114.52 135
117,1659,14 11 13,41,2065130,132.82 116.91 133
118,1656,13 13 12,41,2065048,132.02 118.5 132
119,1651,13 13 11,41,2065048,132.02 118.5 132
120,1663,15 9 14,41,2064638,133.61 115.32 134
121,1647,12 15 10,41,2064401,131.22 120.09 131
122,1660,14 12 12,41,2063545,132.82 117.7 132
123,1655,14 12 11,41,2063545,132.82 117.7 132
124,1664,15 10 13,41,2063363,133.61 116.11 133
125,1651,13 14 10,41,2063158,132.02 119.3 131
126,1621,7 15 15,41,2062968,127.25 120.09 135
127,1626,8 14 15,41,2062114,128.04 119.3 135
128,1664,15 11 12,41,2061875,133.61 116.91 132
129,1659,15 11 11,41,2061875,133.61 116.91 132
130,1656,14 13 10,41,2061749,132.82 118.5 131
131,1630,9 13 15,41,2061090,128.84 118.5 135
132,1652,13 15 9,41,2061058,132.02 120.09 130
133,1626,8 15 14,41,2060485,128.04 120.09 134
134,1660,15 12 10,41,2060175,133.61 117.7 131
135,1635,10 12 15,41,2059894,129.63 117.7 135
136,1656,14 14 9,41,2059743,132.82 119.3 130
137,1631,9 14 14,41,2059553,128.84 119.3 134
138,1639,11 11 15,41,2058528,130.43 116.91 135
139,1636,10 13 14,41,2058451,129.63 118.5 134
140,1661,15 13 9,41,2058263,133.61 118.5 130
141,1631,9 15 13,41,2057811,128.84 120.09 133
142,1657,14 15 8,41,2057524,132.82 120.09 129
143,1640,11 12 14,41,2057180,130.43 117.7 134
144,1644,12 10 15,41,2056991,131.22 116.11 135
145,1636,10 14 13,41,2056801,129.63 119.3 133
146,1661,15 14 8,41,2056137,133.61 119.3 129
147,1644,12 11 14,41,2055739,131.22 116.91 134
148,1641,11 13 13,41,2055624,130.43 118.5 133
149,1648,13 9 15,41,2055283,132.02 115.32 135
150,1637,10 15 12,41,2054946,129.63 120.09 132
151,1632,10 15 11,41,2054946,129.63 120.09 132
152,1645,12 12 13,41,2054278,131.22 117.7 133
153,1649,13 10 14,41,2054128,132.02 116.11 134
154,1641,11 14 12,41,2053860,130.43 119.3 132
155,1636,11 14 11,41,2053860,130.43 119.3 132
156,1661,15 15 7,41,2053800,133.61 120.09 128
157,1656,15 15 6,41,2053800,133.61 120.09 128
158,1652,14 8 15,41,2053405,132.82 114.52 135
159,1649,13 11 13,41,2052764,132.02 116.91 133
160,1646,12 13 12,41,2052608,131.22 118.5 132
161,1641,12 13 11,41,2052608,131.22 118.5 132
162,1653,14 9 14,41,2052349,132.82 115.32 134
163,1637,11 15 10,41,2051889,130.43 120.09 131
164,1656,15 7 15,41,2051356,133.61 113.73 135
165,1650,13 12 12,41,2051189,132.02 117.7 132
166,1645,13 12 11,41,2051189,132.02 117.7 132
167,1654,14 10 13,41,2051081,132.82 116.11 133
168,1641,12 14 10,41,2050729,131.22 119.3 131
169,1657,15 8 14,41,2050399,133.61 114.52 134
170,1611,6 15 15,41,2050075,126.45 120.09 135
171,1654,14 11 12,41,2049602,132.82 116.91 132
172,1650,14 11 11,41,2049602,132.82 116.91 132
173,1646,13 13 10,41,2049404,132.02 118.5 131
174,1616,7 14 15,41,2049306,127.25 119.3 135
175,1658,15 9 13,41,2049230,133.61 115.32 133
176,1642,12 15 9,41,2048642,131.22 120.09 130
177,1620,8 13 15,41,2048367,128.04 118.5 135
178,1650,14 12 10,41,2047912,132.82 117.7 131
179,1659,15 10 12,41,2047849,133.61 116.11 132
180,1654,15 10 11,41,2047849,133.61 116.11 132
181,1616,7 15 14,41,2047687,127.25 120.09 134
182,1646,13 14 9,41,2047409,132.02 119.3 130
183,1625,9 12 15,41,2047257,128.84 117.7 135
184,1621,8 14 14,41,2046840,128.04 119.3 134
185,1654,15 11 10,41,2046255,133.61 116.91 131
186,1651,14 13 9,41,2046011,132.82 118.5 130
187,1629,10 11 15,41,2045976,129.63 116.91 135
188,1625,9 13 14,41,2045822,128.84 118.5 134
189,1647,13 15 8,41,2045204,132.02 120.09 129
190,1621,8 15 13,41,2045108,128.04 120.09 133
191,1630,10 12 14,41,2044636,129.63 117.7 134
192,1634,11 10 15,41,2044525,130.43 116.11 135
193,1655,15 12 9,41,2044449,133.61 117.7 130
194,1626,9 14 13,41,2044183,128.84 119.3 133
195,1651,14 14 8,41,2043898,132.82 119.3 129
196,1634,11 11 14,41,2043280,130.43 116.91 134
197,1631,10 13 13,41,2043089,129.63 118.5 133
198,1638,12 9 15,41,2042902,131.22 115.32 135
199,1655,15 13 8,41,2042430,133.61 118.5 129
200,1627,9 15 12,41,2042339,128.84 120.09 132
201,1622,9 15 11,41,2042339,128.84 120.09 132
202,1635,11 12 13,41,2041828,130.43 117.7 133
203,1639,12 10 14,41,2041754,131.22 116.11 134
204,1652,14 15 7,41,2041575,132.82 120.09 128
205,1646,14 15 6,41,2041575,132.82 120.09 128
206,1631,10 14 12,41,2041337,129.63 119.3 132
207,1626,10 14 11,41,2041337,129.63 119.3 132
208,1642,13 8 15,41,2041109,132.02 114.52 135
209,1640,12 11 13,41,2040397,131.22 116.91 133
210,1656,15 14 7,41,2040198,133.61 119.3 128
211,1651,15 14 6,41,2040198,133.61 119.3 128
212,1636,11 13 12,41,2040168,130.43 118.5 132
213,1631,11 13 11,41,2040168,130.43 118.5 132
214,1643,13 9 14,41,2040059,132.02 115.32 134
215,1627,10 15 10,41,2039378,129.63 120.09 131
216,1646,14 7 15,41,2039145,132.82 113.73 135
217,1640,12 12 12,41,2038832,131.22 117.7 132
218,1635,12 12 11,41,2038832,131.22 117.7 132
219,1644,13 10 13,41,2038799,132.02 116.11 133
220,1631,11 14 10,41,2038301,130.43 119.3 131
221,1647,14 8 14,41,2038194,132.82 114.52 134
222,1651,15 15 5,41,2037754,133.61 120.09 127
223,1645,13 11 12,41,2037329,132.02 116.91 132
224,1640,13 11 11,41,2037329,132.02 116.91 132
225,1601,5 15 15,41,2037181,125.66 120.09 135
226,1636,12 13 10,41,2037058,131.22 118.5 131
227,1648,14 9 13,41,2037033,132.82 115.32 133
228,1650,15 6 15,41,2037010,133.61 112.93 135
229,1605,6 14 15,41,2036498,126.45 119.3 135
