rank,cp,ivs,maxlevel,stat-product,stats
1,866,15 15 15,40,994328,75.08 90.09 147
2,864,15 15 14,40,987564,75.08 90.09 146
3,861,15 15 13,40,987564,75.08 90.09 146
4,862,15 14 15,40,985606,75.08 89.3 147
5,857,14 15 15,40,983861,74.29 90.09 147
6,859,15 15 12,40,980799,75.08 90.09 145
7,860,15 14 14,40,978901,75.08 89.3 146
8,857,15 14 13,40,978901,75.08 89.3 146
9,854,14 15 14,40,977168,74.29 90.09 146
10,852,14 15 13,40,977168,74.29 90.09 146
11,858,15 13 15,40,976883,75.08 88.51 147
12,853,14 14 15,40,975231,74.29 89.3 147
13,857,15 15 11,40,974035,75.08 90.09 144
14,848,13 15 15,40,973394,73.5 90.09 147
15,855,15 14 12,40,972196,75.08 89.3 145
16,850,14 15 12,40,970475,74.29 90.09 145
17,856,15 13 14,40,970238,75.08 88.51 146
18,854,15 13 13,40,970238,75.08 88.51 146
19,851,14 14 14,40,968596,74.29 89.3 146
20,848,14 14 13,40,968596,74.29 89.3 146
21,854,15 12 15,40,968161,75.08 87.72 147
22,854,15 15 10,40,967271,75.08 90.09 143
23,852,15 15 9,40,967271,75.08 90.09 143
24,845,13 15 14,40,966773,73.5 90.09 146
25,843,13 15 13,40,966773,73.5 90.09 146
26,849,14 13 15,40,966600,74.29 88.51 147
27,853,15 14 11,40,965491,75.08 89.3 144
28,844,13 14 15,40,964856,73.5 89.3 147
29,847,14 15 11,40,963782,74.29 90.09 144
30,851,15 13 12,40,963592,75.08 88.51 145
31,838,12 15 15,40,962928,72.71 90.09 147
32,846,14 14 12,40,961962,74.29 89.3 145
33,852,15 12 14,40,961575,75.08 87.72 146
34,850,15 12 13,40,961575,75.08 87.72 146
35,849,15 15 8,40,960507,75.08 90.09 142
36,841,13 15 12,40,960151,73.5 90.09 145
37,847,14 13 14,40,960025,74.29 88.51 146
38,845,14 13 13,40,960025,74.29 88.51 146
39,850,15 11 15,40,959439,75.08 86.93 147
40,850,15 14 10,40,958786,75.08 89.3 143
41,848,15 14 9,40,958786,75.08 89.3 143
42,842,13 14 14,40,958292,73.5 89.3 146
43,839,13 14 13,40,958292,73.5 89.3 146
44,845,14 12 15,40,957970,74.29 87.72 147
45,845,14 15 10,40,957089,74.29 90.09 143
46,843,14 15 9,40,957089,74.29 90.09 143
47,849,15 13 11,40,956947,75.08 88.51 144
48,836,12 15 14,40,956377,72.71 90.09 146
49,834,12 15 13,40,956377,72.71 90.09 146
50,840,13 13 15,40,956317,73.5 88.51 147
51,844,14 14 11,40,955328,74.29 89.3 144
52,847,15 12 12,40,954989,75.08 87.72 145
53,835,12 14 15,40,954481,72.71 89.3 147
54,847,15 15 7,40,953743,75.08 90.09 141
55,838,13 15 11,40,953529,73.5 90.09 144
56,842,14 13 12,40,953449,74.29 88.51 145
57,848,15 11 14,40,952912,75.08 86.93 146
58,846,15 11 13,40,952912,75.08 86.93 146
59,829,11 15 15,40,952461,71.92 90.09 147
60,846,15 14 8,40,952082,75.08 89.3 142
61,837,13 14 12,40,951729,73.5 89.3 145
62,843,14 12 14,40,951453,74.29 87.72 146
63,841,14 12 13,40,951453,74.29 87.72 146
64,847,15 10 15,40,950717,75.08 86.14 147
65,841,14 15 8,40,950396,74.29 90.09 142
66,847,15 13 10,40,950301,75.08 88.51 143
67,844,15 13 9,40,950301,75.08 88.51 143
68,832,12 15 12,40,949827,72.71 90.09 145
69,838,13 13 14,40,949812,73.5 88.51 146
70,836,13 13 13,40,949812,73.5 88.51 146
71,842,14 11 15,40,949340,74.29 86.93 147
72,841,14 14 10,40,948694,74.29 89.3 143
73,839,14 14 9,40,948694,74.29 89.3 143
74,845,15 12 11,40,948403,75.08 87.72 144
75,833,12 14 14,40,947988,72.71 89.3 146
76,830,12 14 13,40,947988,72.71 89.3 146
77,836,13 12 15,40,947779,73.5 87.72 147
