rank,cp,ivs,maxlevel,stat-product
1,2169,15 15 15,40,3048696
2,2158,14 15 15,40,3033061
3,2164,15 15 14,40,3030549
4,2162,15 14 15,40,3028234
5,2147,13 15 15,40,3017427
6,2153,14 15 14,40,3015007
7,2151,14 14 15,40,3012705
8,2159,15 15 13,40,3012402
9,2157,15 14 14,40,3010209
10,2155,15 13 15,40,3007773
11,2136,12 15 15,40,3001793
12,2142,13 15 14,40,2999466
13,2140,13 14 15,40,2997176
14,2148,14 15 13,40,2996953
15,2146,14 14 14,40,2994772
16,2154,15 15 12,40,2994255
17,2149,15 15 11,40,2994255
18,2144,14 13 15,40,2992349
19,2152,15 14 13,40,2992184
20,2150,15 13 14,40,2989870
21,2147,15 12 15,40,2987312
22,2125,11 15 15,40,2986158
23,2131,12 15 14,40,2983925
24,2129,12 14 15,40,2981646
25,2137,13 15 13,40,2981505
26,2135,13 14 14,40,2979335
27,2143,14 15 12,40,2978899
28,2138,14 15 11,40,2978899
29,2132,13 13 15,40,2976924
30,2141,14 14 13,40,2976840
31,2144,15 15 10,40,2976108
32,2139,14 13 14,40,2974537
33,2147,15 14 12,40,2974159
34,2142,15 14 11,40,2974159
35,2136,14 12 15,40,2971993
36,2144,15 13 13,40,2971967
37,2114,10 15 15,40,2970524
38,2142,15 12 14,40,2969531
39,2120,11 15 14,40,2968383
40,2140,15 11 15,40,2966851
41,2118,11 14 15,40,2966117
42,2126,12 15 13,40,2966057
43,2124,12 14 14,40,2963898
44,2132,13 15 12,40,2963544
45,2127,13 15 11,40,2963544
46,2121,12 13 15,40,2961500
47,2130,13 14 13,40,2961495
48,2133,14 15 10,40,2960845
49,2127,13 13 14,40,2959205
50,2136,14 14 12,40,2958907
51,2131,14 14 11,40,2958907
52,2138,15 15 9,40,2957961
53,2133,14 13 13,40,2956726
54,2125,13 12 15,40,2956673
55,2136,15 14 10,40,2956134
56,2102,9 15 15,40,2954889
57,2131,14 12 14,40,2954302
58,2139,15 13 12,40,2954063
59,2134,15 13 11,40,2954063
60,2109,10 15 14,40,2952842
61,2137,15 12 13,40,2951749
62,2129,14 11 15,40,2951637
63,2115,11 15 13,40,2950609
64,2106,10 14 15,40,2950587
65,2135,15 11 14,40,2949192
66,2113,11 14 14,40,2948461
67,2121,12 15 12,40,2948189
68,2116,12 15 11,40,2948189
69,2132,15 10 15,40,2946390
70,2119,12 14 13,40,2946150
71,2110,11 13 15,40,2946076
72,2122,13 15 10,40,2945583
73,2116,12 13 14,40,2943872
74,2125,13 14 12,40,2943655
75,2120,13 14 11,40,2943655
76,2127,14 15 9,40,2942791
77,2122,13 13 13,40,2941485
78,2114,12 12 15,40,2941354
79,2125,14 14 10,40,2940974
80,2133,15 15 8,40,2939814
81,2128,15 15 7,40,2939814
82,2091,8 15 15,40,2939255
83,2120,13 12 14,40,2939074
84,2128,14 13 12,40,2938914
85,2123,14 13 11,40,2938914
86,2131,15 14 9,40,2938108
87,2098,9 15 14,40,2937301
88,2126,14 12 13,40,2936612
89,2118,13 11 15,40,2936422
90,2129,15 13 10,40,2936160
91,2104,10 15 13,40,2935160
92,2095,9 14 15,40,2935058
93,2124,14 11 14,40,2934067
94,2132,15 12 12,40,2933968
95,2127,15 12 11,40,2933968
96,2102,10 14 14,40,2933024
97,2110,11 15 12,40,2932834
98,2105,11 15 11,40,2932834
99,2130,15 11 13,40,2931532
100,2122,14 10 15,40,2931281
101,2108,11 14 13,40,2930806
102,2099,10 13 15,40,2930651
103,2111,12 15 10,40,2930321
104,2127,15 10 14,40,2928852
105,2105,11 13 14,40,2928539
106,2114,12 14 12,40,2928403
107,2109,12 14 11,40,2928403
108,2116,13 15 9,40,2927622
109,2111,12 13 13,40,2926244
110,2103,11 12 15,40,2926034
111,2125,15 9 15,40,2925929
112,2114,13 14 10,40,2925814
113,2122,14 15 8,40,2924738
114,2117,14 15 7,40,2924738
115,2109,12 12 14,40,2923846
116,2117,13 13 12,40,2923765
117,2112,13 13 11,40,2923765
118,2080,7 15 15,40,2923621
119,2120,14 14 9,40,2923041
120,2086,8 15 14,40,2921760
121,2123,15 15 6,40,2921667
122,2115,13 12 13,40,2921475
123,2107,12 11 15,40,2921207
124,2118,14 13 10,40,2921103
125,2126,15 14 8,40,2920083
126,2121,15 14 7,40,2920083
127,2093,9 15 13,40,2919712
128,2084,8 14 15,40,2919529
129,2113,13 11 14,40,2918943
130,2121,14 12 12,40,2918922
131,2116,14 12 11,40,2918922
132,2124,15 13 9,40,2918256
133,2090,9 14 14,40,2917587
134,2099,10 15 12,40,2917479
135,2094,10 15 11,40,2917479
136,2119,14 11 13,40,2916498
137,2122,15 12 10,40,2916186
138,2111,13 10 15,40,2916171
139,2097,10 14 13,40,2915461
140,2088,9 13 15,40,2915227
141,2100,11 15 10,40,2915059
142,2125,15 11 12,40,2913872
143,2120,15 11 11,40,2913872
144,2117,14 10 14,40,2913832
145,2094,10 13 14,40,2913207
146,2103,11 14 12,40,2913150
147,2098,11 14 11,40,2913150
148,2106,12 15 9,40,2912453
149,2122,15 10 13,40,2911314
150,2100,11 13 13,40,2911003
151,2114,14 9 15,40,2910924
152,2092,10 12 15,40,2910715
153,2104,12 14 10,40,2910655
154,2111,13 15 8,40,2909662
155,2106,13 15 7,40,2909662
156,2098,11 12 14,40,2908617
157,2106,12 13 12,40,2908616
158,2101,12 13 11,40,2908616
159,2120,15 9 14,40,2908513
160,2069,6 15 15,40,2907986
161,2109,13 14 9,40,2907974
162,2112,14 15 6,40,2906684
163,2104,12 12 13,40,2906338
164,2075,7 15 14,40,2906218
165,2107,13 13 10,40,2906045
166,2096,11 11 15,40,2905993
167,2118,15 8 15,40,2905468
168,2115,14 14 8,40,2905108
169,2110,14 14 7,40,2905108
170,2081,8 15 13,40,2904264
171,2073,7 14 15,40,2903999
172,2110,13 12 12,40,2903876
173,2105,13 12 11,40,2903876
174,2102,12 11 14,40,2903819
175,2118,15 15 5,40,2903520
176,2113,14 13 9,40,2903291
177,2079,8 14 14,40,2902150
178,2088,9 15 12,40,2902124
179,2083,9 15 11,40,2902124
180,2116,15 14 6,40,2902058
181,2108,13 11 13,40,2901465
182,2111,14 12 10,40,2901231
183,2100,12 10 15,40,2901061
184,2119,15 13 8,40,2900353
185,2114,15 13 7,40,2900353
186,2086,9 14 13,40,2900117
187,2077,8 13 15,40,2899802
188,2089,10 15 10,40,2899797
189,2114,14 11 12,40,2898929
190,2109,14 11 11,40,2898929
191,2106,13 10 14,40,2898813
192,2117,15 12 9,40,2898404
193,2092,10 14 12,40,2897898
194,2087,10 14 11,40,2897898
195,2083,9 13 14,40,2897874
196,2095,11 15 9,40,2897284
197,2112,14 10 13,40,2896384
198,2115,15 11 10,40,2896212
199,2103,13 9 15,40,2895920
200,2089,10 13 13,40,2895762
201,2093,11 14 10,40,2895495
202,2081,9 12 15,40,2895395
203,2100,12 15 8,40,2894586
204,2095,12 15 7,40,2894586
205,2117,15 10 12,40,2893776
206,2112,15 10 11,40,2893776
207,2109,14 9 14,40,2893598
208,2095,11 13 12,40,2893467
209,2090,11 13 11,40,2893467
210,2087,10 12 14,40,2893389
211,2098,12 14 9,40,2892907
212,2058,5 15 15,40,2892352
213,2101,13 15 6,40,2891701
214,2093,11 12 13,40,2891200
215,2115,15 9 13,40,2891097
216,2096,12 13 10,40,2890988
217,2085,10 11 15,40,2890778
218,2064,6 15 14,40,2890677
219,2107,14 8 15,40,2890568
220,2104,13 14 8,40,2890134
221,2099,13 14 7,40,2890134
222,2099,12 12 12,40,2888830
223,2094,12 12 11,40,2888830
224,2070,7 15 13,40,2888816
225,2091,11 11 14,40,2888695
226,2107,14 15 5,40,2888630
227,2062,6 14 15,40,2888470
228,2102,13 13 9,40,2888326
229,2113,15 8 14,40,2888174
230,2105,14 14 6,40,2887176
231,2077,8 15 12,40,2886768
232,2072,8 15 11,40,2886768
233,2068,7 14 14,40,2886713
234,2097,12 11 13,40,2886431
235,2100,13 12 10,40,2886276
236,2089,11 10 15,40,2885952
237,2108,14 13 8,40,2885479
238,2103,14 13 7,40,2885479
239,2112,15 15 4,40,2885373
240,2110,15 7 15,40,2885007
241,2074,8 14 13,40,2884772
242,2078,9 15 10,40,2884535
243,2066,7 13 15,40,2884378
244,2111,15 14 5,40,2884033
245,2103,13 11 12,40,2883986
246,2098,13 11 11,40,2883986
247,2095,12 10 14,40,2883793
248,2106,14 12 9,40,2883541
249,2081,9 14 12,40,2882646
250,2076,9 14 11,40,2882646
251,2072,8 13 14,40,2882541
252,2109,15 13 6,40,2882450
253,2084,10 15 9,40,2882115
254,2101,13 10 13,40,2881455
255,2104,14 11 10,40,2881360
256,2092,12 9 15,40,2880915
257,2112,15 12 8,40,2880623
258,2107,15 12 7,40,2880623
259,2078,9 13 13,40,2880521
260,2082,10 14 10,40,2880335
261,2070,8 12 15,40,2880076
262,2089,11 15 8,40,2879510
263,2084,11 15 7,40,2879510
264,2107,14 10 12,40,2878936
265,2102,14 10 11,40,2878936
266,2098,13 9 14,40,2878682
267,2110,15 11 9,40,2878552
268,2084,10 13 12,40,2878318
269,2080,10 13 11,40,2878318
270,2076,9 12 14,40,2878161
271,2088,11 14 9,40,2877840
272,2047,4 15 15,40,2876718
273,2090,12 15 6,40,2876718
274,2104,14 9 13,40,2876271
275,2107,15 10 10,40,2876238
276,2082,10 12 13,40,2876063
277,2085,11 13 10,40,2875931
278,2096,13 8 15,40,2875669
279,2074,9 11 15,40,2875564
280,2093,12 14 8,40,2875159
281,2088,12 14 7,40,2875159
282,2053,5 15 14,40,2875136
283,2088,11 12 12,40,2873784
284,2083,11 12 11,40,2873784
285,2096,13 15 5,40,2873740
286,2110,15 9 12,40,2873681
287,2105,15 9 11,40,2873681
288,2080,10 11 14,40,2873571
289,2059,6 15 13,40,2873368
290,2102,14 8 14,40,2873363
291,2091,12 13 9,40,2873360
292,2051,5 14 15,40,2872940
293,2094,13 14 6,40,2872293
294,2065,7 15 12,40,2871413
295,2061,7 15 11,40,2871413
296,2086,11 11 13,40,2871398
297,2089,12 12 10,40,2871321
298,2057,6 14 14,40,2871277
299,2108,15 8 13,40,2870879
300,2078,10 10 15,40,2870842
301,2097,13 13 8,40,2870606
302,2092,13 13 7,40,2870606
303,2102,14 15 4,40,2870576
304,2099,14 7 15,40,2870212
305,2063,7 14 13,40,2869428
306,2067,8 15 10,40,2869273
307,2100,14 14 5,40,2869243
