rank,cp,ivs,maxlevel,stat-product,stats
1,1655,15 15 15,41,2044449,133.61 117.7 130
2,1645,14 15 15,41,2032279,132.82 117.7 130
3,1649,15 14 15,41,2030635,133.61 116.91 130
4,1650,15 15 14,41,2028722,133.61 117.7 129
5,1635,13 15 15,41,2020110,132.02 117.7 130
6,1640,14 14 15,41,2018548,132.82 116.91 130
7,1644,15 13 15,41,2016821,133.61 116.11 130
8,1640,14 15 14,41,2016646,132.82 117.7 129
9,1644,15 14 14,41,2015015,133.61 116.91 129
10,1645,15 15 13,41,2012996,133.61 117.7 128
11,1640,15 15 12,41,2012996,133.61 117.7 128
12,1625,12 15 15,41,2007941,131.22 117.7 130
13,1630,13 14 15,41,2006461,132.02 116.91 130
14,1634,14 13 15,41,2004816,132.82 116.11 130
15,1630,13 15 14,41,2004571,132.02 117.7 129
16,1635,14 14 14,41,2003020,132.82 116.91 129
17,1638,15 12 15,41,2003007,133.61 115.32 130
18,1639,15 13 14,41,2001307,133.61 116.11 129
19,1635,14 15 13,41,2001013,132.82 117.7 128
20,1630,14 15 12,41,2001013,132.82 117.7 128
21,1639,15 14 13,41,1999394,133.61 116.91 128
22,1634,15 14 12,41,1999394,133.61 116.91 128
23,1635,15 15 11,41,1997269,133.61 117.7 127
24,1616,11 15 15,41,1995771,130.43 117.7 130
25,1620,12 14 15,41,1994373,131.22 116.91 130
26,1624,13 13 15,41,1992811,132.02 116.11 130
27,1620,12 15 14,41,1992495,131.22 117.7 129
28,1628,14 12 15,41,1991084,132.82 115.32 130
29,1625,13 14 14,41,1991026,132.02 116.91 129
30,1629,14 13 14,41,1989394,132.82 116.11 129
31,1632,15 11 15,41,1989193,133.61 114.52 130
32,1625,13 15 13,41,1989031,132.02 117.7 128
33,1620,13 15 12,41,1989031,132.02 117.7 128
34,1633,15 12 14,41,1987599,133.61 115.32 129
35,1630,14 14 13,41,1987493,132.82 116.91 128
36,1624,14 14 12,41,1987493,132.82 116.91 128
37,1634,15 13 13,41,1985793,133.61 116.11 128
38,1629,15 13 12,41,1985793,133.61 116.11 128
39,1625,14 15 11,41,1985381,132.82 117.7 127
40,1629,15 14 11,41,1983774,133.61 116.91 127
41,1606,10 15 15,41,1983602,129.63 117.7 130
42,1610,11 14 15,41,1982286,130.43 116.91 130
43,1630,15 15 10,41,1981543,133.61 117.7 126
44,1614,12 13 15,41,1980806,131.22 116.11 130
45,1611,11 15 14,41,1980419,130.43 117.7 129
46,1619,13 12 15,41,1979162,132.02 115.32 130
47,1615,12 14 14,41,1979032,131.22 116.91 129
48,1619,13 13 14,41,1977482,132.02 116.11 129
49,1623,14 11 15,41,1977353,132.82 114.52 130
50,1615,12 15 13,41,1977049,131.22 117.7 128
51,1610,12 15 12,41,1977049,131.22 117.7 128
52,1623,14 12 14,41,1975768,132.82 115.32 129
53,1620,13 14 13,41,1975592,132.02 116.91 128
54,1615,13 14 12,41,1975592,132.02 116.91 128
55,1627,15 10 15,41,1975379,133.61 113.73 130
56,1624,14 13 13,41,1973973,132.82 116.11 128
57,1619,14 13 12,41,1973973,132.82 116.11 128
58,1627,15 11 14,41,1973892,133.61 114.52 129
59,1615,13 15 11,41,1973492,132.02 117.7 127
60,1628,15 12 13,41,1972192,133.61 115.32 128
61,1623,15 12 12,41,1972192,133.61 115.32 128
62,1619,14 14 11,41,1971966,132.82 116.91 127
63,1596,9 15 15,41,1971433,128.84 117.7 130
64,1624,15 13 11,41,1970279,133.61 116.11 127
65,1600,10 14 15,41,1970199,129.63 116.91 130
66,1620,14 15 10,41,1969748,132.82 117.7 126
67,1605,11 13 15,41,1968801,130.43 116.11 130
68,1601,10 15 14,41,1968343,129.63 117.7 129
69,1624,15 14 10,41,1968154,133.61 116.91 126
70,1609,12 12 15,41,1967239,131.22 115.32 130
71,1605,11 14 14,41,1967038,130.43 116.91 129
72,1624,15 15 9,41,1965816,133.61 117.7 125
73,1609,12 13 14,41,1965569,131.22 116.11 129
74,1613,13 11 15,41,1965512,132.02 114.52 130
75,1606,11 15 13,41,1965067,130.43 117.7 128
76,1601,11 15 12,41,1965067,130.43 117.7 128
77,1614,13 12 14,41,1963937,132.02 115.32 129
78,1610,12 14 13,41,1963691,131.22 116.91 128
79,1605,12 14 12,41,1963691,131.22 116.91 128
80,1617,14 10 15,41,1963621,132.82 113.73 130
81,1614,13 13 13,41,1962153,132.02 116.11 128
82,1609,13 13 12,41,1962153,132.02 116.11 128
83,1618,14 11 14,41,1962142,132.82 114.52 129
84,1605,12 15 11,41,1961604,131.22 117.7 127
85,1621,15 9 15,41,1961566,133.61 112.93 130
86,1618,14 12 13,41,1960452,132.82 115.32 128
87,1613,14 12 12,41,1960452,132.82 115.32 128
88,1622,15 10 14,41,1960184,133.61 113.73 129
89,1610,13 14 11,41,1960158,132.02 116.91 127
90,1586,8 15 15,41,1959263,128.04 117.7 130
91,1622,15 11 13,41,1958590,133.61 114.52 128
92,1617,15 11 12,41,1958590,133.61 114.52 128
93,1614,14 13 11,41,1958551,132.82 116.11 127
94,1590,9 14 15,41,1958112,128.84 116.91 130
95,1610,13 15 10,41,1957953,132.02 117.7 126
96,1595,10 13 15,41,1956797,129.63 116.11 130
97,1618,15 12 11,41,1956784,133.61 115.32 127
98,1614,14 14 10,41,1956439,132.82 116.91 126
99,1591,9 15 14,41,1956268,128.84 117.7 129
100,1599,11 12 15,41,1955316,130.43 115.32 130
101,1595,10 14 14,41,1955044,129.63 116.91 129
102,1618,15 13 10,41,1954765,133.61 116.11 126
103,1615,14 15 9,41,1954115,132.82 117.7 125
104,1603,12 11 15,41,1953672,131.22 114.52 130
105,1600,11 13 14,41,1953657,130.43 116.11 129
106,1596,10 15 13,41,1953085,129.63 117.7 128
107,1591,10 15 12,41,1953085,129.63 117.7 128
108,1619,15 14 9,41,1952533,133.61 116.91 125
109,1604,12 12 14,41,1952107,131.22 115.32 129
110,1607,13 10 15,41,1951863,132.02 113.73 130
111,1600,11 14 13,41,1951790,130.43 116.91 128
112,1595,11 14 12,41,1951790,130.43 116.91 128
113,1608,13 11 14,41,1950393,132.02 114.52 129
114,1605,12 13 13,41,1950332,131.22 116.11 128
115,1600,12 13 12,41,1950332,131.22 116.11 128
116,1619,15 15 8,41,1950089,133.61 117.7 124
117,1614,15 15 7,41,1950089,133.61 117.7 124
118,1611,14 9 15,41,1949890,132.82 112.93 130
119,1596,11 15 11,41,1949715,130.43 117.7 127
120,1609,13 12 13,41,1948713,132.02 115.32 128
121,1604,13 12 12,41,1948713,132.02 115.32 128
122,1612,14 10 14,41,1948516,132.82 113.73 129
123,1600,12 14 11,41,1948349,131.22 116.91 127
124,1615,15 8 15,41,1947752,133.61 112.14 130
125,1576,7 15 15,41,1947094,127.25 117.7 130
126,1613,14 11 13,41,1946932,132.82 114.52 128
127,1608,14 11 12,41,1946932,132.82 114.52 128
128,1604,13 13 11,41,1946823,132.02 116.11 127
129,1616,15 9 14,41,1946477,133.61 112.93 129
130,1600,12 15 10,41,1946158,131.22 117.7 126
131,1581,8 14 15,41,1946025,128.04 116.91 130
132,1608,14 12 11,41,1945136,132.82 115.32 127
133,1617,15 10 13,41,1944989,133.61 113.73 128
134,1612,15 10 12,41,1944989,133.61 113.73 128
135,1585,9 13 15,41,1944792,128.84 116.11 130
136,1605,13 14 10,41,1944723,132.02 116.91 126
137,1581,8 15 14,41,1944192,128.04 117.7 129
138,1589,10 12 15,41,1943394,129.63 115.32 130
139,1612,15 11 11,41,1943289,133.61 114.52 127
140,1609,14 13 10,41,1943129,132.82 116.11 126
141,1586,9 14 14,41,1943050,128.84 116.91 129
142,1605,13 15 9,41,1942413,132.02 117.7 125
143,1594,11 11 15,41,1941832,130.43 114.52 130
144,1590,10 13 14,41,1941744,129.63 116.11 129
145,1613,15 12 10,41,1941376,133.61 115.32 126
146,1586,9 15 13,41,1941103,128.84 117.7 128
147,1581,9 15 12,41,1941103,128.84 117.7 128
148,1609,14 14 9,41,1940911,132.82 116.91 125
149,1594,11 12 14,41,1940276,130.43 115.32 129
150,1598,12 10 15,41,1940105,131.22 113.73 130
