rank,cp,ivs,maxlevel,stat-product,stats
1,817,15 15 15,41,708437,93.85 66.81 113
2,811,14 15 15,41,702434,93.05 66.81 113
3,815,15 15 14,41,702168,93.85 66.81 112
4,812,15 15 13,41,702168,93.85 66.81 112
5,813,15 14 15,41,700003,93.85 66.01 113
6,804,13 15 15,41,696430,92.25 66.81 113
7,808,14 15 14,41,696217,93.05 66.81 112
8,805,14 15 13,41,696217,93.05 66.81 112
9,809,15 15 12,41,695899,93.85 66.81 111
10,806,14 14 15,41,694071,93.05 66.01 113
11,810,15 14 14,41,693809,93.85 66.01 112
12,807,15 14 13,41,693809,93.85 66.01 112
13,808,15 13 15,41,691570,93.85 65.21 113
14,797,12 15 15,41,690426,91.46 66.81 113
15,801,13 15 14,41,690267,92.25 66.81 112
16,798,13 15 13,41,690267,92.25 66.81 112
17,802,14 15 12,41,690001,93.05 66.81 111
18,806,15 15 11,41,689629,93.85 66.81 110
19,799,13 14 15,41,688139,92.25 66.01 113
20,803,14 14 14,41,687929,93.05 66.01 112
21,800,14 14 13,41,687929,93.05 66.01 112
22,804,15 14 12,41,687614,93.85 66.01 111
23,801,14 13 15,41,685709,93.05 65.21 113
24,805,15 13 14,41,685450,93.85 65.21 112
25,802,15 13 13,41,685450,93.85 65.21 112
26,790,11 15 15,41,684422,90.66 66.81 113
27,794,12 15 14,41,684316,91.46 66.81 112
28,791,12 15 13,41,684316,91.46 66.81 112
29,795,13 15 12,41,684104,92.25 66.81 111
30,799,14 15 11,41,683785,93.05 66.81 110
31,803,15 15 10,41,683360,93.85 66.81 109
32,803,15 12 15,41,683136,93.85 64.42 113
33,792,12 14 15,41,682207,91.46 66.01 113
34,796,13 14 14,41,682049,92.25 66.01 112
35,793,13 14 13,41,682049,92.25 66.01 112
36,797,14 14 12,41,681787,93.05 66.01 111
37,801,15 14 11,41,681419,93.85 66.01 110
38,794,13 13 15,41,679848,92.25 65.21 113
39,798,14 13 14,41,679641,93.05 65.21 112
40,795,14 13 13,41,679641,93.05 65.21 112
41,799,15 13 12,41,679330,93.85 65.21 111
42,783,10 15 15,41,678419,89.87 66.81 113
43,787,11 15 14,41,678366,90.66 66.81 112
44,784,11 15 13,41,678366,90.66 66.81 112
45,788,12 15 12,41,678206,91.46 66.81 111
46,792,13 15 11,41,677941,92.25 66.81 110
47,796,14 15 10,41,677569,93.05 66.81 109
48,796,14 12 15,41,677347,93.05 64.42 113
49,800,15 12 14,41,677090,93.85 64.42 112
50,797,15 12 13,41,677090,93.85 64.42 112
51,800,15 15 9,41,677090,93.85 66.81 108
52,797,15 15 8,41,677090,93.85 66.81 108
53,785,11 14 15,41,676275,90.66 66.01 113
54,789,12 14 14,41,676170,91.46 66.01 112
55,786,12 14 13,41,676170,91.46 66.01 112
56,790,13 14 12,41,675960,92.25 66.01 111
57,794,14 14 11,41,675645,93.05 66.01 110
58,798,15 14 10,41,675225,93.85 66.01 109
59,798,15 11 15,41,674702,93.85 63.62 113
60,787,12 13 15,41,673987,91.46 65.21 113
61,791,13 13 14,41,673832,92.25 65.21 112
62,788,13 13 13,41,673832,92.25 65.21 112
63,792,14 13 12,41,673572,93.05 65.21 111
64,796,15 13 11,41,673209,93.85 65.21 110
65,776,9 15 15,41,672415,89.07 66.81 113
66,780,10 15 14,41,672415,89.87 66.81 112
67,777,10 15 13,41,672415,89.87 66.81 112
68,781,11 15 12,41,672309,90.66 66.81 111
69,785,12 15 11,41,672096,91.46 66.81 110
70,789,13 15 10,41,671777,92.25 66.81 109
71,789,13 12 15,41,671557,92.25 64.42 113
72,793,14 12 14,41,671352,93.05 64.42 112
73,790,14 12 13,41,671352,93.05 64.42 112
74,793,14 15 9,41,671352,93.05 66.81 108
75,790,14 15 8,41,671352,93.05 66.81 108
76,794,15 12 12,41,671045,93.85 64.42 111
77,794,15 15 7,41,670821,93.85 66.81 107
78,778,10 14 15,41,670342,89.87 66.01 113
79,782,11 14 14,41,670290,90.66 66.01 112
80,780,11 14 13,41,670290,90.66 66.01 112
81,784,12 14 12,41,670132,91.46 66.01 111
82,788,13 14 11,41,669870,92.25 66.01 110
83,792,14 14 10,41,669502,93.05 66.01 109
84,795,15 14 9,41,669030,93.85 66.01 108
85,792,15 14 8,41,669030,93.85 66.01 108
86,791,14 11 15,41,668984,93.05 63.62 113
87,795,15 11 14,41,668731,93.85 63.62 112
88,792,15 11 13,41,668731,93.85 63.62 112
89,780,11 13 15,41,668127,90.66 65.21 113
90,784,12 13 14,41,668023,91.46 65.21 112
91,782,12 13 13,41,668023,91.46 65.21 112
92,786,13 13 12,41,667815,92.25 65.21 111
93,790,14 13 11,41,667504,93.05 65.21 110
94,793,15 13 10,41,667089,93.85 65.21 109
95,773,9 15 14,41,666464,89.07 66.81 112
96,770,9 15 13,41,666464,89.07 66.81 112
97,769,8 15 15,41,666411,88.28 66.81 113
98,775,10 15 12,41,666411,89.87 66.81 111
99,793,15 10 15,41,666268,93.85 62.83 113
100,779,11 15 11,41,666252,90.66 66.81 110
101,783,12 15 10,41,665986,91.46 66.81 109
102,782,12 12 15,41,665768,91.46 64.42 113
103,786,13 12 14,41,665614,92.25 64.42 112
104,784,13 12 13,41,665614,92.25 64.42 112
105,787,13 15 9,41,665614,92.25 66.81 108
106,784,13 15 8,41,665614,92.25 66.81 108
107,788,14 12 12,41,665358,93.05 64.42 111
108,788,14 15 7,41,665136,93.05 66.81 107
109,791,15 12 11,41,665000,93.85 64.42 110
110,791,15 15 6,41,664552,93.85 66.81 106
111,771,9 14 15,41,664410,89.07 66.01 113
112,775,10 14 14,41,664410,89.87 66.01 112
113,773,10 14 13,41,664410,89.87 66.01 112
114,777,11 14 12,41,664305,90.66 66.01 111
115,781,12 14 11,41,664095,91.46 66.01 110
116,785,13 14 10,41,663780,92.25 66.01 109
117,789,14 14 9,41,663360,93.05 66.01 108
118,786,14 14 8,41,663360,93.05 66.01 108
119,784,13 11 15,41,663266,92.25 63.62 113
120,788,14 11 14,41,663064,93.05 63.62 112
121,785,14 11 13,41,663064,93.05 63.62 112
122,790,15 14 7,41,662835,93.85 66.01 107
123,789,15 11 12,41,662760,93.85 63.62 111
124,773,10 13 15,41,662266,89.87 65.21 113
125,778,11 13 14,41,662214,90.66 65.21 112
126,775,11 13 13,41,662214,90.66 65.21 112
127,779,12 13 12,41,662058,91.46 65.21 111
128,783,13 13 11,41,661799,92.25 65.21 110
129,787,14 13 10,41,661436,93.05 65.21 109
130,791,15 13 9,41,660969,93.85 65.21 108
131,788,15 13 8,41,660969,93.85 65.21 108
132,786,14 10 15,41,660622,93.05 62.83 113
133,766,8 15 14,41,660514,88.28 66.81 112
134,764,8 15 13,41,660514,88.28 66.81 112
135,768,9 15 12,41,660514,89.07 66.81 111
136,762,7 15 15,41,660408,87.48 66.81 113
137,772,10 15 11,41,660408,89.87 66.81 110
138,790,15 10 14,41,660372,93.85 62.83 112
139,787,15 10 13,41,660372,93.85 62.83 112
140,776,11 15 10,41,660195,90.66 66.81 109
141,776,11 12 15,41,659979,90.66 64.42 113
142,780,12 12 14,41,659876,91.46 64.42 112
143,777,12 12 13,41,659876,91.46 64.42 112
144,780,12 15 9,41,659876,91.46 66.81 108
145,777,12 15 8,41,659876,91.46 66.81 108
146,781,13 12 12,41,659671,92.25 64.42 111
147,781,13 15 7,41,659451,92.25 66.81 107
148,785,14 12 11,41,659364,93.05 64.42 110
149,789,15 12 10,41,658954,93.85 64.42 109
150,785,14 15 6,41,658920,93.05 66.81 106
151,769,9 14 14,41,658530,89.07 66.01 112
152,766,9 14 13,41,658530,89.07 66.01 112
153,764,8 14 15,41,658478,88.28 66.01 113
154,770,10 14 12,41,658478,89.87 66.01 111
155,774,11 14 11,41,658320,90.66 66.01 110
156,788,15 15 5,41,658282,93.85 66.81 105
157,778,12 14 10,41,658058,91.46 66.01 109
158,788,15 9 15,41,657835,93.85 62.03 113
159,782,13 14 9,41,657690,92.25 66.01 108
160,779,13 14 8,41,657690,92.25 66.01 108
161,777,12 11 15,41,657549,91.46 63.62 113
162,782,13 11 14,41,657397,92.25 63.62 112
163,779,13 11 13,41,657397,92.25 63.62 112
164,783,14 14 7,41,657218,93.05 66.01 107
165,783,14 11 12,41,657144,93.05 63.62 111
166,787,15 11 11,41,656790,93.85 63.62 110
167,787,15 14 6,41,656640,93.85 66.01 106
168,767,9 13 15,41,656405,89.07 65.21 113
169,771,10 13 14,41,656405,89.87 65.21 112
170,768,10 13 13,41,656405,89.87 65.21 112
