rank,cp,ivs,maxlevel,stat-product,stats
1,1870,15 15 15,41,2662817,131.22 150.31 135
2,1865,15 14 15,41,2648729,131.22 149.52 135
3,1859,14 15 15,41,2646679,130.43 150.31 135
4,1865,15 15 14,41,2643093,131.22 150.31 134
5,1860,15 13 15,41,2634640,131.22 148.72 135
6,1854,14 14 15,41,2632676,130.43 149.52 135
7,1848,13 15 15,41,2630541,129.63 150.31 135
8,1860,15 14 14,41,2629108,131.22 149.52 134
9,1853,14 15 14,41,2627074,130.43 150.31 134
10,1859,15 15 13,41,2623368,131.22 150.31 133
11,1855,15 12 15,41,2620551,131.22 147.93 135
12,1849,14 13 15,41,2618672,130.43 148.72 135
13,1843,13 14 15,41,2616623,129.63 149.52 135
14,1855,15 13 14,41,2615124,131.22 148.72 134
15,1836,12 15 15,41,2614403,128.84 150.31 135
16,1848,14 14 14,41,2613174,130.43 149.52 134
17,1842,13 15 14,41,2611055,129.63 150.31 134
18,1854,15 14 13,41,2609488,131.22 149.52 133
19,1848,14 15 13,41,2607469,130.43 150.31 133
20,1850,15 11 15,41,2606462,131.22 147.13 135
21,1844,14 12 15,41,2604668,130.43 147.93 135
22,1854,15 15 12,41,2603644,131.22 150.31 132
23,1848,15 15 11,41,2603644,131.22 150.31 132
24,1838,13 13 15,41,2602704,129.63 148.72 135
25,1850,15 12 14,41,2601139,131.22 147.93 134
26,1831,12 14 15,41,2600570,128.84 149.52 135
27,1844,14 13 14,41,2599274,130.43 148.72 134
28,1825,11 15 15,41,2598264,128.04 150.31 135
29,1837,13 14 14,41,2597240,129.63 149.52 134
30,1849,15 13 13,41,2595608,131.22 148.72 133
31,1831,12 15 14,41,2595037,128.84 150.31 134
32,1843,14 14 13,41,2593673,130.43 149.52 133
33,1845,15 10 15,41,2592373,131.22 146.34 135
34,1837,13 15 13,41,2591570,129.63 150.31 133
35,1839,14 11 15,41,2590665,130.43 147.13 135
36,1849,15 14 12,41,2589868,131.22 149.52 132
37,1843,15 14 11,41,2589868,131.22 149.52 132
38,1833,13 12 15,41,2588786,129.63 147.93 135
39,1842,14 15 12,41,2587864,130.43 150.31 132
40,1837,14 15 11,41,2587864,130.43 150.31 132
41,1845,15 11 14,41,2587154,131.22 147.13 134
42,1826,12 13 15,41,2586737,128.84 148.72 135
43,1839,14 12 14,41,2585375,130.43 147.93 134
44,1820,11 14 15,41,2584517,128.04 149.52 135
45,1842,15 15 10,41,2583919,131.22 150.31 131
46,1832,13 13 14,41,2583425,129.63 148.72 134
47,1814,10 15 15,41,2582126,127.25 150.31 135
48,1844,15 12 13,41,2581728,131.22 147.93 133
49,1826,12 14 14,41,2581306,128.84 149.52 134
50,1838,14 13 13,41,2579877,130.43 148.72 133
51,1819,11 15 14,41,2579018,128.04 150.31 134
52,1840,15 9 15,41,2578284,131.22 145.54 135
53,1832,13 14 13,41,2577858,129.63 149.52 133
54,1834,14 10 15,41,2576661,130.43 146.34 135
55,1844,15 13 12,41,2576092,131.22 148.72 132
56,1838,15 13 11,41,2576092,131.22 148.72 132
57,1825,12 15 13,41,2575671,128.84 150.31 133
58,1828,13 11 15,41,2574868,129.63 147.13 135
59,1837,14 14 12,41,2574172,130.43 149.52 132
60,1832,14 14 11,41,2574172,130.43 149.52 132
61,1840,15 10 14,41,2573170,131.22 146.34 134
62,1822,12 12 15,41,2572904,128.84 147.93 135
63,1831,13 15 12,41,2572084,129.63 150.31 132
64,1826,13 15 11,41,2572084,129.63 150.31 132
65,1834,14 11 14,41,2571475,130.43 147.13 134
66,1815,11 13 15,41,2570769,128.04 148.72 135
67,1838,15 14 10,41,2570248,131.22 149.52 131
68,1827,13 12 14,41,2569610,129.63 147.93 134
69,1809,10 14 15,41,2568464,127.25 149.52 135
70,1831,14 15 10,41,2568259,130.43 150.31 131
71,1839,15 11 13,41,2567847,131.22 147.13 133
72,1821,12 13 14,41,2567576,128.84 148.72 134
73,1833,14 12 13,41,2566081,130.43 147.93 133
74,1802,9 15 15,41,2565988,126.45 150.31 135
75,1815,11 14 14,41,2565372,128.04 149.52 134
76,1835,15 8 15,41,2564195,131.22 144.74 135
77,1837,15 15 9,41,2564195,131.22 150.31 130
78,1827,13 13 13,41,2564146,129.63 148.72 133
79,1808,10 15 14,41,2562999,127.25 150.31 134
80,1829,14 9 15,41,2562658,130.43 145.54 135
81,1839,15 12 12,41,2562316,131.22 147.93 132
82,1833,15 12 11,41,2562316,131.22 147.93 132
83,1821,12 14 13,41,2562043,128.84 149.52 133
84,1823,13 10 15,41,2560950,129.63 146.34 135
85,1833,14 13 12,41,2560479,130.43 148.72 132
86,1827,14 13 11,41,2560479,130.43 148.72 132
87,1814,11 15 13,41,2559772,128.04 150.31 133
88,1835,15 9 14,41,2559185,131.22 145.54 134
89,1817,12 11 15,41,2559071,128.84 147.13 135
90,1826,13 14 12,41,2558476,129.63 149.52 132
91,1821,13 14 11,41,2558476,129.63 149.52 132
92,1829,14 10 14,41,2557575,130.43 146.34 134
93,1810,11 12 15,41,2557022,128.04 147.93 135
94,1833,15 13 10,41,2556576,131.22 148.72 131
95,1820,12 15 12,41,2556305,128.84 150.31 132
96,1814,12 15 11,41,2556305,128.84 150.31 132
97,1822,13 11 14,41,2555795,129.63 147.13 134
98,1804,10 13 15,41,2554802,127.25 148.72 135
99,1826,14 14 10,41,2554670,130.43 149.52 131
100,1834,15 10 13,41,2553967,131.22 146.34 133
101,1816,12 12 14,41,2553846,128.84 147.93 134
102,1820,13 15 10,41,2552599,129.63 150.31 131
103,1797,9 14 15,41,2552411,126.45 149.52 135
104,1828,14 11 13,41,2552285,130.43 147.13 133
105,1810,11 13 14,41,2551727,128.04 148.72 134
106,1832,15 14 9,41,2550627,131.22 149.52 130
107,1822,13 12 13,41,2550434,129.63 147.93 133
108,1830,15 7 15,41,2550106,131.22 143.95 135
109,1791,8 15 15,41,2549849,125.66 150.31 135
110,1803,10 14 14,41,2549438,127.25 149.52 134
111,1824,14 8 15,41,2548654,130.43 144.74 135
112,1826,14 15 9,41,2548654,130.43 150.31 130
113,1834,15 11 12,41,2548540,131.22 147.13 132
114,1828,15 11 11,41,2548540,131.22 147.13 132
115,1816,12 13 13,41,2548415,128.84 148.72 133
116,1818,13 9 15,41,2547032,129.63 145.54 135
117,1797,9 15 14,41,2546980,126.45 150.31 134
118,1828,14 12 12,41,2546787,130.43 147.93 132
119,1822,14 12 11,41,2546787,130.43 147.93 132
120,1809,11 14 13,41,2546228,128.04 149.52 133
121,1812,12 10 15,41,2545239,128.84 146.34 135
122,1830,15 8 14,41,2545201,131.22 144.74 134
123,1821,13 13 12,41,2544867,129.63 148.72 132
124,1816,13 13 11,41,2544867,129.63 148.72 132
125,1831,15 15 8,41,2544470,131.22 150.31 129
126,1803,10 15 13,41,2543872,127.25 150.31 133
127,1824,14 9 14,41,2543675,130.43 145.54 134
128,1805,11 11 15,41,2543275,128.04 147.13 135
129,1828,15 12 10,41,2542905,131.22 147.93 131
130,1815,12 14 12,41,2542779,128.84 149.52 132
131,1810,12 14 11,41,2542779,128.84 149.52 132
132,1818,13 10 14,41,2541980,129.63 146.34 134
133,1799,10 12 15,41,2541140,127.25 147.93 135
134,1822,14 13 10,41,2541082,130.43 148.72 131
135,1809,11 15 12,41,2540525,128.04 150.31 132
136,1803,11 15 11,41,2540525,128.04 150.31 132
137,1811,12 11 14,41,2540115,128.84 147.13 134
138,1829,15 9 13,41,2540087,131.22 145.54 133
139,1815,13 14 10,41,2539093,129.63 149.52 131
140,1793,9 13 15,41,2538834,126.45 148.72 135
141,1823,14 10 13,41,2538488,130.43 146.34 133
142,1805,11 12 14,41,2538081,128.04 147.93 134
143,1827,15 13 9,41,2537060,131.22 148.72 130
144,1809,12 15 10,41,2536939,128.84 150.31 131
145,1817,13 11 13,41,2536722,129.63 147.13 133
146,1786,8 14 15,41,2536358,125.66 149.52 135
147,1825,15 6 15,41,2536017,131.22 143.15 135
148,1799,10 13 14,41,2535877,127.25 148.72 134
149,1821,14 14 9,41,2535169,130.43 149.52 130
150,1811,12 12 13,41,2534787,128.84 147.93 133
151,1829,15 10 12,41,2534764,131.22 146.34 132
152,1823,15 10 11,41,2534764,131.22 146.34 132
153,1819,14 7 15,41,2534650,130.43 143.95 135
154,1779,7 15 15,41,2533711,124.86 150.31 135
155,1792,9 14 14,41,2533504,126.45 149.52 134
156,1813,13 8 15,41,2533113,129.63 144.74 135
157,1815,13 15 9,41,2533113,129.63 150.31 130
158,1823,14 11 12,41,2533094,130.43 147.13 132
159,1817,14 11 11,41,2533094,130.43 147.13 132
160,1804,11 13 13,41,2532684,128.04 148.72 133
161,1807,12 9 15,41,2531406,128.84 145.54 135
162,1817,13 12 12,41,2531258,129.63 147.93 132
163,1811,13 12 11,41,2531258,129.63 147.93 132
164,1825,15 7 14,41,2531216,131.22 143.95 134
165,1826,15 14 8,41,2531007,131.22 149.52 129
166,1786,8 15 14,41,2530962,125.66 150.31 134
167,1798,10 14 13,41,2530413,127.25 149.52 133
168,1819,14 8 14,41,2529775,130.43 144.74 134
169,1801,11 10 15,41,2529527,128.04 146.34 135
170,1810,12 13 12,41,2529254,128.84 148.72 132
171,1805,12 13 11,41,2529254,128.84 148.72 132
172,1823,15 11 10,41,2529233,131.22 147.13 131
173,1820,14 15 8,41,2529049,130.43 150.31 129
174,1813,13 9 14,41,2528165,129.63 145.54 134
175,1792,9 15 13,41,2527973,126.45 150.31 133
176,1817,14 12 10,41,2527493,130.43 147.93 131
177,1794,10 11 15,41,2527478,127.25 147.13 135
