rank,cp,ivs,maxlevel,stat-product,stats
1,1580,15 15 15,41,1602565,155.88 110.55 93
2,1572,14 15 15,41,1594389,155.08 110.55 93
3,1575,15 14 15,41,1591036,155.88 109.75 93
4,1564,13 15 15,41,1586212,154.29 110.55 93
5,1574,15 15 14,41,1585333,155.88 110.55 92
6,1567,14 14 15,41,1582918,155.08 109.75 93
7,1569,15 13 15,41,1579506,155.88 108.96 93
8,1556,12 15 15,41,1578036,153.49 110.55 93
9,1566,14 15 14,41,1577245,155.08 110.55 92
10,1559,13 14 15,41,1574801,154.29 109.75 93
11,1568,15 14 14,41,1573928,155.88 109.75 92
12,1561,14 13 15,41,1571448,155.08 108.96 93
13,1548,11 15 15,41,1569860,152.7 110.55 93
14,1558,13 15 14,41,1569156,154.29 110.55 92
15,1567,15 15 13,41,1568101,155.88 110.55 91
16,1563,15 12 15,41,1567977,155.88 108.16 93
17,1551,12 14 15,41,1566683,153.49 109.75 93
18,1560,14 14 14,41,1565898,155.08 109.75 92
19,1553,13 13 15,41,1563389,154.29 108.96 93
20,1562,15 13 14,41,1562523,155.88 108.96 92
21,1540,10 15 15,41,1561683,151.9 110.55 93
22,1550,12 15 14,41,1561068,153.49 110.55 92
23,1559,14 15 13,41,1560101,155.08 110.55 91
24,1555,14 12 15,41,1559977,155.08 108.16 93
25,1543,11 14 15,41,1558566,152.7 109.75 93
26,1552,13 14 14,41,1557867,154.29 109.75 92
27,1561,15 14 13,41,1556820,155.88 109.75 91
28,1558,15 11 15,41,1556448,155.88 107.37 93
29,1545,12 13 15,41,1555330,153.49 108.96 93
30,1554,14 13 14,41,1554550,155.08 108.96 92
31,1532,9 15 15,41,1553507,151.11 110.55 93
32,1542,11 15 14,41,1552979,152.7 110.55 92
33,1551,13 15 13,41,1552100,154.29 110.55 91
34,1547,13 12 15,41,1551977,154.29 108.16 93
35,1557,15 12 14,41,1551117,155.88 108.16 92
36,1560,15 15 12,41,1550869,155.88 110.55 90
37,1535,10 14 15,41,1550448,151.9 109.75 93
38,1544,12 14 14,41,1549837,153.49 109.75 92
39,1553,14 14 13,41,1548877,155.08 109.75 91
40,1550,14 11 15,41,1548507,155.08 107.37 93
41,1537,11 13 15,41,1547272,152.7 108.96 93
42,1546,13 13 14,41,1546578,154.29 108.96 92
43,1556,15 13 13,41,1545539,155.88 108.96 91
44,1524,8 15 15,41,1545331,150.31 110.55 93
45,1552,15 10 15,41,1544919,155.88 106.57 93
46,1534,10 15 14,41,1544891,151.9 110.55 92
47,1543,12 15 13,41,1544100,153.49 110.55 91
48,1539,12 12 15,41,1543978,153.49 108.16 93
49,1549,14 12 14,41,1543203,155.08 108.16 92
50,1552,14 15 12,41,1542957,155.08 110.55 90
51,1527,9 14 15,41,1542331,151.11 109.75 93
52,1536,11 14 14,41,1541807,152.7 109.75 92
53,1545,13 14 13,41,1540934,154.29 109.75 91
54,1542,13 11 15,41,1540566,154.29 107.37 93
55,1551,15 11 14,41,1539712,155.88 107.37 92
56,1554,15 14 12,41,1539712,155.88 109.75 90
57,1529,10 13 15,41,1539213,151.9 108.96 93
58,1538,12 13 14,41,1538606,153.49 108.96 92
59,1548,14 13 13,41,1537653,155.08 108.96 91
60,1516,7 15 15,41,1537154,149.52 110.55 93
61,1544,14 10 15,41,1537037,155.08 106.57 93
62,1525,9 15 14,41,1536802,151.11 110.55 92
63,1535,11 15 13,41,1536099,152.7 110.55 91
64,1531,11 12 15,41,1535978,152.7 108.16 93
65,1541,13 12 14,41,1535290,154.29 108.16 92
66,1544,13 15 12,41,1535044,154.29 110.55 90
67,1550,15 12 13,41,1534257,155.88 108.16 91
68,1518,8 14 15,41,1534213,150.31 109.75 93
69,1528,10 14 14,41,1533777,151.9 109.75 92
70,1553,15 15 11,41,1533637,155.88 110.55 89
71,1546,15 15 10,41,1533637,155.88 110.55 89
72,1546,15 9 15,41,1533389,155.88 105.77 93
73,1537,12 14 13,41,1532991,153.49 109.75 91
74,1534,12 11 15,41,1532625,153.49 107.37 93
75,1543,14 11 14,41,1531856,155.08 107.37 92
76,1546,14 14 12,41,1531856,155.08 109.75 90
77,1521,9 13 15,41,1531154,151.11 108.96 93
78,1530,11 13 14,41,1530634,152.7 108.96 92
79,1540,13 13 13,41,1529768,154.29 108.96 91
80,1536,13 10 15,41,1529154,154.29 106.57 93
81,1508,6 15 15,41,1528978,148.72 110.55 93
82,1517,8 15 14,41,1528714,150.31 110.55 92
83,1549,15 13 12,41,1528555,155.88 108.96 90
84,1545,15 10 14,41,1528307,155.88 106.57 92
85,1527,10 15 13,41,1528099,151.9 110.55 91
86,1523,10 12 15,41,1527978,151.9 108.16 93
87,1533,12 12 14,41,1527376,153.49 108.16 92
88,1536,12 15 12,41,1527132,153.49 110.55 90
89,1542,14 12 13,41,1526429,155.08 108.16 91
90,1510,7 14 15,41,1526095,149.52 109.75 93
91,1545,14 15 11,41,1525813,155.08 110.55 89
92,1538,14 15 10,41,1525813,155.08 110.55 89
93,1520,9 14 14,41,1525746,151.11 109.75 92
94,1538,14 9 15,41,1525566,155.08 105.77 93
95,1529,11 14 13,41,1525048,152.7 109.75 91
96,1526,11 11 15,41,1524684,152.7 107.37 93
97,1535,13 11 14,41,1524001,154.29 107.37 92
98,1539,13 14 12,41,1524001,154.29 109.75 90
99,1513,8 13 15,41,1523096,150.31 108.96 93
100,1544,15 11 13,41,1522976,155.88 107.37 91
101,1522,10 13 14,41,1522662,151.9 108.96 92
102,1548,15 14 11,41,1522604,155.88 109.75 89
103,1541,15 14 10,41,1522604,155.88 109.75 89
104,1532,12 13 13,41,1521882,153.49 108.96 91
105,1540,15 8 15,41,1521860,155.88 104.98 93
106,1528,12 10 15,41,1521272,153.49 106.57 93
107,1500,5 15 15,41,1520801,147.93 110.55 93
108,1541,14 13 12,41,1520756,155.08 108.96 90
109,1509,7 15 14,41,1520626,149.52 110.55 92
110,1537,14 10 14,41,1520509,155.08 106.57 92
111,1519,9 15 13,41,1520098,151.11 110.55 91
112,1515,9 12 15,41,1519978,151.11 108.16 93
113,1525,11 12 14,41,1519462,152.7 108.16 92
114,1528,11 15 12,41,1519219,152.7 110.55 90
115,1534,13 12 13,41,1518602,154.29 108.16 91
116,1537,13 15 11,41,1517988,154.29 110.55 89
117,1531,13 15 10,41,1517988,154.29 110.55 89
118,1502,6 14 15,41,1517978,148.72 109.75 93
119,1530,13 9 15,41,1517743,154.29 105.77 93
120,1512,8 14 14,41,1517716,150.31 109.75 92
121,1543,15 12 12,41,1517397,155.88 108.16 90
122,1521,10 14 13,41,1517105,151.9 109.75 91
123,1539,15 9 14,41,1516901,155.88 105.77 92
124,1518,10 11 15,41,1516743,151.9 107.37 93
125,1539,15 15 9,41,1516406,155.88 110.55 88
126,1527,12 11 14,41,1516145,153.49 107.37 92
127,1531,12 14 12,41,1516145,153.49 109.75 90
128,1536,14 11 13,41,1515206,155.08 107.37 91
129,1505,7 13 15,41,1515037,149.52 108.96 93
130,1540,14 14 11,41,1514836,155.08 109.75 89
131,1533,14 14 10,41,1514836,155.08 109.75 89
132,1514,9 13 14,41,1514690,151.11 108.96 92
133,1532,14 8 15,41,1514096,155.08 104.98 93
134,1524,11 13 13,41,1513997,152.7 108.96 91
135,1520,11 10 15,41,1513390,152.7 106.57 93
136,1533,13 13 12,41,1512957,154.29 108.96 90
137,1529,13 10 14,41,1512712,154.29 106.57 92
138,1492,4 15 15,41,1512625,147.13 110.55 93
139,1501,6 15 14,41,1512537,148.72 110.55 92
140,1511,8 15 13,41,1512098,150.31 110.55 91
141,1507,8 12 15,41,1511978,150.31 108.16 93
142,1538,15 10 13,41,1511695,155.88 106.57 91
143,1542,15 13 11,41,1511571,155.88 108.96 89
144,1535,15 13 10,41,1511571,155.88 108.96 89
145,1517,10 12 14,41,1511548,151.9 108.16 92
146,1520,10 15 12,41,1511306,151.9 110.55 90
147,1526,12 12 13,41,1510774,153.49 108.16 91
148,1534,15 7 15,41,1510331,155.88 104.18 93
149,1529,12 15 11,41,1510163,153.49 110.55 89
150,1523,12 15 10,41,1510163,153.49 110.55 89
151,1522,12 9 15,41,1509919,153.49 105.77 93
152,1494,5 14 15,41,1509860,147.93 109.75 93
153,1504,7 14 14,41,1509686,149.52 109.75 92
154,1535,14 12 12,41,1509655,155.08 108.16 90
155,1531,14 9 14,41,1509162,155.08 105.77 92
156,1513,9 14 13,41,1509162,151.11 109.75 91
157,1510,9 11 15,41,1508802,151.11 107.37 93
158,1532,14 15 9,41,1508669,155.08 110.55 88
159,1519,11 11 14,41,1508289,152.7 107.37 92
160,1523,11 14 12,41,1508289,152.7 109.75 90
161,1528,13 11 13,41,1507435,154.29 107.37 91
162,1532,13 14 11,41,1507067,154.29 109.75 89
163,1525,13 14 10,41,1507067,154.29 109.75 89
164,1497,6 13 15,41,1506978,148.72 108.96 93
165,1506,8 13 14,41,1506718,150.31 108.96 92
166,1524,13 8 15,41,1506331,154.29 104.98 93
167,1537,15 11 12,41,1506240,155.88 107.37 90
168,1516,10 13 13,41,1506112,151.9 108.96 91
169,1512,10 10 15,41,1505508,151.9 106.57 93
170,1534,15 8 14,41,1505496,155.88 104.98 92
171,1534,15 14 9,41,1505496,155.88 109.75 88
172,1525,12 13 12,41,1505158,153.49 108.96 90
173,1521,12 10 14,41,1504914,153.49 106.57 92
174,1484,3 15 15,41,1504449,146.34 110.55 93
175,1493,5 15 14,41,1504449,147.93 110.55 92
176,1503,7 15 13,41,1504097,149.52 110.55 91
177,1531,14 10 13,41,1503982,155.08 106.57 91
178,1499,7 12 15,41,1503978,149.52 108.16 93
179,1534,14 13 11,41,1503859,155.08 108.96 89
180,1527,14 13 10,41,1503859,155.08 108.96 89
181,1509,9 12 14,41,1503634,151.11 108.16 92
182,1512,9 15 12,41,1503394,151.11 110.55 90
183,1518,11 12 13,41,1502946,152.7 108.16 91
184,1526,14 7 15,41,1502625,155.08 104.18 93
185,1521,11 15 11,41,1502339,152.7 110.55 89
186,1515,11 15 10,41,1502339,152.7 110.55 89
187,1514,11 9 15,41,1502096,152.7 105.77 93
188,1527,13 12 12,41,1501914,154.29 108.16 90
189,1486,4 14 15,41,1501743,147.13 109.75 93
190,1496,6 14 14,41,1501656,148.72 109.75 92
191,1524,13 9 14,41,1501423,154.29 105.77 92
192,1505,8 14 13,41,1501219,150.31 109.75 91
