rank,cp,ivs,maxlevel,stat-product,stats
1,2499,1 14 13,22.5,3633803,171.72 153.34 138
2,2500,1 12 15,22.5,3629886,171.72 152.08 139
3,2498,1 15 12,22.5,3622378,171.72 153.98 137
4,2499,1 13 14,22.5,3618787,171.72 152.71 138
5,2494,1 13 13,22.5,3618787,171.72 152.71 138
6,2498,2 12 13,22.5,3617070,172.35 152.08 138
7,2495,1 11 15,22.5,3614761,171.72 151.44 139
8,2499,2 10 15,22.5,3612920,172.35 150.81 139
9,2496,2 15 10,22.5,3609206,172.35 153.98 136
10,2500,3 14 10,22.5,3607568,172.99 153.34 136
11,2493,1 14 12,22.5,3607471,171.72 153.34 137
12,2499,6 15 14,22,3607207,172.93 152.26 137
13,2497,2 13 12,22.5,3605821,172.35 152.71 137
14,2494,1 12 14,22.5,3603772,171.72 152.08 138
15,2488,1 12 13,22.5,3603772,171.72 152.08 138
16,2498,2 11 14,22.5,3601999,172.35 151.44 138
17,2492,2 11 13,22.5,3601999,172.35 151.44 138
18,2496,3 10 13,22.5,3600115,172.99 150.81 138
19,2489,1 10 15,22.5,3599637,171.72 150.81 139
20,2500,4 9 13,22.5,3598120,173.62 150.17 138
21,2493,2 9 15,22.5,3597739,172.35 150.17 139
22,2499,1 8 9,23,3596230,173.62 151.19 137
23,2492,1 15 11,22.5,3595937,171.72 153.98 136
24,2487,1 15 10,22.5,3595937,171.72 153.98 136
25,2499,3 15 9,22.5,3595840,172.99 153.98 135
26,2497,3 8 15,22.5,3595730,172.99 149.54 139
27,2500,1 15 3,23,3594784,173.62 155.68 133
28,2496,2 14 11,22.5,3594354,172.35 153.34 136
29,2491,2 14 10,22.5,3594354,172.35 153.34 136
30,2496,5 15 15,22,3594137,172.31 152.26 137
31,2490,5 15 14,22,3594137,172.31 152.26 137
32,2500,3 13 11,22.5,3592661,172.99 152.71 136
33,2495,3 13 10,22.5,3592661,172.99 152.71 136
34,2488,1 13 12,22.5,3592564,171.72 152.71 137
35,2500,6 14 15,22,3592362,172.93 151.63 137
36,2494,6 14 14,22,3592362,172.93 151.63 137
37,2500,1 6 11,23,3591781,173.62 149.91 138
38,2492,2 12 12,22.5,3590859,172.35 152.08 137
39,2499,4 12 10,22.5,3590859,173.62 152.08 136
40,2498,7 13 14,22,3590480,173.56 151 137
41,2496,3 11 12,22.5,3589044,172.99 151.44 137
42,2497,1 11 6,23,3588778,173.62 153.12 135
43,2489,1 11 14,22.5,3588756,171.72 151.44 138
44,2483,1 11 13,22.5,3588756,171.72 151.44 138
45,2500,4 10 12,22.5,3587119,173.62 150.81 137
46,2493,2 10 14,22.5,3586927,172.35 150.81 138
47,2487,2 10 13,22.5,3586927,172.35 150.81 138
48,2495,1 4 12,23,3586887,173.62 148.63 139
49,2499,1 9 8,23,3585107,173.62 151.83 136
